"Name","IconSWF","IconExportName","Reward1Trophies","Reward1Type","Reward1Data","Reward2Trophies","Reward2Type","Reward2Data","Reward3Trophies","Reward3Type","Reward3Data","Reward4Trophies","Reward4Type","Reward4Data","Reward5Trophies","Reward5Type","Reward5Data","Reward6Trophies","Reward6Type","Reward6Data"
"TrophyRewardsArtilleryDude","sc/ui.sc","trophy_brawler_icon_penny","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ArtilleryGalCyber","1000","SpecificTitle","TitleMasteryPenny","2000","SpecificThumbnail","player_icon_prestige_penny","3000","PrestigeTitle","TitlePrestigePenny"
"TrophyRewardsHammerDude","sc/ui.sc","trophy_brawler_icon_frank","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","HammerDudeVacation","1000","SpecificTitle","TitleMasteryFrank","2000","SpecificThumbnail","player_icon_prestige_frank","3000","PrestigeTitle","TitlePrestigeFrank"
"TrophyRewardsHookDude","sc/ui.sc","trophy_brawler_icon_gene","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","HookDudeMonkey","1000","SpecificTitle","TitleMasteryGene","2000","SpecificThumbnail","player_icon_prestige_gene","3000","PrestigeTitle","TitlePrestigeGene"
"TrophyRewardsClusterBombDude","sc/ui.sc","trophy_brawler_icon_tick","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ClusterBombDudeRare","1000","SpecificTitle","TitleMasteryTick","2000","SpecificThumbnail","player_icon_prestige_tick","3000","PrestigeTitle","TitlePrestigeTick"
"TrophyRewardsNinja","sc/ui.sc","trophy_brawler_icon_leon","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","NinjaCat","1000","SpecificTitle","TitleMasteryLeon","2000","SpecificThumbnail","player_icon_prestige_leon","3000","PrestigeTitle","TitlePrestigeLeon"
"TrophyRewardsRosa","sc/ui.sc","trophy_brawler_icon_rosa","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","RosaRare","1000","SpecificTitle","TitleMasteryRosa","2000","SpecificThumbnail","player_icon_prestige_rosa","3000","PrestigeTitle","TitlePrestigeRosa"
"TrophyRewardsWhirlwind","sc/ui.sc","trophy_brawler_icon_carl","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","WhirlwindGoblin","1000","SpecificTitle","TitleMasteryCarl","2000","SpecificThumbnail","player_icon_prestige_carl","3000","PrestigeTitle","TitlePrestigeCarl"
"TrophyRewardsBaseball","sc/ui.sc","trophy_brawler_icon_bibi","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BaseballBubblegum","1000","SpecificTitle","TitleMasteryBibi","2000","SpecificThumbnail","player_icon_prestige_bibi","3000","PrestigeTitle","TitlePrestigeBibi"
"TrophyRewardsArcade","sc/ui.sc","trophy_brawler_icon_8bit","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ArcadeClassic","1000","SpecificTitle","TitleMastery8bit","2000","SpecificThumbnail","player_icon_prestige_8bit","3000","PrestigeTitle","TitlePrestige8bit"
"TrophyRewardsSandstorm","sc/ui.sc","trophy_brawler_icon_sandy","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","Sandstormsleepy","1000","SpecificTitle","TitleMasterySandy","2000","SpecificThumbnail","player_icon_prestige_sandy","3000","PrestigeTitle","TitlePrestigeSandy"
"TrophyRewardsBeeSniper","sc/ui.sc","trophy_brawler_icon_bea","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BeeSniperLadyBug","1000","SpecificTitle","TitleMasteryBea","2000","SpecificThumbnail","player_icon_prestige_bea","3000","PrestigeTitle","TitlePrestigeBea"
"TrophyRewardsMummy","sc/ui.sc","trophy_brawler_icon_emz","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","MummyCollege","1000","SpecificTitle","TitleMasteryEmz","2000","SpecificThumbnail","player_icon_prestige_emz","3000","PrestigeTitle","TitlePrestigeEmz"
"TrophyRewardsSpawnerDude","sc/ui.sc","trophy_brawler_icon_mrp","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SpawnerDudeAgentP","1000","SpecificTitle","TitleMasteryMrp","2000","SpecificThumbnail","player_icon_prestige_mrp","3000","PrestigeTitle","TitlePrestigeMrp"
"TrophyRewardsSpeedy","sc/ui.sc","trophy_brawler_icon_max","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SpeedyGT","1000","SpecificTitle","TitleMasteryMax","2000","SpecificThumbnail","player_icon_prestige_max","3000","PrestigeTitle","TitlePrestigeMax"
"TrophyRewardsDriller","sc/ui.sc","trophy_brawler_icon_jacky","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DrillerConstructor","1000","SpecificTitle","TitleMasteryJacky","2000","SpecificThumbnail","player_icon_prestige_jacky","3000","PrestigeTitle","TitlePrestigeJacky"
"TrophyRewardsBlower","sc/ui.sc","trophy_brawler_icon_gale","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BlowerAstronaut","1000","SpecificTitle","TitleMasteryGale","2000","SpecificThumbnail","player_icon_prestige_gale","3000","PrestigeTitle","TitlePrestigeGale"
"TrophyRewardsController","sc/ui.sc","trophy_brawler_icon_nani","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ControllerRetro","1000","SpecificTitle","TitleMasteryNani","2000","SpecificThumbnail","player_icon_prestige_nani","3000","PrestigeTitle","TitlePrestigeNani"
"TrophyRewardsWally","sc/ui.sc","trophy_brawler_icon_sprout","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","WallyHawaii","1000","SpecificTitle","TitleMasterySprout","2000","SpecificThumbnail","player_icon_prestige_sprout","3000","PrestigeTitle","TitlePrestigeSprout"
"TrophyRewardsPowerLeveler","sc/ui.sc","trophy_brawler_icon_surge","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","PowerLevelerRare","1000","SpecificTitle","TitleMasterySurge","2000","SpecificThumbnail","player_icon_prestige_surge","3000","PrestigeTitle","TitlePrestigeSurge"
"TrophyRewardsPercenter","sc/ui.sc","trophy_brawler_icon_colette","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","PercenterCursed","1000","SpecificTitle","TitleMasteryColette","2000","SpecificThumbnail","player_icon_prestige_colette","3000","PrestigeTitle","TitlePrestigeColette"
"TrophyRewardsFireDude","sc/ui.sc","trophy_brawler_icon_amber","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","FireDudeRare","1000","SpecificTitle","TitleMasteryAmber","2000","SpecificThumbnail","player_icon_prestige_amber","3000","PrestigeTitle","TitlePrestigeAmber"
"TrophyRewardsIceDude","sc/ui.sc","trophy_brawler_icon_lou","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","IceDudeRare","1000","SpecificTitle","TitleMasteryLou","2000","SpecificThumbnail","player_icon_prestige_lou","3000","PrestigeTitle","TitlePrestigeLou"
"TrophyRewardsSnakeOil","sc/ui.sc","trophy_brawler_icon_byron","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SnakeOilTropical","1000","SpecificTitle","TitleMasteryByron","2000","SpecificThumbnail","player_icon_prestige_byron","3000","PrestigeTitle","TitlePrestigeByron"
"TrophyRewardsEnrager","sc/ui.sc","trophy_brawler_icon_edgar","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","EnragerVigilante","1000","SpecificTitle","TitleMasteryEdgar","2000","SpecificThumbnail","player_icon_prestige_edgar","3000","PrestigeTitle","TitlePrestigeEdgar"
"TrophyRewardsRuffs","sc/ui.sc","trophy_brawler_icon_ruffs","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","RuffsCoock","1000","SpecificTitle","TitleMasteryRuffs","2000","SpecificThumbnail","player_icon_prestige_ruffs","3000","PrestigeTitle","TitlePrestigeRuffs"
"TrophyRewardsRoller","sc/ui.sc","trophy_brawler_icon_stu","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","RollerWhite","1000","SpecificTitle","TitleMasteryStu","2000","SpecificThumbnail","player_icon_prestige_stu","3000","PrestigeTitle","TitlePrestigeStu"
"TrophyRewardsElectroSniper","sc/ui.sc","trophy_brawler_icon_belle","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ElectroSniperRare","1000","SpecificTitle","TitleMasteryBelle","2000","SpecificThumbnail","player_icon_prestige_belle","3000","PrestigeTitle","TitlePrestigeBelle"
"TrophyRewardsStickyBomb","sc/ui.sc","trophy_brawler_icon_squeak","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","StickyBombOffice","1000","SpecificTitle","TitleMasterySqueak","2000","SpecificThumbnail","player_icon_prestige_squeak","3000","PrestigeTitle","TitlePrestigeSqueak"
"TrophyRewardsCrossBomber","sc/ui.sc","trophy_brawler_icon_grom","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CrossBomberRare","1000","SpecificTitle","TitleMasteryGrom","2000","SpecificThumbnail","player_icon_prestige_grom","3000","PrestigeTitle","TitlePrestigeGrom"
"TrophyRewardsRopeDude","sc/ui.sc","trophy_brawler_icon_buzz","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","RopeDudeKaiju","1000","SpecificTitle","TitleMasteryBuzz","2000","SpecificThumbnail","player_icon_prestige_buzz","3000","PrestigeTitle","TitlePrestigeBuzz"
"TrophyRewardsAssaultShotgun","sc/ui.sc","trophy_brawler_icon_griff","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","AssaultShotgun29gem","1000","SpecificTitle","TitleMasteryGriff","2000","SpecificThumbnail","player_icon_prestige_griff","3000","PrestigeTitle","TitlePrestigeGriff"
"TrophyRewardsKnight","sc/ui.sc","trophy_brawler_icon_ash","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","KnightRare","1000","SpecificTitle","TitleMasteryAsh","2000","SpecificThumbnail","player_icon_prestige_ash","3000","PrestigeTitle","TitlePrestigeAsh"
"TrophyRewardsMechaDude","sc/ui.sc","trophy_brawler_icon_meg","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","MechaDudeRare","1000","SpecificTitle","TitleMasteryMeg","2000","SpecificThumbnail","player_icon_prestige_meg","3000","PrestigeTitle","TitlePrestigeMeg"
"TrophyRewardsDuplicator","sc/ui.sc","trophy_brawler_icon_lola","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DuplicatorFlightAttendant","1000","SpecificTitle","TitleMasteryLola","2000","SpecificThumbnail","player_icon_prestige_lola","3000","PrestigeTitle","TitlePrestigeLola"
"TrophyRewardsKickerDude","sc/ui.sc","trophy_brawler_icon_fang","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","KickerDudeRare","1000","SpecificTitle","TitleMasteryFang","2000","SpecificThumbnail","player_icon_prestige_fang","3000","PrestigeTitle","TitlePrestigeFang"
"TrophyRewardsFlea","sc/ui.sc","trophy_brawler_icon_eve","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","FleaRare","1000","SpecificTitle","TitleMasteryEve","2000","SpecificThumbnail","player_icon_prestige_eve","3000","PrestigeTitle","TitlePrestigeEve"
"TrophyRewardsJetpackGirl","sc/ui.sc","trophy_brawler_icon_janet","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","JetpackGirlTopgun","1000","SpecificTitle","TitleMasteryJanet","2000","SpecificThumbnail","player_icon_prestige_janet","3000","PrestigeTitle","TitlePrestigeJanet"
"TrophyRewardsCannonGirl","sc/ui.sc","trophy_brawler_icon_bonnie","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CannonGirlUnicorn","1000","SpecificTitle","TitleMasteryBonnie","2000","SpecificThumbnail","player_icon_prestige_bonnie","3000","PrestigeTitle","TitlePrestigeBonnie"
"TrophyRewardsSilencer","sc/ui.sc","trophy_brawler_icon_otis","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SilencerSewer","1000","SpecificTitle","TitleMasteryOtis","2000","SpecificThumbnail","player_icon_prestige_otis","3000","PrestigeTitle","TitlePrestigeOtis"
"TrophyRewardsWeaponThrower","sc/ui.sc","trophy_brawler_icon_sam","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","WeaponThrowerValentines","1000","SpecificTitle","TitleMasterySam","2000","SpecificThumbnail","player_icon_prestige_sam","3000","PrestigeTitle","TitlePrestigeSam"
"TrophyRewardsSoulCollector","sc/ui.sc","trophy_brawler_icon_gus","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SoulCollectorRare","1000","SpecificTitle","TitleMasteryGus","2000","SpecificThumbnail","player_icon_prestige_gus","3000","PrestigeTitle","TitlePrestigeGus"
"TrophyRewardsShieldTank","sc/ui.sc","trophy_brawler_icon_buster","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ShieldTankRare","1000","SpecificTitle","TitleMasteryBuster","2000","SpecificThumbnail","player_icon_prestige_buster","3000","PrestigeTitle","TitlePrestigeBuster"
"TrophyRewardsJester","sc/ui.sc","trophy_brawler_icon_chester","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","JesterGhost","1000","SpecificTitle","TitleMasteryChester","2000","SpecificThumbnail","player_icon_prestige_chester","3000","PrestigeTitle","TitlePrestigeChester"
"TrophyRewardsDoorMan","sc/ui.sc","trophy_brawler_icon_gray","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DoorManRunaway","1000","SpecificTitle","TitleMasteryGray","2000","SpecificThumbnail","player_icon_prestige_gray","3000","PrestigeTitle","TitlePrestigeGray"
"TrophyRewardsBeamer","sc/ui.sc","trophy_brawler_icon_mandy","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BeamerMC","1000","SpecificTitle","TitleMasteryMandy","2000","SpecificThumbnail","player_icon_prestige_mandy","3000","PrestigeTitle","TitlePrestigeMandy"
"TrophyRewardsSplitter","sc/ui.sc","trophy_brawler_icon_rt","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SplitterPolice","1000","SpecificTitle","TitleMasteryRT","2000","SpecificThumbnail","player_icon_prestige_rt","3000","PrestigeTitle","TitlePrestigeRT"
"TrophyRewardsPuppeteer","sc/ui.sc","trophy_brawler_icon_willow","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","PuppeteerAxl","1000","SpecificTitle","TitleMasteryWillow","2000","SpecificThumbnail","player_icon_prestige_willow","3000","PrestigeTitle","TitlePrestigeWillow"
"TrophyRewardsMaisie","sc/ui.sc","trophy_brawler_icon_maisie","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","MaisieMaisieCyber","1000","SpecificTitle","TitleMasteryMaisie","2000","SpecificThumbnail","player_icon_prestige_maisie","3000","PrestigeTitle","TitlePrestigeMaisie"
"TrophyRewardsFishTank","sc/ui.sc","trophy_brawler_icon_lilt","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","FishTankShark","1000","SpecificTitle","TitleMasteryFishTank","2000","SpecificThumbnail","player_icon_prestige_hank","3000","PrestigeTitle","TitlePrestigeFishTank"
"TrophyRewardsDuelist","sc/ui.sc","trophy_brawler_icon_cornelius","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DuelistToxic","1000","SpecificTitle","TitleMasteryCordelius","2000","SpecificThumbnail","player_icon_prestige_cornelius","3000","PrestigeTitle","TitlePrestigeCordelius"
"TrophyRewardsReviver","sc/ui.sc","trophy_brawler_icon_doug","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ReviverDraco","1000","SpecificTitle","TitleMasteryDoug","2000","SpecificThumbnail","player_icon_prestige_doug","3000","PrestigeTitle","TitlePrestigeDoug"
"TrophyRewardsCooker","sc/ui.sc","trophy_brawler_icon_pearl","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CookerRare","1000","SpecificTitle","TitleMasteryPearl","2000","SpecificThumbnail","player_icon_prestige_pearl","3000","PrestigeTitle","TitlePrestigePearl"
"TrophyRewardsConductor","sc/ui.sc","trophy_brawler_icon_chuck","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ConductorRare","1000","SpecificTitle","TitleMasteryChuck","2000","SpecificThumbnail","player_icon_prestige_chuck","3000","PrestigeTitle","TitlePrestigeChuck"
"TrophyRewardsCocooner","sc/ui.sc","trophy_brawler_icon_charlotte","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CocoonerRare","1000","SpecificTitle","TitleMasteryCharlie","2000","SpecificThumbnail","player_icon_prestige_charlie","3000","PrestigeTitle","TitlePrestigeCharlie"
"TrophyRewardsLeaper","sc/ui.sc","trophy_brawler_icon_miko","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","LeaperRare","1000","SpecificTitle","TitleMasteryMiko","2000","SpecificThumbnail","player_icon_prestige_miko","3000","PrestigeTitle","TitlePrestigeMiko"
"TrophyRewardsAttacher","sc/ui.sc","trophy_brawler_icon_kit","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","AttacherRare","1000","SpecificTitle","TitleMasteryKit","2000","SpecificThumbnail","player_icon_prestige_kit","3000","PrestigeTitle","TitlePrestigeKit"
"TrophyRewardsTwins","sc/ui.sc","trophy_brawler_icon_twins","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","TwinsRare","1000","SpecificTitle","TitleMasteryTwins","2000","SpecificThumbnail","player_icon_prestige_twins","3000","PrestigeTitle","TitlePrestigeTwins"
"TrophyRewardsAxeJuggler","sc/ui.sc","trophy_brawler_icon_melodie","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","AxeJugglerRare","1000","SpecificTitle","TitleMasteryMelody","2000","SpecificThumbnail","player_icon_prestige_melodie","3000","PrestigeTitle","TitlePrestigeMelody"
"TrophyRewardsInsectMan","sc/ui.sc","trophy_brawler_icon_angelo","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","InsectManRare","1000","SpecificTitle","TitleMasteryAngelo","2000","SpecificThumbnail","player_icon_prestige_angelo","3000","PrestigeTitle","TitlePrestigeAngelo"
"TrophyRewardsDragonRider","sc/ui.sc","trophy_brawler_icon_draco","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DragonRiderRare","1000","SpecificTitle","TitleMasteryDraco","2000","SpecificThumbnail","player_icon_prestige_draco","3000","PrestigeTitle","TitlePrestigeDraco"
"TrophyRewardsAmbusher","sc/ui.sc","trophy_brawler_icon_lili","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","AmbusherRare","1000","SpecificTitle","TitleMasteryLily","2000","SpecificThumbnail","player_icon_prestige_lili","3000","PrestigeTitle","TitlePrestigeLily"
"TrophyRewardsPainter","sc/ui.sc","trophy_brawler_icon_berry","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","PainterRare","1000","SpecificTitle","TitleMasteryBerry","2000","SpecificThumbnail","player_icon_prestige_berry","3000","PrestigeTitle","TitlePrestigeBerry"
"TrophyRewardsCrab","sc/ui.sc","trophy_brawler_icon_clancy","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CrabRare","1000","SpecificTitle","TitleMasteryClancy","2000","SpecificThumbnail","player_icon_prestige_clancy","3000","PrestigeTitle","TitlePrestigeClancy"
"TrophyRewardsDigger","sc/ui.sc","trophy_brawler_icon_digger","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DiggerRare","1000","SpecificTitle","TitleDigger","2000","SpecificThumbnail","player_icon_prestige_digger","3000","PrestigeTitle","TitlePrestigeDigger"
"TrophyRewardsSamurai","sc/ui.sc","trophy_brawler_icon_samurai","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SamuraiRare","1000","SpecificTitle","TitleMasteryKenji","2000","SpecificThumbnail","player_icon_prestige_kenji","3000","PrestigeTitle","TitlePrestigeKenji"
"TrophyRewardsGhost","sc/ui.sc","trophy_brawler_icon_shade","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","GhostSwag","1000","SpecificTitle","TitleMasteryGhost","2000","SpecificThumbnail","player_icon_prestige_shade","3000","PrestigeTitle","TitlePrestigeGhost"
"TrophyRewardsVoodoo","sc/ui.sc","trophy_brawler_icon_juju","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","VoodooRare","1000","SpecificTitle","TitleMasteryVoodoo","2000","SpecificThumbnail","player_icon_prestige_juju","3000","PrestigeTitle","TitlePrestigeVoodoo"
