"Name","Disabled","LogicItem","FileName","ExportName","ExportNameEnemy","ShadowExportName","GroundGlowExportName","LoopingEffect","SpawnEffect","ActivateEffect","SCW","SCWEnemy","SCWTopLayer","UseGeneratedShadow","RandomStartFrame","Layer","ItemReadyEffect","Effects"
"BattleRoyaleBuff","","BattleRoyaleBuff","sc/effects.sc","","","projectile_shadow","","powerup_fx","spawn_plasmoid","","sc3d/item_renamed_showdown_boost.glb","sc3d/item_renamed_showdown_boost.glb","","true","","Above","",""
"Money","","Money","sc/effects.sc","wanted_star_pickup","wanted_star_pickup","","pickup_glow_gold","blob_fx","spawn_plasmoid","","","","","","","Above","",""
"BoxOfBombs","","BoxOfBombs","sc/effects.sc","","","","pickup_glow_green","","spawn_plasmoid","","","","","","","Above","",""
"BoxOfSelfDestructBombs","","BoxOfSelfDestructBombs","sc/effects.sc","red_pickup","red_pickup","","pickup_glow_green","","spawn_plasmoid","","","","","","","Above","",""
"SelfDestructBomb","","SelfDestructBomb","sc/effects.sc","cannon_projectile_blue","cannon_projectile_red","projectile_shadow","","","artillery_dude_turret_attack","","","","","","","Above","",""
"Scrap","","Scrap","sc/effects.sc","","","","pickup_glow_green","power_up_bottle_sparkle","spawn_buff","","sc3d/item_renamed_bolt.glb","sc3d/item_renamed_bolt.glb","","true","","Above","",""
"SpringBoardLeft","","SpringBoardLeft","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board.glb","sc3d/spring_renamed_board.glb","","","","GroundTop","",""
"SpringBoardRight","","SpringBoardRight","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board.glb","sc3d/spring_renamed_board.glb","","","","GroundTop","",""
"SpringBoardUp","","SpringBoardUp","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board.glb","sc3d/spring_renamed_board.glb","","","","GroundTop","",""
"SpringBoardDown","","SpringBoardDown","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board.glb","sc3d/spring_renamed_board.glb","","","","GroundTop","",""
"SpringBoardUpLeft","","SpringBoardUpLeft","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal.glb","sc3d/spring_board_diagonal.glb","","","","GroundTop","",""
"SpringBoardUpRight","","SpringBoardUpRight","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal.glb","sc3d/spring_board_diagonal.glb","","","","GroundTop","",""
"SpringBoardDownLeft","","SpringBoardDownLeft","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal.glb","sc3d/spring_board_diagonal.glb","","","","GroundTop","",""
"SpringBoardDownRight","","SpringBoardDownRight","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal.glb","sc3d/spring_board_diagonal.glb","","","","GroundTop","",""
"TrainSpawner","","TrainSpawner","","","","","","","","","","","","","","Above","",""
"ClusterMine","","ClusterMine","sc/effects_brawler.sc","tick_def_atk2","tick_def_atk2_red","shadow_normal_circle","","","","","","","","","","Above","",""
"Tick002Mine","","ClusterMine","sc/effects_brawler.sc","tick_002_atk2","tick_002_atk2_red","shadow_normal_circle","","","","","","","","","","Above","",""
"Tick003Mine","","ClusterMine","sc/effects_brawler.sc","tick_003_atk2","tick_003_atk2_red","shadow_normal_circle","","","","","","","","","","Above","",""
"Tick004Mine","","ClusterMine","sc/effects_brawler.sc","tick_004_atk2","tick_004_atk2_red","","","","","","","","","","2","Above","",""
"Tick005Mine","","ClusterMine","sc/effects_brawler.sc","tick_005_atk2","tick_005_atk2_red","shadow_normal_circle","","tick_005_atk2","","","","","","","2","Above","",""
"Tick006Mine","","ClusterMine","sc/effects_brawler.sc","tick_006_atk2_projectile","tick_006_atk2_projectile_red","shadow_normal_circle","","gen_no_hit","","","","","","","2","Above","",""
"Tick007Mine","","ClusterMine","sc/effects_brawler.sc","tick_007_atk2_projectile","tick_007_atk2_projectile_red","","","gen_no_hit","","","","","","","2","Above","",""
"Tick009Mine","","ClusterMine","sc/effects_brawler_tick.sc","tick_009_atk2_projectile","tick_009_atk2_projectile_red","","","gen_no_hit","","","","","","","2","Above","",""
"Tick010Mine","","ClusterMine","sc/effects_brawler_tick.sc","tick_010_atk2_projectile","tick_010_atk2_projectile_red","shadow_normal_circle_big","","gen_no_hit","","","","","","","2","Above","",""
"MineMecha","","Mine","sc/effects_brawler.sc","bo_002_mine_blue","bo_002_mine_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"PiperdefBomb","","PiperdefBomb","sc/effects_brawler.sc","piper_def_ulti_projectile","piper_def_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper002Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_002_ulti_projectile","piper_002_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Piper003Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_003_ulti_projectile","piper_003_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper004Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_004_ulti_projectile","piper_004_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper005Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_005_ulti_projectile","piper_005_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Piper006Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_006_ulti_projectile","piper_006_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper007Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_007_ulti_projectile","piper_007_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Piper008Bomb","","PiperdefBomb","sc/effects_brawler.sc","piper_008_ulti_projectile","piper_008_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper009Bomb","","PiperdefBomb","sc/effects_brawler_piper.sc","piper_009_ulti_projectile","piper_009_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper010Bomb","","PiperdefBomb","sc/effects_brawler_piper.sc","piper_010_ulti_projectile","piper_010_ulti_projectile_red","piper_010_shadow","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper010OverchargedBomb","","OverchargedBomb","sc/effects_brawler_piper.sc","piper_010_hc_ulti_projectile","piper_010_hc_ulti_projectile_red","piper_010_shadow","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"Piper011Bomb","","PiperdefBomb","sc/effects_brawler_piper.sc","piper_011_ulti_projectile","piper_011_ulti_projectile_red","shadow_normal_circle_big","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"MineHorus","","Mine","sc/effects_brawler.sc","bo_003_mine_blue","bo_003_mine_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"MineDemon","","Mine","sc/effects_brawler.sc","bo_004_mine_blue","bo_004_mine_red","","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"MineGift","","Mine","sc/effects_brawler.sc","bo_005_mine","bo_005_mine_red","","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"MineWasp","","Mine","sc/effects_brawler.sc","bo_006_mine_blue","bo_006_mine_red","","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"MineLotus","","Mine","sc/effects_brawler.sc","bo_007_mine","bo_007_mine_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"MineChoco","","Mine","sc/effects_brawler.sc","bo_008_mine","bo_008_mine_red","","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"MineHelmet","","Mine","sc/effects_brawler_bo.sc","bo_009_mine","bo_009_mine_red","","","","bo_def_ulti2_spawn","","","","","","2","Above","",""
"ScorePole","","ScorePole","","","","","","","spawn_plasmoid","","","","","true","","Above","",""
"ScoreFlag","","ScoreFlag","","","","","","","spawn_plasmoid","","","","","true","","Above","",""
"ScoreFlagHoisted","","ScoreFlagHoisted","","","","","","mode_koh_complete","mode_koh_captured","","","","","true","","Above","",""
"5dce5f478110256c30c89d84664a5acf3ec9e9f0","true","DamageAndSpeed","sc/effects.sc","","","","pickup_glow_green","power_up_bottle_sparkle","spawn_buff","","sc3d/item_renamed_power_up_bottle.glb","sc3d/item_renamed_power_up_bottle.glb","","true","","Above","",""
"SpringBoardLeft_Gale","","SpringBoardLeft_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board_gale.glb","sc3d/spring_renamed_board_gale.glb","","","","GroundTop","",""
"SpringBoardRight_Gale","","SpringBoardRight_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board_gale.glb","sc3d/spring_renamed_board_gale.glb","","","","GroundTop","",""
"SpringBoardUp_Gale","","SpringBoardUp_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board_gale.glb","sc3d/spring_renamed_board_gale.glb","","","","GroundTop","",""
"SpringBoardDown_Gale","","SpringBoardDown_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_renamed_board_gale.glb","sc3d/spring_renamed_board_gale.glb","","","","GroundTop","",""
"SpringBoardUpLeft_Gale","","SpringBoardUpLeft_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal_gale.glb","sc3d/spring_board_diagonal_gale.glb","","","","GroundTop","",""
"SpringBoardUpRight_Gale","","SpringBoardUpRight_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal_gale.glb","sc3d/spring_board_diagonal_gale.glb","","","","GroundTop","",""
"SpringBoardDownLeft_Gale","","SpringBoardDownLeft_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal_gale.glb","sc3d/spring_board_diagonal_gale.glb","","","","GroundTop","",""
"SpringBoardDownRight_Gale","","SpringBoardDownRight_Gale","","","","","","","spawn_plasmoid","","sc3d/spring_board_diagonal_gale.glb","sc3d/spring_board_diagonal_gale.glb","","","","GroundTop","",""
"Teleport1","","Teleport1","","","","","","","spawn_plasmoid","","sc3d/teleport_tile_geo.glb","sc3d/teleport_tile_geo.glb","sc3d/teleport_effect.glb","true","","GroundTop","",""
"Teleport2","","Teleport2","","","","","","","spawn_plasmoid","","sc3d/teleport_tile_2_geo.glb","sc3d/teleport_tile_2_geo.glb","sc3d/teleport_effect_2.glb","true","","GroundTop","",""
"Teleport3","","Teleport3","","","","","","","spawn_plasmoid","","sc3d/teleport_tile_3_geo.glb","sc3d/teleport_tile_3_geo.glb","sc3d/teleport_effect_3.glb","true","","GroundTop","",""
"Teleport4","","Teleport4","","","","","","","spawn_plasmoid","","sc3d/teleport_tile_4_geo.glb","sc3d/teleport_tile_4_geo.glb","sc3d/teleport_effect_4.glb","true","","GroundTop","",""
"RuffsBuff","","RuffsBuff","sc/effects_brawler.sc","","","","","ruffs_def_ulti_item","spawn_buff","","sc3d/ruffs_buff_geo.glb","sc3d/ruffs_buff_geo.glb","","","","Above","",""
"RuffsOverchargedBuff","","RuffsOverchargedBuff","sc/effects_brawler.sc","","","","","ruffs_overcharged_ulti_item","spawn_buff","","sc3d/ruffs_buff_geo.glb","sc3d/ruffs_buff_geo.glb","","","","Above","",""
"StickyBomb","","StickyBomb","sc/effects_brawler.sc","sticky_def_atk_reached","sticky_def_atk_reached_red","","","stickybombactive","spawn_buff","sticky_def_atk_hit","","","","","","Above","",""
"StickyBombUlti","","StickyBombUlti","sc/effects_brawler.sc","sticky_def_ulti_reached","sticky_def_ulti_reached_red","","","stickybombsmallactive","spawn_buff","sticky_def_atk_hit","","","","","","Above","",""
"Sticky002Bomb","","StickyBomb","sc/effects_brawler.sc","sticky_002_atk_reached","sticky_002_atk_reached_red","","","stickybombactive","spawn_buff","sticky_def_atk_hit","","","","","","Above","",""
"Sticky002BombUlti","","StickyBombUlti","sc/effects_brawler.sc","sticky_002_ulti_reached","sticky_002_ulti_reached_red","","","stickybombsmallactive","spawn_buff","","","","","","","Above","",""
"Sticky003Bomb","","StickyBomb","sc/effects_brawler.sc","squeak_003_atk_reached","squeak_003_atk_reached_red","","","stickybombactive","spawn_buff","squeak_003_atk_hit","","","","","","Above","",""
"Sticky003BombUlti","","StickyBombUlti","sc/effects_brawler.sc","squeak_003_ulti_reached","squeak_003_ulti_reached_red","","","stickybombsmallactive","spawn_buff","squeak_003_atk_hit","","","","","","Above","",""
"Sticky004Bomb","","StickyBomb","sc/effects_brawler.sc","squeak_004_atk_reached","squeak_004_atk_reached_red","","","stickybombactive","spawn_buff","squeak_004_atk_hit","","","","","","Above","",""
"Sticky004BombUlti","","StickyBombUlti","sc/effects_brawler.sc","squeak_004_ulti_reached","squeak_004_ulti_reached_red","","","stickybombsmallactive","spawn_buff","squeak_004_ulti_hit","","","","","","Above","",""
"Sticky005Bomb","","StickyBomb","sc/effects_brawler.sc","squeak_005_atk_reached","squeak_005_atk_reached_red","","","stickybombactive","spawn_buff","squeak_005_atk_hit","","","","","","Above","",""
"Sticky005BombUlti","","StickyBombUlti","sc/effects_brawler.sc","squeak_005_ulti_reached","squeak_005_ulti_reached_red","","","stickybombsmallactive","spawn_buff","squeak_005_ulti_hit","","","","","","Above","",""
"Sticky006Bomb","","StickyBomb","sc/effects_brawler.sc","squeak_006_atk_timer","squeak_006_atk_timer_red","","","stickybombactive","spawn_buff","","","","","","","Above","",""
"Sticky006BombUlti","","StickyBombUlti","sc/effects_brawler.sc","squeak_006_ulti_timer","squeak_006_ulti_timer_red","","","stickybombsmallactive","spawn_buff","","","","","","","Above","",""
"Sticky007Bomb","","StickyBomb","sc/effects_brawler.sc","squeak_007_atk_reached","squeak_007_atk_reached_red","","","stickybombactive","spawn_buff","","","","","","","Above","",""
"Sticky007BombUlti","","StickyBombUlti","sc/effects_brawler.sc","squeak_007_ulti_reached","squeak_007_ulti_reached_red","","","stickybombsmallactive","spawn_buff","","","","","","","Above","",""
"Sticky008Bomb","","StickyBomb","sc/effects_brawler_squeak.sc","squeak_008_atk_reached","squeak_008_atk_reached_red","","","squeak_008_atk_active","spawn_buff","squeak_008_atk_hit","","","","","","Above","",""
"Sticky008BombUlti","","StickyBombUlti","sc/effects_brawler_squeak.sc","squeak_008_ulti_reached","squeak_008_ulti_reached_red","","","squeak_008_atk_smallactive","spawn_buff","squeak_008_ulti_hit","","","","","","Above","",""
"ElectroTrap","","ElectroTrap","sc/effects_brawler.sc","belle_gadget_trap","belle_gadget_trap_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"BasketBrawlHoop","","BasketBrawlHoop","","","","","","","spawn_plasmoid","","sc3d/basketball_renamed_hoop.glb","sc3d/basketball_renamed_hoop.glb","","","","Above","",""
"Healing","","Healing","","","","","","","spawn_plasmoid","","sc3d/healing_tile_geo.glb","sc3d/healing_tile_geo.glb","","true","","GroundLow","",""
"WindWall","","WindWall","sc/effects.sc","","","","","gadget_gale_windwall","spawn_plasmoid","","","","","","","Above","",""
"KickerDudeMine","","KickerDudeMine","sc/effects_brawler.sc","fang_gadget_projectile","fang_gadget_projectile_red","shadow_normal_circle","","","","","","","","","","Above","",""
"KickerDudeMineOC","","KickerDudeMineOC","sc/effects_brawler.sc","fang_def_oc_popcorn","fang_def_oc_popcorn_red","shadow_normal_circle","","","","","","","","","","Above","",""
"Spray","","Spray","","","","","","","","","sc3d/spray_2x2.glb","sc3d/spray_2x2.glb","","","","GroundLow","",""
"InvasionToken","","InvasionToken","sc/effects.sc","","","","pickup_glow_green","power_up_bottle_sparkle","spawn_buff","","sc3d/item_renamed_bolt.glb","sc3d/item_renamed_bolt.glb","","true","","Above","",""
"InvasionBase","","InvasionBase","","","","","","","","","sc3d/drop_pod_platform_present_geo.glb","sc3d/drop_pod_platform_present_geo.glb","sc3d/drop_pod_present_geo.glb","true","","GroundTop","",""
"SilencerHugger","","SilencerHugger","sc/effects_brawler.sc","otto_def_ulti_hugger_starfish","otto_def_ulti_hugger_starfish_red","","","","otto_def_ulti_hugger_hit","sticky_def_atk_hit","","","","","2","Above","",""
"SilencerHuggerMine","","SilencerHuggerMine","sc/effects_brawler.sc","otto_def_gajet_mine","otto_def_gajet_mine_red","shadow_normal_circle","","","","","","","","","","Above","",""
"SilencerHuggerOC","","SilencerHuggerOC","sc/effects_brawler.sc","otis_def_oc_ulti_hugger_starfish","otis_def_oc_ulti_hugger_starfish_red","","","","otis_def_oc_ulti_hugger_hit","","","","","","2","Above","",""
"Otto002Hugger","","SilencerHugger","sc/effects_brawler.sc","otto_002_ulti_hugger_bug","otto_002_ulti_hugger_bug_red","","","otto_002_ulti_hugger_loop","otto_002_ulti_hugger_hit","sticky_def_atk_hit","","","","","2","Above","",""
"Otto002HuggerMine","","SilencerHuggerMine","sc/effects_brawler.sc","otto_002_gajet_mine","otto_002_gajet_mine_red","shadow_normal_circle","","","","","","","","","2","Above","",""
"Otis003Hugger","","SilencerHugger","sc/effects_brawler.sc","otis_003_ulti_stick_starfish","otis_003_ulti_stick_starfish_red","","","otto_002_ulti_hugger_loop","otis_003_ulti_hit","sticky_def_atk_hit","","","","","2","Above","",""
"Otis003HuggerMine","","SilencerHuggerMine","sc/effects_brawler.sc","otis_003_ulti_mine","otis_003_ulti_mine_red","shadow_normal_circle","","","","","","","","","2","Above","",""
"Otis004Hugger","","SilencerHugger","sc/effects_brawler.sc","otis_004_ulti_hugger","otis_004_ulti_hugger_red","","","otto_002_ulti_hugger_loop","otis_004_ulti_hugger_hit","sticky_def_atk_hit","","","","","2","Above","",""
"Otis004HuggerMine","","SilencerHuggerMine","sc/effects_brawler.sc","otis_004_gadget_mine","otis_004_gadget_mine_red","shadow_normal_circle","","","","","","","","","2","Above","",""
"Otis005Hugger","","SilencerHugger","sc/effects_brawler.sc","otis_005_ulti_hugger_starfish","otis_005_ulti_hugger_starfish_red","","","","otis_005_ulti_hugger_hit","sticky_def_atk_hit","","","","","2","Above","",""
"Otis005HuggerMine","","SilencerHuggerMine","sc/effects_brawler.sc","otis_005_gajet_mine","otis_005_gajet_mine_red","shadow_normal_circle","","","","","","","","","2","Above","",""
"Otis006Hugger","","SilencerHugger","sc/effects_brawler_otis.sc","otis_006_ulti_hugger_starfish","otis_006_ulti_hugger_starfish_red","","","","otis_006_ulti_hugger_hit","sticky_def_atk_hit","","","","","2","Above","",""
"Otis006HuggerMine","","SilencerHuggerMine","sc/effects_brawler_otis.sc","otis_006_gajet_mine","otis_006_gajet_mine_red","shadow_normal_circle","","","","","","","","","2","Above","",""
"Turret","","Turret","","","","","","","","","","","","true","","Above","",""
"WeaponThrowerWeapon","","WeaponThrowerWeapon","sc/effects_brawler.sc","bronson_def_ulti_gauntlet","bronson_def_ulti_gauntlet_red","","","otto_002_ulti_hugger_loop","spawn_plasmoid","","","","","","","Above","",""
"WeaponThrowerOverchargedWeapon","","WeaponThrowerOverchargedWeapon","sc/effects_brawler.sc","bronson_def_oc_ulti_gauntlet","bronson_def_oc_ulti_gauntlet_red","","","otto_002_ulti_hugger_loop","spawn_plasmoid","","","","","","","Above","",""
"Bronson002Weapon","","WeaponThrowerWeapon","sc/effects_brawler.sc","bronson_002_ulti_reached_ryan","bronson_002_ulti_reached_ryan_red","bronson_002_ulti_reached_ryan_shadow","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Bronson003Weapon","","WeaponThrowerWeapon","sc/effects_brawler.sc","bronson_003_ulti_reached_proj","bronson_003_ulti_reached_proj_red","bronson_003_ulti_reached_shadow","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Bronson004Weapon","","WeaponThrowerWeapon","sc/effects_brawler.sc","bronson_004_ulti_reached_gauntlet","bronson_004_ulti_reached_gauntlet_red","bronson_004_ulti_reached_gauntlet_shadow","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Bronson005Weapon","","WeaponThrowerWeapon","sc/effects_brawler.sc","bronson_005_ulti_reached_gauntlet","bronson_005_ulti_reached_gauntlet_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"Bronson006Weapon","","WeaponThrowerWeapon","sc/effects_brawler_sam.sc","bronson_006_ulti_reached_gauntlet","bronson_006_ulti_reached_gauntlet_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"SoulCollectorSoul","","SoulCollectorSoul","sc/effects_brawler.sc","gus_def_atk_spirit","gus_def_atk_spirit_red","","","gus_def_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"Gus002Soul","","SoulCollectorSoul","sc/effects_brawler.sc","gus_002_atk_spirit","gus_002_atk_spirit_red","","","gus_def_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"Gus003Soul","","SoulCollectorSoul","sc/effects_brawler.sc","gus_003_atk_spirit","gus_003_atk_spirit_red","","","gus_def_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"Gus004Soul","","SoulCollectorSoul","sc/effects_brawler.sc","gus_004_atk_spirit","gus_004_atk_spirit_red","","","gus_def_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"Gus005Soul","","SoulCollectorSoul","sc/effects_brawler_gus.sc","gus_005_atk_spirit","gus_005_atk_spirit_red","","","gus_005_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"Gus006Soul","","SoulCollectorSoul","sc/effects_brawler_gus.sc","gus_006_atk_spirit","gus_006_atk_spirit_red","","","gus_def_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"Gus007Soul","","SoulCollectorSoul","sc/effects_brawler_gus.sc","gus_007_atk_spirit","gus_007_atk_spirit_red","","","gus_007_spirit_loop","gus_def_spirit_active","","","","","","2","Above","",""
"LastStandCoin","","LastStandCoin","sc/effects.sc","","","","pickup_glow_gold","laststand_coin_twinkle","spawn_plasmoid","","sc3d/item_renamed_last_stand_coin.glb","sc3d/item_renamed_last_stand_coin.glb","","true","","Above","",""
"DoorHorizontal","","DoorHorizontal","","","","","","","","","","","","true","","Object","",""
"DoorVertical","","DoorVertical","","","","","","","","","","","","true","","Object","",""
"ButtonPress","","ButtonPress","","","","","","","","","","","","true","","GroundLow","",""
"ButtonHold","","ButtonHold","","","","","","","","","","","","true","","GroundLow","",""
"Portal","","Portal","sc/effects_brawler_gray.sc","","","","","","","","","","","","","GroundTop","",""
"EventCollectToken","","EventCollectToken","sc/effects.sc","","","","pickup_glow_gold","laststand_coin_twinkle","spawn_plasmoid","","sc3d/item_skull_coin_geo.glb","sc3d/item_skull_coin_geo.glb","","true","","Above","",""
"HealthPack","","HealthPack","sc/effects.sc","","","projectile_shadow","","","spawn_buff","","sc3d/item_health_boost_geo.glb","sc3d/item_health_boost_geo.glb","","true","","Above","",""
"ShadowMushroom","","ShadowMushroom","sc/effects.sc","","","projectile_shadow","","blob_fx","spawn_buff","","sc3d/item_cordelius_shroom_blue_geo.glb","sc3d/item_cordelius_shroom_red_geo.glb","","true","","Above","",""
"ShadowRealmMarker","","ShadowRealmMarker","sc/effects_brawler.sc","cordelius_def_realm_indicator","cordelius_def_realm_indicator","","","cordelius_def_indicator","","","","","","","","GroundTop","",""
"ConductorSign","","ConductorSign","","","","","","conductor_def_sign_warning","","conductor_def_sign_active","sc3d/item_chochosign_blue_geo.glb","sc3d/item_chochosign_red_geo.glb","","true","","Object","",""
"Conductor002Sign","","ConductorSign","","","","","","conductor_def_sign_warning","","conductor_def_sign_active","sc3d/item_pincer_chochosign_blue_geo.glb","sc3d/item_pincer_chochosign_red_geo.glb","","true","","Object","",""
"Conductor003Sign","","ConductorSign","","","","","","conductor_def_sign_warning","","conductor_def_sign_active","sc3d/item_electrolord_chochosign_blue_geo.glb","sc3d/item_electrolord_chochosign_red_geo.glb","","true","","Object","",""
"Conductor004Sign","","ConductorSign","","","","","","conductor_def_sign_warning","","conductor_def_sign_active","sc3d/item_chuck_brawloween_pole_blue.glb","sc3d/item_chuck_brawloween_pole_red.glb","","true","","Object","",""
"ExtractionZone","","ExtractionZone","","","","","","","spawn_plasmoid","","sc3d/extraction_teleport_tile_geo.glb","sc3d/extraction_teleport_tile_geo.glb","sc3d/extraction_teleport_effect_geo.glb","true","","GroundTop","",""
"ExtractionPoint","","ExtractionPoint","sc/effects.sc","","","projectile_shadow_mid","pickup_glow","item_extraction_trophy","spawn_plasmoid","","sc3d/item_extraction_trophy_geo.glb","sc3d/item_extraction_trophy_geo.glb","","true","","Above","",""
"Hypercharge","","Hypercharge","sc/effects.sc","","","projectile_shadow","","item_hypercharge","spawn_plasmoid","","sc3d/item_hypercharge_geo.glb","sc3d/item_hypercharge_geo.glb","","true","","Above","",""
"ClusterOverchargedMine","","ClusterOverchargedMine","sc/effects_brawler.sc","tick_def_oc_mine","tick_def_oc_mine_red","shadow_normal_circle","","","","","","","","","2","Above","",""
"GodzillaTransform","","GodzillaTransform","sc/effects.sc","","","projectile_shadow","pickup_glow_green","powerup_fx_blue","spawn_plasmoid","","sc3d/item_monster_geo.glb","sc3d/item_renamed_bolt.glb","","","","Above","",""
"OverchargedBoxOfBombs","","OverchargedBoxOfBombs","sc/effects.sc","","","","pickup_glow_green","","spawn_plasmoid","","","","","","","Above","",""
"OverchargedBomb","","OverchargedBomb","sc/effects_brawler.sc","piper_def_oc_ulti_projectile","piper_def_oc_ulti_projectile_red","shadow_normal_circle_big","","","spawn_sniper_bomb","","","","","","2","Above","",""
"DogTag","","DogTag","sc/effects.sc","","","projectile_shadow","pickup_glow_gold","dog_tag_glow","dog_tag_spawn","dog_tag_highlight","sc3d/item_angelsdemons_blue_geo.glb","sc3d/item_angelsdemons_red_geo.glb","","","","Above","",""
"ControllerArchetypeMine","","ControllerArchetypeMine","sc/effects_brawler.sc","sb_controller_bubble","sb_controller_bubble_red","shadow_normal_circle","","","","","","","","","2","Above","",""
