"Name","Version","VersionCN","LegacyExpLevelLimit","RequiredTotalTrophies","RequiredHero","IconSWF","IconExportName","SortOrder","IsReward","IsAvailableForOffers","LockedForChronos","PriceBling","PriceGems","DontSellInCatalog","DisableCatalogRelease","HideInCatalogWhenNotOwned","CatalogNewDaysAdjustment","CatalogPreRequirementSkin","GiveOnSkinUnlock","NotInCatalogTID","ExtraCatalogCampaign","ExtraCatalogHero","HideFromCatalogMainCategory","UnlockedByFame","BrawlerTrophyRewards","ShouldDownweight","OdditiesShopAvailability"
"hero39","","","0","0","Percenter","sc/player_icons_1.sc","player_icon_colette","703","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero40","","","0","0","FireDude","sc/player_icons_1.sc","player_icon_amber","605","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero41","","","0","0","IceDude","sc/player_icons_1.sc","player_icon_lou","704","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero42","","","0","0","SnakeOil","sc/player_icons_1.sc","player_icon_byron","507","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero43","","","0","0","Enrager","sc/player_icons_1.sc","player_icon_edgar","407","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero44","","","0","0","Ruffs","sc/player_icons_1.sc","player_icon_ruffs","705","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank01","","","0","0","","sc/player_icons_1.sc","player_icon_starrforce_01","1000","","true","","","","TRUE","","","","ArtilleryDudeSmuggler","TRUE","","","","","","","","NEVER"
"rank02","","","0","0","","sc/player_icons_1.sc","player_icon_starrforce_02","1001","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero45","","","0","0","Roller","sc/player_icons_1.sc","player_icon_stu","112","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank03","","","0","0","","sc/player_icons_1.sc","player_icon_actionshow_01","1002","","true","","","","TRUE","","","","ArcadePiano","TRUE","","","","","","","","NEVER"
"rank04","","","0","0","","sc/player_icons_1.sc","player_icon_actionshow_02","1003","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero46","","","0","0","ElectroSniper","sc/player_icons_1.sc","player_icon_belle","706","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero47","","","0","0","StickyBomb","sc/player_icons_1.sc","player_icon_squeak","508","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero48","","","0","0","RopeDude","sc/player_icons_1.sc","player_icon_buzz","707","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero49","","","0","0","AssaultShotgun","sc/player_icons_1.sc","player_icon_griff","408","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank05","","","0","0","","sc/player_icons_1.sc","player_icon_velocirapids_01","1004","","true","","","","TRUE","","","","DrillerJetski","TRUE","","","","","","","","NEVER"
"rank06","","","0","0","","sc/player_icons_1.sc","player_icon_velocirapids_02","1005","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero50","","","0","0","Knight","sc/player_icons_1.sc","player_icon_ash","708","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank07","","","0","0","","sc/player_icons_1.sc","player_icon_ft_01","1006","","true","","","","TRUE","","","","SnakeOilWizard","TRUE","","","","","","","","NEVER"
"rank08","","","0","0","","sc/player_icons_1.sc","player_icon_ft_02","1007","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero51","","","0","0","MechaDude","sc/player_icons_1.sc","player_icon_meg","606","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero52","","","0","0","Duplicator","sc/player_icons_1.sc","player_icon_lolla","709","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank09","","","0","0","","sc/player_icons_1.sc","player_icon_bw_01","1008","","true","","","","TRUE","","","","RopeDudeDirector","TRUE","","","","","","","","NEVER"
"rank10","","","0","0","","sc/player_icons_1.sc","player_icon_bw_02","1009","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank11","","","0","0","","sc/player_icons_1.sc","player_icon_lny2022_01","1010","","true","","","","TRUE","","","","ShamanDragon","TRUE","","","","","","","","NEVER"
"rank12","","","0","0","","sc/player_icons_1.sc","player_icon_lny2022_02","1011","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero53","","","0","0","CrossBomber","sc/player_icons_1.sc","player_icon_grom","409","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero54","","","0","0","KickerDude","sc/player_icons_1.sc","player_icon_fang","710","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero55","","","0","0","Flea","sc/player_icons_1.sc","player_icon_eve","711","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank13","","","0","0","","sc/player_icons_1.sc","player_icon_biodome_01","1012","","true","","","","TRUE","","","","BowDudeWasp","TRUE","","","","","","","","NEVER"
"rank14","","","0","0","","sc/player_icons_1.sc","player_icon_biodome_02","1013","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero56","","","0","0","JetpackGirl","sc/player_icons_1.sc","player_icon_janet","712","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero57","","","0","0","CannonGirl","sc/player_icons_1.sc","player_icon_bonnie","410","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank15","","","0","0","","sc/player_icons_1.sc","player_icon_stuntshow_01","1014","","true","","","","TRUE","","","","BarrelBotCrash","TRUE","","","","","","","","NEVER"
"rank16","","","0","0","","sc/player_icons_1.sc","player_icon_stuntshow_02","1015","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_tick1","","","0","0","","sc/player_icons_1.sc","player_icon_tick1","2001","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsClusterBombDude","","NEVER"
"player_icon_stu1","","","0","0","","sc/player_icons_1.sc","player_icon_stu1","2002","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsRoller","","NEVER"
"player_icon_shelly1","","","0","0","","sc/player_icons_1.sc","player_icon_shelly1","2003","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsShotgunGirl","","NEVER"
"player_icon_nita1","","","0","0","","sc/player_icons_1.sc","player_icon_nita1","2004","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsShaman","","NEVER"
"player_icon_jessie1","","","0","0","","sc/player_icons_1.sc","player_icon_jessie1","2005","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsMechanic","","NEVER"
"player_icon_emz1","","","0","0","","sc/player_icons_1.sc","player_icon_emz1","2006","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsMummy","","NEVER"
"player_icon_dynamike1","","","0","0","","sc/player_icons_1.sc","player_icon_dynamike1","2007","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsTntDude","","NEVER"
"player_icon_colt1","","","0","0","","sc/player_icons_1.sc","player_icon_colt1","2008","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsGunslinger","","NEVER"
"player_icon_bull1","","","0","0","","sc/player_icons_1.sc","player_icon_bull1","2009","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsBullDude","","NEVER"
"player_icon_brock1","","","0","0","","sc/player_icons_1.sc","player_icon_brock1","2010","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsRocketGirl","","NEVER"
"player_icon_bo1","","","0","0","","sc/player_icons_1.sc","player_icon_bo1","2011","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsBowDude","","NEVER"
"player_icon_8bit1","","","0","0","","sc/player_icons_1.sc","player_icon_8bit1","2012","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsArcade","","NEVER"
"player_icon_villains","","","0","0","","sc/player_icons_1.sc","player_icon_villains","3001","","true","","750","19","TRUE","","","","","","","","","","","","","AVAILABLE"
"player_icon_stuntshow","","","0","0","","sc/player_icons_1.sc","player_icon_stuntshow","3002","","true","","750","19","TRUE","","","","","","","","","","","","","AVAILABLE"
"player_icon_lantern","","","0","0","","sc/player_icons_1.sc","player_icon_lantern","3003","","true","","750","19","TRUE","","","","","","","","","","","","","AVAILABLE"
"player_icon_goldenweek","","","0","0","","sc/player_icons_1.sc","player_icon_goldenweek","3004","","true","","750","19","TRUE","","","","","","","","","","","","","AVAILABLE"
"hero58","","","0","0","Silencer","sc/player_icons_1.sc","player_icon_otis","713","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank17","","","0","0","","sc/player_icons_1.sc","player_icon_deepsea_01","1016","","true","","","","TRUE","","","","RocketGirlDelivery","TRUE","","","","","","","","NEVER"
"rank18","","","0","0","","sc/player_icons_1.sc","player_icon_deepsea_02","1017","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_ruffs_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_ruffs_bt21","4001","","true","","","","TRUE","","","","RuffsChimmy","TRUE","","","","","","","","NEVER"
"player_icon_bull_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_bull_bt21","4002","","true","","","","TRUE","","","","BullDudeMang","TRUE","","","","","","","","NEVER"
"player_icon_bibi_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_bibi_bt21","4003","","true","","","","TRUE","","","","BaseballRj","TRUE","","","","","","","","NEVER"
"player_icon_edgar_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_edgar_bt21","4004","","true","","","","TRUE","","","","EnragerTata","TRUE","","","","","","","","NEVER"
"player_icon_sandy_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_sandy_bt21","4005","","true","","","","TRUE","","","","SandstormKoya","TRUE","","","","","","","","NEVER"
"player_icon_tick_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_tick_bt21","4006","","true","","","","TRUE","","","","ClusterBombDudeShooky","TRUE","","","","","","","","NEVER"
"player_icon_jacky_bt21","","-1","0","0","","sc/player_icons_1.sc","player_icon_jacky_bt21","4007","","true","","","","TRUE","","","","DrillerCooky","TRUE","","","","","","","","NEVER"
"player_icon_deepsea","","","0","0","","sc/player_icons_1.sc","player_icon_deepsea","3005","","true","","750","19","TRUE","","","","","","","","","","","","","AVAILABLE"
"player_icon_primo1","","","0","0","","sc/player_icons_1.sc","player_icon_primo1","2013","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsLuchador","","NEVER"
"player_icon_barley1","","","0","0","","sc/player_icons_1.sc","player_icon_barley1","2014","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsBarkeep","","NEVER"
"player_icon_rosa1","","","0","0","","sc/player_icons_1.sc","player_icon_rosa1","2015","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsRosa","","NEVER"
"player_icon_poco1","","","0","0","","sc/player_icons_1.sc","player_icon_poco1","2016","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsDeadMariachi","","NEVER"
"player_icon_darryl1","","","0","0","","sc/player_icons_1.sc","player_icon_darryl1","2017","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsBarrelBot","","NEVER"
"player_icon_penny1","","","0","0","","sc/player_icons_1.sc","player_icon_penny1","2018","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsArtilleryDude","","NEVER"
"player_icon_carl1","","","0","0","","sc/player_icons_1.sc","player_icon_carl1","2019","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsWhirlwind","","NEVER"
"player_icon_rico1","","","0","0","","sc/player_icons_1.sc","player_icon_rico1","2020","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsTrickshotDude","","NEVER"
"player_icon_jacky1","","","0","0","","sc/player_icons_1.sc","player_icon_jacky1","2020","true","","","","","TRUE","","","","","","","","","","","TrophyRewardsDriller","","NEVER"
"player_icon_badrandoms","","","0","0","","sc/player_icons_1.sc","player_icon_badrandoms","3006","","true","","750","19","TRUE","","","","","","","PUNK","","","","","","AVAILABLE"
"player_icon_pirates","","","0","0","","sc/player_icons_1.sc","player_icon_pirates","3007","","true","","750","19","TRUE","","","","","","","CURSED","","","","","","AVAILABLE"
"rank19","","","0","0","","sc/player_icons_1.sc","player_icon_lola_outlaw_01","1018","","true","","","","TRUE","","","","","","","","","","","","","NEVER"
"rank20","","","0","0","","sc/player_icons_1.sc","player_icon_lola_outlaw_02","1019","true","","","","","TRUE","","","","DuplicatorOutlaw","TRUE","","","","","","","","NEVER"
"player_icon_mortis_mecha","","","0","0","","sc/player_icons_1.sc","player_icon_mortis_mecha","4008","","true","","","","TRUE","","","","UndertakerMecha","TRUE","","","","","","","","NEVER"
"player_icon_outlaw","","","0","0","","sc/player_icons_1.sc","player_icon_outlaw","3008","","true","","750","19","TRUE","","","","","","","OUTLAWS","","","","","","AVAILABLE"
"player_icon_esports_intz","","","0","0","","sc/player_icons_1.sc","player_icon_esports_intz","5001","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_navi","","","0","0","","sc/player_icons_1.sc","player_icon_esports_navi","5002","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_obey","","","0","0","","sc/player_icons_1.sc","player_icon_esports_obey","5003","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_qlash","","","0","0","","sc/player_icons_1.sc","player_icon_esports_qlash","5004","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_sk","","","0","0","","sc/player_icons_1.sc","player_icon_esports_sk","5005","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_stmn","","","0","0","","sc/player_icons_1.sc","player_icon_esports_stmn","5006","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_tq","","","0","0","","sc/player_icons_1.sc","player_icon_esports_tq","5007","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_tribe","","","0","0","","sc/player_icons_1.sc","player_icon_esports_tribe","5008","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_zeta","","","0","0","","sc/player_icons_1.sc","player_icon_esports_zeta","5009","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_esports_totem","","","0","0","","sc/player_icons_1.sc","player_icon_esports_totem","5010","","true","","","","TRUE","","TRUE","","","","","WF_2020","","","","","","NEVER"
"player_icon_mecha","","","0","0","","sc/player_icons_1.sc","player_icon_mecha","3009","","true","","750","19","TRUE","","","","","","","MECHA","","","","","","AVAILABLE"
"player_icon_robot_colt","","","0","0","","sc/player_icons_1.sc","player_icon_robot_colt","3010","","true","","750","19","TRUE","","","","","","","STARRPARK","","","","","","AVAILABLE"
"player_icon_robots_1","","","0","0","","sc/player_icons_1.sc","player_icon_robots_1","3011","","true","","750","19","TRUE","","","","","","","STARRPARK","","","","","","AVAILABLE"
"player_icon_robots_2","","","0","0","","sc/player_icons_1.sc","player_icon_robots_2","3012","","true","","750","19","TRUE","","","","","","","STARRPARK","","","","","","AVAILABLE"
"player_icon_robots_3","","","0","0","","sc/player_icons_1.sc","player_icon_robots_3","3013","","true","","750","19","TRUE","","","","","","","STARRPARK","","","","","","AVAILABLE"
"player_icon_robots_4","","","0","0","","sc/player_icons_1.sc","player_icon_robots_4","3014","","true","","750","19","TRUE","","","","","","","STARRPARK","","","","","","AVAILABLE"
"player_icon_claw","","","0","0","","sc/player_icons_1.sc","player_icon_claw","3015","","true","","","","TRUE","","","","","","","JUNGLE","","","","","","NEVER"
"player_icon_defeat_them_all","","","0","0","","sc/player_icons_1.sc","player_icon_defeat_them_all","3016","","true","","750","19","TRUE","","","","","","","MISC","","","","","","AVAILABLE"
"hero59","","","0","0","WeaponThrower","sc/player_icons_1.sc","player_icon_bronson","714","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero60","","","0","0","SoulCollector","sc/player_icons_1.sc","player_icon_gus","306","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_leon_ghost","","","0","0","","sc/player_icons_1.sc","player_icon_leon_ghost","4009","","true","","","","TRUE","","","","NinjaGhost","TRUE","","","","","","","","NEVER"
"player_icon_squeak_veteran1","","","0","0","","sc/player_icons_1.sc","player_icon_squeak_veteran1","4010","","true","","","","TRUE","","","","StickyBombVeteran","TRUE","","","","","","","","NEVER"
"player_icon_squeak_veteran2","","","0","0","","sc/player_icons_1.sc","player_icon_squeak_veteran2","4011","","true","","750","19","TRUE","","","","","","","MAXFORCE","","","","","","AVAILABLE"
"rank21","","","0","0","","sc/player_icons_1.sc","player_icon_colette_ghost1","1020","","true","","","","TRUE","","","","PercenterInspector","TRUE","","","","","","","","NEVER"
"rank22","","","0","0","","sc/player_icons_1.sc","player_icon_colette_ghost2","1021","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_bscwf","","","0","0","","sc/player_icons_1.sc","player_icon_bscwf","5000","","true","","","","TRUE","","","","","","","WF_2020","","","","","","NEVER"
"player_icon_lastbox","","","0","0","","sc/player_icons_1.sc","player_icon_lastbox","3017","","true","","","","TRUE","","","","","","","LASTBOX","","","","","","NEVER"
"player_icon_ghosttrain","","","0","0","","sc/player_icons_1.sc","player_icon_ghosttrain","3018","","true","","750","19","TRUE","","","","","","","BRAWLOWEEN","","","","","","AVAILABLE"
"player_icon_action","","","0","0","","sc/player_icons_1.sc","player_icon_action","3019","","true","","750","19","TRUE","","","","","","","MAXFORCE","","","","","","AVAILABLE"
"hero61","","","0","0","ShieldTank","sc/player_icons_1.sc","player_icon_buster","715","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_brawlball","","","0","0","","sc/player_icons_1.sc","player_icon_brawlball","3020","","true","","750","19","TRUE","","","","","","","GOLDENBALL","","","","","","AVAILABLE"
"rank23","","","0","0","","sc/player_icons_1.sc","player_icon_ash_pl1","1022","","true","","","","TRUE","","","","KnightPinata","TRUE","","","","","","","","NEVER"
"rank24","","","0","0","","sc/player_icons_1.sc","player_icon_ash_pl2","1023","true","","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_holidaybox","","","0","0","","sc/player_icons_1.sc","player_icon_holidaybox","3020","","true","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_candyland_skull","","","0","0","","sc/player_icons_1.sc","player_icon_candyland_skull","3021","","true","","750","19","TRUE","","","","","","","CANDYLAND","","","","","","AVAILABLE"
"player_icon_candyland","","","0","0","","sc/player_icons_1.sc","player_icon_candyland","3022","","true","","750","19","TRUE","","","","","","","","","","","","","AVAILABLE"
"player_icon_brawlentines","","","0","0","","sc/player_icons_1.sc","player_icon_brawlentines","3023","","true","","750","19","TRUE","","","","","","","BRAWLENTINES","","","","","","AVAILABLE"
"player_icon_darkmas","","","0","0","","sc/player_icons_1.sc","player_icon_darkmas","3024","","true","","750","19","TRUE","","","","","","","DARKMAS","","","","","","AVAILABLE"
"player_icon_lny2023","","","0","0","","sc/player_icons_1.sc","player_icon_lny2023","3025","","true","","750","19","TRUE","","","","","","","LNY","","","","","","AVAILABLE"
"player_icon_anniversary1","","-1","0","0","","sc/player_icons_1.sc","player_icon_anniversary1","3026","","true","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_anniversary2","","-1","0","0","","sc/player_icons_1.sc","player_icon_anniversary2","3027","","true","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_anniversary3","","-1","0","0","","sc/player_icons_1.sc","player_icon_anniversary3","3028","","true","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_anniversary4","","-1","0","0","","sc/player_icons_1.sc","player_icon_anniversary4","3029","","true","","","","TRUE","","","","","","","","","","","","","NEVER"
"player_icon_brawlidays1","","","0","0","","sc/player_icons_1.sc","player_icon_brawlidays1","3030","","true","","","","TRUE","","","","","","","BRAWLIDAYS","","","","","","NEVER"
"player_icon_brawlidays2","","","0","0","","sc/player_icons_1.sc","player_icon_brawlidays2","3031","","true","","","","TRUE","","","","","","","BRAWLIDAYS","","","","","","NEVER"
