"Name","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","UltiChargeBoostPercent","OverchargeChargeReducePercent","AmmoReducePercent","Healing","ShieldPercent","BaseSpeedIncreasePercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","ShowDamageAsCrit","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","DecreaseReloadTimePercent","LifeSteal","SourceLifeSteal","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","PersistTransformation","BooleanAttributes","HapticsToSource","TimerBar","Traits","Components","ActivateOnRefreshCount","DamagePercentRedirectToSource","ActionsOnTrigger","ActionsOnCancelOnDamage","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd"
"CollabAssassinBleed","120","","","","","","","20","","","","","","65","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"JesterUltiPoison","120","","","","","","","20","TRUE","","TRUE","","","290","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"BarkeepPuddleSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"MechanicTurretAreaSlow","60","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"CocoonerTrailAreaSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperAreaSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperUltiProjectileSlow","60","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"ChesterUltiAreaSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"MegaCactusUltiExplosionSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"MegaTickAreaSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"MegaStickyBombAreaSlow","21","","","","","","","","","","TRUE","","","","","","","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"MarksmanArchetypeAreaSlow","10","","","","","","","","","","TRUE","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"BaseballGadgetStickyAreaSlow","20","","","","","","","","","","TRUE","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"FishTankGadgetAreaSlow","60","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"VoodooAreaSlow","60","","","","","","","","","","TRUE","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"VoodooPetProjectileSlow","20","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"LeaperGadgetSlow","40","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"WrathOfAnAngelProjectileSlow","20","","","","","","","","","","TRUE","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"BeamerProjectileSlow","50","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"MegaFinxTimeStopProjectileSlow","30","","","","","","","","","","TRUE","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlStarPowerUltiProjectileSlow","40","","","","","","","","","","TRUE","","","","","","","","","","","","","","55","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"BlowerStarPowerAttackProjectileSlow","10","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"RosaGadgetBushSlow","60","","","","","","","","","","TRUE","","","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"DrillerOverchargedUltiAreaSlow","30","","","","","","","","","","TRUE","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"NinjaUltiSpeedBoost","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GearSpeedBoostInBush","2","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TraitMoveSpeedInBush_S","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TraitMoveSpeedInBush_E","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TraitMoveSpeedInBush_Mini_E","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TraitMoveSpeedInBush_Mini_S","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TraitMoveSpeedInBush_Nano_Rosa","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"InsectManStarPowerWaterSpeedBoost","10","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyUltiAreaSpeedBoost","80","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NotForObjects","","","","","","","","","","",""
"SpeedyGadgetDashShield","10","","","","TRUE","","","","","","TRUE","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyGadgetDashBuddyTimer","40","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ConsumeBonusSkillShotOnExpire;CancelOnBonusSkillNotAvailable","","TRUE","","","","","","","","",""
"SpeedyBuddyAreaShield","80","","","","","","","","","","TRUE","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NotForObjects","","","","","","","","","","",""
"SpeedyBuddyOnHitSpeedBoost","20","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EnragerUltiSpeedBoost","50","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GenericSpeedBoost","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SandStormOverchargedAreaSpeedBoost","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyOverchargedAreaSpeedBoost","200","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyOverchargedUltiAreaSpeedBoost","80","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SuperSneakersSpeedBoost","50","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OnHitSpeedyUpAreaSpeedBoost","6","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SlowDownNanoPower_Sam","7","","","","","","","","","","TRUE","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"SlowDownNanoPower_Damian","1","","","","","","","","","","TRUE","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"SlowDownNanoPower_Surge","40","","","","","","","","","","TRUE","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"StarrNovaAmberOnHitSpeedyUpAreaSpeedBoost","6","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OnHitSpeedyUpAreaSpeedBoost_MaxNano","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OnHitSpeedyUpAreaSpeedBoost_SamNano","20","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OnGadgetSpeedyUpAreaSpeedBoost","6","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerGadgetSpeedBoost","80","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeGadgetSpeedBoost","40","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CannonGirlGadgetSpeedAndReloadBoost","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","30","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerStarPowerMovementSpeed","999999","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BaseballStarPowerSpeedBoost","10","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorStarPowerSpeedBoost","80","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrossBomberStarPowerSpeedBoost","2","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PuppeteerStarPowerTargetSpeedBoost","80","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","33","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","PersistMindControl","","","","","","","","","","",""
"FishTankStarPowerSpeedBoost","5","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AxeJugglerStarPowerSpeedBoost","2","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AmbusherStarPowerSpeedBoost","20","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DiggerStarPowerSpeedBoost","5","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DiggerDrillAttackSpeedBoost","3","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SkaterStarPowerSpeedBoost","2","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AlternatorStarPowerSpeedBoost","2","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JesterGadgetSpeedBoost","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DuelistShadowRealmSelfBuff","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","10","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindUltiSpeedBuff","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerUltiSpeedBuff","50","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BloodHuntSpeedBoost","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CollabItemDamageDealerSpeedBoost","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CollabItemAssasinSpeedBoost","60","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CollabItemTankSpeedBoost","50","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EventMomentumSpeedBoost","10","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SplitterComponentSpeedBoost","2","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ItemSpeedBoost","200","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ItemDamageAndSpeedBoost","200","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MegaBossItemDamageAndSpeedBoost","600","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FleaPetDot","80","","","","","","","20","","TRUE","","","","200","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"FleaPetHot","80","","","","","","","20","","TRUE","","","","","","","","","","250","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","",""
"FleaExtraPetDot","40","","","","","","","20","","TRUE","","","","200","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"SamuraiShield","9999999","","TRUE","","","","","","","","TRUE","","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SamuraiHide","120","","","TRUE","","","","","","","TRUE","","","","","","","","","","100","","","","100","","","","","","","","","","","TRUE","TRUE","TRUE","TRUE","full","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SnakeOilDot","40","","","","","","","20","TRUE","TRUE","","","","380","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","","","","","","","",""
"SnakeOilHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","","380","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","",""
"SnakeOilGadgetDot","40","","","","","","","20","TRUE","TRUE","","","","304","","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","","","","","","","",""
"SnakeOilGadgetHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","","228","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","",""
"CrowPoison","60","","","","","","","20","","","TRUE","","","80","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"CrowCrippleSP","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"LuchadorFire","80","","","","","","","20","","","TRUE","","","225","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"ShadowMushroomHot","40","","","","","","","20","TRUE","TRUE","","","","","","","","","","235","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"ShadowMushroomDot","40","","","","","","","20","TRUE","TRUE","","","","240","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","",""
"AttacherUltiDot","40","","","","","","","20","","TRUE","","","","125","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"CookerGadgetDot","60","","","","","","","20","TRUE","","TRUE","","","130","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"CookerGadgetHot","60","","","","","","","20","TRUE","","TRUE","","","","","","","","","350","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","",""
"GhostIncorporeal","120","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","TRUE","","","","","","","","",""
"GhostIncorporealOvercharged","120","","","","","","","","","TRUE","TRUE","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","","","","","","","TRUE","","Brawler_GhostOvercharged","","","","","","",""
"GhostShield","120","","","","","","","","","","TRUE","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GhostDeadCenterReward","40","","","","","","","","","TRUE","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GhostPullToCenter","999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MeleeHitsPullToCenter;CancelOnAttackEnd","","","","","","","","","","",""
"GhostFear","20","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","Fear","","","","","","","","","","",""
"MosquitoPoison","80","","","","","","","20","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"DemonicRitualCooldown","10","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AngelicGraceCooldown","20","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicMomentum","9999999","","","","","TRUE","","20","","","TRUE","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DemonicMomentum002","DemonicMomentumCooldown",""
"SpeedOfAnAngel","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpeedOfAnAngel002","",""
"SpeedOfAnAngel002","9999999","","","","","","","20","","TRUE","TRUE","","","","","","","","","","","","","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpeedOfAnAngel003","",""
"LastBreathCooldown","500","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","",""
"LastBreath","30","","","","","","","10","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","LastBreathCooldown","",""
"AngelicWrathCooldown","50","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DemonicfireCooldown","10","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
