"Name","RogueliteCard1","RogueliteCard2","RogueliteCard3","RogueliteCard4","RogueliteCard5","RogueliteCard6","RogueliteCard7","RogueliteCard8","RogueliteCard9","RogueliteCard10","RogueliteCard11","RogueliteCard12","RogueliteCard13","RogueliteCard14","RogueliteCard15","RogueliteCard16","RogueliteCard17","RogueliteCard18","RogueliteCard19","RogueliteCard20","RogueliteCard21","RogueliteCard22","RogueliteCard23","RogueliteCard24","RogueliteCard25"
"nano_bull_deck","nano_bull_1","nano_bull_2","nano_bull_3",,,,,,,,,,,,,,,,,,,,,,
"nano_buster_deck","nano_buster_1","nano_buster_2","nano_buster_3",,,,,,,,,,,,,,,,,,,,,,
"nano_buzz_deck","nano_buzz_1","nano_buzz_2","nano_buzz_3",,,,,,,,,,,,,,,,,,,,,,
"nano_byron_deck","nano_byron_1","nano_byron_2","nano_byron_3",,,,,,,,,,,,,,,,,,,,,,
"nano_carl_deck","nano_carl_1","nano_carl_2","nano_carl_3",,,,,,,,,,,,,,,,,,,,,,
"nano_charlie_deck","nano_charlie_1","nano_charlie_2","nano_charlie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_chester_deck","nano_chester_1","nano_chester_2","nano_chester_3",,,,,,,,,,,,,,,,,,,,,,
"nano_chuck_deck","nano_chuck_1","nano_chuck_2","nano_chuck_3",,,,,,,,,,,,,,,,,,,,,,
"nano_clancy_deck","nano_clancy_1","nano_clancy_2","nano_clancy_3",,,,,,,,,,,,,,,,,,,,,,
"nano_colette_deck","nano_colette_1","nano_colette_2","nano_colette_3",,,,,,,,,,,,,,,,,,,,,,
"nano_colt_deck","nano_colt_1","nano_colt_2","nano_colt_3",,,,,,,,,,,,,,,,,,,,,,
"nano_cordelius_deck","nano_cordelius_1","nano_cordelius_2","nano_cordelius_3",,,,,,,,,,,,,,,,,,,,,,
"nano_crow_deck","nano_crow_1","nano_crow_2","nano_crow_3",,,,,,,,,,,,,,,,,,,,,,
"nano_darryl_deck","nano_darryl_1","nano_darryl_2","nano_darryl_3",,,,,,,,,,,,,,,,,,,,,,
"nano_doug_deck","nano_doug_1","nano_doug_2","nano_doug_3",,,,,,,,,,,,,,,,,,,,,,
"nano_draco_deck","nano_draco_1","nano_draco_2","nano_draco_3",,,,,,,,,,,,,,,,,,,,,,
"nano_dynamike_deck","nano_dynamike_1","nano_dynamike_2","nano_dynamike_3",,,,,,,,,,,,,,,,,,,,,,
"nano_edgar_deck","nano_edgar_1","nano_edgar_2","nano_edgar_3",,,,,,,,,,,,,,,,,,,,,,
"nano_el primo_deck","nano_elprimo_1","nano_elprimo_2","nano_elprimo_3",,,,,,,,,,,,,,,,,,,,,,
"nano_emz_deck","nano_emz_1","nano_emz_2","nano_emz_3",,,,,,,,,,,,,,,,,,,,,,
"nano_eve_deck","nano_eve_1","nano_eve_2","nano_eve_3",,,,,,,,,,,,,,,,,,,,,,
"nano_fang_deck","nano_fang_1","nano_fang_2","nano_fang_3",,,,,,,,,,,,,,,,,,,,,,
"nano_finx_deck","nano_finx_1","nano_finx_2","nano_finx_3",,,,,,,,,,,,,,,,,,,,,,
"nano_frank_deck","nano_frank_1","nano_frank_2","nano_frank_3",,,,,,,,,,,,,,,,,,,,,,
"nano_gale_deck","nano_gale_1","nano_gale_2","nano_gale_3",,,,,,,,,,,,,,,,,,,,,,
"nano_gene_deck","nano_gene_1","nano_gene_2","nano_gene_3",,,,,,,,,,,,,,,,,,,,,,
"nano_gray_deck","nano_gray_1","nano_gray_2","nano_gray_3",,,,,,,,,,,,,,,,,,,,,,
"nano_griff_deck","nano_griff_1","nano_griff_2","nano_griff_3",,,,,,,,,,,,,,,,,,,,,,
"nano_grom_deck","nano_grom_1","nano_grom_2","nano_grom_3",,,,,,,,,,,,,,,,,,,,,,
"nano_gus_deck","nano_gus_1","nano_gus_2","nano_gus_3",,,,,,,,,,,,,,,,,,,,,,
"nano_hank_deck","nano_hank_1","nano_hank_2","nano_hank_3",,,,,,,,,,,,,,,,,,,,,,
"nano_jacky_deck","nano_jacky_1","nano_jacky_2","nano_jacky_3",,,,,,,,,,,,,,,,,,,,,,
"nano_jae-yong_deck","nano_jae-yong_1","nano_jae-yong_2","nano_jae-yong_3",,,,,,,,,,,,,,,,,,,,,,
"nano_janet_deck","nano_janet_1","nano_janet_2","nano_janet_3",,,,,,,,,,,,,,,,,,,,,,
"nano_jessie_deck","nano_jessie_1","nano_jessie_2","nano_jessie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_juju_deck","nano_juju_1","nano_juju_2","nano_juju_3",,,,,,,,,,,,,,,,,,,,,,
"nano_kaze_deck","nano_kaze_1","nano_kaze_2","nano_kaze_3",,,,,,,,,,,,,,,,,,,,,,
"nano_kenji_deck","nano_kenji_1","nano_kenji_2","nano_kenji_3",,,,,,,,,,,,,,,,,,,,,,
"nano_kit_deck","nano_kit_1","nano_kit_2","nano_kit_3",,,,,,,,,,,,,,,,,,,,,,
"nano_larry & lawrie_deck","nano_larrylawrie_1","nano_larrylawrie_2","nano_larrylawrie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_leon_deck","nano_leon_1","nano_leon_2","nano_leon_3",,,,,,,,,,,,,,,,,,,,,,
"nano_lily_deck","nano_lily_1","nano_lily_2","nano_lily_3",,,,,,,,,,,,,,,,,,,,,,
"nano_lola_deck","nano_lola_1","nano_lola_2","nano_lola_3",,,,,,,,,,,,,,,,,,,,,,
"nano_lou_deck","nano_lou_1","nano_lou_2","nano_lou_3",,,,,,,,,,,,,,,,,,,,,,
"nano_lumi_deck","nano_lumi_1","nano_lumi_2","nano_lumi_3",,,,,,,,,,,,,,,,,,,,,,
"nano_maisie_deck","nano_maisie_1","nano_maisie_2","nano_maisie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_mandy_deck","nano_mandy_1","nano_mandy_2","nano_mandy_3",,,,,,,,,,,,,,,,,,,,,,
"nano_max_deck","nano_max_1","nano_max_2","nano_max_3",,,,,,,,,,,,,,,,,,,,,,
"nano_meeple_deck","nano_meeple_1","nano_meeple_2","nano_meeple_3",,,,,,,,,,,,,,,,,,,,,,
"nano_meg_deck","nano_meg_1","nano_meg_2","nano_meg_3",,,,,,,,,,,,,,,,,,,,,,
"nano_melodie_deck","nano_melodie_1","nano_melodie_2","nano_melodie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_mico_deck","nano_mico_1","nano_mico_2","nano_mico_3",,,,,,,,,,,,,,,,,,,,,,
"nano_mina_deck","nano_mina_1","nano_mina_2","nano_mina_3",,,,,,,,,,,,,,,,,,,,,,
"nano_moe_deck","nano_moe_1","nano_moe_2","nano_moe_3",,,,,,,,,,,,,,,,,,,,,,
"nano_mortis_deck","nano_mortis_1","nano_mortis_2","nano_mortis_3",,,,,,,,,,,,,,,,,,,,,,
"nano_mr. p_deck","nano_mrp_1","nano_mrp_2","nano_mrp_3",,,,,,,,,,,,,,,,,,,,,,
"nano_nani_deck","nano_nani_1","nano_nani_2","nano_nani_3",,,,,,,,,,,,,,,,,,,,,,
"nano_nita_deck","nano_nita_1","nano_nita_2","nano_nita_3",,,,,,,,,,,,,,,,,,,,,,
"nano_ollie_deck","nano_ollie_1","nano_ollie_2","nano_ollie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_otis_deck","nano_otis_1","nano_otis_2","nano_otis_3",,,,,,,,,,,,,,,,,,,,,,
"nano_pam_deck","nano_pam_1","nano_pam_2","nano_pam_3",,,,,,,,,,,,,,,,,,,,,,
"nano_pearl_deck","nano_pearl_1","nano_pearl_2","nano_pearl_3",,,,,,,,,,,,,,,,,,,,,,
"nano_penny_deck","nano_penny_1","nano_penny_2","nano_penny_3",,,,,,,,,,,,,,,,,,,,,,
"nano_piper_deck","nano_piper_1","nano_piper_2","nano_piper_3",,,,,,,,,,,,,,,,,,,,,,
"nano_poco_deck","nano_poco_1","nano_poco_2","nano_poco_3",,,,,,,,,,,,,,,,,,,,,,
"nano_r-t_deck","nano_r-t_1","nano_r-t_2","nano_r-t_3",,,,,,,,,,,,,,,,,,,,,,
"nano_rico_deck","nano_rico_1","nano_rico_2","nano_rico_3",,,,,,,,,,,,,,,,,,,,,,
"nano_rosa_deck","nano_rosa_1","nano_rosa_2","nano_rosa_3",,,,,,,,,,,,,,,,,,,,,,
"nano_ruffs_deck","nano_ruffs_1","nano_ruffs_2","nano_ruffs_3",,,,,,,,,,,,,,,,,,,,,,
"nano_sam_deck","nano_sam_1","nano_sam_2","nano_sam_3",,,,,,,,,,,,,,,,,,,,,,
"nano_sandy_deck","nano_sandy_1","nano_sandy_2","nano_sandy_3",,,,,,,,,,,,,,,,,,,,,,
"nano_shade_deck","nano_shade_1","nano_shade_2","nano_shade_3",,,,,,,,,,,,,,,,,,,,,,
"nano_shelly_deck","nano_shelly_1","nano_shelly_2","nano_shelly_3",,,,,,,,,,,,,,,,,,,,,,
"nano_spike_deck","nano_spike_1","nano_spike_2","nano_spike_3",,,,,,,,,,,,,,,,,,,,,,
"nano_sprout_deck","nano_sprout_1","nano_sprout_2","nano_sprout_3",,,,,,,,,,,,,,,,,,,,,,
"nano_squeak_deck","nano_squeak_1","nano_squeak_2","nano_squeak_3",,,,,,,,,,,,,,,,,,,,,,
"nano_stu_deck","nano_stu_1","nano_stu_2","nano_stu_3",,,,,,,,,,,,,,,,,,,,,,
"nano_surge_deck","nano_surge_1","nano_surge_2","nano_surge_3",,,,,,,,,,,,,,,,,,,,,,
"nano_tara_deck","nano_tara_1","nano_tara_2","nano_tara_3",,,,,,,,,,,,,,,,,,,,,,
"nano_tick_deck","nano_tick_1","nano_tick_2","nano_tick_3",,,,,,,,,,,,,,,,,,,,,,
"nano_trunk_deck","nano_trunk_1","nano_trunk_2","nano_trunk_3",,,,,,,,,,,,,,,,,,,,,,
"nano_willow_deck","nano_willow_1","nano_willow_2","nano_willow_3",,,,,,,,,,,,,,,,,,,,,,
"nano_ziggy_deck","nano_ziggy_1","nano_ziggy_2","nano_ziggy_3",,,,,,,,,,,,,,,,,,,,,,
"nano_pierce_deck","nano_pierce_1","nano_pierce_2","nano_pierce_3",,,,,,,,,,,,,,,,,,,,,,
"nano_gigi_deck","nano_gigi_1","nano_gigi_2","nano_gigi_3",,,,,,,,,,,,,,,,,,,,,,
"nano_glowy_deck","nano_glowy_1","nano_glowy_2","nano_glowy_3",,,,,,,,,,,,,,,,,,,,,,
"nano_sirius_deck","nano_sirius_1","nano_sirius_2","nano_sirius_3",,,,,,,,,,,,,,,,,,,,,,
"nano_najia_deck","nano_najia_1","nano_najia_2","nano_najia_3",,,,,,,,,,,,,,,,,,,,,,
"nano_damien_deck","nano_damien_1","nano_damien_2","nano_damien_3",,,,,,,,,,,,,,,,,,,,,,
"nano_starrnova_deck","nano_starrnova_1","nano_starrnova_2","nano_starrnova_3",,,,,,,,,,,,,,,,,,,,,,
"nano_bolt_deck","nano_bolt_1","nano_bolt_2","nano_bolt_3",,,,,,,,,,,,,,,,,,,,,,
"nano_katanakid_deck","nano_katanakid_1","nano_katanakid_2","nano_katanakid_3",,,,,,,,,,,,,,,,,,,,,,
"nano_wendy_deck","nano_wendy_1","nano_wendy_2","nano_wendy_3",,,,,,,,,,,,,,,,,,,,,,
"8bit_roguelite_deck","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_PowerCubeOnStart_S","R_Reload_S","R_Reload_E","R_AttackRange_Mini_L","R_ProjectileSpeed_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_MaxHp_Absolute_E","R_AreaEffectSize_Super_S","R_AreaEffectSize_Super_E","R_AreaEffectSize_Super_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_8Bit_Speed_L","R_GadgetCooldown_E","R_BulletSize_Max_S","R_BulletSize_Max_E","R_BulletSize_Max_L","R_GadgetCooldown_S"
"Alli_roguelite_deck","R_VisionInBush_S","R_VisionInBush_E","R_SeeThroghtBushOnSuper_E","R_VisionInBush_L","R_MaxHp_Absolute_Mini_E","R_Damage_Mini_S","R_Damage_Mini_E","R_LowHealthDamage_Mini_L","R_ChargeSuperOnStart_S","R_GadgetCooldown_Mini_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_Mini_L","R_MaxHp_Absolute_Mini_S","R_MoveSpeed_Mini_S","R_MoveSpeed_Mini_E","R_MoveSpeed_Mini_L","R_SuperRate_Mini_S","R_SuperRate_Mini_E","R_ChargeHCOnStart_E","R_SuperRate_Mini_L","R_HealBuff_Mini_E","R_Reload_Mini_S","R_Reload_Mini_E","R_Reload_Mini_L","R_HealBuff_Mini_S"
"Amber_roguelite_deck","R_GadgetCooldown_Mini_S","R_GadgetCooldown_Mini_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_Mini_L","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_BurnOnHit_Hold_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_MoveSpeedInBush_E","R_MoveSpeed_S","R_MoveSpeed_E","R_MoveSpeed_L","R_MaxHp_Absolute_E","R_AreaEffectSize_S","R_AreaEffectSize_E","R_AreaEffectSize_L","R_ChargeHCOnStart_E","R_HealOnMove_E","R_FireBallAround_E","R_FireBallAround_L","R_MaxHp_Absolute_S"
"Angelo_roguelite_deck","R_RegenFaster_E","R_BulletSize_Max_S","R_BulletSize_Max_E","R_BulletSize_Max_L","R_LifeSteal_S","R_LifeSteal_E","R_HealBuff_Mini_S","R_LifeSteal_L","R_PowerCubeOnStart_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_Angelo_HoldTime_L","R_GadgetCooldown_Mini_S","R_GadgetCooldown_Mini_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_Mini_L","R_HealBuff_Mini_E"
"Ash_roguelite_deck","R_MaxHp_Absolute_Mini_S","R_MaxHp_Absolute_Mini_E","R_HealOnMove_E","R_MaxHp_Absolute_Mini_L","R_PetMaxHP_E","R_ProjectileSpeed_S","R_GadgetCooldown_E","R_AttackRange_Mini_L","R_Damage_Mini_S","R_SpeedUpOnAtk_E","R_Damage_Mini_E","R_Damage_Mini_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_PetMaxHP_S","R_PetMoveSpeed_S","R_PetMoveSpeed_E","R_Ash_PetNumber_L","R_Reload_S","R_Reload_E","R_PowerCubeOnKill_E","R_HomeInOnAttack_Melee_L","R_GadgetCooldown_S"
"Barley_roguelite_deck","R_AreaEffectSizeThrower_S","R_AreaEffectSizeThrower_E","R_FireBallAround_E","R_AreaEffectSizeThrower_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_Reload_S","R_Damage_S","R_Damage_E","R_Damage_L","R_PoisonOnHit_S","R_PoisonOnHit_E","R_Reload_E","R_Barley_Slow_L","R_PowerCubeOnStart_S"
"Bea_roguelite_deck","R_BulletSize_S","R_ProjectileSpeed_E","R_BulletSize_E","R_BulletSize_L","R_MoveSpeed_S","R_ProjectileSpeed_S","R_AttackRange_E","R_DestroyEnvironment_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_DamageReduction_S","R_DamageReduction_E","R_RegenFaster_E","R_Bea_Shield_L","R_PowerCubeOnStart_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_Reload_S"
"Belle_roguelite_deck","R_Reload_S","R_Reload_E","R_AttackRange_E","R_SlowDownOnHit_L","R_MaxHp_Absolute_S","R_MaxHp_Absolute_E","R_RegenFaster_E","R_MaxHp_Absolute_L","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_Damage_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_PowerCubeOnStart_E"
"Berry_roguelite_deck","R_AreaEffectSizeThrower_S","R_AreaEffectSizeThrower_E","R_GadgetCooldown_S","R_AreaEffectSizeThrower_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_MaxHp_Absolute_Mini_S","R_MaxHp_Absolute_Mini_E","R_GadgetCooldown_E","R_MaxHp_Absolute_Mini_L","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_Damage_L","R_HealBuff_S","R_HealBuff_E","R_AttackRange_E","R_Berry_L","R_Reload_S","R_Reload_E","R_FireBallAround_E","R_FireBallAround_L","R_VisionInBush_S"
"Bibi_roguelite_deck","R_SpeedUpOnAtk_E","R_MoveSpeed_Mini_Mini_S","R_MoveSpeed_Mini_Mini_E","R_MoveSpeed_Mini_Mini_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_Reload_Mini_E","R_DamageReduction_Mini_S","R_DamageReduction_Mini_E","R_ConsShield_Mini_L","R_Reload_Mini_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_VisionInBush_S","R_VisionInBush_E","R_MoveSpeedInBush_Mini_E","R_Bibi_Range_L","R_BulletSize_Bubble_S","R_GadgetCooldown_E","R_BulletSize_Bubble_E","R_BulletSize_Bubble_L","R_GadgetCooldown_S"
"Bo_roguelite_deck","R_Reload_S","R_Reload_E","R_AttackRange_E","R_AttackRange_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_Bo_MainAtkMore_L","R_MaxHp_Absolute_S","R_MaxHp_Absolute_E","R_RegenFaster_E","R_MaxHp_Absolute_L","R_MoveSpeedInBush_S","R_AreaEffectSize_Super_S","R_AreaEffectSize_Super_E","R_AreaEffectSize_Super_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_VisionInBush_E"
"Bonnie_roguelite_deck","R_SpeedUpOnGadget_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_VisionInBush_S","R_DamageReduction_Mini_S","R_DamageReduction_Mini_E","R_ConsShield_Mini_L","R_GadgetCooldown_S","R_GadgetCooldown_E","R_FireBallAround_E","R_FireBallAround_L","R_ProjectileSpeed_S","R_Reload_S","R_Reload_E","R_AttackRange_Mini_L","R_MoveSpeedInBush_S"
"Brock_roguelite_deck","R_ProjectileSpeed_S","R_AreaEffectSizeThrower_S","R_AreaEffectSizeThrower_E","R_AreaEffectSizeThrower_L","R_GadgetCooldown_Mini_S","R_GadgetCooldown_Mini_E","R_SpeedUpOnAtk_E","R_GadgetCooldown_Mini_L","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_Damage_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_SuperRate_L","R_Reload_S","R_Reload_E","R_AttackRange_E","R_AttackRange_L","R_MoveSpeed_S","R_MoveSpeed_E","R_RegenFaster_E","R_MoveSpeed_L","R_ProjectileSpeed_E"
"Bull_roguelite_deck","R_Damage_Mini_S","R_SpeedUpOnAtk_E","R_Damage_Mini_E","R_Damage_Mini_L","R_MoveSpeed_Mini_E","R_MaxHp_Absolute_Mini_Mini_S","R_MaxHp_Absolute_Mini_Mini_E","R_MaxHp_Absolute_Mini_Mini_L","R_MoveSpeed_Mini_S","R_DamageReduction_Mini_S","R_DamageReduction_Mini_E","R_ConsShield_Mini_L","R_SuperRate_Mini_S","R_SuperRate_Mini_E","R_ChargeHCOnStart_E","R_SuperRate_Mini_L","R_VisionInBush_S","R_MoveSpeedInBush_Mini_E","R_GadgetCooldown_E","R_DashSpeed_Mini_L","R_ProjectileSpeed_S","R_ProjectileSpeed_E","R_AttackRange_Cone_E","R_AttackRange_Cone_L","R_GadgetCooldown_S"
"Buster_roguelite_deck","R_Reload_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_SpeedUpOnAtk_E","R_MoveSpeed_Mini_S","R_MoveSpeed_Mini_E","R_MoveSpeed_Mini_L","R_RegenFaster_E","R_DamageReduction_Mini_S","R_DamageReduction_Mini_E","R_Buster_ActiveTime_L","R_MaxHp_Absolute_Mini_Mini_S","R_MaxHp_Absolute_Mini_Mini_E","R_AttackRange_Cone_E","R_AttackRange_Mini_L","R_Reload_E"
"Buzz_roguelite_deck","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_MaxHp_Absolute_Mini_S","R_MaxHp_Absolute_Mini_E","R_RegenFaster_E","R_MaxHp_Absolute_Mini_L","R_PowerCubeOnStart_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_SpeedUpOnAtk_E","R_DamageReduction_Mini_S","R_DamageReduction_Mini_E","R_DamageReduction_Mini_L","R_SuperRate_S","R_SuperRate_E","R_ChargeHCOnStart_E","R_HCTime_L","R_Reload_E","R_MoveSpeedInBush_S","R_SeeThroghtBushOnSuper_E","R_VisionInBush_L","R_Reload_S"
"Byron_roguelite_deck","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_PowerCubeOnStart_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_HealBuff_S","R_LifeSteal_S","R_LifeSteal_E","R_LifeSteal_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_ProjectileSpeed_S","R_Reload_S","R_Reload_E","R_HomeInOnAttack_L","R_HealBuff_E"
"Carl_roguelite_deck","R_GadgetCooldown_S","R_GadgetCooldown_E","R_SpeedUpOnGadget_S","R_GadgetCooldown_L","R_MoveSpeed_E","R_DamageReduction_S","R_DamageReduction_E","R_ConsShield_L","R_SpeedUpOnAtk_E","R_BulletSize_Boom_S","R_BulletSize_Boom_E","R_BulletSize_Boom_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_MoveSpeed_S","R_ProjectileSpeed_Max_S","R_AttackRange_E","R_AttackRange_L","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_Damage_L","R_ProjectileSpeed_Max_E"
"Charlie_roguelite_deck","R_BulletSize_S","R_AttackRange_E","R_BulletSize_E","R_BulletSize_L","R_PowerCubeOnStart_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_HealBuff_S","R_LifeSteal_Pet_S","R_LifeSteal_Pet_E","R_LifeSteal_Pet_L","R_SpeedUpOnAtk_E","R_ProjectileSpeed_Max_S","R_ProjectileSpeed_Max_E","R_ProjectileSpeed_Max_L","R_MoveSpeed_S","R_PetMoveSpeed_S","R_PetMoveSpeed_E","R_Charlie_Spider_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_MoveSpeed_E"
"Chester_roguelite_deck","R_PowerCubeOnStart_S","R_Damage_Mini_S","R_Damage_Mini_E","R_Damage_Mini_L","R_SuperRate_S","R_SuperRate_E","R_ChargeSuperOnStart_E","R_AutoChargeUlti_L","R_MaxHp_Absolute_S","R_MaxHp_Absolute_E","R_RegenFaster_E","R_MaxHp_Absolute_L","R_ProjectileSpeed_S","R_Reload_Mini_S","R_Reload_Mini_E","R_PierceCharacter_L","R_ProjectileSpeed_E","R_BulletSize_S","R_BulletSize_E","R_BulletSize_L","R_MoveSpeed_S","R_MoveSpeed_E","R_SpeedUpOnAtk_E","R_MoveSpeed_L","R_ChargeHCOnStart_E"
"Chuck_roguelite_deck","R_PowerCubeOnStart_S","R_Damage_S","R_Damage_E","R_Damage_L","R_MaxHp_Absolute_S","R_MaxHp_Absolute_E","R_RegenFaster_E","R_MaxHp_Absolute_L","R_PowerCubeOnStart_E","R_LifeSteal_S","R_LifeSteal_E","R_LifeSteal_L","R_AttackRange_E","R_DamageReduction_S","R_DamageReduction_E","R_DamageReduction_L","R_SuperRate_S","R_SuperRate_E","R_FireBallAround_E","R_FireBallAround_L","R_MoveSpeed_S","R_MoveSpeed_E","R_Chuck_Pole_E","R_Chuck_Pole_L","R_SpeedUpOnAtk_E"
