"Name","TitleTID","Gradient","Prestige"
"TitleMasteryVoodoo","TID_TILE_MASTERY_VOODOO","PlayerTitleGold",""
"TitleMasteryGhost","TID_TILE_MASTERY_GHOST","PlayerTitleGold",""
"TitleBP32","TID_TILE_BATTLEPASSPLUS_SEASON32","Plus",""
"TitleBP33","TID_TILE_BATTLEPASSPLUS_SEASON33","Plus",""
"TitleMasteryLightyear","TID_TITLE_MASTERY_LIGHTYEAR","PlayerTitleGold",""
"TitleBP34","TID_TILE_BATTLEPASSPLUS_SEASON34","Plus",""
"TitleBP35","TID_TILE_BATTLEPASSPLUS_SEASON35","Plus",""
"TitleMasteryMeeple","TID_TILE_MASTERY_MEEPLE","PlayerTitleGold",""
"TitleMasteryOllie","TID_TILE_MASTERY_OLLIE","PlayerTitleGold",""
"TitleMasteryLumi","TID_TITLE_MASTERY_LUMI","PlayerTitleGold",""
"TitleMasteryFinx","TID_TITLE_MASTERY_FINX","PlayerTitleGold",""
"TitleBP36","TID_TILE_BATTLEPASSPLUS_SEASON36","Plus",""
"TitleBP37","TID_TILE_BATTLEPASSPLUS_SEASON37","Plus",""
"TitleMasteryJae","TID_TITLE_MASTERY_JAE","PlayerTitleGold",""
"TitleBP38","TID_TILE_BATTLEPASSPLUS_SEASON38","Plus",""
"TitleBP39","TID_TILE_BATTLEPASSPLUS_SEASON39","Plus",""
"TitleMasteryKaze","TID_TITLE_MASTERY_GEISHA","PlayerTitleGold",""
"TitleMasteryAlli","TID_TITLE_MASTERY_STALKER","PlayerTitleGold",""
"TitleMasteryTrunk","TID_TITLE_MASTERY_TRUNK","PlayerTitleGold",""
"TitleBP40","TID_TITLE_BATTLEPASSPLUS_SEASON40","Plus",""
"TitleBP41","TID_TITLE_BATTLEPASSPLUS_SEASON41","Plus",""
"TitleKnockoutClutch1v3","TID_TITLE_MASTERY_PEARL","PlayerTitleGold",""
"TitleKnockout5v5Clutch1v5","TID_TITLE_MASTERY_CHUCK","PlayerTitleGold",""
"TitleTakedownAllInSoloShowdown","TID_TITLE_MASTERY_CHARLIE","PlayerTitleGold",""
"TitleFullYearDailyStreak","TID_TILE_MASTERY_MIKO","PlayerTitleGold",""
"TitleMasteryRIP","TID_TITLE_MASTERY_EVENT_RIP","PlayerTitleGold",""
"TitleMasteryDancer","TID_TITLE_MASTERY_DANCER","PlayerTitleGold",""
"TitleMasteryFury","TID_TITLE_MASTERY_FURY","PlayerTitleGold",""
"TitleBP42","TID_TITLE_BATTLEPASSPLUS_SEASON42","Plus",""
"TitleBP43","TID_TITLE_BATTLEPASSPLUS_SEASON43","Plus",""
"TitleMasteryBulletstorm","TID_TITLE_MASTERY_BULLETSTORM","PlayerTitleGold",""
"TitleMasteryGigi","TID_TITLE_MASTERY_DAREDEVIL","PlayerTitleGold",""
"TitleBP44","TID_TITLE_BATTLEPASSPLUS_SEASON44","Plus",""
"TitleBP45","TID_TITLE_BATTLEPASSPLUS_SEASON45","Plus",""
"TitleMasteryMender","TID_TITLE_MASTERY_MENDER","PlayerTitleGold",""
"TitleMasteryShadowdemon","TID_TITLE_MASTERY_SHADOWDEMON","PlayerTitleGold",""
"TitleBP46","TID_TITLE_BATTLEPASSPLUS_SEASON46","Plus",""
"TitleBP47","TID_TITLE_BATTLEPASSPLUS_SEASON47","Plus",""
"TitleMasteryPierce","TID_TITLE_MASTERY_PIERCE","PlayerTitleGold",""
"TitleMasteryGlowbert","TID_TITLE_MASTERY_GLOWBERT","PlayerTitleGold",""
"TitleMasteryRedirecter","TID_TITLE_MASTERY_REDIRECTER","PlayerTitleGold",""
"TitlePrestigeShelly","TID_TITLE_PRESTIGE_SHELLY","TitlePrestige","true"
"TitlePrestigeColt","TID_TITLE_PRESTIGE_COLT","TitlePrestige","true"
"TitlePrestigeBull","TID_TITLE_PRESTIGE_BULL","TitlePrestige","true"
"TitlePrestigeBrock","TID_TITLE_PRESTIGE_BROCK","TitlePrestige","true"
"TitlePrestigeRico","TID_TITLE_PRESTIGE_RICO","TitlePrestige","true"
"TitlePrestigeSpike","TID_TITLE_PRESTIGE_SPIKE","TitlePrestige","true"
"TitlePrestigeBarley","TID_TITLE_PRESTIGE_BARLEY","TitlePrestige","true"
"TitlePrestigeJessie","TID_TITLE_PRESTIGE_JESSIE","TitlePrestige","true"
"TitlePrestigeNita","TID_TITLE_PRESTIGE_NITA","TitlePrestige","true"
"TitlePrestigeDynamike","TID_TITLE_PRESTIGE_DYNAMIKE","TitlePrestige","true"
"TitlePrestigePrimo","TID_TITLE_PRESTIGE_ELPRIMO","TitlePrestige","true"
"TitlePrestigeMortis","TID_TITLE_PRESTIGE_MORTIS","TitlePrestige","true"
"TitlePrestigeCrow","TID_TITLE_PRESTIGE_CROW","TitlePrestige","true"
"TitlePrestigePoco","TID_TITLE_PRESTIGE_POCO","TitlePrestige","true"
"TitlePrestigeBo","TID_TITLE_PRESTIGE_BO","TitlePrestige","true"
"TitlePrestigePiper","TID_TITLE_PRESTIGE_PIPER","TitlePrestige","true"
"TitlePrestigePam","TID_TITLE_PRESTIGE_PAM","TitlePrestige","true"
"TitlePrestigeTara","TID_TITLE_PRESTIGE_TARA","TitlePrestige","true"
"TitlePrestigeDarryl","TID_TITLE_PRESTIGE_DARRYL","TitlePrestige","true"
"TitlePrestigePenny","TID_TITLE_PRESTIGE_PENNY","TitlePrestige","true"
"TitlePrestigeFrank","TID_TITLE_PRESTIGE_FRANK","TitlePrestige","true"
"TitlePrestigeGene","TID_TITLE_PRESTIGE_GENE","TitlePrestige","true"
"TitlePrestigeTick","TID_TITLE_PRESTIGE_TICK","TitlePrestige","true"
"TitlePrestigeLeon","TID_TITLE_PRESTIGE_LEON","TitlePrestige","true"
"TitlePrestigeRosa","TID_TITLE_PRESTIGE_ROSA","TitlePrestige","true"
"TitlePrestigeCarl","TID_TITLE_PRESTIGE_CARL","TitlePrestige","true"
"TitlePrestigeBibi","TID_TITLE_PRESTIGE_BIBI","TitlePrestige","true"
"TitlePrestige8bit","TID_TITLE_PRESTIGE_8BIT","TitlePrestige","true"
"TitlePrestigeSandy","TID_TITLE_PRESTIGE_SANDY","TitlePrestige","true"
"TitlePrestigeBea","TID_TITLE_PRESTIGE_BEA","TitlePrestige","true"
"TitlePrestigeEmz","TID_TITLE_PRESTIGE_EMZ","TitlePrestige","true"
"TitlePrestigeMrp","TID_TITLE_PRESTIGE_MRP","TitlePrestige","true"
"TitlePrestigeMax","TID_TITLE_PRESTIGE_MAX","TitlePrestige","true"
"TitlePrestigeJacky","TID_TITLE_PRESTIGE_JACKY","TitlePrestige","true"
"TitlePrestigeGale","TID_TITLE_PRESTIGE_GALE","TitlePrestige","true"
"TitlePrestigeNani","TID_TITLE_PRESTIGE_NANI","TitlePrestige","true"
"TitlePrestigeSprout","TID_TITLE_PRESTIGE_SPROUT","TitlePrestige","true"
"TitlePrestigeSurge","TID_TITLE_PRESTIGE_SURGE","TitlePrestige","true"
"TitlePrestigeColette","TID_TITLE_PRESTIGE_COLETTE","TitlePrestige","true"
"TitlePrestigeAmber","TID_TITLE_PRESTIGE_AMBER","TitlePrestige","true"
"TitlePrestigeLou","TID_TITLE_PRESTIGE_LOU","TitlePrestige","true"
"TitlePrestigeByron","TID_TITLE_PRESTIGE_BYRON","TitlePrestige","true"
"TitlePrestigeEdgar","TID_TITLE_PRESTIGE_EDGAR","TitlePrestige","true"
"TitlePrestigeRuffs","TID_TITLE_PRESTIGE_RUFFS","TitlePrestige","true"
"TitlePrestigeStu","TID_TITLE_PRESTIGE_STU","TitlePrestige","true"
"TitlePrestigeBelle","TID_TITLE_PRESTIGE_BELLE","TitlePrestige","true"
"TitlePrestigeSqueak","TID_TITLE_PRESTIGE_SQUEAK","TitlePrestige","true"
"TitlePrestigeGrom","TID_TITLE_PRESTIGE_GROM","TitlePrestige","true"
"TitlePrestigeBuzz","TID_TITLE_PRESTIGE_BUZZ","TitlePrestige","true"
"TitlePrestigeGriff","TID_TITLE_PRESTIGE_GRIFF","TitlePrestige","true"
"TitlePrestigeAsh","TID_TITLE_PRESTIGE_ASH","TitlePrestige","true"
"TitlePrestigeMeg","TID_TITLE_PRESTIGE_MEG","TitlePrestige","true"
"TitlePrestigeLola","TID_TITLE_PRESTIGE_LOLA","TitlePrestige","true"
"TitlePrestigeFang","TID_TITLE_PRESTIGE_FANG","TitlePrestige","true"
"TitlePrestigeEve","TID_TITLE_PRESTIGE_EVE","TitlePrestige","true"
"TitlePrestigeJanet","TID_TITLE_PRESTIGE_JANET","TitlePrestige","true"
"TitlePrestigeBonnie","TID_TITLE_PRESTIGE_BONNIE","TitlePrestige","true"
"TitlePrestigeOtis","TID_TITLE_PRESTIGE_OTIS","TitlePrestige","true"
"TitlePrestigeSam","TID_TITLE_PRESTIGE_SAM","TitlePrestige","true"
"TitlePrestigeGus","TID_TITLE_PRESTIGE_GUS","TitlePrestige","true"
"TitlePrestigeBuster","TID_TITLE_PRESTIGE_BUSTER","TitlePrestige","true"
"TitlePrestigeChester","TID_TITLE_PRESTIGE_CHESTER","TitlePrestige","true"
"TitlePrestigeGray","TID_TITLE_PRESTIGE_GRAY","TitlePrestige","true"
"TitlePrestigeMandy","TID_TITLE_PRESTIGE_MANDY","TitlePrestige","true"
"TitlePrestigeRT","TID_TITLE_PRESTIGE_RT","TitlePrestige","true"
"TitlePrestigeWillow","TID_TITLE_PRESTIGE_WILLOW","TitlePrestige","true"
"TitlePrestigeMaisie","TID_TITLE_PRESTIGE_MAISIE","TitlePrestige","true"
"TitlePrestigeFishTank","TID_TITLE_PRESTIGE_HANK","TitlePrestige","true"
"TitlePrestigeDoug","TID_TITLE_PRESTIGE_DOUG","TitlePrestige","true"
"TitlePrestigeCordelius","TID_TITLE_PRESTIGE_CORDELIUS","TitlePrestige","true"
"TitlePrestigePearl","TID_TITLE_PRESTIGE_PEARL","TitlePrestige","true"
"TitlePrestigeChuck","TID_TITLE_PRESTIGE_CHUCK","TitlePrestige","true"
"TitlePrestigeCharlie","TID_TITLE_PRESTIGE_CHARLIE","TitlePrestige","true"
"TitlePrestigeMiko","TID_TITLE_PRESTIGE_MIKO","TitlePrestige","true"
"TitlePrestigeKit","TID_TITLE_PRESTIGE_KIT","TitlePrestige","true"
"TitlePrestigeTwins","TID_TITLE_PRESTIGE_TWINS","TitlePrestige","true"
"TitlePrestigeAngelo","TID_TITLE_PRESTIGE_ANGELO","TitlePrestige","true"
"TitlePrestigeMelody","TID_TITLE_PRESTIGE_MELODY","TitlePrestige","true"
"TitlePrestigeLily","TID_TITLE_PRESTIGE_LILY","TitlePrestige","true"
"TitlePrestigeDraco","TID_TITLE_PRESTIGE_DRACO","TitlePrestige","true"
"TitlePrestigeBerry","TID_TITLE_PRESTIGE_BERRY","TitlePrestige","true"
"TitlePrestigeClancy","TID_TITLE_PRESTIGE_CLANCY","TitlePrestige","true"
"TitlePrestigeKenji","TID_TITLE_PRESTIGE_SAMURAI","TitlePrestige","true"
"TitlePrestigeDigger","TID_TITLE_PRESTIGE_DIGGER","TitlePrestige","true"
"TitlePrestigeVoodoo","TID_TITLE_PRESTIGE_VOODOO","TitlePrestige","true"
"TitlePrestigeGhost","TID_TITLE_PRESTIGE_GHOST","TitlePrestige","true"
"TitlePrestigeLightyear","TID_TITLE_PRESTIGE_LIGHTYEAR","TitlePrestige","true"
"TitlePrestigeMeeple","TID_TITLE_PRESTIGE_MEEPLE","TitlePrestige","true"
"TitlePrestigeOllie","TID_TITLE_PRESTIGE_OLLIE","TitlePrestige","true"
"TitlePrestigeLumi","TID_TITLE_PRESTIGE_LUMI","TitlePrestige","true"
"TitlePrestigeFinx","TID_TITLE_PRESTIGE_FINX","TitlePrestige","true"
"TitlePrestigeJae","TID_TITLE_PRESTIGE_JAE","TitlePrestige","true"
"TitlePrestigeKaze","TID_TITLE_PRESTIGE_GEISHA","TitlePrestige","true"
"TitlePrestigeAlli","TID_TITLE_PRESTIGE_STALKER","TitlePrestige","true"
"TitlePrestigeTrunk","TID_TITLE_PRESTIGE_TRUNK","TitlePrestige","true"
"TitlePrestigeDancer","TID_TITLE_PRESTIGE_DANCER","TitlePrestige","true"
"TitlePrestigeFury","TID_TITLE_PRESTIGE_FURY","TitlePrestige","true"
"TitlePrestigeBulletstorm","TID_TITLE_PRESTIGE_BULLETSTORM","TitlePrestige","true"
"TitlePrestigeGigi","TID_TITLE_PRESTIGE_DAREDEVIL","TitlePrestige","true"
"TitlePrestigeMender","TID_TITLE_PRESTIGE_MENDER","TitlePrestige","true"
"TitlePrestigeShadowdemon","TID_TITLE_PRESTIGE_SHADOWDEMON","TitlePrestige","true"
"TitlePrestigePierce","TID_TITLE_PRESTIGE_PIERCE","TitlePrestige","true"
"TitlePrestigeGlowbert","TID_TITLE_PRESTIGE_GLOWBERT","TitlePrestige","true"
"TitlePrestigeRedirecter","TID_TITLE_PRESTIGE_REDIRECTER","TitlePrestige","true"
"TitleBP48","TID_TITLE_BATTLEPASSPLUS_SEASON48","Plus",""
"TitleBP49","TID_TITLE_BATTLEPASSPLUS_SEASON49","Plus",""
"TitleBP50","TID_TITLE_BATTLEPASSPLUS_SEASON50","Plus",""
"TitleBP51","TID_TITLE_BATTLEPASSPLUS_SEASON51","Plus",""
"TitleMasteryGladiator","TID_TITLE_MASTERY_GLADIATOR","PlayerTitleGold",""
"TitleMasteryMagicalGirl","TID_TITLE_MASTERY_MAGICAL_GIRL","PlayerTitleGold",""
"TitleMasteryRock","TID_TITLE_MASTERY_ROCK","PlayerTitleGold",""
"TitlePrestigeGladiator","TID_TITLE_PRESTIGE_GLADIATOR","TitlePrestige","true"
"TitlePrestigeMagicalGirl","TID_TITLE_PRESTIGE_MAGICALGIRL","TitlePrestige","true"
"TitlePrestigeRock","TID_TITLE_PRESTIGE_ROCK","TitlePrestige","true"
"TitleBP52","TID_TITLE_BATTLEPASSPLUS_SEASON52","Plus",""
"TitleBP53","TID_TITLE_BATTLEPASSPLUS_SEASON53","Plus",""
"TitleMasteryKatanaKid","TID_TITLE_MASTERY_KATANAKID","PlayerTitleGold",""
"TitleMasteryFutureGirl","TID_TITLE_MASTERY_FUTUREGIRL","PlayerTitleGold",""
"TitlePrestigeKatanaKid","TID_TITLE_PRESTIGE_KATANAKID","TitlePrestige","true"
"TitlePrestigeFutureGirl","TID_TITLE_PRESTIGE_FUTUREGIRL","TitlePrestige","true"
"TitleAdidas","TID_TITLE_ADIDAS","PlayerTitleGold",""
"TitleAllYouCanBeat","TID_TITLE_ALLYOUCANBEAT","PlayerTitleGold",""
"TitleTrustedCreator","TID_TITLE_TRUSTEDCREATOR","PlayerTitleTrustedCreator",""
"TitleSuperCreator","TID_TITLE_SUPERCREATOR","PlayerTitleSuperCreator",""
"TitleMasteryAttractor","TID_TITLE_MASTERY_ATTRACTOR","PlayerTitleGold",""
"TitlePrestigeAttractor","TID_TITLE_PRESTIGE_ATTRACTOR","TitlePrestige","true"
"TitleBP54","TID_TITLE_BATTLEPASSPLUS_SEASON54","Plus",""
"TitleBP55","TID_TITLE_BATTLEPASSPLUS_SEASON55","Plus",""
"TitleMasteryStacker","TID_TITLE_MASTERY_STACKER","PlayerTitleGold",""
"TitlePrestigeStacker","TID_TITLE_PRESTIGE_STACKER","TitlePrestige","true"
