"Name","PoolTickets","Disabled","Skins","DiscountPercentage","DropRate","TID"
,,,"LeaperKaiju",0,30,
,,,"LeaperKaiju",10,30,
,,,"LeaperKaiju",20,30,
,,,"LeaperKaiju",30,10,
,,,"Cactuscartoon",0,30,
,,,"Cactuscartoon",10,30,
,,,"Cactuscartoon",20,30,
,,,"Cactuscartoon",30,10,
,,,"MummyGreekBlue",0,30,
,,,"MummyGreekBlue",10,30,
,,,"MummyGreekBlue",20,30,
,,,"MummyGreekBlue",30,10,
,,,"MummyGreek",0,30,
,,,"MummyGreek",10,30,
,,,"MummyGreek",20,30,
,,,"MummyGreek",30,10,
,,,"MummyGreekRed",0,30,
,,,"MummyGreekRed",10,30,
,,,"MummyGreekRed",20,30,
,,,"MummyGreekRed",30,10,
,,,"GunslingerMecha",0,30,
,,,"GunslingerMecha",10,30,
,,,"GunslingerMecha",20,30,
,,,"GunslingerMecha",30,10,
,,,"BeamerOnceupon",0,30,
,,,"BeamerOnceupon",10,30,
,,,"BeamerOnceupon",20,30,
,,,"BeamerOnceupon",30,10,
,,,"CactusPoop",0,30,
,,,"CactusPoop",10,30,
,,,"CactusPoop",20,30,
,,,"CactusPoop",30,10,
,,,"SniperCarnival",0,30,
,,,"SniperCarnival",10,30,
,,,"SniperCarnival",20,30,
,,,"SniperCarnival",30,10,
,,,"LuchadorCarreta",0,30,
,,,"LuchadorCarreta",10,30,
,,,"LuchadorCarreta",20,30,
,,,"LuchadorCarreta",30,10,
,,,"RocketGirlZeus",0,30,
,,,"RocketGirlZeus",10,30,
,,,"RocketGirlZeus",20,30,
,,,"RocketGirlZeus",30,10,
,,,"CactusCarreta",0,30,
,,,"CactusCarreta",10,30,
,,,"CactusCarreta",20,30,
,,,"CactusCarreta",30,10,
,,,"MinigunDudeAprilFools",0,30,
,,,"MinigunDudeAprilFools",10,30,
,,,"MinigunDudeAprilFools",20,30,
,,,"MinigunDudeAprilFools",30,10,
,,,"KickerDudeVirus",0,30,
,,,"KickerDudeVirus",10,30,
,,,"KickerDudeVirus",20,30,
,,,"KickerDudeVirus",30,10,
,,,"PercenterChromaDemonRed",0,30,
,,,"PercenterChromaDemonRed",10,30,
,,,"PercenterChromaDemonRed",20,30,
,,,"PercenterChromaDemonRed",30,10,
,,,"Bulletstorm199GemChroma1",0,30,
,,,"Bulletstorm199GemChroma1",10,30,
,,,"Bulletstorm199GemChroma1",20,30,
,,,"Bulletstorm199GemChroma1",30,10,
,,,"MechanicSkadi",0,30,
,,,"MechanicSkadi",10,30,
,,,"MechanicSkadi",20,30,
,,,"MechanicSkadi",30,10,
,,,"SpeedyAngel",0,30,
,,,"SpeedyAngel",10,30,
,,,"SpeedyAngel",20,30,
,,,"SpeedyAngel",30,10,
,,,"ReviverSandsOfTime",0,30,
,,,"ReviverSandsOfTime",10,30,
,,,"ReviverSandsOfTime",20,30,
,,,"ReviverSandsOfTime",30,10,
,,,"StickyBombBrawlentine",0,30,
,,,"StickyBombBrawlentine",10,30,
,,,"StickyBombBrawlentine",20,30,
,,,"StickyBombBrawlentine",30,10,
,,,"UndertakerMecha",0,30,
,,,"UndertakerMecha",10,30,
,,,"UndertakerMecha",20,30,
,,,"UndertakerMecha",30,10,
,,,"AxeJugglerGoodRandomsChroma1",0,30,
,,,"AxeJugglerGoodRandomsChroma1",10,30,
,,,"AxeJugglerGoodRandomsChroma1",20,30,
,,,"AxeJugglerGoodRandomsChroma1",30,10,
,,,"AxeJugglerGoodRandoms",0,30,
,,,"AxeJugglerGoodRandoms",10,30,
,,,"AxeJugglerGoodRandoms",20,30,
,,,"AxeJugglerGoodRandoms",30,10,
,,,"DragonRiderOnceupon",0,30,
,,,"DragonRiderOnceupon",10,30,
,,,"DragonRiderOnceupon",20,30,
,,,"DragonRiderOnceupon",30,10,
,,,"AmbusherAngel",0,30,
,,,"AmbusherAngel",10,30,
,,,"AmbusherAngel",20,30,
,,,"AmbusherAngel",30,10,
,,,"AxeJugglerGoodRandomsChroma2",0,30,
,,,"AxeJugglerGoodRandomsChroma2",10,30,
,,,"AxeJugglerGoodRandomsChroma2",20,30,
,,,"AxeJugglerGoodRandomsChroma2",30,10,
,,,"DrillerDeepsea",0,30,
,,,"DrillerDeepsea",10,30,
,,,"DrillerDeepsea",20,30,
,,,"DrillerDeepsea",30,10,
,,,"DancerFairies",0,30,
,,,"DancerFairies",10,30,
,,,"DancerFairies",20,30,
,,,"DancerFairies",30,10,
,,,"PowerLevelerKraken",0,30,
,,,"PowerLevelerKraken",10,30,
,,,"PowerLevelerKraken",20,30,
,,,"PowerLevelerKraken",30,10,
,,,"Bulletstorm199Gem",0,30,
,,,"Bulletstorm199Gem",10,30,
,,,"Bulletstorm199Gem",20,30,
,,,"Bulletstorm199Gem",30,10,
,,,"MaisieDragons",0,30,
,,,"MaisieDragons",10,30,
,,,"MaisieDragons",20,30,
,,,"MaisieDragons",30,10,
,,,"ShotgunGirlDancerBlue",0,30,
,,,"ShotgunGirlDancerBlue",10,30,
,,,"ShotgunGirlDancerBlue",20,30,
,,,"ShotgunGirlDancerBlue",30,10,
,,,"ShotgunGirlDancerPurple",0,30,
,,,"ShotgunGirlDancerPurple",10,30,
,,,"ShotgunGirlDancerPurple",20,30,
,,,"ShotgunGirlDancerPurple",30,10,
,,,"ShotgunGirlDancer",0,30,
,,,"ShotgunGirlDancer",10,30,
,,,"ShotgunGirlDancer",20,30,
,,,"ShotgunGirlDancer",30,10,
,,,"BeeSniperVirus",0,30,
,,,"BeeSniperVirus",10,30,
,,,"BeeSniperVirus",20,30,
,,,"BeeSniperVirus",30,10,
,,,"SilencerDemon",0,30,
,,,"SilencerDemon",10,30,
,,,"SilencerDemon",20,30,
,,,"SilencerDemon",30,10,
,,,"MaisieToonChroma2",0,30,
,,,"MaisieToonChroma2",10,30,
,,,"MaisieToonChroma2",20,30,
,,,"MaisieToonChroma2",30,10,
,,,"MaisieToon",0,30,
,,,"MaisieToon",10,30,
,,,"MaisieToon",20,30,
,,,"MaisieToon",30,10,
,,,"MaisieToonChroma1",0,30,
,,,"MaisieToonChroma1",10,30,
,,,"MaisieToonChroma1",20,30,
,,,"MaisieToonChroma1",30,10,
,,,"Bulletstorm199GemChroma2",0,30,
,,,"Bulletstorm199GemChroma2",10,30,
,,,"Bulletstorm199GemChroma2",20,30,
,,,"Bulletstorm199GemChroma2",30,10,
,,,"BaseballPirate",0,30,
,,,"BaseballPirate",10,30,
,,,"BaseballPirate",20,30,
,,,"BaseballPirate",30,10,
,,,"JesterBrawlAcademy",0,30,
,,,"JesterBrawlAcademy",10,30,
,,,"JesterBrawlAcademy",20,30,
,,,"JesterBrawlAcademy",30,10,
,,,"KickerDudeMake",0,30,
,,,"KickerDudeMake",10,30,
,,,"KickerDudeMake",20,30,
,,,"KickerDudeMake",30,10,
,,,"Mender199Gem",0,30,
,,,"Mender199Gem",10,30,
,,,"Mender199Gem",20,30,
,,,"Mender199Gem",30,10,
,,,"AxeJugglerGym",0,30,
,,,"AxeJugglerGym",10,30,
,,,"AxeJugglerGym",20,30,
,,,"AxeJugglerGym",30,10,
,,,"DeadMariachiorigins",0,30,
,,,"DeadMariachiorigins",10,30,
,,,"DeadMariachiorigins",20,30,
,,,"DeadMariachiorigins",30,10,
,,,"CrowVulture",0,30,
,,,"CrowVulture",10,30,
,,,"CrowVulture",20,30,
,,,"CrowVulture",30,10,
,,,"KickerDudeDemon",0,30,
,,,"KickerDudeDemon",10,30,
,,,"KickerDudeDemon",20,30,
,,,"KickerDudeDemon",30,10,
,,,"AttacherBoxer",0,30,
,,,"AttacherBoxer",10,30,
,,,"AttacherBoxer",20,30,
,,,"AttacherBoxer",30,10,
,,,"AttacherBoxerChromaGoldpaw",0,30,
,,,"AttacherBoxerChromaGoldpaw",10,30,
,,,"AttacherBoxerChromaGoldpaw",20,30,
,,,"AttacherBoxerChromaGoldpaw",30,10,
,,,"TntDudeDynastic",0,30,
,,,"TntDudeDynastic",10,30,
,,,"TntDudeDynastic",20,30,
,,,"TntDudeDynastic",30,10,
,,,"RollerUniversity",0,30,
,,,"RollerUniversity",10,30,
,,,"RollerUniversity",20,30,
,,,"RollerUniversity",30,10,
,,,"AttacherBoxerChromaDarkpaw",0,30,
,,,"AttacherBoxerChromaDarkpaw",10,30,
,,,"AttacherBoxerChromaDarkpaw",20,30,
,,,"AttacherBoxerChromaDarkpaw",30,10,
,,,"SandstormMake",0,30,
,,,"SandstormMake",10,30,
,,,"SandstormMake",20,30,
,,,"SandstormMake",30,10,
,,,"TwinsAngel",0,30,
,,,"TwinsAngel",10,30,
,,,"TwinsAngel",20,30,
,,,"TwinsAngel",30,10,
,,,"TwinsAngelChroma2",0,30,
,,,"TwinsAngelChroma2",10,30,
,,,"TwinsAngelChroma2",20,30,
,,,"TwinsAngelChroma2",30,10,
,,,"TwinsAngelChroma1",0,30,
,,,"TwinsAngelChroma1",10,30,
,,,"TwinsAngelChroma1",20,30,
,,,"TwinsAngelChroma1",30,10,
,,,"BlowerDeepsea",0,30,
,,,"BlowerDeepsea",10,30,
,,,"BlowerDeepsea",20,30,
,,,"BlowerDeepsea",30,10,
,,,"EnragerVine",0,30,
,,,"EnragerVine",10,30,
,,,"EnragerVine",20,30,
,,,"EnragerVine",30,10,
,,,"JesterLoki",0,30,
,,,"JesterLoki",10,30,
,,,"JesterLoki",20,30,
,,,"JesterLoki",30,10,
,,,"DuelistOdin",0,30,
,,,"DuelistOdin",10,30,
,,,"DuelistOdin",20,30,
,,,"DuelistOdin",30,10,
,,,"DiggerStarrForce",0,30,
,,,"DiggerStarrForce",10,30,
,,,"DiggerStarrForce",20,30,
,,,"DiggerStarrForce",30,10,
,,,"RollerGoodRandoms",0,30,
,,,"RollerGoodRandoms",10,30,
,,,"RollerGoodRandoms",20,30,
,,,"RollerGoodRandoms",30,10,
,,,"PuppeteerDemon",0,30,
,,,"PuppeteerDemon",10,30,
,,,"PuppeteerDemon",20,30,
,,,"PuppeteerDemon",30,10,
,,,"AttacherOnceupon",0,30,
,,,"AttacherOnceupon",10,30,
,,,"AttacherOnceupon",20,30,
,,,"AttacherOnceupon",30,10,
,,,"ClusterBombDudeCerberus",0,30,
,,,"ClusterBombDudeCerberus",10,30,
,,,"ClusterBombDudeCerberus",20,30,
,,,"ClusterBombDudeCerberus",30,10,
"Pool3",80,,"MummyHarajuku",0,15,
,,,"MummyHarajuku",10,22,
,,,"MummyHarajuku",20,30,
,,,"MummyHarajuku",30,22,
,,,"MummyHarajuku",40,10,
,,,"MummyHarajuku",100,1,
,,,"ShamanDarkcircus",0,15,
,,,"ShamanDarkcircus",10,22,
,,,"ShamanDarkcircus",20,30,
,,,"ShamanDarkcircus",30,22,
,,,"ShamanDarkcircus",40,10,
,,,"ShamanDarkcircus",100,1,
,,,"StalkerBrawlentine",0,15,
,,,"StalkerBrawlentine",10,22,
,,,"StalkerBrawlentine",20,30,
,,,"StalkerBrawlentine",30,22,
,,,"StalkerBrawlentine",40,10,
,,,"StalkerBrawlentine",100,1,
,,,"PainterGreekGod",0,15,
,,,"PainterGreekGod",10,22,
,,,"PainterGreekGod",20,30,
,,,"PainterGreekGod",30,22,
,,,"PainterGreekGod",40,10,
,,,"PainterGreekGod",100,1,
,,,"TntDudeTengu",0,15,
,,,"TntDudeTengu",10,22,
,,,"TntDudeTengu",20,30,
,,,"TntDudeTengu",30,22,
,,,"TntDudeTengu",40,10,
,,,"TntDudeTengu",100,1,
,,,"TntDudeClassic_yellow",0,15,
,,,"TntDudeClassic_yellow",10,22,
,,,"TntDudeClassic_yellow",20,30,
,,,"TntDudeClassic_yellow",30,22,
,,,"TntDudeClassic_yellow",40,10,
,,,"TntDudeClassic_yellow",100,1,
,,,"BarrelBotGreekGod",0,15,
,,,"BarrelBotGreekGod",10,22,
,,,"BarrelBotGreekGod",20,30,
,,,"BarrelBotGreekGod",30,22,
,,,"BarrelBotGreekGod",40,10,
,,,"BarrelBotGreekGod",100,1,
,,,"SandstormDeepseaYellow",0,15,
,,,"SandstormDeepseaYellow",10,22,
,,,"SandstormDeepseaYellow",20,30,
,,,"SandstormDeepseaYellow",30,22,
,,,"SandstormDeepseaYellow",40,10,
,,,"SandstormDeepseaYellow",100,1,
,,,"SandstormDeepseaPurple",0,15,
,,,"SandstormDeepseaPurple",10,22,
,,,"SandstormDeepseaPurple",20,30,
,,,"SandstormDeepseaPurple",30,22,
,,,"SandstormDeepseaPurple",40,10,
,,,"SandstormDeepseaPurple",100,1,
,,,"SandstormDeepsea",0,15,
,,,"SandstormDeepsea",10,22,
,,,"SandstormDeepsea",20,30,
,,,"SandstormDeepsea",30,22,
,,,"SandstormDeepsea",40,10,
,,,"SandstormDeepsea",100,1,
,,,"WhirlwindCarreta",0,15,
,,,"WhirlwindCarreta",10,22,
,,,"WhirlwindCarreta",20,30,
,,,"WhirlwindCarreta",30,22,
,,,"WhirlwindCarreta",40,10,
,,,"WhirlwindCarreta",100,1,
,,,"Dancer199Gem",0,15,
,,,"Dancer199Gem",10,22,
,,,"Dancer199Gem",20,30,
,,,"Dancer199Gem",30,22,
,,,"Dancer199Gem",40,10,
,,,"Dancer199Gem",100,1,
,,,"RopeDudeFenrir",0,15,
,,,"RopeDudeFenrir",10,22,
,,,"RopeDudeFenrir",20,30,
,,,"RopeDudeFenrir",30,22,
,,,"RopeDudeFenrir",40,10,
,,,"RopeDudeFenrir",100,1,
,,,"RopeDudeFenrirBlack",0,15,
,,,"RopeDudeFenrirBlack",10,22,
,,,"RopeDudeFenrirBlack",20,30,
,,,"RopeDudeFenrirBlack",30,22,
,,,"RopeDudeFenrirBlack",40,10,
,,,"RopeDudeFenrirBlack",100,1,
,,,"RopeDudeFenrirRed",0,15,
,,,"RopeDudeFenrirRed",10,22,
,,,"RopeDudeFenrirRed",20,30,
,,,"RopeDudeFenrirRed",30,22,
,,,"RopeDudeFenrirRed",40,10,
,,,"RopeDudeFenrirRed",100,1,
,,,"AttacherToy",0,15,
,,,"AttacherToy",10,22,
,,,"AttacherToy",20,30,
,,,"AttacherToy",30,22,
,,,"AttacherToy",40,10,
,,,"AttacherToy",100,1,
,,,"MorningstarGreekGod",0,15,
,,,"MorningstarGreekGod",10,22,
,,,"MorningstarGreekGod",20,30,
,,,"MorningstarGreekGod",30,22,
,,,"MorningstarGreekGod",40,10,
,,,"MorningstarGreekGod",100,1,
,,,"ArtilleryGalBrawlAcademy",0,15,
,,,"ArtilleryGalBrawlAcademy",10,22,
,,,"ArtilleryGalBrawlAcademy",20,30,
,,,"ArtilleryGalBrawlAcademy",30,22,
,,,"ArtilleryGalBrawlAcademy",40,10,
,,,"ArtilleryGalBrawlAcademy",100,1,
,,,"HammerDudeknight",0,15,
,,,"HammerDudeknight",10,22,
,,,"HammerDudeknight",20,30,
,,,"HammerDudeknight",30,22,
,,,"HammerDudeknight",40,10,
,,,"HammerDudeknight",100,1,
,,,"MummyDj",0,15,
,,,"MummyDj",10,22,
,,,"MummyDj",20,30,
,,,"MummyDj",30,22,
,,,"MummyDj",40,10,
,,,"MummyDj",100,1,
,,,"BaseballGamer_remake",0,15,
,,,"BaseballGamer_remake",10,22,
,,,"BaseballGamer_remake",20,30,
,,,"BaseballGamer_remake",30,22,
,,,"BaseballGamer_remake",40,10,
,,,"BaseballGamer_remake",100,1,
,,,"BarkeepBrawlAcademy",0,15,
,,,"BarkeepBrawlAcademy",10,22,
,,,"BarkeepBrawlAcademy",20,30,
,,,"BarkeepBrawlAcademy",30,22,
,,,"BarkeepBrawlAcademy",40,10,
,,,"BarkeepBrawlAcademy",100,1,
,,,"FireDudeFantasy",0,15,
,,,"FireDudeFantasy",10,22,
,,,"FireDudeFantasy",20,30,
,,,"FireDudeFantasy",30,22,
,,,"FireDudeFantasy",40,10,
,,,"FireDudeFantasy",100,1,
,,,"CookerPorcelain",0,15,
,,,"CookerPorcelain",10,22,
,,,"CookerPorcelain",20,30,
,,,"CookerPorcelain",30,22,
,,,"CookerPorcelain",40,10,
,,,"CookerPorcelain",100,1,
,,,"MechaDudePirate",0,15,
,,,"MechaDudePirate",10,22,
,,,"MechaDudePirate",20,30,
,,,"MechaDudePirate",30,22,
,,,"MechaDudePirate",40,10,
,,,"MechaDudePirate",100,1,
,,,"JesterHarvest",0,15,
,,,"JesterHarvest",10,22,
,,,"JesterHarvest",20,30,
,,,"JesterHarvest",30,22,
,,,"JesterHarvest",40,10,
,,,"JesterHarvest",100,1,
,,,"PercenteranimeChromaYellow",0,15,
,,,"PercenteranimeChromaYellow",10,22,
,,,"PercenteranimeChromaYellow",20,30,
,,,"PercenteranimeChromaYellow",30,22,
,,,"PercenteranimeChromaYellow",40,10,
,,,"PercenteranimeChromaYellow",100,1,
,,,"Percenteranime",0,15,
,,,"Percenteranime",10,22,
,,,"Percenteranime",20,30,
,,,"Percenteranime",30,22,
,,,"Percenteranime",40,10,
,,,"Percenteranime",100,1,
,,,"PercenteranimeChromaGreen",0,15,
,,,"PercenteranimeChromaGreen",10,22,
,,,"PercenteranimeChromaGreen",20,30,
,,,"PercenteranimeChromaGreen",30,22,
,,,"PercenteranimeChromaGreen",40,10,
,,,"PercenteranimeChromaGreen",100,1,
,,,"InsectManGreek",0,15,
,,,"InsectManGreek",10,22,
,,,"InsectManGreek",20,30,
,,,"InsectManGreek",30,22,
,,,"InsectManGreek",40,10,
,,,"InsectManGreek",100,1,
,,,"Dancer199GemChroma1",0,15,
,,,"Dancer199GemChroma1",10,22,
,,,"Dancer199GemChroma1",20,30,
,,,"Dancer199GemChroma1",30,22,
,,,"Dancer199GemChroma1",40,10,
,,,"Dancer199GemChroma1",100,1,
,,,"LeaperDarkXmas",0,15,
,,,"LeaperDarkXmas",10,22,
,,,"LeaperDarkXmas",20,30,
,,,"LeaperDarkXmas",30,22,
,,,"LeaperDarkXmas",40,10,
,,,"LeaperDarkXmas",100,1,
,,,"BowDudeBrawlentine",0,15,
,,,"BowDudeBrawlentine",10,22,
,,,"BowDudeBrawlentine",20,30,
,,,"BowDudeBrawlentine",30,22,
,,,"BowDudeBrawlentine",40,10,
,,,"BowDudeBrawlentine",100,1,
,,,"ControllerAres",0,15,
,,,"ControllerAres",10,22,
,,,"ControllerAres",20,30,
,,,"ControllerAres",30,22,
,,,"ControllerAres",40,10,
,,,"ControllerAres",100,1,
,,,"Dancer199GemChroma2",0,15,
,,,"Dancer199GemChroma2",10,22,
,,,"Dancer199GemChroma2",20,30,
,,,"Dancer199GemChroma2",30,22,
,,,"Dancer199GemChroma2",40,10,
,,,"Dancer199GemChroma2",100,1,
,,,"DaredevilScarecrow199GemChroma2",0,15,
,,,"DaredevilScarecrow199GemChroma2",10,22,
,,,"DaredevilScarecrow199GemChroma2",20,30,
,,,"DaredevilScarecrow199GemChroma2",30,22,
,,,"DaredevilScarecrow199GemChroma2",40,10,
,,,"DaredevilScarecrow199GemChroma2",100,1,
,,,"RocketGirlDelivery",0,15,
,,,"RocketGirlDelivery",10,22,
,,,"RocketGirlDelivery",20,30,
,,,"RocketGirlDelivery",30,22,
,,,"RocketGirlDelivery",40,10,
