"Name","Disabled","Type","Value","Value2","Value3","Lifetime","DisappearingTime","TriggerRangeSubTiles","AlignToTiles","CanBePickedUp","PickUpOnlyBySource","PickUpOnlyByTeam","DestroySpawnCarryableType","FollowSourceDimension","ShowAlways","ForceShow","StatusEffectAlly","StatusEffectEnemy","TriggerAreaEffect","DestroyAreaEffect","CustomAreaEffect1","CustomAreaEffect2","Components"
"ClusterOverchargedMine","","ClusterMine","800","2000","","","","200","","true","","","","","true","","","","ClusterBombOverchargedExplosion2","","","",""
"GodzillaTransform","","GodzillaTransform","10","400","","","","4","","true","","","","","","true","","","","","","",""
"OverchargedBoxOfBombs","","OverchargedBoxOfBombs","6","8","","","","","","","","","","","","","","","","","","",""
"DogTag","","DogTag","14","","","214","60","4","","true","","","","","","","","","","","","",""
"ControllerArchetypeMine","","Mine","800","20","","60","","3","","true","","","","","true","","","","ClusterBombExplosion_SB","SbcontrollerAreaDestroy","","",""
"Cash","","Cash","10","400","","","","4","","true","","","","","","","","","","","","",""
"StickyBombOverchargedUlti","","StickyBomb","800","1150","","","","3","","","","","","","true","","","","StickyBombOverchargedUltiExplosion","","","",""
"PetWars","","Scrap","","","","","","4","","true","","","","","","","","","","","","",""
"OverChargedPortal","","Portal","1","","","","","3","","","","","","","","","","","","","DoorManPortalOverchargedLeave","DoorManPortalOverchargedArrive",""
"OverchargedMine","","OverchargedMine","800","1150","","","","3","","true","","","","","","","","","Bo_def_overcharged_ulti2_area","","","",""
"BoxOfOverchargedMines","","BoxOfOverchargedMines","5","7","","","","","","","","","","","","","","","","","","",""
"MorningstarGroundedWeapon","","WeaponThrowerWeapon","","","","","","","","","","","","true","","","","","","","","",""
"UNODeck","","UNODeck","","","","","","5","","","","","","","","true","","","","","DoorManPortalLeave","DoorManPortalArrive",""
"TreasureSpawner","","TreasureSpawner","","","","","","4","","","","","","","","true","","","","","","",""
"Treasure","","Treasure","","","","","","4","","true","","","","","","","","","","","","",""
"SamuraiPoint","","DogTag","","1","","4200","","4","","true","","","","","","","","","","SamuraiItemPickup","","",""
"TrailWaypoint","","TrailWaypoint","","","","","","6","","","","","","","","true","","","ConductorSignArea","ConductorSignAreaDestroy","","",""
"BulletstormShell","","BulletstormShell","20","700","","160","","3","","true","true","","","","","","","","","","","",""
"RogueliteLCardSqueakStickyBomb","","StickyBomb","800","1150","","","","3","","","","","","","true","","","","RogueliteLCardBombExplosion","","","",""
"MegaBossStickyBomb","","StickyBomb","800","1150","","","","5","","","","","","","true","","","","MegaBossStickyBombExplosion","","","",""
"MegaBossStickyBombLarge","","StickyBomb","800","1150","","","","5","","","","","","","true","","","","MegaBossStickyBombExplosionLarge","","","",""
"MegaBossStickyBombUltiLarge","","StickyBomb","800","1150","","","","5","","","","","","","true","","","","MegaBossStickyBombUltiExplosionLarge","","","",""
"MegaBossStickyBombUlti","","StickyBomb","800","1150","","","","5","","","","","","","true","","","","MegaBossStickyBombUltiExplosion","","","",""
"BoxPickupSpeedUp","","BoxPowerUp","1","","50","","","4","","true","","","","","","","","BoxSpeedBoost","","","","",""
"BoxPickupHealthUp","","BoxPowerUp","2","15","100","","","4","","true","","","","","","","","BoxHealthBuff","","","","",""
"BoxPickupShield","","BoxPowerUp","4","","50","","","4","","true","","","","","","","","BoxShield","","","","",""
"BoxPickupDamageUp","","BoxPowerUp","3","","100","","","4","","true","","","","","","","","BoxDamageBuff","","","","",""
"BoxPickupBoulder","","BoxPowerUp","","","100","8","","4","","","","","10","","","","","","","","","",""
"BoxPickupShuriken","","BoxPowerUp","","","100","8","","4","","","","","9","","","","","","","","","",""
"BoxPickupSpeeder","","BoxPowerUp","","","30","8","","4","","","","","13","","","","","","","","","",""
"ShadowPoint","","DogTag","","1","","4200","","4","","true","","","","","","","","","","SamuraiItemPickup","","",""
"BoxPickupBomb","","BoxPowerUp","","","100","8","","4","","","","","14","","","","","","","","","",""
"SuperNovaTransformCactus","","TempTransform","10","400","","","","4","","true","","","","","","true","","","","","StarNovaPickupSpawn_Spike","StarNovaPickupSpawn_Fast_Spike",""
"SuperNovaTransformBeeSniper","","TempTransform","10","400","","","","4","","true","","","","","","true","","","","","StarNovaPickupSpawn_Bea","StarNovaPickupSpawn_Fast_Bea",""
"SuperNovaTransformStella","","TempTransform","10","400","","","","4","","true","","","","","","true","","","","","StarNovaPickupSpawn_Stella","StarNovaPickupSpawn_Fast_Stella",""
"SuperNovaTransformFireDude","","TempTransform","10","400","","","","4","","true","","","","","","true","","","","","StarNovaPickupSpawn_Amber","StarNovaPickupSpawn_Fast_Amber",""
"SuperNovaTransformVoodoo","","TempTransform","10","400","","","","4","","true","","","","","","true","","","","","StarNovaPickupSpawn_Juju","StarNovaPickupSpawn_Fast_Juju",""
"SuperNovaTransformChronomancer","","TempTransform","10","400","","","","4","","true","","","","","","true","","","","","","",""
"EdgePushbackWallSegment","","EdgePushbackWallSegment","","","","","","","","","","","","","","","","","","GladiatorUltiArenaDestroy","","",""
"GladiatorHealingItem","","GladiatorHealingItem","","3","","","","7","","true","","TRUE","","","true","","GladiatorGadgetHeal","","","","","",""
"NanoWok","","NanoWok","","","","","","5","","","","","","","true","true","","","","","DoorManPortalLeave","DoorManPortalArrive",""
"ArcadeAmmo","","Ammo","20","700","33","160","","3","","true","","true","","","","","","","","","","",""
"HealthPackDougNanoPower","","Health","2000","","","200","20","4","","true","","true","","","","","","","","","","",""
