"Name","Disabled","Speed","PreExplosionTimeMs","Radius","IgnoreCloseWalls","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","DamageReduction","Gravity","EarlyTicks","OnAllyHitActions","OnEnemyHitActions","AreaEffect2DamagePercent","SpawnCharacter","AreaEffectTrailMinDistance","AreaEffectTrailInitialMinDistance","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","MaxDistanceBounces","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","PushbackType","OverridePushbackSpeed","MaxZDuringPushback","ChainsToEnemies","ChainBullets","ChainBulletsMax","ChainSpread","ChainTravelDistance","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamageChangeStartPromille","DamageChangeEndPromille","IgnoreDamageChangeForUltiCharge","DamagesConstantlyTickDelay","StunLengthMS","PartialStunPromille","SilenceDurationMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","SuppressHealing","SuppressHealingTicks","ConsumableShield","ConsumableShieldTicks","DamageOnlyWithOneProj","HealOwnPercent","GrapplesEnemy","KickBack","MinDistanceForSpread","IsFriendlyHomingMissile","BoomerangType","CanHitAgainAfterBounce","IsHomingMissile","UltiChargeChangePercent","TravelType","TravelTypeVariables","IgnoreLevelBorder","SteerStrength","SteerIgnoreTicks","HomeDistance","SteerLifeTime","DoNotForceShow","UniqueProperty","CustomUniquePropertyValue","Zoffset","SuperChargeScalePercent","BooleanAttributes","SpawnItem","StatusEffectAlly","StatusEffectEnemy","StatusEffectSelfOnHit","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnAreaEffectObjectsAdditional","SpawnAreaEffectTrail","OnCreateAreaEffect","ChainBullet"
"BoneThrowerUltiProjectile","","1305","","0","","true","","15000","35","","150","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyProjectileForLaserBall","","2499","","0","","","","","","","0","1","","","","","","","false","","true","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"DummyProjectileForLaserBallBurning","","2499","","0","","","","","","","0","1","","","","","","","false","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"MechanicTurretProjectile","","3478","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicOverchargedTurretProjectile","","3478","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerAfterChargeOverchargedProjectile","","3478","","280","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerUltiProjectile","","3000","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","100","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerOverchargedUltiProjectile","","3500","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","100","true","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","UndertakerOverchargedUltiProjectileReturn"
"UndertakerOverchargedUltiProjectileReturn","","3500","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","100","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowProjectile","","3261","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","CrowPoison","","","","","","",""
"CrowOverchargedProjectile","","3261","","50","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","1","","","","","","","","","","","","","","","","","","","CrowPoison","","","","","","","CrowOverchargedProjectile2"
"CrowOverchargedProjectile2","","3261","","50","","","","","","30","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","1","","","","","","","","","","","","","","","","","","","CrowPoison","","","","","","",""
"CrowUltiProjectile","","3261","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CrowPoison","","","","","","",""
"CrowThrowPoisonDaggerSkillProjectile","","3261","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","0","","","","CrowPoisonGadget","","","","","","",""
"CrowThrowPoisonDaggerSkillProjectileBuddy","","3261","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","0","","","","CrowPoisonGadget","","","","","","","CrowThrowPoisonDaggerSkillProjectileBuddyChain"
"CrowThrowPoisonDaggerSkillProjectileBuddyChain","","3261","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","0","","","","CrowPoisonGadget","","","","","","",""
"DeadMariachiProjectile","","2500","","150","","","","","","","0","4","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiOverchargedProjectile","","2500","","150","","","","","","","0","4","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiUltiProjectile","","5000","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","true","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiOverchargedUltiProjectile","","5000","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","true","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachi_CleanseProjectile","","2500","","0","","true","","","","","405","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DeadMariachiCleanseArea","","","","",""
"DeadMariachi_CleanseProjectileBuddy","","2500","","0","","true","","","","","405","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DeadMariachiCleanseAreaBuddy","","","","",""
"BowDudeSpawnMineProjectile","","2391","","0","","true","","","","","405","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bo_def_ulti1_area","","","","",""
"BowDudeProjectile","","2800","","70","","","","","","","0","5","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bo_def_atk_area","","","","",""
"SniperProjectile","","4000","","101","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","20","100","0","850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeProjectile","","4130","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeUltiProjectile","","1196","","0","","true","","","","","170","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeProjectileNano","","4130","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","5","5","5","","","","","","","","","","","","","","","","",""
"PrimoDefProjectile","","3261","","150","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","20","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleProjectile","","3152","","100","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleUltiProjectile","","1522","","0","","true","","","","","200","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BlackHoleUltiSuck","BlackHoleUltiExplosion","","","",""
"BarrelBotProjectile","","4000","","0","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotOverchargedProjectile","","4000","","0","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeProjectile","","3400","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","3","","20","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArtilleryDudeProjectile2"
"ArtilleryDudeProjectile2","","2500","","101","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","75","75","0","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeUltiProjectile","","1196","","0","","true","","","","","139","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeTurretProjectile","","750","1200","0","","true","true","","","","90","1","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArtilleryDudeTurretExplosion","BurnUlti","","","",""
"ArtilleryDudeOverchargedUltiProjectile","","1196","","0","","true","","","","","139","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeOverchargedTurretProjectile","","750","1200","0","","true","true","","","","90","1","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArtilleryDudeOverchargedTurretExplosion","ArtilleryDudeOverchargedExplosion","","","",""
"ShotgunGirlPetProjectile","","2826","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHolePetProjectile","","3152","","50","","","","","","","0","2","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeProjectile","","5000","","150","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeUltiProjectile","","6000","","250","","","","","","","0","2","","","","","","","true","","","","","true","true","true","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookProjectile","","3200","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","6","","40","17","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HookProjectile2"
"HookProjectile2","","3200","","101","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookUltiProjectile","","3200","","200","","","","","","","0","4","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HookUltiProjectile2"
"HookUltiProjectile2","","2000","","200","","","","","","","0","2","","","","","","","true","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombProjectile","","450","","0","","true","true","900","","","25","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ClusterBombExplosion","","","","",""
"ClusterBombProjectile2","","2000","","0","","true","true","","","","200","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ClusterBombExplosion2","","","","",""
"ClusterBombSummonProjectile","","1196","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeUltiProjectile","","1196","","0","","true","","","","","170","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeUltiOverchargedProjectile","","1196","","0","","true","","","","","170","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeOverchargedBuddyProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeItemDispenserProjectile","","2000","","0","","true","","","","","300","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArcadeAmmo","","","","","","","","",""
"ArcadeDoubleBonusSkillProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleBonusSkillBuddyProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArcadeDoubleBonusSkillBuddyProjectile2"
"ArcadeDoubleBonusSkillBuddyProjectile2","","3000","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","1","","","","20","","60","60","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArcadeDoubleBonusSkillBuddyProjectile3"
"ArcadeDoubleBonusSkillBuddyProjectile3","","3000","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","","","","","","","60","60","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LeonDefProjectile","","3500","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","100","35","150","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LeonDefProjectileMutation","","2000","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","100","35","150","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RosaProjectile","","5000","","150","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CoopRangedEnemyProjectile","","4000","","100","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossProjectile","","3000","","150","","","","","","","0","3","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossRangedEnemyProjectile","","4000","","100","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossProjectileRed","","5000","","150","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossProjectileRedDestroyEnv","","5000","","150","","","","","","","0","3","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossProjectileGold","","5000","","150","","","","","","","0","3","","","","","","","","","","","","true","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossRocketProjectile","","480","","0","","true","true","","","","20","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RaidBossRocketBurn","","","","",""
