"Name","LogicProjectile","Disabled","FileName","BlueSCW","RedSCW","SCWLayer","BlueExportName","RedExportName","Layer","ShadowExportName","ShadowLayer","BlueGroundGlowExportName","RedGroundGlowExportName","GroundGlowLayer","PreExplosionExportFileName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionScale","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","CancelEffect","MirrorReachedEffects","HideTime","Scale","RandomStartFrame","TrailEffect","SpecialTrailEffect","SpecialTrailEffect2","TrailBehaviorType","MirrorTrailEffects","TargetedToSourceEffect","TargetedToSourceEffectOnTarget","Rendering","AnimateByDistanceTravelled","SpecialVisualState","HideFaster","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","AppliedEffectVisualType","VisualizeEndPoint","CustomObject","CustomObject2","Components"
"Shelly010UltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler_shelly.sc","","","","shelly_010_ulti_projectile","shelly_010_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","shelly_010_ulti_hit_env","shelly_010_ulti_hit","shelly_010_ulti_reached","","","0","100","2","shelly_010_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","bullet_pistol_def_atk_blue","bullet_pistol_def_atk_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","colt_def_atk_reached","","","0","130","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","bullet_pistol_def_ulti_blue","bullet_pistol_def_ulti_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","colt_def_ulti_reached","","","0","125","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt002Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_002_bullet_atk_blue","colt_002_bullet_atk_red","","shadow_normal_circle","","","","","","","","","colt_002_hit","colt_002_hit","colt_def_atk_reached","","","0","130","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt002UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_002_bullet_ulti_blue","colt_002_bullet_ulti_red","","shadow_normal_circle","","","","","","","","","colt_002_hit","colt_002_hit","colt_def_ulti_reached","","","0","125","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt003Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_003_bullet_atk_blue","colt_003_bullet_atk_red","","shadow_normal_circle","","","","","","","","","colt_003_atk_hitenv","colt_003_atk_hit","colt_003_atk_reached","","","0","130","2","colt_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt003UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_003_bullet_ulti_blue","colt_003_bullet_ulti_red","","shadow_normal_circle","","","","","","","","","colt_003_atk_hitenv","colt_003_atk_hit","colt_003_ulti_reached","","","0","125","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt004Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_004_bullet_atk_blue","colt_004_bullet_atk_red","","shadow_normal_circle","","","","","","","","","colt_004_atk_reached","colt_004_atk_hit","colt_004_atk_reached","","","0","130","","colt_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt004UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_004_bullet_ulti_blue","colt_004_bullet_ulti_red","","shadow_normal_circle","","","","","","","","","colt_004_ulti_reached","colt_004_ulti_hit","colt_004_ulti_reached","","","0","125","","colt_004_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt005Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_005_atk_projectile","colt_005_atk_projectile_red","","shadow_normal_circle","","","","","","","","","colt_005_atk_hitenv","colt_005_atk_hit","colt_005_atk_reached","","","0","50","2","colt_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt005UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_005_ulti_projectile","colt_005_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","colt_005_atk_hitenv","colt_005_ulti_hit","colt_005_atk_reached","","","0","90","2","colt_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt006Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_006_atk_projectile","colt_006_atk_projectile_red","","shadow_normal_circle","","","","","","","","","colt_006_atk_hitenv","colt_006_atk_hit","colt_006_atk_reached","","","0","130","2","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt006UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_006_ulti_projectile","colt_006_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","colt_006_atk_hitenv","colt_006_ulti_hit","colt_def_ulti_reached","","","0","125","2","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt007Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_007_atk_projectile","colt_007_atk_projectile_red","","shadow_normal_circle","","","","","","","","","colt_007_atk_hitenv","colt_007_atk_hit","colt_007_atk_reached","","","0","100","2","colt_007_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt007UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_007_ulti_projectile","colt_007_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","colt_007_atk_hitenv","colt_007_ulti_hit","colt_007_ulti_reached","","","0","120","2","colt_007_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt008Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_008_atk_projectile","colt_008_atk_projectile_red","","shadow_normal_circle","","","","","","","","","colt_008_atk_hitenv","colt_008_atk_hit","colt_008_atk_reached","","","0","120","2","colt_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt008UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_008_ulti_projectile","colt_008_ulti_projectile_red","","shadow_normal_circle_big","","","","","","","","","colt_008_atk_hitenv","colt_008_ulti_hit","colt_008_ulti_reached","","","0","130","2","colt_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt009Projectile","GunslingerProjectile","","sc/effects_brawler.sc","","","","colt_009_atk_projectile","colt_009_atk_projectile_red","","shadow_normal_circle","","","","","","","","","leon_008_atk_hit","leon_008_atk_hit","leon_008_atk_reached","","","0","42","2","colt_009_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt009UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","","colt_009_ulti_projectile","colt_009_ulti_projectile_red","","shadow_normal_circle_big","","","","","","","","","colt_009_ulti_reached","leon_008_atk_hit","colt_009_ulti_reached","","","0","60","2","colt_009_ulti_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt010Projectile","GunslingerProjectile","","sc/effects_brawler.sc","sc3d/colt_010_atk_projectile.glb","sc3d/colt_010_atk_projectile_red.glb","","colt_010_atk_prj_glow","colt_010_atk_prj_glow_red","","shadow_normal_circle","","","","","","","","","colt_010_atk_hitenv","colt_010_atk_hit","colt_010_atk_reached","","","0","47","2","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt010UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","sc3d/colt_010_ulti_projectile.glb","sc3d/colt_010_ulti_projectile_red.glb","","colt_010_ulti_prj_glow","colt_010_ulti_prj_glow_red","","shadow_normal_circle_big","","","","","","","","","colt_010_atk_hitenv","colt_010_ulti_hit","colt_010_ulti_reached","","","0","50","2","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt011Projectile","GunslingerProjectile","","sc/effects_brawler_colt.sc","","","","colt_011_atk_projectile","colt_011_atk_projectile_red","","shadow_normal_circle","","","","","","","","","colt_011_atk_hit","colt_011_atk_hit","colt_011_reached","","","0","47","2","colt_011_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Colt011UltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler_colt.sc","","","","colt_011_ulti_projectile","colt_011_ulti_projectile_red","","shadow_normal_circle_big","","","","","","","","","colt_011_ulti_hit","colt_011_ulti_hit","colt_011_reached","","","0","50","2","colt_011_trail","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bullet_shotgun_def_blue_short","bullet_shotgun_def_red_short","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","bull_def_atk_reached","","","0","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull002Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_002_atk_projectile","bull_002_atk_projectile_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","bull_002_atk_reached","","","0","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull003Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_003_atk_projectile","bull_003_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_003_atk_reached","bull_003_atk_hit","bull_003_atk_reached","","","0","100","","bull_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Bull004Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_004_atk_projectile","bull_004_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_004_atk_reached","bull_004_atk_hit","bull_004_atk_reached","","","0","100","2","bull_004_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Bull005Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_005_atk_projectile","bull_005_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_005_atk_reached","bull_005_atk_hit","bull_005_atk_reached","","","0","100","2","bull_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Bull006Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_006_atk_projectile","bull_006_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_006_atk_reached","bull_006_atk_hit","bull_006_atk_reached","","","0","100","2","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull007Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_007_atk_projectile","bull_007_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_007_atk_reached","bull_007_atk_hit","bull_007_atk_reached","","","0","250","2","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull008Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_008_atk_projectile","bull_008_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_008_atk_reached","bull_008_atk_hit","bull_008_atk_reached","","","0","250","2","bull_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Bull009Projectile","BullDudeProjectile","","sc/effects_brawler.sc","","","","bull_009_atk_projectile","bull_009_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_009_atk_hit","bull_009_atk_hit","bull_009_atk_reached","","","0","100","1","bull_009_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Bull011Projectile","BullDudeProjectile","","sc/effects_brawler_bull.sc","","","","bull_011_atk_projectile","bull_011_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_011_atk_hitenv","bull_011_atk_hit","bull_011_atk_reached","","","0","250","2","bull_011_atk_trail","","","","","","","","","","","","","","","","","","","","","","",""
"Bull012Projectile","BullDudeProjectile","","sc/effects_brawler_bull.sc","","","","bull_012_atk_projectile","bull_012_atk_projectile_red","","shadow_normal_circle","","","","","","","","","bull_012_atk_hitenv","bull_012_atk_hit","bull_012_atk_reached","","","0","100","2","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlProjectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_rocket_blue.glb","sc3d/brock_renamed_rocket_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"RocketGirlUltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_rocket_blue.glb","sc3d/brock_renamed_rocket_red.glb","","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_ulti_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock002Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_rocket_blue.glb","sc3d/brock_renamed_rocket_red.glb","","brock_002_atk_tail_blue","brock_002_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock002UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_rocket_blue.glb","sc3d/brock_renamed_rocket_red.glb","","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_ulti_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock003Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_003_atk_blue.glb","sc3d/brock_renamed_003_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock003UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_003_atk_blue.glb","sc3d/brock_renamed_003_atk_red.glb","","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_ulti_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock004Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_004_atk_blue.glb","sc3d/brock_renamed_004_atk_red.glb","","brock_004_atk_tail_blue","brock_004_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_004_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock004UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_004_atk_blue.glb","sc3d/brock_renamed_004_atk_red.glb","","brock_004_ulti_tail","brock_004_ulti_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_004_ulti_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock005Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_005_atk_blue.glb","sc3d/brock_005_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock005UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_005_atk_blue.glb","sc3d/brock_005_atk_red.glb","","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","100","","brock_def_ulti_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock006Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_006_atk_blue.glb","sc3d/brock_renamed_006_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","","","shadow_rocket_small_blue","shadow_rocket_small_red","","","","","","brock_006_atk_reached","brock_006_atk_reached","brock_006_atk_reached","","","0","100","","brock_def_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock006UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_006_atk_blue.glb","sc3d/brock_renamed_006_atk_red.glb","","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","brock_006_ult","","","0","100","","brock_def_ulti_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock007Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_007_atk.glb","sc3d/brock_renamed_007_atk_red.glb","","brock_007_prj_glow","brock_007_prj_glow_red","","","","brock_007_shadow","brock_007_shadow_red","","","","","","gen_hit","gen_hit_brawler","","","","0","100","","brock_007_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock007UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_007_ulti.glb","sc3d/brock_007_ulti_red.glb","","willow_def_atk_projectile_glow","willow_def_atk_projectile_glow_red","","","","brock_007_ulti_shadow","brock_007_ulti_shadow_red","","","","","","gen_hit","gen_hit_brawler","","","","0","100","","brock_007_atk_trail","","","","","","","UseZFrames","","","","","","","","","","","","","","","",""
"Brock008Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","","","","brock_008_atk_projectile","brock_008_atk_projectile_red","","shadow_normal_circle_big","","","","","","","","","brock_008_atk_reached","brock_008_atk_reached","brock_008_atk_reached","","","0","100","","brock_008_atk_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock008UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","","","","brock_008_ulti_projectile","brock_008_ulti_projectile_red","","shadow_normal_circle","","","","","","","","","gen_no_hit","gen_no_hit","gen_no_hit","","","0","85","","","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock009Projectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_009_atk.glb","sc3d/brock_renamed_009_atk_red.glb","","brock_009_atk_glow","brock_009_atk_glow_red","","shadow_normal_circle_big","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","100","","brock_009_atk_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock009UltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_renamed_009_atk.glb","sc3d/brock_renamed_009_atk_red.glb","","gen_particle_empty","gen_particle_empty","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","85","","brock_009_ulti_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock010ProjectileRed","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_010_atk.glb","sc3d/brock_renamed_010_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock010ProjectileBlue","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_010_atk.glb","sc3d/brock_renamed_010_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock010ProjectileYellow","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_010_atk.glb","sc3d/brock_renamed_010_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
"Brock010ProjectilePink","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_010_atk.glb","sc3d/brock_renamed_010_atk_red.glb","","brock_def_atk_tail_blue","brock_def_atk_tail_red","","shadow_normal_circle","","","","","","","","","gen_hit","gen_hit_brawler","","","","0","120","","brock_def_atk_trail","","","","","","","UseVerticalMirroring","","","","","","","","","","","","","","","",""
