"Name","Conf","Disabled","Campaigns","UpdateNumber","IconOverrideSWF","IconOverrideExportName","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","ProgressionSkinBase","ProgressionSkinLevel","ProgressionSkinFinal","PetSkin","PetSkin2","OverchargePetSkin","OverchargePetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","DontSellInCatalog","CanDropWithoutBlingPrice","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","DiffuseTexture","SpecularTexture","CustomShader","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID","PreciseCollision","OdditiesShopAvailability","NotSoldInVault"
"TrickshotDefault","TrickshotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","rico_redux_tex.sctx","rico_redux_tex.sctx","","","","","","","","","","","","",""
"CactusDefault","CactusDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","spike_tex.sctx","spike_tex.sctx","","","","","","","","","","","","",""
"CactusPink","CactusPink","","GOLDENWEEK","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_CACTUS_PINK_SKIN","TID_CACTUS_PINK_SKIN_SHOP","MODEL,VFX","","","spike_blossom_tex.sctx","spike_blossom_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"BarkeepDefault","BarkeepDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","barley_tex.sctx","barley_tex.sctx","","","","","","","","","","","","",""
"MechanicDefault","MechanicDefault","","","","","","","","","","","","","","TurretDefault","","","","","","","true","","","","","","","","","","","jessie_tex.sctx","jessie_tex.sctx","","","","400","100","","","","","","","",""
"ShamanDefault","ShamanDefault","","","","","","","","","","","","","","ShamanBearDefault","","","","","","","true","","","","","","","","","","","nita_tex.sctx","nita_tex.sctx","","","","","","","","","","","","",""
"ShamanPanda","ShamanPanda","","ANIMALS","","","","","","","","","","","","ShamanBearPanda","","","","","","1000","true","","29","","","RARE","TID_SHAMAN_PANDA_SKIN","TID_SHAMAN_PANDA_SKIN_SHOP","MODEL,PET","","","nita_panda_tex.sctx","nita_panda_tex.sctx","","","","","","","","","","","","NEVER",""
"ShamanBearDefault","ShamanBearDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","nita_bear_tex.sctx","nita_bear_tex.sctx","","","","","","","","","","","","",""
"ShamanBearPanda","ShamanBearPanda","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","nita_bear_panda_tex.sctx","nita_bear_panda_tex.sctx","","","","","","","","","","","","",""
"UndertakerDefault","UndertakerDefault","","","","","","1","","","","","","","","","","","","","","","true","","","","","","","","","","","mortis_redux_tex.sctx","mortis_redux_tex.sctx","","","","","","","","","","","","",""
"CrowDefault","CrowDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","crow_tex.sctx","crow_tex.sctx","","","","","","","","","","","","",""
"CrowWhite","CrowWhite","","MISC","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_CROW_WHITE_SKIN","TID_CROW_WHITE_SKIN_SHOP","MODEL,TEXTURE","","","crow_white_tex.sctx","crow_white_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"DeadMariachiDefault","DeadMariachiDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","poco_tex.sctx","poco_tex.sctx","","","","","","","","","","","","",""
"BowDudeDefault","BowDudeDefault","","","","","","","","","","","","","","BowDudeTotemDefault","","","","","","","true","","","","","","","","","","","bo_redux_tex.sctx","bo_redux_tex.sctx","","","","","","","","","","","","",""
"SniperDefault","SniperDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","piper_tex.sctx","piper_tex.sctx","","","","","","","","","","","","",""
"MinigunDudeDefault","MinigunDudeDefault","","","","","","","","","","","","","","HealstationDefault","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGuyHair","BullGuyHair","","NORSEGODS","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_BULL_HAIR_SKIN","TID_BULL_HAIR_SKIN_SHOP","MODEL,VFX","","","bull_viking_redux_tex.sctx","bull_viking_redux_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"TrickshotGold","TrickshotGold","","ROYALS","","","","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_TRICKSHOT_GOLD_SKIN","TID_TRICKSHOT_GOLD_SKIN_SHOP","MODEL,VFX","","","rico_gold_tex.sctx","rico_gold_tex.sctx","","","","-300","-550","","","","","","","AVAILABLE",""
"BarkeepGold","BarkeepGold","","OUTLAWS","","","","","","","","","","","","","","","","","","1000","true","","29","","","RARE","TID_BARKEEP_GOLD_SKIN","TID_BARKEEP_GOLD_SKIN_SHOP","MODEL,VFX","","","barley_banker_redux_tex.sctx","barley_banker_redux_tex.sctx","","","","","","","","","","","","NEVER",""
"LuchadorRudo","LuchadorRudo","","MISC","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_LUCHADOR_RUDO_SKIN","TID_LUCHADOR_RUDO_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrudo_tex.sctx","primo_elrudo_tex.sctx","","","","200","200","","","","","","","AVAILABLE",""
"BanditGirlBandita","BanditGirlBandita","","OUTLAWS","","","","","","8","","","","","","","","","","","","1000","true","","29","","","RARE","TID_SHOTGUN_BANDITA_SKIN","TID_SHOTGUN_BANDITA_SKIN_SHOP","MODEL","","","shelly_bandita_redux_tex.sctx","shelly_bandita_redux_tex.sctx","","","","","","","","","","","","NEVER",""
"LuchadorRey","LuchadorRey","","ROYALS","","","","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_LUCHADOR_KING_SKIN","TID_LUCHADOR_KING_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrey_tex.sctx","primo_elrey_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"BallDefault","BallDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackholeDefault","BlackholeDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","tara_tex.sctx","tara_tex.sctx","","","","","","","","","","","","",""
"HealstationDefault","HealstationDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","pam_turret_blue_tex.sctx","pam_turret_blue_tex.sctx","","","","","","","","","","","","",""
"BarrelbotDefault","BarrelbotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","darryl_tex.sctx","darryl_tex.sctx","","","","","","","","","","","","",""
"BlackholePetDefault","BlackholePetDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","tara_superability_tex.sctx","tara_superability_tex.sctx","","","","","","","","","","","","",""
"TntPetDefault","TntPetDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","nita_bear_tex.sctx","nita_bear_tex.sctx","","","","","","","","","","","","",""
"RangedBotDefault","RangedBotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","bot_ranger_tex.sctx","bot_ranger_tex.sctx","","","","","","","","","","","","",""
"MeleeFastBotDefault","MeleeFastBotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","bot_fast_melee_tex.sctx","bot_fast_melee_tex.sctx","","","","","","","","","","","","",""
"MeleeBotDefault","MeleeBotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","bot_melee_tex.sctx","bot_melee_tex.sctx","","","","","","","","","","","","",""
"BossBotDefault","BossBotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","bot_boss_tex.sctx","bot_boss_tex.sctx","","","","","","","","","","","","",""
"ArtilleryGalDefault","ArtilleryGalDefault","","","","","","","","","","","","","","ArtilleryTurretDefault","ArtilleryDudeCoverDefault","","","","","","true","","","","","","","","","","","penny_tex.sctx","penny_tex.sctx","","","","","","","","","","","","",""
"FrankDefault","FrankDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","frank_tex.sctx","frank_tex.sctx","","","","","","","","","","","","",""
"ArtilleryTurretDefault","ArtilleryTurretDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","penny_tex.sctx","penny_tex.sctx","","","","","","","","","","","","",""
"MechanicKnight","MechanicKnight","","FANTASY","","","","","","","","","","","","TurretDragon","","","","","","5000","true","","149","129","","EPIC","TID_MECHANIC_KNIGHT_SKIN","TID_MECHANIC_KNIGHT_SKIN_SHOP","MODEL,TURRET,VFX,ANIM","","","jessie_knight_redux_tex.sctx","jessie_knight_redux_tex.sctx","","","","800","","","","","","","","AVAILABLE",""
"FrankCaveman","FrankCaveman","","CAVE","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_FRANK_CAVEMAN_SKIN","TID_FRANK_CAVEMAN_SKIN_SHOP","MODEL","","","frank_caveman_remake_tex.sctx","frank_caveman_remake_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"TurretDragon","TurretDragon","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","jessie_knight_redux_turret_tex.sctx","jessie_knight_redux_turret_tex.sctx","","","","","","","","","","","","",""
"MechanicSummer","MechanicSummer","","SUMMER","","","","","","","","","","","","TurretSummertime","","","","","","2750","true","","79","69","","SUPER_RARE","TID_MECHANIC_SUMMER_SKIN","TID_MECHANIC_SUMMER_SKIN_SHOP","MODEL,TURRET,VFX","","","jessie_beach_tex.sctx","jessie_beach_tex.sctx","","","","800","","","","","","","","AVAILABLE",""
"TurretSummertime","TurretSummertime","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","jessie_beach_duck_tex.sctx","jessie_beach_duck_tex.sctx","","","","","","","","","","","","",""
"CrowPheonix","CrowPheonix","","PHOENIX","","","","","","","","","","","","","","","","","","","true","true","299","269","","LEGENDARY","TID_CROW_PHEONIX_SKIN","TID_CROW_PHEONIX_SKIN_SHOP","MODEL,VFX,ANIM","","","","","","","","-300","-50","","","","","","","AVAILABLE",""
"UndertakerGreaser","UndertakerGreaser","","RETRO","","sc/emoji_1.sc","emoji_mortis_retro","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_UNDERTAKER_GREASER_SKIN","TID_UNDERTAKER_GREASER_SKIN_SHOP","MODEL,ANIM","","","mortis_rockabilly_redux_tex.sctx","mortis_rockabilly_redux_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"BigBotDefault","BigBotDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","meleebot_tex.sctx","meleebot_tex.sctx","","","","","","","","","","","","",""
"BanditGirlPrereg","BanditGirlPrereg","","ANNIVERSARY2019","","","","","1","3","","","","","","","","","","","","","true","","","","","","TID_SHOTGUN_STAR_SKIN","TID_SHOTGUN_STAR_SKIN_SHOP","MODEL,VFX","","","shelly_prereg_01.sctx","shelly_prereg_01.sctx","","","","","","","","","","","","",""
"LootBox","LootBox","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntBox","TntBox","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"Safe","Safe","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntGuySanta","TntGuySanta","","BRAWLIDAYS","","","","","3","3","","","","","","","","","","","","2750","true","","79","","","SUPER_RARE","TID_DYNAMIKE_SANTA_SKIN","TID_DYNAMIKE_SANTA_SKIN_SHOP","MODEL,VFX","","","dynamike_santa_tex.sctx","dynamike_santa_tex.sctx","","","","","","","","","","","","NEVER",""
"TntGuyChef","TntGuyChef","","MEAL","","","","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_DYNAMIKE_CHEF_SKIN","TID_DYNAMIKE_CHEF_SKIN_SHOP","MODEL,VFX","","","dynamike_chef_tex.sctx","dynamike_chef_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"RocketGirlBoombox","RocketGirlBoombox","","MUSIC","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_BROCK_BOOMBOX_SKIN","TID_BROCK_BOOMBOX_SKIN_SHOP","MODEL","","","brock_boombox_tex.sctx","brock_boombox_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"BarkeepWizard","BarkeepWizard","","CLASHIP","","","","","2","4","","","","","","","","","","","","","true","","","","","","TID_BARLEY_WIZARD_SKIN","TID_BARLEY_WIZARD_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","barley_wizard_redux_tex.sctx","barley_wizard_redux_tex.sctx","","","","","","","","","","","","",""
"ShamanReindeer","ShamanReindeer","","BRAWLIDAYS","","","","","4","4","","","","","","ShamanBearReindeer","","","","","","5000","true","","149","","","EPIC","TID_NITA_REINDEER_SKIN","TID_NITA_REINDEER_SKIN_SHOP","MODEL,PET","","","nita_reindeer_tex.sctx","nita_reindeer_tex.sctx","","","","","","","","","","","","NEVER",""
"ArtilleryGalElf","ArtilleryGalElf","","BRAWLIDAYS","","","","","3","3","","","","","","ArtilleryTurretElf","ArtilleryDudeCoverDefault","","","","","2750","true","","79","","","SUPER_RARE","TID_PENNY_ELF_SKIN","TID_PENNY_ELF_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_elf_tex.sctx","penny_elf_tex.sctx","","","","","","","","","","","","NEVER",""
"NinjaDefault","NinjaDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","leon_redux_tex.sctx","leon_redux_tex.sctx","","","","","","","","","","","","",""
"UndertakerHat","UndertakerHat","","","","","","1","5","5","","UndertakerDefault","","","","","","","","","","","true","","","","","","TID_UNDERTAKER_HAT_SKIN","TID_UNDERTAKER_HAT_SKIN_SHOP","MODEL","","","mortis_redux_tex.sctx","mortis_redux_tex.sctx","","","","","","","","","","","","",""
"BullGuyFootbull","BullGuyFootbull","","SUPERBOWL","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_SKIN_FOOTBULL","TID_SKIN_FOOTBULL_SHOP","MODEL","","","bull_footbull_redux_tex.sctx","bull_footbull_redux_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"ShamanBearReindeer","ShamanBearReindeer","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","nita_bear_reindeer_tex.sctx","nita_bear_reindeer_tex.sctx","","","","","","","","","","","","",""
"ArtilleryTurretElf","ArtilleryTurretElf","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","penny_elf_tex.sctx","penny_elf_tex.sctx","","","","","","","","","","","","",""
"HookDefault","HookDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","gene_tex.sctx","gene_tex.sctx","","","","","","","","","","","","",""
"TrickshotPopcorn","TrickshotPopcorn","","BRAWLYWOOD","","","","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_SKIN_POPCORN_RICO","TID_SKIN_POPCORN_RICO_SHOP","MODEL,VFX","","","rico_popcorn_tex.sctx","rico_popcorn_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"GunSlingerHanbok","GunSlingerHanbok","","LNY","","","","","3","3","","","","","","","","","","","","5000","true","","149","","","EPIC","TID_SKIN_LUNAR_COLT","TID_SKIN_LUNAR_COLT_SHOP","MODEL,TEXTURE,VFX","","","colt_hanbok_tex.sctx","colt_hanbok_tex.sctx","","","","","","","","","","","","NEVER",""
"BarrelbotCny","BarrelbotCny","","LNY","","","","","3","3","","","","","","","","","","","","2750","true","","79","","","SUPER_RARE","TID_SKIN_DUMPLING_DARRYL","TID_SKIN_DUMPLING_DARRYL_SHOP","MODEL,TEXTURE,VFX","","","darryl_cny_tex.sctx","darryl_cny_tex.sctx","","","","","","","","","","","","NEVER",""
"PocoValentine","PocoValentine","","BRAWLENTINES","","sc/emoji_1.sc","emoji_poco_stvalentines","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_SKIN_VALENTINE_POCO","TID_SKIN_VALENTINE_POCO_SHOP","MODEL,VFX","","","poco_valentine_tex.sctx","poco_valentine_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"RocketGirlCny","RocketGirlCny","","LNY","","","","","3","3","","","","","","","","","","","","5000","true","","149","","","EPIC","TID_SKIN_LUNAR_BROCK","TID_SKIN_LUNAR_BROCK_SHOP","MODEL,TEXTURE,VFX","","","brock_lion_dance_redux_tex.sctx","brock_lion_dance_redux_tex.sctx","","","","","","","","","","","","NEVER",""
"WhirlwindDefault","WhirlwindDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","carl_redux_tex.sctx","carl_redux_tex.sctx","","","","","","","","","","","","",""
"RoboWarsBox","RoboWarsBox","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerNightwitch","UndertakerNightwitch","","CLASHIP","","","","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_UNDERTAKER_NIGHTWITCH_SKIN","TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP","MODEL,VFX","","","mortis_nightwitch_tex.sctx","mortis_nightwitch_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"RoboWarsBaseDefault","RoboWarsBaseDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","siege_base.sctx","siege_base.sctx","","","","","","","","","","","","",""
"RosaDefault","RosaDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCart","MineCart","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanShiba","ShamanShiba","","GOLDENWEEK","","sc/emoji_1.sc","emoji_nita_gw","","","","","","","","","ShamanBearShiba","","","","","","5000","true","","149","129","","EPIC","TID_SHAMAN_SHIBA_SKIN","TID_SHAMAN_SHIBA_SKIN_SHOP","MODEL,PET,VFX,ANIM,SFX","","","nita_shiba_tex.sctx","nita_shiba_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"ShamanBearShiba","ShamanBearShiba","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","nita_bear_shiba_tex.sctx","nita_bear_shiba_tex.sctx","","","","","","","","","","","","",""
"BaseballDefault","BaseballDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","bibi_redux_tex.sctx","bibi_redux_tex.sctx","","","","","","","","","","","","",""
"MineCartB","MineCartB","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartC","MineCartC","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartD","MineCartD","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartE","MineCartE","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDefault","ClusterBombDefault","","","","","","","","","","","","","","ClusterBombPetDefault","","","","","","","true","","","","","","","","","","","tick_redux_tex.sctx","tick_redux_tex.sctx","","","","","","","","","","","","",""
"ClusterBombPetDefault","ClusterBombPetDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","tick_redux_tex.sctx","tick_redux_tex.sctx","","","","","","","","","","","","",""
"ArtilleryGalBunny","ArtilleryGalBunny","","BUNNY_BRIGADE","","","","","","","","","","","","ArtilleryTurretBunny","ArtilleryDudeCoverDefault","","","","","2750","true","","79","69","","SUPER_RARE","TID_PENNY_BUNNY_SKIN","TID_PENNY_BUNNY_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_bunny_redux_tex.sctx","penny_bunny_redux_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"ArtilleryTurretBunny","ArtilleryTurretBunny","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","penny_bunny_redux_tex.sctx","penny_bunny_redux_tex.sctx","","","","","","","","","","","","",""
"BarkeepMs","BarkeepMs","","RETRO","","sc/emoji_1.sc","emoji_barley_retro","","3","3","","","","","","","","","","","","5000","true","","149","","","EPIC","TID_BARLEY_MS_SKIN","TID_BARLEY_MS_SKIN_SHOP","MODEL,VFX,ANIM","","","barley_ms_tex.sctx","barley_ms_tex.sctx","","","","","","","","","","","","NEVER",""
"RocketGirlHotrod","RocketGirlHotrod","","RETRO","","sc/emoji_1.sc","emoji_brock_retro","","3","3","","","","","","","","","","","","5000","true","","149","","","EPIC","TID_BROCK_HOTROD_SKIN","TID_BROCK_HOTROD_SKIN_SHOP","MODEL,VFX","","","brock_hotrod_redux_tex.sctx","brock_hotrod_redux_tex.sctx","","","","","","","","","","","","NEVER",""
"BarkeepMaple","BarkeepLumberjack","","MEAL","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_BARLEY_MAPLE_SKIN","TID_BARLEY_MAPLE_SKIN_SHOP","MODEL,VFX","","","barley_lumberjack_redux_tex.sctx","barley_lumberjack_redux_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"WhirlwindRR","WhirlwindHotrod","","RETRO","","sc/emoji_1.sc","emoji_carl_retro","","3","3","","","","","","","","","","","","2750","true","","79","","","SUPER_RARE","TID_CARL_RR_SKIN","TID_CARL_RR_SKIN_SHOP","MODEL,VFX","","","carl_hotrod_tex.sctx","carl_hotrod_tex.sctx","","","","","","","","","","","","NEVER",""
"BoMecha","BoMecha","","MECHA","","","","8","","","","","","","","","","","","","","","true","true","299","269","","LEGENDARY","TID_BO_MECHA_SKIN","TID_BO_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_tex.sctx","bo_mecha_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"CrowMecha","CrowMecha","","MECHA","","","","9","","","","","","","","","","","","","","","true","true","299","269","","LEGENDARY","TID_CROW_MECHA_SKIN","TID_CROW_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mecha_tex.sctx","crow_mecha_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"Cactusmecha","Cactusmecha","","MAXFORCE","","","","","","","","","","","","","","","","","","5000","true","","149","129","","EPIC","TID_SPIKE_ROBO_SKIN","TID_SPIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","spike_mecha_tex.sctx","spike_mecha_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"TntDudeMecha","TntDudeMecha","","MAXFORCE","","","","","","","","","","","","","","","","","","","true","true","299","269","","LEGENDARY","TID_MIKE_ROBO_SKIN","TID_MIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","dynamike_mecha_tex.sctx","dynamike_mecha_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"BowDudeMechaWhite","BoMecha","","MECHA","","","","8","","","","","","","","BowDudeTotemDefault","","","","","","","","","49","","","LEGENDARY","TID_BO_MECHA_LIGHT_SKIN","TID_BO_MECHA_LIGHT_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_white_tex.sctx","bo_mecha_white_tex.sctx","","","","","","","","BoMecha","","","","",""
"BowDudeMechaGold","BoMecha","","MECHA","","","","8","","","","","","","","BowDudeTotemDefault","","","","","","","","","49","","","LEGENDARY","TID_BO_MECHA_GOLD_SKIN","TID_BO_MECHA_GOLD_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_gold_tex.sctx","bo_mecha_gold_tex.sctx","","","","","","","","BoMecha","","","","",""
"CrowMechaGold","CrowMecha","","MECHA","","","","9","","","","","","","","","","","","","","","","","49","","","LEGENDARY","TID_CROW_MECHA_GOLD_SKIN","TID_CROW_MECHA_GOLD_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mechagold_tex.sctx","crow_mechagold_tex.sctx","","","","","","","","CrowMecha","","","","",""
"CrowMechaNight","CrowMecha","","MECHA","","","","9","","","","","","","","","","","","","","","","","49","","","LEGENDARY","TID_CROW_MECHA_NIGHT_SKIN","TID_CROW_MECHA_NIGHT_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mecha_night_tex.sctx","crow_mecha_night_tex.sctx","","","","","","","","CrowMecha","","","","",""
"BullDudeFootbullBlue","BullGuyFootbull","","SUPERBOWL","","","","","","","","","","","","","","","","","","1000","true","","29","","","RARE","TID_BULL_LINEBACKER_SKIN","TID_BULL_LINEBACKER_SKIN_SHOP","MODEL","","","bull_footbull_redux_chroma_blue_tex.sctx","bull_footbull_redux_chroma_blue_tex.sctx","","","","","","","","BullGuyFootbull","","","","NEVER",""
