"Name","Type","SubType","Cooldown","UseEffect","PetUseEffect","LoopingEffect","LoopingEffectPet","ActivationDelay","ActiveTicks","ShowCountdown","StopMovement","StopPetForDelay","AnimationIndex","SetAttackAngle","AimGuideType","ConsumesAmmo","StatusEffectAlly","StatusEffectEnemy","AreaEffect","PetAreaEffect","InterruptsAction","AllowStunActivation","Interruptable","RequirePetDistance","DestroyPet","Range","RequireEnemyInRange","TargetFriends","TargetIndirect","ShieldPercent","ShieldTicks","SpeedBoost","SpeedBoostTicks","SkipTypeCondition","UsableDuringCharge","UsableInShadowRealm","CustomObject","CustomObject2","CustomValue1","CustomValue2","CustomValue3","CustomValue4","CustomValue5","CustomValue6","MissingTargetText","TargetTooFarText","TargetAlreadyActiveText","RequiresSpecificActionText","CustomBlockText"
"Luchador_Meteor","spawn","4","260","gadget_activate","","","","","","","","","","","4","","","","","","","","","","","10","true","","true","","","","","","","","LuchadorMeteorSpawn","","400","","","","","","","","","",""
"Barkeep_HealPotion","repeat_shot","1","340","gadget_activate","","","","","30","","","","","true","4","","","","","","true","","true","","","10","","true","true","","","","","","","","BarkeepHealingProjectile","","5","-15","3000","","","","","","","",""
"TntDude_Stun","next_attack_change","3","460","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Mechanic_TurretBuff","pet_attack_speed","","220","gadget_activate","","","gadget_pet_on_loop","","100","true","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","3","","","","","","TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR","","",""
"Percenter_StaticDamage","next_attack_change","4","200","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","",""
"FireDude_Spill","trail","","300","gadget_activate","","","","","60","true","","","","","","","","","PetrolDistributionGadget","","","","","","","","","","","","","100","60","","","","PetrolDistributionTrail","","200","","","","","","","","","",""
"BullDude_Stomp","","","280","gadget_activate","","","","","","","true","","","","","","","","BullSlowArea","","true","","","","","","","","","","","","","","2","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_BULLDOZER",""
"Speedy_Rewind","rewind","1","200","gadget_activate","","gadget_on_loop","","","60","true","","","","","","","","","SpeedyRewindArea","","","","","","","","","","","","","","","","","","ArcadeTeleport","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"BeeSniper_ExtraBee","repeat_shot","2","400","gadget_bea_circlingBea_active","","","","","16","","","","","","","","","","","","","","true","","","","","","","","","","","","","","BeeSniperCirclingProjectile","","4","75","","","","","","","","",""
"BarrelBot_Slow","following_area","","300","gadget_activate","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","BarrelBotSlowArea","","","","","","","","","","","",""
"Shaman_Shield","shield_pet","","280","gadget_activate","","","","","60","true","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","35","","","","","","TID_ACCESSORY_BLOCKED_MISSING_BEAR","TID_ACCESSORY_BLOCKED_BEAR_TOO_FAR","","",""
"Wally_Reposition","reposition_wall","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_WALL","","","",""
"RocketGirl_MegaRocket","next_attack_change","2","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","RocketGirlGadgetProjectile","","0","0","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Whirlwind_Fly","next_attack_change","5","380","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Arcade_Double","next_attack_change","2","220","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Gunslinger_BigBullet","next_attack_change","2","320","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","GunslingerBigProjectile","","100","100","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"IceDude_Freeze","","","360","gadget_activate","","","","","20","","true","","","","","","","","","","true","","","","","","","","","100","20","","","","","","","","","","","","","","","","","",""
"SnakeOil_Heal","heal","2","340","gadget_activate","","","","","60","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","",""
"Enrager_SuperBoost","auto_super_load_boost","","420","gadget_activate","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525","","","","","","","","","",""
"Ruffs_Cover","spawn","5","320","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuffsCover","","3","400","","35","","","","","","",""
"Rosa_BushControl","bush_slow","","280","gadget_activate","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","60","30","","","","","","","",""
"SpawnerDude_ExtraPorter","next_attack_change","6","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpawnerPetGadget","","","","","","","","","","","",""
"DeadMariachi_Cleanse","","","360","gadget_activate","","","","","","","","","","","1","","","","PocoCleanseArea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDude_Pull","next_attack_change","7","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","50","","","","","","","","",""
"HookDude_Homing","repeat_shot","1","400","gadget_activate","","gadget_on_loop","","","100","","","","","","4","","","","","","","","true","","","11","true","","true","","","","","","","","GeneHomingProjectile","","5","80","","","","","","","","",""
"Controller_BounceBack","return_damage","","340","gadget_activate","","gadget_nani_reflect","","","40","true","","","","","","","","","","","","","","","","","","","","","","","","","","","NaniBounceProjectile","","80","-1","","","","","","","","",""
"Driller_Proto","","","200","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDude_Explosion","","","300","gadget_activate","","gadget_tick_explosion","","20","","","","","","","1","","","","TickGadgetExplosion","","","","","","","","","","","50","21","","","","","","","","","","","","","","","","","",""
"BlackHole_Shadows","spawn","5","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BlackHolePetGadget","","3","400","120","","","","","","","",""
"Baseball_Proto","","","200","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Roller_Speed","spawn","1","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpeedBooster","","","","","","","","","","","",""
"ElectroSniper_Trap","spawn","3","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ElectroTrap","","30","","","","","","","","","",""
"StickyBomb_Range","next_attack_change","2","280","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","0","23","","","","","","","",""
"CrossBomber_Vision","spawn","1","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CrossBomberVisionTower","","","","","","","","","","","",""
"RopeDude_WeakUlti","ulti_change","1","360","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","","","","TID_ACCESSORY_BLOCKED_ULTI_ALREADY_CHARGED","",""
"AssaultShotgun_Bomb","repeat_shot","3","320","gadget_activate","","","","","5","","","","","","","","","","","","true","","","","","","","","","","","","","","","","AssaultShotgunGadgetProjectile","","5","250","","","","","","","","",""
"IceDude_AreaFreeze","trigger_ulti_area","","360","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IceDudeGadgetActivationArea","","50","","","","","","TID_ACCESSORY_BLOCKED_MISSING_LOU_ULTI","TID_ACCESSORY_BLOCKED_MISSING_OPPONENT_IN_AREA","","",""
"Roller_MegaStunt","ulti_change","2","320","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RollerGadgetProjectile","","20","3","200","2000","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Ruffs_AirStrike","spawn","4","300","gadget_activate","","","","","50","","","","","","4","","","","","","","","","","","10","true","","true","","","","","","","","RuffsAirStrikeSpawn","","100","8","","","","","","","","",""
"Enrager_Protection","consumable_shield","","340","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","140","","","","","","","TID_ACCESSORY_BLOCKED_SHIELD_ALREADY_ACTIVE","",""
"MinigunDude_AmmoSink","next_attack_change","10","340","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","50","","","","","","","","",""
"Sandstorm_StunSleep","next_attack_change","11","360","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","",""
"Cactus_Cover","spawn","1","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CactusCover","","50","","","","","","","","","",""
"Blower_Stopper","spawn","3","420","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WindWall","","","","","","","","","","","",""
"Ninja_InvisibleArea","spawn","1","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NinjaInvisibleArea","","","","","","","","","","","",""
"TrickshotDude_BounceHeal","next_attack_change","9","340","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","",""
"Knight_Heal","heal","3","260","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_RAGE","",""
"MechaDude_Heal","heal","4","340","gadget_activate","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_MECHA","","","",""
"Duplicator_StaticDuplicate","pet_control","1","220","gadget_activate","","","gadget_pet_on_loop","","80","true","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","50","","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_DUPLICATE","TID_ACCESSORY_BLOCKED_DUPLICATE_TOO_FAR","","",""
"KickerDude_Mines","spin_shoot","","300","gadget_activate","","darryl_def_atk","","","15","","","","","","","","","","","","true","","true","","","","","","","","","","","","","","KickerDudeMinesProjectile","","2","50","40","1500","0","0","","","","",""
"119d51e112ac047a90d534ac9bf4f7ad52481f51","","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","","","","","","","","","","","","","","","","","",""
"Flea_Jump","spawn","6","340","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FleaExtraPet","","20","200","","","","","","","","",""
"Flea_Symbiosis","swap_secondary_pet","","220","gadget_activate","flea_gadget_heal","","","","20","","","","","","","","","","","","","","","12","","","","","","","","","","","","","FleaHealingPet","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_BIG_EGG","TID_ACCESSORY_BLOCKED_BIG_EGG_TOO_FAR","","",""
"Duplicator_Swap","teleport_to_pet","2","340","gadget_activate","","","","","10","","true","","","","","","","","","","true","","","12","","","","","","","","","","","","","DuplicatorSwapEffect","","20","","","","","","TID_ACCESSORY_BLOCKED_MISSING_EGO","TID_ACCESSORY_BLOCKED_EGO_TOO_FAR","","",""
"Percenter_Lifesteal","next_attack_change","2","340","gadget_activate","","gadget_on_loop","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","PercenterLifestealProjectile","","20","0","","-1","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Baseball_Sticky","ulti_change","3","200","gadget_activate","","","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","BaseballStickyProjectile","BaseballOverchargedUltiProjectileSticky","3","","","","0","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Mummy_Acid","next_attack_change","2","220","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","MummyAcidProjectile","","-10","0","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"CrossBomber_Burst","next_attack_change","2","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"SnakeOil_Spread","next_attack_change","14","280","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","SnakeOilGadgetHot","SnakeOilGadgetDot","","","","","","","","","","","","","","","","","","","","","3","60","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"StickyBomb_Vision","next_attack_change","8","400","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","StickyBombVisionArea","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"ElectroSniper_Bounce","next_attack_change","2","280","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","ElectroSniperBounceProjectile","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"KickerDude_Sweep","spin_shoot","","320","gadget_activate","","","","","8","","","","1","","1","","","","KickerDudeSweepStun","","true","","","","","","","","","","","","","","","","","","100","","","","","","","","","",""
"Knight_Rage","take_damage","2","160","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","40","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_HEALTH","TID_ACCESSORY_BLOCKED_RAGE_ALREADY_FULL","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"JetpackGirl_DamageTower","spawn","1","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JetpackGirlDamageTower","","","","","","","","","","","",""
"JetpackGirl_JumpAttack","next_attack_change","15","320","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"CannonGirl_Speed","movement_speed","1","320","gadget_activate","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","5","","","","","TID_ACCESSORY_BLOCKED_REQUIRES_CANNON","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"CannonGirl_Dash","dash","1","200","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","600","2000","130","200","","","TID_ACCESSORY_BLOCKED_REQUIRES_ASSASSIN","","","",""
"PowerLeveler_ExtraLevels","extra_power_levels","","300","gadget_activate","","gadget_on_loop","","","200","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_MAX_LEVEL","",""
"PowerLeveler_Shield","reload_shield","","340","gadget_activate","","gadget_nani_reflect","","","40","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","2","","","","","","","","",""
"Driller_Rebuild","respawn_environment","","220","gadget_activate","","","","","","","","","","","5","","","","","","","","","","","1","","","","","","","","","","","DrillerRebuildEffect","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"AssaultShotgun_Projectiles","next_attack_change","2","220","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"FireDude_FlameShield","repeat_shot","4","280","gadget_activate","","gadget_amber_fire","","","1","","","","","","","","","","","","","","true","","","","","","","","","","","","","","FlameDudeCirclingProjectile","","1","450","3","","","","","","","",""
"MechaDude_ReloadTower","spawn","1","380","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MechaDudeReloadTower","","","","","","","","","","","",""
"RopeDude_Vision","vision","1","400","gadget_activate","","gadget_on_loop","","","240","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Silencer_Mine","ulti_change","4","220","gadget_activate","","","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","SilencerHuggerMine","","","","","","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","","",""
"Silencer_BigProjectiles","next_attack_change","2","340","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","SilencerBigProjectile","","100","150","","125","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"WeaponThrower_Pull","item_area_trigger","","340","gadget_activate","","","","","50","","","","","","","","","","WeaponThrowerPullArea","","","","","","","14","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_GAUNTLETS","TID_ACCESSORY_BLOCKED_GAUNTLETS_TOO_FAR","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"WeaponThrower_Explode","ulti_change","5","220","gadget_activate","","","","","50","","","","","","","","","","","","","","","","","14","","","","","","","","","","","WeaponThrowerExplosion","","","","","","","","TID_ACCESSORY_BLOCKED_SUPER_REQUIRED","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","TID_ACCESSORY_BLOCKED_GAUNTLETS_REQUIRED",""
"SoulCollector_ExplodeSouls","explode_souls","","320","gadget_activate","","","","","50","","","","","","","","","","SoulCollectorSoulExplosion","","","","","","","14","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_SOULS","TID_ACCESSORY_BLOCKED_SOULS_TOO_FAR","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
