"Name","Disabled","IconSWF","IconExportName","TID","CanBeBought","RepresentingHighlightEmote"
"Biodome",,"sc/ui.sc","pin_pack_biodome","TID_EMOTE_BUNDLE_BIODOME_PACK","false",
"Stuntshow",,"sc/ui.sc","pin_pack_stuntshow","TID_EMOTE_BUNDLE_STUNTSHOW_PACK","false",
"Goldenweek",,"sc/ui.sc","pin_pack_goldenweek","TID_EMOTE_BUNDLE_GOLDENWEEK_PACK","false",
"Villains",,"sc/ui.sc","pin_pack_villains","TID_EMOTE_BUNDLE_VILLAINS_PACK","false",
"Deepsea",,"sc/ui.sc","pin_pack_deepsea","TID_EMOTE_BUNDLE_DEEPSEA_PACK","false",
"Mortis_mecha",,"sc/ui.sc","pin_pack_mortis_mecha","TID_EMOTE_BUNDLE_MORTIS_MECHA_PACK","true","emoji_mortis_mecha"
"Eve_cactus",,"sc/ui.sc","pin_pack_eve_cactus","TID_SHOP_OFFER_TITLE_21","true","emoji_eve_cactus"
"Janet_valkyrie",,"sc/ui.sc","pin_pack_janet_valkyrie","TID_SHOP_OFFER_TITLE_21","true","emoji_janet_valkyrie"
"Otto_pharaoh",,"sc/ui.sc","pin_pack_otto_pharaoh","TID_SHOP_OFFER_TITLE_PHARAOTIS_PACK","true","emoji_otto_pharaoh"
"Crow_phoenix",,"sc/ui.sc","pin_pack_crow_phoenix","TID_EMOTE_BUNDLE_CROW_PHOENIX_PACK","true","emoji_crow_phoenix"
"Edgar_mecha",,"sc/ui.sc","pin_pack_edgar_mecha","TID_EMOTE_BUNDLE_EDGAR_MECHA_PACK","true","emoji_edgar_mecha"
"Stu_university",,"sc/ui.sc","pin_pack_stu_university","TID_EMOTE_BUNDLE_STU_UNIVERSITY_PACK","true","emoji_stu_university"
"Bronson_caesar",,"sc/ui.sc","pin_pack_bronson_caesar","TID_EMOTE_BUNDLE_BRONSON_CAESAR_PACK","true","emoji_bronson_caesar"
"Dynamike_robot",,"sc/ui.sc","pin_pack_dynamike_robot","TID_EMOTE_BUNDLE_DYNAMIKE_ROBOT_PACK","true","emoji_dynamike_robot"
"Pam_evilqueen",,"sc/ui.sc","pin_pack_pam_evilqueen","TID_EMOTE_BUNDLE_PAM_EVILQUEEN_PACK","true","emoji_pam_evilqueen"
"Nita_circus",,"sc/ui.sc","pin_pack_nita_circus","TID_EMOTE_BUNDLE_NITA_CIRCUS_PACK","true","emoji_nita_circus"
"Buster_chainsaw",,"sc/ui.sc","pin_pack_buster_chainsaw","TID_EMOTE_BUNDLE_BUSTER_CHAINSAW_PACK","true","emoji_cameron_chainsaw"
"Mandy_lava",,"sc/ui.sc","pin_pack_mandy_lava","TID_EMOTE_BUNDLE_MANDY_LAVA_PACK","true","emoji_mandy_lava"
"Crimson_rt",,"sc/ui.sc","pin_pack_rt_cult","TID_EMOTE_BUNDLE_RT_CULT","true","emoji_rt_cult"
"Jungle_maisie",,"sc/ui.sc","pin_pack_maisie_jungle","TID_EMOTE_BUNDLE_MAISIE_JUNGLE","true","emoji_maisie_jungle"
"Sporemind_cordelius",,"sc/ui.sc","pin_pack_tox_space","TID_EMOTE_BUNDLE_SPOREMIND_CORDELIUS","true","emoji_tox_space"
"Periscope_pearl",,"sc/ui.sc","pin_pack_pearl_submarine","TID_EMOTE_BUNDLE_PERISCOPE_PEARL","true","emoji_pearl_submarine"
"Rosie_charlie",,"sc/ui.sc","pin_pack_charlotte_rose","TID_EMOTE_BUNDLE_ROSIE_CHARLIE","true","emoji_charlotte_rose"
"Skulltoon",,"sc/ui.sc","pin_pack_skulltoon","TID_EMOTE_BUNDLE_SKULLTOON","true","emoji_skulltoon"
"LNYdragon",,"sc/ui.sc","pin_pack_dragon","TID_EMOTE_BUNDLE_LNY_DRAGON","true","emoji_dragon"
"Sandclock",,"sc/ui.sc","pin_pack_sandclock","TID_EMOTE_BUNDLE_SANDCLOCK","true","emoji_sandclock"
"Ragnarok",,"sc/ui.sc","pin_pack_skull_ragnarock","TID_EMOTE_BUNDLE_SKULL_RAGNAROK","true","emoji_skull_ragnarock"
"Godzillaegg",,"sc/ui.sc","pin_pack_godzilla_egg","TID_EMOTE_BUNDLE_GODZILLA_EGG","true","emoji_godzilla_egg"
"Hackers",,"sc/ui.sc","pin_pack_hacker","TID_EMOTE_BUNDLE_SKULL_HACKER","true","emoji_hacker"
"BSC2021",,"sc/ui.sc","pin_pack_champie","TID_EMOTE_BUNDLE_WF_2021","true","emoji_champie_thuglife"
"BSC2020",,"sc/ui.sc","pin_pack_champie","TID_EMOTE_BUNDLE_WF_2020","true","emoji_champie_gg"
