"Name","Target","AffectType","Type","Value","Projectile","AreaEffect","Character","Skill","StatusEffect"
"Rosa1","Rosa",,"TriggerAreaEffectOnBasicAttack",,,"MutantBushGrowArea",,,
"Rosa2","Rosa",,"ApplyStatusEffectToEnemiesAllTime",,,,,,"MutantRosaForceShow"
"Rico1","TrickshotDude",,"OverrideMaxDistanceAddBounces",5,,,,,
"Rico2","TrickshotDude",,"OverrideDistanceAddFromBounce",2000,,,,,
"Pam1","MinigunDude",,"OverrideSummonedCharacter",,,,"OverchargedHealingStation",,
"Eve1","Flea",,"SpawnCharacterOnHit",1,,,"FleaPet",,
"Belle1","ElectroSniper",,"OverrideChainTravelDistance",12,,,,,
"Belle2","ElectroSniper",,"OverrideNumsChainsForward",5,,,,,
"Belle3","ElectroSniper",,"OverrideChainProjectile",,"ElectroSniperMutantProjectile",,,,
"Belle4","ElectroSniper",,"OverrideChainProjectileTravelType",13,,,,,
"Ash1","Knight",,"OverrideMaxSpawns",20,,,,,
"Ash2","Knight",,"OverrideNumSpawns",2,,,,,
"ASh3","Knight",,"OverrideUltiCharge",150,,,,,
"Piper1","Sniper",,"OverrideMsBetweenBasicAttacks",200,,,,,
"Piper2","Sniper",,"OverrideActiveTimeBasicAttack",400,,,,,
"Janet1","JetpackGirl",,"OverrideMsBetweenAttackUlti",460,,,,,
"Janet2","JetpackGirl",,"OverrideUltiCharge",85,,,,,
"Buzz1","RopeDude",,"OverrideUltiCastingRange",60,,,,,
"Buzz2","RopeDude",,"IncreaseMaxHp",20,,,,,
"Buzz3","RopeDude",,"OverrideUltiCharge",120,,,,,
"Grom1","CrossBomber",,"OverrideUltiCharge",80,,,,,
"Grom2","CrossBomber",,"OverrideNumBulletsInUltiExplosionUlti",8,,,,,
"Bonnie1","CannonGirl","OnlyMainBrawler","OverrideNumBulletsInBasicAttack",3,,,,,
"Bonnie2","CannonGirl","OnlyMainBrawler","OverrideSpreadBasicAttack",150,,,,,
"Bonnie3","CannonGirl","OnlySecondaryBrawler","TriggerStunWithCharge",10,,,,,
"Carl2","Whirlwind",,"IncreaseSpeedWhileSkillActive",1000,,,,"WhirlwindUlti",
"Emz1","Mummy",,"OverridePushBack",50,,,,,
"Stu1","Roller",,"TriggerAreaEffectWhenUlti",,,"RollerMutationArea",,,
"8bit1","Arcade",,"OverrideMaxSpawns",6,,,,,
"8bit2","Arcade",,"OverrideUltiCharge",170,,,,,
"8bit3","Arcade",,"AddExtraHealthToSummonedMinions",2000,,,,,
"Gene1","HookDude",,"OverrideUltiCharge",120,,,,,
"Gene2","HookDude",,"OverrideUltiSteerStrength",20,,,,,
"Gene3","HookDude",,"OverrideUltiSteerIgnoreTicks",5,,,,,
"Gene4","HookDude",,"OverrideUltiHomeDistance",20,,,,,
"Gene5","HookDude",,"OverrideUltiSteerLifeTime",15,,,,,
"Gene6","HookDude",,"OverrideUltiTravelType",4,,,,,
"Berry1","Painter",,"SpawnAreaEffectWhileMoving",20,,"PainterAreaEffectMutant",,,
"Charlie1","Cocooner",,"SpawnCharacterWhileMoving",40,,,"CocoonerPet",,
"Bull1","BullDude",,"OverrideChargeUltiAutomaticallyPerSecond",500,,,,,
"Jessie1","Mechanic",,"OverrideRapidFireAttackPatternForPets",20,,,,,
"Jessie2","Mechanic",,"AddExtraHealthToSummonedMinions",2000,,,,,
"Jessie3","Mechanic",,"AddExtraScaleToPets",100,,,,,
"Finx1","Chronomancer",,"AddAreaEffectThatFollows",,,"ChronomancerUltiTimebend",,,
"Kenji1","Samurai",,"OverrideBasicAttackRechargeTime",100,,,,,
"Juju1","Voodoo",,"AddExtraHealthToSummonedMinions",5000,,,,,
"Juju2","Voodoo",,"AddExtraScaleToPets",140,,,,,
"Lily1","Ambusher",,"OverrideMaxDistanceAddBouncesUlti",8,,,,,
"Lily2","Ambusher",,"OverrideDistanceAddFromBounceUlti",5000,,,,,
"Lily3","Ambusher",,"OverrideIsBouncing",1,,,,,
"Lily4","Ambusher",,"OverrideUltiCastingRange",50,,,,,
"Barley1","Barkeep",,"OverrideChainAreaEffectBasicAttack",,,"BarleyMutationAreaEffect",,,
"Leon1","Ninja",,"SpawnCharacterOnUlti",2,,,"NinjaMutation",,
"Leon2","Ninja",,"OverrideMaxSpawns",6,,,,,
"Leon3","Ninja",,"OverrideSpawnCharacterRandomDist",600,,,,,
"Leon4","Ninja",,"OverrideUltiCharge",125,,,,,
"Leon5","Ninja",,"OverrideUltiSkillTargetSelf",,,,,,
"Tara1","BlackHole",,"SpawnCharacterOnUlti",3,,,"BlackHolePet",,
"Tara2","BlackHole",,"OverrideMaxSpawns",10,,,,,
"Tara3","BlackHole",,"OverrideSpawnCharacterRandomDist",600,,,,,
"Tara4","BlackHole",,"OverrideUltiCharge",100,,,,,
"Gus1","SoulCollector",,"OverrideChargeUpMax",1,,,,,
"Gus2","SoulCollector",,"OverrideChargeUp",1,,,,,
"Gus3","SoulCollector",,"IgnoreChargeReset",1,,,,,
"Olli1","Skater",,"OverrideAreaEffectStatusEffectEnemy",,,"SkaterUltiTaunt",,,"SkaterMutantTaunt"
"Olli2","Skater",,"IncreaseMaxHp",20,,,,,
"MrP1","SpawnerDude",,"OverrideSpawnAreaEffect1BasicAttack",,,"MrpMutationArea",,,
"Draco1","DragonRider",,"OverrideMountUpDurationTicks",-1,,,,,
"Amber1","FireDude",,"OverrideSpreadBasicAttack",20,,,,,
"Amber2","FireDude",,"OverrideNumBulletsInBasicAttack",2,,,,,
"Amber3","FireDude",,"SpawnAreaEffectWhileMoving",10,,"PetrolDistributionTrail",,,
"Byron1","SnakeOil",,"OverrideSpreadBasicAttack",60,,,,,
"Byron2","SnakeOil",,"OverrideNumBulletsInBasicAttack",3,,,,,
"Edgar1","Enrager",,"OverrideChargeSpeed",4000,,,,,
"Edgar2","Enrager",,"OverrideUltiCastingRange",50,,,,,
"Fang1","KickerDude",,"OverrideChainChargeRange",60,,,,,
"Fang2","KickerDude",,"OverrideUltiCharge",110,,,,,
"Fang3","KickerDude",,"IncreaseMaxHp",15,,,,,
"Meeple1","Meeple",,"OverrideBasicAttackSteerStrength",10,,,,,
"Meeple2","Meeple",,"OverrideBasicAttackSteerIgnoreTicks",8,,,,,
"Meeple3","Meeple",,"OverrideBasicAttackHomeDistance",40,,,,,
"Meeple4","Meeple",,"OverrideBasicAttackSteerLifeTime",15,,,,,
"Meeple5","Meeple",,"OverrideNumBulletsInBasicAttack",3,,,,,
"Meeple6","Meeple",,"OverrideSpreadBasicAttack",250,,,,,
"Meeple7","Meeple",,"OverrideBasicAttackCastingRange",25,,,,,
"Colette1","Percenter",,"SpawnAreaEffectWhileCharging",5,,"PercenterAreaEffectMutant",,,
"Colette2","Percenter",,"BulletExplosionAlignBrawlerFacing",,,,,,
"Shade1","Ghost",,"ApplyStatusEffectWhenDeadCenter",,,,,,"MutantGhostIncorporeal"
"Shade2","Ghost",,"OverrideUltiCharge",120,,,,,
"Surge1","PowerLeveler",,"OverrideLvlUpValue",3,,,,,
"Surge2","PowerLeveler",,"OverrideBasicAttackRechargeTime",500,,,,,
"Jae1","Alternator",,"SpawnAreaEffectWhileMoving",8,,"AlternatorProjectileSpeedTrail",,,
"Jae2","Alternator",,"OverrideUltiCharge",300,,,,,
"Mortis1","Undertaker",,"ShootProjectileIfChargeUpReadyOnBasicAttack",1500,"UndertakerUltiProjectile",,,,
"Moe1","Digger",,"OverrideTransformTicks",500,,,,,
"Moe2","Digger","OnlyMainBrawler","OverrideChargeSpeed",4500,,,,,
"Maisie1","Maisie",,"OverrideBasicAttackSteerStrength",10,,,,,
"Maisie2","Maisie",,"OverrideBasicAttackSteerIgnoreTicks",8,,,,,
"Maisie3","Maisie",,"OverrideBasicAttackHomeDistance",40,,,,,
"Maisie4","Maisie",,"OverrideBasicAttackSteerLifeTime",15,,,,,
"Maisie5","Maisie",,"OverrideBasicAttackTravelType",4,,,,,
"Maisie6","Maisie",,"OverrideMsBetweenBasicAttacks",300,,,,,
"Maisie7","Maisie",,"OverrideActiveTimeBasicAttack",600,,,,,
"Pearl1","Cooker",,"OverrideChargeUp",12000,,,,,
"Pearl2","Cooker",,"IgnoreChargeReset",1,,,,,
"Pearl3","Cooker",,"PreventLosingCharge",1,,,,,
"Penny4","ArtilleryDude",,"OverrideSpawnCharacterRandomDist",350,,,,,
"Tick3","ClusterBombDude",,"OverrideSpawnCharacterRandomDist",480,,,,,
