"Name","Collab","Contest","EventSlot","GameModeVariation","ClipOverrideSWF","ClipOverrideExportName","ModeOverrideSWF","ModeOverrideIconName","ModeOverrideRoomIconName","BannerOverrideSWF","BannerOverrideExportName","ModeBigCoverSWF","ModeBigCoverExportName","HideDefaultTextsFromBanner","HideDefaultTimeFromBanner","HideGameModeGraphicsWhileTall","IdleFrameLabel"
"ToyStoryScoreboardKnockout2v2","Toys","ArcadePlanetContest","Contest","Knockout2v2",,,,"event_icon_knockout_2v2","event_2v2_knockout_contest_banner",,,,"event_2v2_knockout_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardKingOfHill2v2","Toys","ArcadePlanetContest","Contest","KingOfHill2v2",,,,"event_icon_king_of_hill_2v2","event_2v2_king_of_hill_contest_banner",,,,"event_2v2_king_of_hill_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardBasketBrawl2v2","Toys","ArcadePlanetContest","Contest","BasketBrawl2v2",,,,"event_icon_basketbrawl_2v2","event_2v2_basketbrawl_contest_banner",,,,"event_2v2_basketbrawl_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardPayloadSingle2v2","Toys","ArcadePlanetContest","Contest","PayloadSingle2v2",,,,"event_icon_payload_single","event_2v2_payload_single_contest_banner",,,,"event_2v2_payload_single_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardAirHockey2v2","Toys","ArcadePlanetContest","Contest","AirHockey2v2",,,,"event_icon_air_hockey","event_2v2_air_hockey_contest_banner",,,,"event_2v2_air_hockey_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryAirHockey",,,,"AirHockey",,,,,,,,,,"TRUE",,,
"ToyStoryGemGrab2v2",,,,"GemGrab2v2",,,,,,,,,,"TRUE",,,
"ToyStoryPayloadSingle",,,,"PayloadSingle",,,,,,,,,,"TRUE",,,
"ToyStoryBrawlBall2v2",,,,"BrawlBall2v2",,,,,,,,,,"TRUE",,,
"ToyStoryKnockout2v2",,,,"Knockout2v2",,,,,,,,,,"TRUE",,,
"ToyStoryKingOfHill2v2",,,,"KingOfHill2v2",,,,,,,,,,"TRUE",,,
"ToyStoryBasketBrawl2v2",,,,"BasketBrawl2v2",,,,,,,,,,"TRUE",,,
"ToyStoryPayloadSingle2v2",,,,"PayloadSingle2v2",,,,,,,,,,"TRUE",,,
"ToyStoryAirHockey2v2",,,,"AirHockey2v2",,,,,,,,,,"TRUE",,,
"WasabiContestSamuraiSmashOverrides",,"WasabiContest","Contest","SamuraiSmash",,"event_samuraismash_contest_banner",,,"event_samuraismash_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiContestHeistOverrides",,"WasabiContest","Contest","Heist",,"event_heist_contest_banner",,,"event_heist_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiContestSamuraiSmashOverrides5v5",,"WasabiContest","Contest","SamuraiSmash5v5",,"event_samuraismash_contest_banner",,,"event_samuraismash_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiContestBrawlBallOverrides",,"WasabiContest","Contest","BrawlBall",,"event_brawlball_contest_banner",,,"event_brawlball_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiContestGemGrabOverrides",,"WasabiContest","Contest","GemGrab",,"event_gemgrab_contest_banner",,,"event_gemgrab_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiContestKnockoutOverrides",,"WasabiContest","Contest","Knockout",,"event_knockout_contest_banner",,,"event_knockout_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiContestWipeoutOverrides",,"WasabiContest","Contest","Deathmatch",,"event_wipeout_contest_banner",,,"event_wipeout_contest_banner",,,,,"TRUE",,"TRUE",
"WasabiSamuraiSmashOverrides",,,,"SamuraiSmash",,,,,,,,,,"TRUE",,"TRUE",
"WasabiMegaBossOverrides",,,,"MegaBoss",,,,,,,,,,"TRUE",,"TRUE",
"WasabiWipeoutOverrides",,"WasabiContest",,"Deathmatch",,,,,,,,,,"TRUE",,"TRUE",
"WasabiSamuraiSmash5v5Overrides",,,,"SamuraiSmash5v5",,,,,,,,,,"TRUE",,"TRUE",
