"Name","Disabled","IconSWF","IconExportName","IconExportNameFront","IconExportNameLevels","Banner","IconOnTop","Tier","Season","IsFame","UnlockedByFame","DelayMilliseconds","DescriptionTID"
"martialFrame",,"sc/ui.sc","battle_card_frame_fame_mars_bg",,,"battle_card_frame_fame_mars_ui","fame_big_tier_3",3,,"TRUE","Martial1",900,"TID_BATTLE_CARD_NAME_MARTIAN_FAME"
"saturnalFrame",,"sc/ui.sc","battle_card_frame_fame_saturn_bg",,,"battle_card_frame_fame_saturn_ui","fame_big_tier_4",4,,"TRUE","Saturnal1",900,"TID_BATTLE_CARD_NAME_SATURNAL_FAME"
"solarFrame",,"sc/ui.sc","battle_card_frame_fame_sun_bg",,,"battle_card_frame_fame_sun_ui","fame_big_tier_5",5,,"TRUE","Solar1",900,"TID_BATTLE_CARD_NAME_SOLAR_FAME"
"meteorFrame",,"sc/ui.sc","battle_card_frame_fame_meteor_bg",,,"battle_card_frame_fame_meteor_ui","fame_big_tier_6",6,,"TRUE","Meteor1",900,"TID_BATTLE_CARD_NAME_METEORIC_FAME"
"alienFrame",,"sc/ui.sc","battle_card_frame_fame_alien_bg",,,"battle_card_frame_fame_alien_ui","fame_big_tier_7",7,,"TRUE","Alien1",900,"TID_BATTLE_CARD_NAME_ALIEN_FAME"
"battle_card_frame_ranked_bronze_bg_2",,"sc/ui.sc","battle_card_frame_ranked_bronze_bg_2","battle_card_frame_ranked_bronze_front_2","battle_card_frame_ranked_bronze_levels_2","battle_card_frame_ranked_bronze_2025_ui",,1,2,,,200,"TID_BATTLE_CARD_NAME_BRONZE_2025"
"battle_card_frame_ranked_silver_bg_2",,"sc/ui.sc","battle_card_frame_ranked_silver_bg_2","battle_card_frame_ranked_silver_front_2","battle_card_frame_ranked_silver_levels_2","battle_card_frame_ranked_silver_2025_ui",,2,2,,,200,"TID_BATTLE_CARD_NAME_SILVER_2025"
"battle_card_frame_ranked_gold_bg_2",,"sc/ui.sc","battle_card_frame_ranked_gold_bg_2","battle_card_frame_ranked_gold_front_2","battle_card_frame_ranked_gold_levels_2","battle_card_frame_ranked_gold_2025_ui",,3,2,,,200,"TID_BATTLE_CARD_NAME_GOLD_2025"
"battle_card_frame_ranked_diamond_bg_2",,"sc/ui.sc","battle_card_frame_ranked_diamond_bg_2","battle_card_frame_ranked_diamond_front_2","battle_card_frame_ranked_diamond_levels_2","battle_card_frame_ranked_diamond_2025_ui",,4,2,,,200,"TID_BATTLE_CARD_NAME_DIAMOND_2025"
"battle_card_frame_ranked_mythic_bg_2",,"sc/ui.sc","battle_card_frame_ranked_mythic_bg_2","battle_card_frame_ranked_mythic_front_2","battle_card_frame_ranked_mythic_levels_2","battle_card_frame_ranked_mythic_2025_ui",,5,2,,,200,"TID_BATTLE_CARD_NAME_MYTHIC_2025"
"battle_card_frame_ranked_legendary_bg_2",,"sc/ui.sc","battle_card_frame_ranked_legendary_bg_2","battle_card_frame_ranked_legendary_front_2","battle_card_frame_ranked_legendary_levels_2","battle_card_frame_ranked_legendary_2025_ui",,6,2,,,200,"TID_BATTLE_CARD_NAME_LEGENDARY_2025"
"battle_card_frame_ranked_masters_bg_2",,"sc/ui.sc","battle_card_frame_ranked_masters_bg_2","battle_card_frame_ranked_masters_front_2","battle_card_frame_ranked_masters_levels_2","battle_card_frame_ranked_masters_2025_ui",,7,2,,,200,"TID_BATTLE_CARD_NAME_MASTERS_2025"
"battle_card_frame_ranked_pro_bg_2",,"sc/ui.sc","battle_card_frame_ranked_pro_bg_2","battle_card_frame_ranked_pro_front_2","battle_card_frame_ranked_pro_levels_2","battle_card_frame_ranked_pro_2025_ui",,8,2,,,200,"TID_BATTLE_CARD_NAME_PRO_2025"
