"Name","Rank","MinELO","MaxELO","RequiredBrawlerLevel","RequiredBrawlerCount","PointsRewardAmount","RandomRewardContainer","TID","HexColor","FrameLabel","RankIconTextField","RankIconTID","CompetitiveGroup","CompetitiveIcon","CompetitiveBackground","HasFrameReward","Sound","ShowGlobalRank","ShowFormatTooltip","FrameLabelTooltip","TIDTooltip"
"Diamond II",11,3500,3999,9,9,200,,"TID_RANKED_DIAMOND_II","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_1",4,"rank_icon_animated_04","bgr_competitive_diamond",,"Diamond_Rank_2_Jingle",,,,
"Diamond III",12,4000,4499,9,9,200,,"TID_RANKED_DIAMOND_III","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_2",4,"rank_icon_animated_04","bgr_competitive_diamond",,"Diamond_Rank_3_Jingle",,,,
"Mythic I",13,4500,4999,11,12,200,,"TID_RANKED_MYTHIC_I","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_0",5,"rank_icon_animated_05","bgr_competitive_mythic","TRUE","Mythic_Rank_1_Jingle",,"TRUE","mythic","TID_RANKED_MYTHIC_FORMAT_TOOLTIP"
"Mythic II",14,5000,5499,11,12,200,,"TID_RANKED_MYTHIC_II","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_1",5,"rank_icon_animated_05","bgr_competitive_mythic",,"Mythic_Rank_2_Jingle",,,,
"Mythic III",15,5500,5999,11,12,200,,"TID_RANKED_MYTHIC_III","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_2",5,"rank_icon_animated_05","bgr_competitive_mythic",,"Mythic_Rank_3_Jingle",,,,
"Legendary I",16,6000,6749,11,12,200,,"TID_RANKED_LEGENDARY_I","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_0",6,"rank_icon_animated_06","bgr_competitive_legendary","TRUE","Legendary_Rank_1_Jingle",,,,
"Legendary II",17,6750,7499,11,12,200,,"TID_RANKED_LEGENDARY_II","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_1",6,"rank_icon_animated_06","bgr_competitive_legendary",,"Legendary_Rank_2_Jingle",,,,
"Legendary III",18,7500,8249,11,12,200,,"TID_RANKED_LEGENDARY_III","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_2",6,"rank_icon_animated_06","bgr_competitive_legendary",,"Legendary_Rank_3_Jingle",,,,
"Masters I",19,8250,9249,11,12,200,,"TID_RANKED_MASTERS_I","0xFFFFFF","masters","rank_masters_text","TID_PLAYER_RANK_TIER_0",7,"rank_icon_animated_07","bgr_competitive_masters","TRUE","Masters_Rank_1_Jingle",,,,
"Masters II",20,9250,10249,11,12,200,,"TID_RANKED_MASTERS_II","0xFFFFFF","masters","rank_masters_text","TID_PLAYER_RANK_TIER_1",7,"rank_icon_animated_07","bgr_competitive_masters",,"Masters_Rank_2_Jingle",,,,
"Masters III",21,10250,11249,11,12,200,,"TID_RANKED_MASTERS_III","0xFFFFFF","masters","rank_masters_text","TID_PLAYER_RANK_TIER_2",7,"rank_icon_animated_07","bgr_competitive_masters",,"Masters_Rank_3_Jingle",,,,
"Pro",22,11250,,11,12,200,,"TID_RANKED_PRO","0xFFFFFF","pro",,,8,"rank_icon_animated_08","bgr_competitive_pro","TRUE","Pro_Rank_1_Jingle","TRUE",,,
