"Name","Disabled","DisabledCN","FileName","ExportName","Character","Skin","GiveOnSkinUnlock","Rarity","EffectColorR","EffectColorG","EffectColorB","FlipSprayForEnemies","LockedForChronos","SprayBundles","IsDefaultBattleSpray","Texture","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","UseShineVFX","ExtraCatalogCampaign","HideFromCatalogMainCategory","DisableFromCatalogIfNotOwned"
"spray_bull_1",,,"sc/sprays.sc","spray_bull_1","BullDude",,,"COMMON",249,214,157,"TRUE",,,,"spray_bull.png",750,19,,,,,,,
"spray_colt_1",,,"sc/sprays.sc","spray_colt_1","Gunslinger",,,"COMMON",82,117,214,"TRUE",,,,"spray_colt.png",750,19,,,,,,,
"spray_dynamike_1",,,"sc/sprays.sc","spray_dynamike_1","TntDude",,,"COMMON",233,3,21,"TRUE",,,,"spray_dynamike.png",750,19,,,,,,,
"spray_emz_1",,,"sc/sprays.sc","spray_emz_1","Mummy",,,"COMMON",19,244,189,"TRUE",,,,"spray_emz.png",750,19,,,,,,,
"spray_jessie_1",,,"sc/sprays.sc","spray_jessie_1","Mechanic",,,"COMMON",92,255,255,"TRUE",,,,"spray_jessie.png",750,19,,,,,,,
"spray_nita_1",,,"sc/sprays.sc","spray_nita_1","Shaman",,,"COMMON",255,57,83,"TRUE",,,,"spray_nita.png",750,19,,,,,,,
"spray_shelly_1",,,"sc/sprays.sc","spray_shelly_1","ShotgunGirl",,,"COMMON",255,221,195,"TRUE",,,,"spray_shelly.png",750,19,,,,,,,
"spray_stu_1",,,"sc/sprays.sc","spray_stu_1","Roller",,,"COMMON",33,53,247,"TRUE",,,,"spray_stu.png",750,19,,,,,,,
"spray_tick_1",,,"sc/sprays.sc","spray_tick_1","ClusterBombDude",,,"COMMON",253,237,83,"TRUE",,,,"spray_tick.png",750,19,,,,,,,
"spray_mrp_goldenweek",,,"sc/sprays.sc","spray_mrp_goldenweek","SpawnerDude","SpawnerDudeDaruma",,"COMMON",244,28,58,"TRUE",,,,"spray_mrp_goldenweek.png",750,19,,,,,,,
"spray_tara_ramadan",,,"sc/sprays.sc","spray_tara_ramadan","BlackHole","BlackHoleDevious",,"COMMON",247,205,18,"TRUE",,,,"spray_tara_ramadan.png",750,19,,,,,,,
"spray_crashdummy",,,"sc/sprays.sc","spray_crashdummy",,,,"COLLECTORS",255,234,0,"TRUE",,,,"spray_crashdummy.png",1000,29,,,,,"WASTELAND",,
"spray_stuntshow_chevrons",,,"sc/sprays.sc","spray_stuntshow_chevrons",,,,"COLLECTORS",251,205,16,"TRUE",,,,"spray_stuntshow_chevrons.png",,,,,,,,,
"spray_stuntshow_wheel",,,"sc/sprays.sc","spray_stuntshow_wheel",,,,"COLLECTORS",82,117,214,"TRUE",,,,"spray_stuntshow_wheel.png",,,,,,,,,
"spray_tick_bt21",,"TRUE","sc/sprays.sc","spray_tick_bt21","ClusterBombDude","ClusterBombDudeShooky",,"COMMON",253,237,83,"TRUE",,,,"spray_tick_bt21.png",,19,,,,,,,
"spray_sandy_bt21",,"TRUE","sc/sprays.sc","spray_sandy_bt21","Sandstorm","SandstormKoya",,"COMMON",0,150,217,"TRUE",,,,"spray_sandy_bt21.png",,19,,,,,,,
"spray_ruffs_bt21",,"TRUE","sc/sprays.sc","spray_ruffs_bt21","Ruffs","RuffsChimmy",,"COMMON",255,215,54,"TRUE",,,,"spray_ruffs_bt21.png",,19,,,,,,,
"spray_bibi_bt21",,"TRUE","sc/sprays.sc","spray_bibi_bt21","Baseball","BaseballRj",,"COMMON",255,255,255,"TRUE",,,,"spray_bibi_bt21.png",,19,,,,,,,
"spray_jacky_bt21",,"TRUE","sc/sprays.sc","spray_jacky_bt21","Driller","DrillerCooky",,"COMMON",254,68,169,"TRUE",,,,"spray_jacky_bt21.png",,19,,,,,,,
"spray_bull_bt21",,"TRUE","sc/sprays.sc","spray_bull_bt21","BullDude","BullDudeMang",,"COMMON",97,177,255,"TRUE",,,,"spray_bull_bt21.png",,19,,,,,,,
"spray_edgar_bt21",,"TRUE","sc/sprays.sc","spray_edgar_bt21","Enrager","EnragerTata",,"COMMON",82,133,234,"TRUE",,,,"spray_edgar_bt21.png",,19,,,,,,,
"spray_elprimo_1",,,"sc/sprays.sc","spray_elprimo_1","Luchador",,,"COMMON",248,133,70,"TRUE",,,,"spray_elprimo.png",750,19,,,,,,,
"spray_rosa_1",,,"sc/sprays.sc","spray_rosa_1","Rosa",,,"COMMON",235,60,172,"TRUE",,,,"spray_rosa.png",750,19,,,,,,,
"spray_poco_1",,,"sc/sprays.sc","spray_poco_1","DeadMariachi",,,"COMMON",255,49,133,"TRUE",,,,"spray_poco.png",750,19,,,,,,,
"spray_barley_1",,,"sc/sprays.sc","spray_barley_1","Barkeep",,,"COMMON",7,174,74,"TRUE",,,,"spray_barley.png",750,19,,,,,,,
"spray_rico_1",,,"sc/sprays.sc","spray_rico_1","TrickshotDude",,,"COMMON",255,98,28,"TRUE",,,,"spray_rico.png",750,19,,,,,,,
"spray_darryl_1",,,"sc/sprays.sc","spray_darryl_1","BarrelBot",,,"COMMON",96,35,255,"TRUE",,,,"spray_darryl.png",750,19,,,,,,,
"spray_jacky_1",,,"sc/sprays.sc","spray_jacky_1","Driller",,,"COMMON",91,16,221,"TRUE",,,,"spray_jacky.png",750,19,,,,,,,
"spray_penny_1",,,"sc/sprays.sc","spray_penny_1","ArtilleryDude",,,"COMMON",255,96,187,"TRUE",,,,"spray_penny.png",750,19,,,,,,,
"spray_carl_1",,,"sc/sprays.sc","spray_carl_1","Whirlwind",,,"COMMON",255,236,147,"TRUE",,,,"spray_carl.png",750,19,,,,,,,
"spray_coc",,,"sc/sprays.sc","spray_coc",,,,"COLLECTORS",255,249,90,"TRUE",,,,"spray_coc.png",1000,29,,,,,"CLASHIP",,
"spray_badrandoms",,,"sc/sprays.sc","spray_badrandoms",,,,"COLLECTORS",255,88,255,"TRUE",,,,"spray_badrandoms.png",1000,29,,,,,"PUNK",,
"spray_deepsea_1",,,"sc/sprays.sc","spray_deepsea_1",,,,"COLLECTORS",150,255,16,"TRUE",,,,"spray_deepsea_1.png",,,,,,,,,
"spray_deepsea_2",,,"sc/sprays.sc","spray_deepsea_2",,,,"COLLECTORS",255,77,212,"TRUE",,,,"spray_deepsea_2.png",,,,,,,,,
"spray_bronze",,,"sc/sprays.sc","spray_bronze",,,,"COLLECTORS",239,117,39,"TRUE",,,,"spray_bronze.png",,,,,,"TRUE",,,
"spray_silver",,,"sc/sprays.sc","spray_silver",,,,"COLLECTORS",162,162,206,"TRUE",,,,"spray_silver.png",,,,,,"TRUE",,,
"spray_gold",,,"sc/sprays.sc","spray_gold",,,,"COLLECTORS",255,156,33,"TRUE",,,,"spray_gold.png",,,,,,"TRUE",,,
"spray_diamond",,,"sc/sprays.sc","spray_diamond",,,,"COLLECTORS",0,243,252,"TRUE",,,,"spray_diamond.png",,,,,,"TRUE",,,
"spray_mythic",,,"sc/sprays.sc","spray_mythic",,,,"COLLECTORS",243,64,255,"TRUE",,,,"spray_mythic.png",,,,,,"TRUE",,,
"spray_legendary",,,"sc/sprays.sc","spray_legendary",,,,"COLLECTORS",255,42,68,"TRUE",,,,"spray_legendary.png",,,,,,"TRUE",,,
"spray_masters",,,"sc/sprays.sc","spray_masters",,,,"COLLECTORS",252,224,91,"TRUE",,,,"spray_masters.png",,,,,,"TRUE",,,
"spray_challenge_ball",,,"sc/sprays.sc","spray_challenge_ball",,,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_ball.png",,,,,,"TRUE",,,
"spray_challenge_solo",,,"sc/sprays.sc","spray_challenge_solo",,,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_solo.png",,,,,,"TRUE",,,
"spray_challenge_duo1",,,"sc/sprays.sc","spray_challenge_duo1",,,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_duo1.png",,,,,,"TRUE",,,
"spray_challenge_duo2",,,"sc/sprays.sc","spray_challenge_duo2",,,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_duo2.png",,,,,,"TRUE",,,
"spray_bsc",,,"sc/sprays.sc","spray_bsc",,,,"COMMON",255,255,17,"TRUE",,,,"spray_bsc.png",1000,29,,,,"TRUE","WF_2020",,
"spray_mortis_mecha",,,"sc/sprays.sc","spray_mortis_mecha","Undertaker","UndertakerMecha","TRUE","COMMON",214,79,252,"TRUE",,,,"spray_mortis_mecha.png",,,,,,"TRUE",,,
"spray_bea_1",,,"sc/sprays.sc","spray_bea_1","BeeSniper",,,"COMMON",252,200,10,"TRUE",,,,"spray_bea.png",750,19,,,,,,,
"spray_bibi_1",,,"sc/sprays.sc","spray_bibi_1","Baseball",,,"COMMON",96,224,255,"TRUE",,,,"spray_bibi.png",750,19,,,,,,,
"spray_bonnie_1",,,"sc/sprays.sc","spray_bonnie_1","CannonGirl",,,"COMMON",238,20,84,"TRUE",,,,"spray_bonnie.png",750,19,,,,,,,
"spray_edgar_1",,,"sc/sprays.sc","spray_edgar_1","Enrager",,,"COMMON",168,27,249,"TRUE",,,,"spray_edgar.png",750,19,,,,,,,
"spray_frank_1",,,"sc/sprays.sc","spray_frank_1","HammerDude",,,"COMMON",61,255,199,"TRUE",,,,"spray_frank.png",750,19,,,,,,,
"spray_grom_1",,,"sc/sprays.sc","spray_grom_1","CrossBomber",,,"COMMON",255,241,0,"TRUE",,,,"spray_grom.png",750,19,,,,,,,
"spray_nani_1",,,"sc/sprays.sc","spray_nani_1","Controller",,,"COMMON",13,222,248,"TRUE",,,,"spray_nani.png",750,19,,,,,,,
"spray_pam_1",,,"sc/sprays.sc","spray_pam_1","MinigunDude",,,"COMMON",194,193,232,"TRUE",,,,"spray_pam.png",750,19,,,,,,,
"spray_piper_1",,,"sc/sprays.sc","spray_piper_1","Sniper",,,"COMMON",155,54,193,"TRUE",,,,"spray_piper.png",750,19,,,,,,,
"spray_griff_1",,,"sc/sprays.sc","spray_griff_1","AssaultShotgun",,,"COMMON",255,253,48,"TRUE",,,,"spray_griff.png",750,19,,,,,,,
"spray_robotfactory_1",,,"sc/sprays.sc","spray_robotfactory_1",,,,"COLLECTORS",7,167,255,"TRUE",,,,"spray_robotfactory_1.png",,,,,,,,,
"spray_robotfactory_2",,,"sc/sprays.sc","spray_robotfactory_2",,,,"COLLECTORS",193,255,73,"TRUE",,,,"spray_robotfactory_2.png",,,,,,,,,
"spray_gemgrab",,,"sc/sprays.sc","spray_gemgrab",,,,"COLLECTORS",154,69,255,"TRUE",,,,"spray_gemgrab.png",,,,,,"TRUE",,,
"spray_bounty",,,"sc/sprays.sc","spray_bounty",,,,"COLLECTORS",255,190,32,"TRUE",,,,"spray_bounty.png",,,,,,"TRUE",,,
"spray_heist",,,"sc/sprays.sc","spray_heist",,,,"COLLECTORS",184,238,251,"TRUE",,,,"spray_heist.png",,,,,,"TRUE",,,
"spray_mortis_1",,,"sc/sprays.sc","spray_mortis_1","Undertaker",,,"COMMON",255,13,255,"TRUE",,,,"spray_mortis.png",750,19,,,,,,,
"spray_sprout_1",,,"sc/sprays.sc","spray_sprout_1","Wally",,,"COMMON",255,200,0,"TRUE",,,,"spray_sprout.png",750,19,,,,,,,
"spray_mrp_1",,,"sc/sprays.sc","spray_mrp_1","SpawnerDude",,,"COMMON",30,32,248,"TRUE",,,,"spray_mrp.png",750,19,,,,,,,
"spray_byron_1",,,"sc/sprays.sc","spray_byron_1","SnakeOil",,,"COMMON",0,210,170,"TRUE",,,,"spray_byron.png",750,19,,,,,,,
"spray_max_1",,,"sc/sprays.sc","spray_max_1","Speedy",,,"COMMON",255,239,0,"TRUE",,,,"spray_max.png",750,19,,,,,,,
"spray_tara_1",,,"sc/sprays.sc","spray_tara_1","BlackHole",,,"COMMON",0,133,251,"TRUE",,,,"spray_tara.png",750,19,,,,,,,
"spray_squeak_1",,,"sc/sprays.sc","spray_squeak_1","StickyBomb",,,"COMMON",0,228,223,"TRUE",,,,"spray_squeak.png",750,19,,,,,,,
"spray_gene_1",,,"sc/sprays.sc","spray_gene_1","HookDude",,,"COMMON",255,180,3,"TRUE",,,,"spray_gene.png",750,19,,,,,,,
"spray_ghost_tunnel",,,"sc/sprays.sc","spray_ghost_tunnel",,,,"COLLECTORS",0,0,0,"TRUE",,,,"spray_ghost_tunnel.png",,,,,,,,,
"spray_ghost_train",,,"sc/sprays.sc","spray_ghost_train",,,,"COLLECTORS",92,255,255,"TRUE",,,,"spray_ghost_train.png",,,,,,,,,
"spray_ghost_wagon1",,,"sc/sprays.sc","spray_ghost_wagon1",,,,"COLLECTORS",92,255,255,"TRUE",,,,"spray_ghost_wagon1.png",1000,29,,,,,"BRAWLOWEEN",,
"spray_ghost_wagon2",,,"sc/sprays.sc","spray_ghost_wagon2",,,,"COLLECTORS",239,255,255,"TRUE",,,,"spray_ghost_wagon2.png",1000,29,,,,,"BRAWLOWEEN",,
"spray_ghost_wagon3",,,"sc/sprays.sc","spray_ghost_wagon3",,,,"COLLECTORS",255,14,248,"TRUE",,,,"spray_ghost_wagon3.png",1000,29,,,,,"BRAWLOWEEN",,
"spray_paper",,,"sc/sprays.sc","spray_paper",,,,"COLLECTORS",255,255,115,"TRUE",,,,"spray_paper.png",1000,29,,,,,"UNIVERSITY",,
"spray_scissors",,,"sc/sprays.sc","spray_scissors",,,,"COLLECTORS",255,255,115,"TRUE",,,,"spray_scissors.png",1000,29,,,,,"UNIVERSITY",,
"spray_rock",,,"sc/sprays.sc","spray_rock",,,,"COLLECTORS",255,255,115,"TRUE",,,,"spray_rock.png",1000,29,,,,,"UNIVERSITY",,
"spray_denied",,,"sc/sprays.sc","spray_denied",,,,"COMMON",244,0,57,"TRUE",,,,"spray_denied.png",1000,29,,,,,"MISC",,
"spray_singlesday",,,"sc/sprays.sc","spray_singlesday",,,,"COLLECTORS",255,194,7,"TRUE",,,,"spray_singlesday.png",1000,29,,,,"TRUE","MISC",,
"spray_lastbox",,,"sc/sprays.sc","spray_lastbox",,,,"COLLECTORS",255,32,26,"TRUE",,,,"spray_lastbox.png",,,,,,"TRUE",,,
"spray_grand_masters",,,"sc/sprays.sc","spray_grand_masters",,,,"COLLECTORS",196,251,29,"TRUE",,,,"spray_grand_masters.png",,,,,,"TRUE",,,
"spray_amber_1",,,"sc/sprays.sc","spray_amber_1","FireDude",,,"COMMON",250,255,61,"TRUE",,,,"spray_amber.png",750,19,,,,,,,
"spray_crow_1",,,"sc/sprays.sc","spray_crow_1","Crow",,,"COMMON",193,211,255,"TRUE",,,,"spray_crow.png",750,19,,,,,,,
"spray_meg_1",,,"sc/sprays.sc","spray_meg_1","MechaDude",,,"COMMON",243,0,66,"TRUE",,,,"spray_meg.png",750,19,,,,,,,
"spray_leon_1",,,"sc/sprays.sc","spray_leon_1","Ninja",,,"COMMON",0,214,40,"TRUE",,,,"spray_leon.png",750,19,,,,,,,
"spray_chester_1",,,"sc/sprays.sc","spray_chester_1","Jester",,,"COMMON",103,67,255,"TRUE",,,,"spray_chester.png",750,19,,,,,,,
"spray_sandy_1",,,"sc/sprays.sc","spray_sandy_1","Sandstorm",,,"COMMON",125,94,252,"TRUE",,,,"spray_sandy.png",750,19,,,,,,,
"spray_spike_1",,,"sc/sprays.sc","spray_spike_1","Cactus",,,"COMMON",0,224,95,"TRUE",,,,"spray_spike.png",750,19,,,,,,,
"spray_anniversary1",,,"sc/sprays.sc","spray_anniversary1",,,,"COLLECTORS",243,192,255,"TRUE",,,,"spray_anniversary1.png",,,,,,,,,
"spray_anniversary2",,,"sc/sprays.sc","spray_anniversary2",,,,"COLLECTORS",255,185,33,"TRUE",,,,"spray_anniversary2.png",,,,,,,,,
"spray_brawlidays_hat",,,"sc/sprays.sc","spray_brawlidays_hat",,,,"COLLECTORS",249,3,3,"TRUE",,,,"spray_brawlidays_hat.png",1000,29,,,,,"BRAWLIDAYS",,
"spray_brawlidays_horns",,,"sc/sprays.sc","spray_brawlidays_horns",,,,"COLLECTORS",18,188,0,"TRUE",,,,"spray_brawlidays_horns.png",1000,29,,,,,"BRAWLIDAYS",,
"spray_brawlentines_heart1",,,"sc/sprays.sc","spray_brawlentines_heart1",,,,"COLLECTORS",255,77,213,"TRUE",,,,"spray_brawlentines_heart1.png",1000,29,,,,,"BRAWLENTINES",,
"spray_brawlentines_heart2",,,"sc/sprays.sc","spray_brawlentines_heart2",,,,"COLLECTORS",255,77,213,"TRUE",,,,"spray_brawlentines_heart2.png",1000,29,,,,,"BRAWLENTINES",,
"spray_candyland1",,,"sc/sprays.sc","spray_candyland1",,,,"COLLECTORS",255,209,18,"TRUE",,,,"spray_candyland1.png",,,,,,,,,
"spray_candyland2",,,"sc/sprays.sc","spray_candyland2",,,,"COLLECTORS",131,255,255,"TRUE",,,,"spray_candyland2.png",,,,,,,,,
"spray_lny2022",,,"sc/sprays.sc","spray_lny2022",,,,"COLLECTORS",151,255,16,"TRUE",,,,"spray_lny2022.png",1000,29,,,,,"LNY",,
"spray_esports2022_punch",,,"sc/sprays.sc","spray_esports2022_punch",,,,"COMMON",102,247,47,"TRUE",,,,"spray_esports2022_punch.png",1000,29,,,,"TRUE","WF_2020",,
"spray_gray_1",,,"sc/sprays.sc","spray_gray_1","DoorMan",,,"COMMON",255,255,255,"TRUE",,,,"spray_gray.png",750,19,,,,,,,
"spray_rt_1",,,"sc/sprays.sc","spray_rt_1","Splitter",,,"COMMON",255,255,255,"TRUE",,,,"spray_rt.png",750,19,,,,"TRUE",,,
"spray_willow_1",,,"sc/sprays.sc","spray_willow_1","Puppeteer",,,"COMMON",18,255,209,"TRUE",,,,"spray_willow.png",750,19,,,,,,,
"spray_hub1",,,"sc/sprays.sc","spray_hub1",,,,"COLLECTORS",253,243,60,"TRUE",,,,"spray_hub1.png",,,,,,,,,
"spray_hub2",,,"sc/sprays.sc","spray_hub2",,,,"COLLECTORS",255,10,98,"TRUE",,,,"spray_hub2.png",,,,,,,,,
"spray_otis_mask",,,"sc/sprays.sc","spray_otis_mask","Silencer","SilencerOni",,"COMMON",61,190,255,"TRUE",,,,"spray_otis_mask.png",750,19,,,,"TRUE",,,
"spray_lola_mask",,,"sc/sprays.sc","spray_lola_mask","Duplicator","DuplicatorKitsune",,"COMMON",255,255,255,"TRUE",,,,"spray_lola_mask.png",750,19,,,,"TRUE",,,
"spray_dynamike_mask",,,"sc/sprays.sc","spray_dynamike_mask","TntDude","TntDudeTengu",,"COMMON",252,131,42,"TRUE",,,,"spray_dynamike_mask.png",750,19,,,,"TRUE",,,
"spray_janet_popstar",,,"sc/sprays.sc","spray_janet_popstar",,,,"COLLECTORS",251,243,79,"TRUE",,,,"spray_janet_popstar.png",750,19,,,,"TRUE","MUSIC",,
"spray_nani_easter",,,"sc/sprays.sc","spray_nani_easter","Controller","ControllerEaster",,"COMMON",255,167,255,"TRUE",,,,"spray_nani_easter.png",750,19,,,,"TRUE",,,
"spray_carl_carpet",,,"sc/sprays.sc","spray_carl_carpet","Whirlwind","WhirlwindRamadan",,"COMMON",253,243,60,"TRUE",,,,"spray_carl_carpet.png",750,19,,,,"TRUE",,,
"spray_ruffs_1",,,"sc/sprays.sc","spray_ruffs_1","Ruffs",,,"COMMON",233,45,172,"TRUE",,,,"spray_ruffs.png",750,19,,,,"TRUE",,,
"spray_belle_1",,,"sc/sprays.sc","spray_belle_1","ElectroSniper",,,"COMMON",160,243,255,"TRUE",,,,"spray_belle.png",750,19,,,,"TRUE",,,
"spray_buzz_1",,,"sc/sprays.sc","spray_buzz_1","RopeDude",,,"COMMON",0,255,31,"TRUE",,,,"spray_buzz.png",750,19,,,,"TRUE",,,
"spray_buster_1",,,"sc/sprays.sc","spray_buster_1","ShieldTank",,,"COMMON",123,245,255,"TRUE",,,,"spray_buster.png",750,19,,,,"TRUE",,,
"spray_colette_1",,,"sc/sprays.sc","spray_colette_1","Percenter",,,"COMMON",250,170,255,"TRUE",,,,"spray_colette.png",750,19,,,,"TRUE",,,
"spray_eve_1",,,"sc/sprays.sc","spray_eve_1","Flea",,,"COMMON",164,29,246,"TRUE",,,,"spray_eve.png",750,19,,,,"TRUE",,,
"spray_fang_1",,,"sc/sprays.sc","spray_fang_1","KickerDude",,,"COMMON",255,198,0,"TRUE",,,,"spray_fang.png",750,19,,,,"TRUE",,,
"spray_gale_1",,,"sc/sprays.sc","spray_gale_1","Blower",,,"COMMON",68,255,255,"TRUE",,,,"spray_gale.png",750,19,,,,"TRUE",,,
"spray_janet_1",,,"sc/sprays.sc","spray_janet_1","JetpackGirl",,,"COMMON",254,208,234,"TRUE",,,,"spray_janet.png",750,19,,,,"TRUE",,,
"spray_lola_1",,,"sc/sprays.sc","spray_lola_1","Duplicator",,,"COMMON",0,214,193,"TRUE",,,,"spray_lola.png",750,19,,,,"TRUE",,,
"spray_lou_1",,,"sc/sprays.sc","spray_lou_1","IceDude",,,"COMMON",0,233,251,"TRUE",,,,"spray_lou.png",750,19,,,,"TRUE",,,
"spray_mandy_1",,,"sc/sprays.sc","spray_mandy_1","Beamer",,,"COMMON",255,210,75,"TRUE",,,,"spray_mandy.png",750,19,,,,"TRUE",,,
"spray_otis_1",,,"sc/sprays.sc","spray_otis_1","Silencer",,,"COMMON",61,251,196,"TRUE",,,,"spray_otis.png",750,19,,,,"TRUE",,,
"spray_sam_1",,,"sc/sprays.sc","spray_sam_1","WeaponThrower",,,"COMMON",254,226,34,"TRUE",,,,"spray_sam.png",750,19,,,,"TRUE",,,
"spray_surge_1",,,"sc/sprays.sc","spray_surge_1","PowerLeveler",,,"COMMON",144,60,255,"TRUE",,,,"spray_surge.png",750,19,,,,"TRUE",,,
"spray_easter2023",,,"sc/sprays.sc","spray_easter2023",,,,"COLLECTORS",0,234,0,"TRUE",,,,"spray_easter2023.png",1000,29,,,,,"BUNNY_BRIGADE",,
"spray_challenge_basketball",,,"sc/sprays.sc","spray_challenge_basketball",,,,"COLLECTORS",255,139,35,"TRUE",,,,"spray_challenge_basketball.png",,,,,,"TRUE",,,
"spray_challenge_duels",,,"sc/sprays.sc","spray_challenge_duels",,,,"COLLECTORS",253,242,80,"TRUE",,,,"spray_challenge_duels.png",,,,,,"TRUE",,,
"spray_ash_1",,,"sc/sprays.sc","spray_ash_1","Knight",,,"COMMON",255,44,117,"TRUE",,,,"spray_ash.png",750,19,,,,"TRUE",,,
"spray_gus_1",,,"sc/sprays.sc","spray_gus_1","SoulCollector",,,"COMMON",218,81,251,"TRUE",,,,"spray_gus.png",750,19,,,,,,,
"spray_amazon_frog",,,"sc/sprays.sc","spray_amazon_frog",,,,"COLLECTORS",255,39,96,"TRUE",,,,"spray_amazon_frog.png",1000,29,,,,"TRUE","JUNGLE",,
"spray_jungle",,,"sc/sprays.sc","spray_jungle",,,,"COLLECTORS",181,180,187,"TRUE",,,,"spray_jungle.png",,,,,,,,,
"spray_maisie_1",,,"sc/sprays.sc","spray_maisie_1","Maisie",,,"COMMON",255,0,0,"TRUE",,,,"spray_maisie.png",750,19,,,,"TRUE",,,
"spray_liltenant_1",,,"sc/sprays.sc","spray_liltenant_1","FishTank",,,"COMMON",195,234,27,"TRUE",,,,"spray_liltenant.png",750,19,,,,,,,
"spray_max_jungle",,,"sc/sprays.sc","spray_max_jungle","Speedy","SpeedyLeopard",,"COMMON",255,218,0,"TRUE",,,,"spray_max_jungle.png",750,19,,,,"TRUE",,,
"spray_buster_jungle",,,"sc/sprays.sc","spray_buster_jungle","ShieldTank","ShieldTankCroc",,"COMMON",6,204,0,"TRUE",,,,"spray_buster_jungle.png",750,19,,,,"TRUE",,,
"spray_meg_jungle",,,"sc/sprays.sc","spray_meg_jungle",,,,"COMMON",0,219,255,"TRUE",,,,"spray_meg_jungle.png",,,,,,"TRUE",,,
"spray_brock_olympus",,,"sc/sprays.sc","spray_brock_olympus","RocketGirl","RocketGirlZeus","TRUE","COMMON",248,213,84,"TRUE",,,,"spray_brock_olympus.png",,,,,,"TRUE",,,
