Name,TypeName,Type,GemPrice,BlingPrice,TicketPrice,RecruitTokenPrice,Reward,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Group,Category,GuaranteedDrop,DrawTimes,CanDropWhenUnreleased
,,,,,,,Brawler x20,30,30,30,30,30,30,5,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,5,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,5,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,5,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,5,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,5,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,5,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,5,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,6,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,6,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,6,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,6,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,6,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,6,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,6,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,6,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,6,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,6,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,6,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,6,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,6,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,6,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,6,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,6,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,6,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,6,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,6,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,6,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,6,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,7,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,7,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,7,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,7,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,7,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,7,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,7,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,7,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,7,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,7,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,7,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,7,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,7,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,7,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,7,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,7,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,7,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,7,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,7,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,7,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,7,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,8,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,8,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,8,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,8,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,8,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,8,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,8,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,8,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,8,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,8,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,8,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,8,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,8,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,8,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,8,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,8,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,8,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,8,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,8,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,8,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,8,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,9,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,9,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,9,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,9,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,9,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,9,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,9,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,9,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,9,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,9,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,9,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,9,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,9,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,9,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,9,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,9,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,9,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,9,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,9,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,9,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,9,,0,,
,,,,,,,Coins L,3012276,3012276,3012176,3012176,3012076,3012076,10,,0,,
,,,,,,,Coins XL,1506138,1506038,1506038,1505938,1505938,1505838,10,,0,,
,,,,,,,Power Points L,3012276,3012276,3012176,3012176,3012076,3012076,10,,0,,
,,,,,,,Power Points XL,1506138,1506038,1506038,1505938,1505938,1505838,10,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,10,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,10,,0,,
,,,,,,,Brawler Epic,51594,51594,51594,51594,51594,51594,10,,0,,
,,,,,,,Brawler Mythic,23534,23534,23534,23534,23534,23534,10,,0,,
,,,,,,,Brawler Legendary,10409,10609,10809,11009,11209,11409,10,,0,,
,,,,,,,Gadget,200000,200000,200000,200000,200000,200000,10,,0,,
,,,,,,,Star Power,100000,100000,100000,100000,100000,100000,10,,0,,
,,,,,,,Overcharge,10000,10000,10000,10000,10000,10000,10,,0,,
,,,,,,,Brawler x10,40,40,40,40,40,40,10,,0,,
,,,,,,,Brawler x20,30,30,30,30,30,30,10,,0,,
,,,,,,,Brawler x40,20,20,20,20,20,20,10,,0,,
,,,,,,,Brawler All,10,10,10,10,10,10,10,,0,,
,,,,,,,Brawler Rare Perfect,200,200,200,200,200,200,10,,0,,
,,,,,,,Brawler Super Rare Perfect,200,200,200,200,200,200,10,,0,,
,,,,,,,Brawler Epic Perfect,200,200,200,200,200,200,10,,0,,
,,,,,,,Brawler Mythic Perfect,150,150,150,150,150,150,10,,0,,
,,,,,,,Brawler Legendary Perfect,150,150,150,150,150,150,10,,0,,
OldHeroBoxSmall,Brawler_Box,1000003,10,,,22,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,1,1,0,1,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,1,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,1,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,1,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,1,,45,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,1,,176,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,1,,388,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,1,,850,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,1,,1922,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,1,,500,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,1,,1000,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,1,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,1,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,1,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,1,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,1,,0,,
OldHeroBoxMid,Big_Box,1000004,,,,66,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,1,1,0,3,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,1,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,1,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,1,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,1,,45,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,1,,176,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,1,,388,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,1,,850,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,1,,1922,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,1,,500,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,1,,1000,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,1,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,1,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,1,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,1,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,1,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,2,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,2,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,2,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,2,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,2,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,2,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,2,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,2,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,2,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,2,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,2,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,2,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,2,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,2,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,2,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,2,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,2,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,3,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,3,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,3,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,3,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,3,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,3,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,3,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,3,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,3,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,3,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,3,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,3,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,3,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,3,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,3,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,3,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,3,,0,,
OldHeroBoxLarge,Mega_Box,1000005,80,,,176,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,1,1,0,10,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,1,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,1,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,1,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,1,,45,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,1,,176,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,1,,388,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,1,,850,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,1,,1922,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,1,,500,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,1,,1000,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,1,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,1,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,1,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,1,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,1,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,1,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,2,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,2,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,2,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,2,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,2,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,2,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,2,,0,,
,,,,,,,Brawler Mythic UnpaidBox,23534,23534,23534,23534,23534,23534,2,,0,,
,,,,,,,Brawler Legendary UnpaidBox,10409,10609,10809,11009,11209,11409,2,,0,,
,,,,,,,Gadget,40000,40000,40000,40000,40000,40000,2,,0,,
,,,,,,,Star Power,20000,20000,20000,20000,20000,20000,2,,0,,
,,,,,,,Overcharge,2000,2000,2000,2000,2000,2000,2,,0,,
,,,,,,,Brawler Rare Perfect,250,250,250,250,250,250,2,,0,,
,,,,,,,Brawler Super Rare Perfect,225,225,225,225,225,225,2,,0,,
,,,,,,,Brawler Epic Perfect UnpaidBox,200,200,200,200,200,200,2,,0,,
,,,,,,,Brawler Mythic Perfect UnpaidBox,175,175,175,175,175,175,2,,0,,
,,,,,,,Brawler Legendary Perfect UnpaidBox,150,150,150,150,150,150,2,,0,,
,,,,,,,Coins S,4178122,4178022,4178022,4177922,4177922,4177822,3,,0,,
,,,,,,,Coins M,464292,464292,464192,464192,464092,464092,3,,0,,
,,,,,,,Power Points S,4178122,4178022,4178022,4177922,4177922,4177822,3,,0,,
,,,,,,,Power Points M,464292,464292,464192,464192,464092,464092,3,,0,,
,,,,,,,Brawler Rare,452584,452584,452584,452584,452584,452584,3,,0,,
,,,,,,,Brawler Super Rare,114051,114051,114051,114051,114051,114051,3,,0,,
,,,,,,,Brawler Epic UnpaidBox,51594,51594,51594,51594,51594,51594,3,,0,,
