TID,ID
TID_BATTLE_END_CC_DEFEAT_0,Tantangan berakhir\nSemoga beruntung lain kali!
TID_BATTLE_END_CC_DEFEAT_1,"Sekali lagi kalah, kamu gugur. Jangan menyerah!"
TID_BATTLE_END_CC_DEFEAT_2,"Meskipun kalah, kamu masih bisa lanjut!"
TID_BATTLE_END_CC_DRAW_DESC,Main lagi untuk menang!
TID_BATTLE_END_CC_QUALIFY_LABEL,LOLOS KUALIFIKASI!
TID_BATTLE_END_CC_QUALIFY_INFO,Selamat! Kamu berhak masuk ke babak berikutnya di Kejuaraan Brawl Stars.\nLihat kotak masuk untuk info selengkapnya.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Hadiah Liga ARENA BINTANG
TID_PRO_LEAGUE_INFO_POPUP_INFO,Hadiah ditentukan\noleh Poin akhir
TID_PRO_LEAGUE_INFO_POPUP_RANK,Peringkat
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Poin
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Hadiah tambahan atas keberhasilan mencapai\nposisi teratas di peringkat global
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,HADIAH AKHIR LIGA ARENA BINTANG
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,BAGAN LIGA
TID_PRO_LEAGUE_SEASON_END_TIME,LIGA BERAKHIR DALAM
TID_PRO_LEAGUE_POPUP_TITLE,ARENA BINTANG
TID_EVENT_LABEL_PRO_LEAGUE,ARENA BINTANG
TID_PRO_LEAGUE_POPUP_INFO,"Uji kemampuanmu dalam ARENA BINTANG! Main di tiga laga harian demi meraih posisi teratas di Bagan Liga. Di akhir Liga, kamu akan mendapat Poin Bintang berdasarkan Poin dan Peringkat di Bagan Liga."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,LIGA SAAT INI
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,LIGA SEBELUMNYA
TID_PRO_LEAGUE_LABEL,ARENA BINTANG
TID_TEAM_ERROR_38,Pilih Jagoan dengan LEVEL KEKUATAN 10!
TID_TEAM_ERROR_39,Laga ARENA BINTANG sudah tidak tersedia untuk hari ini!
TID_PRO_LEAGUE_GAMES,<GAMESLEFT>/<MAXGAMES> LAGA TERSISA
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,LIGA ARENA BINTANG BERAKHIR
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Perolehan Poin
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Peringkat
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Hadiah Poin Bintang
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,HADIAH ARENA BINTANG: <AMOUNT> <cff00ff>Poin Bintang</c> diraih!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Kemenangan Epik (+3 Poin):
TID_OVERWHELMING_VICTORY_GMV_0,Menangkan laga sebelum permata ke-15 muncul
TID_OVERWHELMING_VICTORY_GMV_5,Menang dengan skor 2-0
TID_OVERWHELMING_VICTORY_GMV_2,Menang dengan setidaknya 60% kesehatan brankas
TID_OVERWHELMING_VICTORY_GMV_11,Menang dengan setidaknya 80% kesehatan basis
TID_OVERWHELMING_VICTORY_GMV_3,Menang dengan minimal 10 bintang lebih banyak dari lawan
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Raih Poin berdasarkan peringkat dalam laga
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Raih 30 Poin saat menang, 15 Poin saat seri, dan 5 poin sebagai hadiah hiburan saat kalah"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,POIN
TID_DOUBLE_TOKEN_WEEKEND,ACARA TOKEN GANDA
TID_COIN_SHOWER_EVENT,ACARA HUJAN KOIN
TID_RANKS_ADDED_TITLE,Kelas Jagoan Baru
TID_RANKS_ADDED_DESC,Jagoan kini bisa mencapai hingga Kelas 35.\n\nKamu mendapatkan <cff00ff><STARPOINTS></c> Poin Bintang dan <TOKENS> Token dari Jagoan yang telah mencapai Kelas baru.
TID_SKINS_TITLE,KOSTUM
TID_SKINS_BUTTON_LABEL,KOSTUM
TID_SKIN_PREVIEW,LIHAT KOSTUM
TID_DEFAULT_SKIN,KOSTUM AWAL <HERO>
TID_HERO_LVL_UP_MATERIAL,Koin
TID_TOKENS,Token
TID_FIRST_WINS,Token Bintang
TID_CLUB_COINS,Koin Geng
TID_BUTTON_INBOX,KOTAK MASUK
TID_INBOX_TITLE,KOTAK MASUK
TID_INBOX_SYSTEM_SENDER,Sistem
TID_INBOX_SUPPORT_SENDER,Dukungan Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> yang lalu
TID_INBOX_CLAIM,KLAIM
TID_INBOX_VIEW,LIHAT
TID_INBOX_TAB_0,SURAT GENG
TID_INBOX_TAB_1,PRIBADI
TID_INBOX_NO_ENTRIES,TIDAK ADA ENTRI
TID_INBOX_CAPTION_99,Liga Trofi telah berakhir
TID_INBOX_CAPTION_94,Pemberian kostum: <NAME>
TID_INBOX_CAPTION_93,Pemberian Jagoan: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Pemberian Jagoan: <NAME> (Level Kekuatan <LEVEL>)
TID_INBOX_CAPTION_92,Pemberian <AMOUNT> Poin Kekuatan untuk <NAME>
TID_INBOX_CAPTION_91,Pemberian <AMOUNT> Tiket
TID_INBOX_CAPTION_90,Pemberian <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Pemberian <AMOUNT> Permata
TID_INBOX_CAPTION_88,Pemberian <AMOUNT> Pengganda Token
TID_INBOX_CAPTION_85,Penarikan <AMOUNT> Permata
TID_INBOX_CAPTION_84_4,Pemberian Kekuatan Bintang <ABI> untuk <NAME>
TID_INBOX_CAPTION_84_5,Pemberian Gadget <ABI> untuk <NAME>
TID_INBOX_CAPTION_78,Kelas Jagoan 21-30 telah hadir!
TID_INBOX_CAPTION_76,Kualifikasi online TERBUKA!
TID_INBOX_CAPTION_75,Hadiah kemenangan <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,Kompensasi Tiket
TID_INBOX_CAPTION_73,PEMBERIAN: BRAWL PASS
TID_INBOX_CAPTION_72_52,PEMBERIAN: PIN
TID_INBOX_CAPTION_71,PEMBERIAN: <AMOUNT> TOKEN BRAWL PASS MUSIM <SEASON>
TID_INBOX_CAPTION_70,Hadiah kemenangan <CHALLENGE>:
TID_INBOX_CAPTION_64,Pemberian: <AMOUNT> <NAME>
TID_INBOX_CAPTION_DONATION,PEMBERIAN: <TEXT>
TID_INBOX_NEW,BARU!
TID_BAND_MAIL_POPUP_TITLE,SURAT GENG
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Tulis pesanmu di sini...
TID_BAND_MAIL_POPUP_POST,KIRIM
TID_BAND_MAIL_POPUP_NO_MSG,Jangan lupa menulis pesan
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Fitur ini tidak tersedia untuk akun demo
TID_REVOKE_TITLE,Pesan Dari Tim Dukungan
TID_REVOKE_OK,Mengerti
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Gagal mengirim permintaan bergabung. Kamu sudah masuk tim
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Gagal mengirim permintaan bergabung. Ada undangan tim yang belum diterima
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Gagal mengirim permintaan bergabung. Ada permintaan bergabung yang belum diterima
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Permintaan bergabung dibatalkan
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,SAYA INGIN GABUNG KE TIMMU
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>MENANG</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>KALAH</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>SERI</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>PERINGKAT <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>PERINGKAT <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>PERINGKAT <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> yang lalu
TID_BATTLE_LOG_HERO_LEVEL_LABEL,LVL
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,LOG LAGA
TID_BATTLE_LOG_REPLAY,TAYANGAN ULANG
TID_BATTLE_LOG_MVP,MVP
TID_BATTLE_LOG_FRIENDLY,PERSAHABATAN
TID_BATTLE_LOG_TOURNAMENT,TURNAMEN
TID_BATTLE_LOG_PVP,BERPERINGKAT
TID_BATTLE_LOG_PRO_LEAGUE,ARENA BINTANG
TID_BATTLE_LOG_RANKED,LIGA BINTANG
TID_BATTLE_LOG_NO_ENTRIES,TIDAK ADA ENTRI
TID_BATTLE_LOG_THIS_IS_A_BOT,Ini adalah bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Tayangan ulang tidak aktif
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Tidak ada tayangan ulang tersedia
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Tayangan ulang tak tersedia: Trofi Jagoan terlalu rendah
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Raih <NUM> Trofi Jagoan untuk membuka tayangan ulang
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Tayangan ulang tak tersedia: Gagal merekam
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Tayangan ulang tidak lagi tersedia
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Gagal menambah teman
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Tautan teman telah kedaluwarsa!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Tidak dapat menambahkan teman, daftar temannya sudah penuh!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Tidak dapat menambahkan teman, daftar temanmu sudah penuh!"
TID_ADD_FRIEND_FAILED_BANNED,"Tidak dapat menambahkan teman, pemain diblokir!"
TID_KEYPOOL_KEYS_REMAINING,<VALUE> tersisa
TID_KEYPOOL_NEXT_PATCH,+<KEYS> token dalam <TIME>
TID_TOP_HUD_NEXT_REWARD,Hadiah Berikutnya
TID_RANK_UP_REWARD_REPLACED_TITLE,Konfirmasi Hadiah Alternatif
TID_RANK_UP_REWARD_REPLACED_POWER,Tidak ada Jagoan milikmu yang bisa dipilih untuk mendapatkan <AMOUNT> Poin Kekuatan.\n\nKlaim hadiah alternatif?
TID_RANK_UP_REWARD_REPLACED_HERO,"Karena kamu sudah memiliki <NAME>, kamu akan mendapatkan hadiah alternatif."
TID_RANK_UP_REWARD_REPLACED_PIN,"Karena kamu sudah memiliki Pin ini, kamu akan mendapatkan hadiah alternatif."
TID_RANK_UP_REWARD_REPLACED_SKIN,"Karena kamu sudah memiliki <NAME>, kamu akan mendapatkan hadiah alternatif."
TID_RANK_UP_REWARD_REPLACED_GEN,"Karena kamu sudah memiliki hadiah ini, kamu akan mendapatkan hadiah alternatif."
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,Tidak ada Jagoan yang dapat menerima <AMOUNT> Poin Kekuatan dan Poin Kekuatan yang dimiliki telah mencapai batas maksimum.\n\nKlaim hadiah alternatif?
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,MINTA BERTEMAN
TID_PLAYER_INFO_REMOVE_FRIEND,HAPUS DARI DAFTAR TEMAN
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,PERMINTAAN BERTEMAN TERKIRIM
TID_PLAYER_INFO_IS_YOUR_FRIEND,TEMAN\nDALAM GAME
TID_POWER_POINTS,POIN KEKUATAN
TID_HERO_INFO_LEVEL,LEVEL
TID_HERO_INFO_LEVEL_LONG,LEVEL KEKUATAN
TID_HERO_INFO_RANK,KELAS
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,TINGKATKAN KE LEVEL KEKUATAN <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,KETUK LAGI UNTUK KONFIRMASI
TID_HERO_INFO_MAX_LEVEL,KEKUATAN MAKS
TID_HERO_INFO_MORE_POWER_NEEDED,Kumpulkan lebih banyak Poin Kekuatan untuk meningkatkan!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Jagoan tidak memiliki cukup Poin Kekuatan
TID_HERO_INFO_LEVEL_UP_ERROR_3,Koinmu tidak cukup!
TID_HERO_INFO_LEVEL_UP_ERROR_5,LEVEL KEKUATAN Jagoan sudah maksimal!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,JAGOAN AWAL
TID_HERO_INFO_STAR_POWER_EQUIP,AKTIFKAN
TID_HERO_INFO_STAR_POWER_EQUIPPED,AKTIF
TID_PLAYER_REPORTED_SUCCESSFULLY,Pemain dilaporkan!
TID_TOO_MANY_REPORTS_SENT,Batas laporan harian sudah tercapai!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Harap tunggu sebelum mengirimkan laporan lain
TID_CHOOSE_CHARACTER,PILIH JAGOAN
TID_ARMOR,KESEHATAN
TID_ARMOR_DESC,Mewakili jumlah kerusakan yang bisa ditanggung Jagoan sebelum tumbang.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,Peluru sebar dari senapan Shelly siap menumbangkan lawan. Serangan Supernya dapat menghancurkan halangan dan menghantam mundur lawan!
TID_LONG_RANGE_SHOTGUN,PELURU SEBAR
TID_LONG_RANGE_SHOTGUN_DESC,"Senapan Shelly menembakkan peluru sebar dengan jangkauan menengah. Makin banyak peluru yang mengenai target, makin dahsyat kerusakan yang diberikan."
TID_MEGA_BLASH_ULTI,SELONGSONG SUPER
TID_MEGA_BLASH_ULTI_DESC,Selongsong Super milik Shelly melibas halangan dan lawan. Lawan yang masih berdiri akan terhantam mundur.
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,Pahlawan kesiangan yang sering datang di waktu dan situasi yang tidak tepat. Dia sangat senang bersolek karena penampilan adalah sumber kepercayaan dirinya!
TID_RAPID_FIRE,REVOLVER
TID_RAPID_FIRE_DESC,Colt menembakkan 6 peluru dari revolvernya. Tembakan ini lurus dan memiliki jangkauan yang jauh.
TID_RAPID_FIRE_ULTI,BADAI PELURU
TID_RAPID_FIRE_ULTI_DESC,Colt menembakkan berondongan peluru masif dengan jangkauan ekstra jauh yang menghancurkan segala halangan.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Dalam jarak dekat, Bull memberi kerusakan dahsyat dari senapan sebarnya. Untuk serangan Super, dia menerjang segala halangan dan memukul mundur lawan!"
TID_SHOTGUN_BLAST,LARAS GANDA
TID_SHOTGUN_BLAST_DESC,"Senapan laras ganda milik Bull memberikan kerusakan besar meski jangkauannya sangat pendek. Oleh karena itu, Bull lebih memilih untuk bertempur jarak dekat."
TID_CHARGE,BULDOSER
TID_CHARGE_DESC,"Bull akan merunduk dan menerjang, melibas lawan dan halangan. Kepalanya memang sekeras baja!"
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Saat sedang tidak sibuk membuat medan pertempuran membara dengan roket-roket miliknya, Brock membuat lantai dansa membara dengan tarian yang memikat."
TID_FIREWORKS_WEAPON,ROKET KEREN
TID_FIREWORKS_WEAPON_DESC,Brock menerbangkan Roket Keren yang benar-benar meluncur jauh.
TID_FIREWORKS_ULTI,HUJAN ROKET
TID_FIREWORKS_ULTI_DESC,Brock menembakkan berondongan roket yang akan menghancurkan lawan dan halangan. Dia hanya ingin lawan mandi Hujan Roket!
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Setelah sekian lama terjebak dalam tambang yang gelap, kini Dynamike telah kembali. Tak ada yang tahu apa yang terjadi dalam tambang yang membuatnya terobsesi untuk meledakkan semua hal hingga berkeping-keping!"
TID_MORTAR,SUMBU PENDEK
TID_MORTAR_DESC,Dynamike melemparkan dua batang dinamit melewati halangan apa pun. Sumbunya telah dipangkas mengikuti kepribadian eksplosifnya!
TID_MORTAR_ULTI,BOM TONG BESAR
TID_MORTAR_ULTI_DESC,Bom Tong Besar menghancurkan apa pun. Yang masih selamat akan terhantam mundur!
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,El Primo mengerahkan rentetan tinju pada lawan. Serangan Supernya berupa hantaman sikut melayang yang merusak semua yang ada di sekitarnya!
TID_LUCHADOR_WEAPON,TINJU AMARAH
TID_LUCHADOR_WEAPON_DESC,El Primo melancarkan empat tinju membara. Itulah roti lapis tinju cabai jalapeno pedas!
TID_LUCHADOR_ULTI,HANTAMAN SIKUT MELAYANG
TID_LUCHADOR_ULTI_DESC,El Primo melompat tinggi dan dengan Sikut Intergalaksi miliknya dia akan menghantam mundur lawan dan menghancurkan halangan!
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,Rico menembakkan berondongan peluru yang bisa memantul. Serangan Super miliknya berupa rentetan panjang tembakan peluru memantul yang bisa menembus lawan!
TID_TRICKSHOT_DUDE_WEAPON,PELURU MEMANTUL
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Peluru Rico memantul di tembok dan melesat lebih jauh. Dengan begitu, dia bisa menjangkau lawan yang bersembunyi di balik halangan."
TID_TRICKSHOT_DUDE_ULTI,TEMBAKAN ATRAKSI
TID_TRICKSHOT_DUDE_ULTI_DESC,Rico menembakkan serangkaian peluru yang menembus lawan. Peluru ini bisa memantul di tembok dan melesat lebih jauh.
TID_CACTUS,SPIKE
TID_CACTUS_DESC,Spike melemparkan granat kaktus yang meledak menembakkan duri. Serangan Super miliknya adalah medan kaktus berduri yang mampu memperlambat lawan serta memberi kerusakan!
TID_CACTUS_WEAPON,GRANAT JARUM
TID_CACTUS_WEAPON_DESC,Spike melemparkan kaktus kecil yang meledak dan menembakkan duri ke berbagai arah.
TID_CACTUS_ULTI,TERUS MELEKAT!
