"Name","Disabled","DisabledCN","IconSWF","IconExportName","Character","Skin","GiveOnSkinUnlock","IsPicto","BattleCategory","Rarity","EmoteType","SoundEffect","SfxIndex","LockedForChronos","EmoteBundles","IsDefaultBattleEmote","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogRarityCategory","UnlockedByFame"
"emoji_bibi_angry","","","sc/emoji.sc","emoji_bibi_angry","Baseball","","","","ANGRY","COMMON","ANGRY","Bibi_hurt_vo","1","","","","375","9","","","","","",""
"emoji_bibi_gg","","","sc/emoji.sc","emoji_bibi_gg","Baseball","","","","SPECIAL","RARE","GG","Bibi_kill_vo","3","","","","750","19","","","","","",""
"emoji_bibi_sad","","","sc/emoji.sc","emoji_bibi_sad","Baseball","","","","SAD","COMMON","SAD","Bibi_die_vo","0","","","","375","9","","","","","",""
"emoji_bibi_thanks","","","sc/emoji.sc","emoji_bibi_thanks","Baseball","","","","SPECIAL","EPIC","THANKS","Bibi_lead_vo","3","","","","1500","39","","","","","",""
"emoji_blank","","","sc/emoji.sc","emoji_blank","","","","","SAD","DEFAULT","SAD","","","","","","","","","","","","",""
"emoji_bo","","","sc/emoji.sc","emoji_bo","BowDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bo_ulti_vo","2","","","","","","","","","","",""
"emoji_bo_angry","","","sc/emoji.sc","emoji_bo_angry","BowDude","","","","ANGRY","COMMON","ANGRY","Bo_hurt","3","","","","375","9","","","","","",""
"emoji_bo_gg","","","sc/emoji.sc","emoji_bo_gg","BowDude","","","","SPECIAL","RARE","GG","Bo_ulti_vo","0","","","","750","19","","","","","",""
"emoji_bo_sad","","","sc/emoji.sc","emoji_bo_sad","BowDude","","","","SAD","COMMON","SAD","Bo_hurt","2","","","","375","9","","","","","",""
"emoji_bo_thanks","","","sc/emoji.sc","emoji_bo_thanks","BowDude","","","","SPECIAL","EPIC","THANKS","Bo_start","0","","","","1500","39","","","","","",""
"emoji_bothered","","","sc/emoji.sc","emoji_bothered","","","","","PLAYER_2","DEFAULT","ANGRY","","","","","TRUE","","","","","","","",""
"emoji_brock","","","sc/emoji.sc","emoji_brock","RocketGirl","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Brock_start_vo","2","","","","","","","","","","",""
"emoji_brock_angry","","","sc/emoji.sc","emoji_brock_angry","RocketGirl","","","","ANGRY","COMMON","ANGRY","Brock_hurt_vo","4","","","","375","9","","","","","",""
"emoji_brock_gg","","","sc/emoji.sc","emoji_brock_gg","RocketGirl","","","","SPECIAL","RARE","GG","Brock_kill_vo","3","","","","750","19","","","","","",""
"emoji_brock_sad","","","sc/emoji.sc","emoji_brock_sad","RocketGirl","","","","SAD","COMMON","SAD","Brock_hurt_vo","0","","","","375","9","","","","","",""
"emoji_brock_thanks","","","sc/emoji.sc","emoji_brock_thanks","RocketGirl","","","","SPECIAL","EPIC","THANKS","Brock_start_vo","3","","","","1500","39","","","","","",""
"emoji_bull","","","sc/emoji.sc","emoji_bull","BullDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bull_start","2","","","","","","","","","","",""
"emoji_bull_angry","","","sc/emoji.sc","emoji_bull_angry","BullDude","","","","ANGRY","COMMON","ANGRY","Bull_ulti","2","","","","375","9","","","","","",""
"emoji_bull_gg","","","sc/emoji.sc","emoji_bull_gg","BullDude","","","","SPECIAL","RARE","GG","Bull_start","1","","","","750","19","","","","","",""
"emoji_bull_sad","","","sc/emoji.sc","emoji_bull_sad","BullDude","","","","SAD","COMMON","SAD","Bull_die","3","","","","375","9","","","","","",""
"emoji_bull_thanks","","","sc/emoji.sc","emoji_bull_thanks","BullDude","","","","SPECIAL","EPIC","THANKS","Bull_lead","0","","","","1500","39","","","","","",""
"emoji_carl","","","sc/emoji.sc","emoji_carl","Whirlwind","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Carl_start_vo","0","","","","","","","","","","",""
"emoji_carl_angry","","","sc/emoji.sc","emoji_carl_angry","Whirlwind","","","","ANGRY","COMMON","ANGRY","Carl_hurt_vo","2","","","","375","9","","","","","",""
"emoji_carl_gg","","","sc/emoji.sc","emoji_carl_gg","Whirlwind","","","","SPECIAL","RARE","GG","Carl_start_vo","1","","","","750","19","","","","","",""
"emoji_carl_sad","","","sc/emoji.sc","emoji_carl_sad","Whirlwind","","","","SAD","COMMON","SAD","Carl_die_vo","0","","","","375","9","","","","","",""
"emoji_carl_thanks","","","sc/emoji.sc","emoji_carl_thanks","Whirlwind","","","","SPECIAL","EPIC","THANKS","Carl_start_vo","2","","","","1500","39","","","","","",""
"emoji_colt","","","sc/emoji.sc","emoji_colt","Gunslinger","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Hotshot_Start","1","","","","","","","","","","",""
"emoji_colt_angry","","","sc/emoji.sc","emoji_colt_angry","Gunslinger","","","","ANGRY","COMMON","ANGRY","Hotshot_Takedamge_Vo","2","","","","375","9","","","","","",""
"emoji_colt_gg","","","sc/emoji.sc","emoji_colt_gg","Gunslinger","","","","SPECIAL","RARE","GG","Hotshot_Lead","4","","","","750","19","","","","","",""
"emoji_colt_sad","","","sc/emoji.sc","emoji_colt_sad","Gunslinger","","","","SAD","COMMON","SAD","Hotshot_Takedamge_Vo","5","","","","375","9","","","","","",""
"emoji_colt_thanks","","","sc/emoji.sc","emoji_colt_thanks","Gunslinger","","","","SPECIAL","EPIC","THANKS","Hotshot_Start","2","","","","1500","39","","","","","",""
"emoji_crow","","","sc/emoji.sc","emoji_crow","Crow","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Crow_Start","0","","","","","","","","","","",""
"emoji_crow_angry","","","sc/emoji.sc","emoji_crow_angry","Crow","","","","ANGRY","COMMON","ANGRY","Crow_Takedamage","4","","","","375","9","","","","","",""
"emoji_crow_gg","","","sc/emoji.sc","emoji_crow_gg","Crow","","","","SPECIAL","RARE","GG","Crow_Kill","2","","","","750","19","","","","","",""
"emoji_crow_sad","","","sc/emoji.sc","emoji_crow_sad","Crow","","","","SAD","COMMON","SAD","Crow_Takedamage","0","","","","375","9","","","","","",""
"emoji_crow_thanks","","","sc/emoji.sc","emoji_crow_thanks","Crow","","","","SPECIAL","EPIC","THANKS","Crow_Lead","1","","","","1500","39","","","","","",""
"emoji_darryl","","","sc/emoji.sc","emoji_darryl","BarrelBot","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Darryl_Start_VO","3","","","","","","","","","","",""
"emoji_darryl_angry","","","sc/emoji.sc","emoji_darryl_angry","BarrelBot","","","","ANGRY","COMMON","ANGRY","Darryl_Hurt_VO","5","","","","375","9","","","","","",""
"emoji_darryl_gg","","","sc/emoji.sc","emoji_darryl_gg","BarrelBot","","","","SPECIAL","RARE","GG","Darryl_Start_VO","4","","LoginCalendarDarryl1","","750","19","","","","","",""
"emoji_darryl_sad","","","sc/emoji.sc","emoji_darryl_sad","BarrelBot","","","","SAD","COMMON","SAD","Darryl_Die_VO","5","","","","375","9","","","","","",""
"emoji_darryl_thanks","","","sc/emoji.sc","emoji_darryl_thanks","BarrelBot","","","","SPECIAL","EPIC","THANKS","Darryl_Start_VO","6","","LoginCalendarDarryl2","","1500","39","","","","","",""
"emoji_dynamike","","","sc/emoji.sc","emoji_dynamike","TntDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Tnt_guy_start_vo","1","","","","","","","","","","",""
"emoji_dynamike_angry","","","sc/emoji.sc","emoji_dynamike_angry","TntDude","","","","ANGRY","COMMON","ANGRY","Tnt_guy_hurt_vo","2","","","","375","9","","","","","",""
"emoji_dynamike_gg","","","sc/emoji.sc","emoji_dynamike_gg","TntDude","","","","SPECIAL","RARE","GG","Tnt_guy_start_vo","2","","","","750","19","","","","","",""
"emoji_dynamike_sad","","","sc/emoji.sc","emoji_dynamike_sad","TntDude","","","","SAD","COMMON","SAD","Tnt_guy_hurt_vo","3","","","","375","9","","","","","",""
"emoji_dynamike_thanks","","","sc/emoji.sc","emoji_dynamike_thanks","TntDude","","","","SPECIAL","EPIC","THANKS","Tnt_guy_lead_vo","0","","","","1500","39","","","","","",""
"emoji_ecstatic","","","sc/emoji.sc","emoji_ecstatic","","","","","HAPPY","DEFAULT","HAPPY","","","","","","","","","","","","",""
"emoji_emz","","","sc/emoji.sc","emoji_emz","Mummy","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Emz_start_vo","1","","","","","","","","","","",""
"emoji_emz_angry","","","sc/emoji.sc","emoji_emz_angry","Mummy","","","","ANGRY","COMMON","ANGRY","Emz_hurt_vo","3","","","","375","9","","","","","",""
"emoji_emz_gg","","","sc/emoji.sc","emoji_emz_gg","Mummy","","","","SPECIAL","RARE","GG","Emz_lead_vo","3","","","","750","19","","","","","",""
"emoji_emz_sad","","","sc/emoji.sc","emoji_emz_sad","Mummy","","","","SAD","COMMON","SAD","Emz_hurt_vo","4","","","","375","9","","","","","",""
"emoji_emz_thanks","","","sc/emoji.sc","emoji_emz_thanks","Mummy","","","","SPECIAL","EPIC","THANKS","Emz_lead_vo","2","","","","1500","39","","","","","",""
"emoji_frank","","","sc/emoji.sc","emoji_frank","HammerDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Frank_Gadget","0","","","","","","","","","","",""
"emoji_frank_angry","","","sc/emoji.sc","emoji_frank_angry","HammerDude","","","","ANGRY","COMMON","ANGRY","Frank_vo","5","","","","375","9","","","","","",""
"emoji_frank_gg","","","sc/emoji.sc","emoji_frank_gg","HammerDude","","","","SPECIAL","RARE","GG","Frank_vo","2","","","","750","19","","","","","",""
"emoji_frank_sad","","","sc/emoji.sc","emoji_frank_sad","HammerDude","","","","SAD","COMMON","SAD","Frank_vo","1","","","","375","9","","","","","",""
"emoji_frank_thanks","","","sc/emoji.sc","emoji_frank_thanks","HammerDude","","","","SPECIAL","EPIC","THANKS","Frank_vo","2","","","","1500","39","","","","","",""
"emoji_frenzied","","","sc/emoji.sc","emoji_frenzied","","","","","ANGRY","DEFAULT","ANGRY","","","","","","","","","","","","",""
"emoji_gene","","","sc/emoji.sc","emoji_gene","HookDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Gene_vo","2","","","","","","","","","","",""
"emoji_gene_angry","","","sc/emoji.sc","emoji_gene_angry","HookDude","","","","ANGRY","COMMON","ANGRY","Gene_vo","4","","","","375","9","","","","","",""
"emoji_gene_gg","","","sc/emoji.sc","emoji_gene_gg","HookDude","","","","SPECIAL","RARE","GG","Gene_vo","6","","","","750","19","","","","","",""
"emoji_gene_sad","","","sc/emoji.sc","emoji_gene_sad","HookDude","","","","SAD","COMMON","SAD","Gene_vo","12","","","","375","9","","","","","",""
"emoji_gene_thanks","","","sc/emoji.sc","emoji_gene_thanks","HookDude","","","","SPECIAL","EPIC","THANKS","Gene_vo","9","","","","1500","39","","","","","",""
"emoji_grin","","","sc/emoji.sc","emoji_grin","","","","","HAPPY","DEFAULT","HAPPY","","","","","","","","","","","","",""
"emoji_happy","","","sc/emoji.sc","emoji_happy","","","","","HAPPY","DEFAULT","HAPPY","","","","","TRUE","","","","","","","",""
"emoji_jacky","","","sc/emoji.sc","emoji_jacky","Driller","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Jackie_Start_VO","0","","","","","","","","","","",""
"emoji_jacky_angry","","","sc/emoji.sc","emoji_jacky_angry","Driller","","","","ANGRY","COMMON","ANGRY","Jackie_Die_VO","3","","","","375","9","","","","","",""
"emoji_jacky_gg","","","sc/emoji.sc","emoji_jacky_gg","Driller","","","","SPECIAL","RARE","GG","Jackie_Kill_VO","0","","","","750","19","","","","","",""
"emoji_jacky_sad","","","sc/emoji.sc","emoji_jacky_sad","Driller","","","","SAD","COMMON","SAD","Jackie_Hurt_VO","0","","","","375","9","","","","","",""
"emoji_jacky_thanks","","","sc/emoji.sc","emoji_jacky_thanks","Driller","","","","SPECIAL","EPIC","THANKS","Jackie_Ulti_VO","4","","","","1500","39","","","","","",""
"emoji_jessie","","","sc/emoji.sc","emoji_jessie","Mechanic","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Jess_start","3","","","","","","","","","","",""
"emoji_jessie_angry","","","sc/emoji.sc","emoji_jessie_angry","Mechanic","","","","ANGRY","COMMON","ANGRY","Jess_takedamage","3","","","","375","9","","","","","",""
"emoji_jessie_gg","","","sc/emoji.sc","emoji_jessie_gg","Mechanic","","","","SPECIAL","RARE","GG","Jess_lead","3","","","","750","19","","","","","",""
"emoji_jessie_sad","","","sc/emoji.sc","emoji_jessie_sad","Mechanic","","","","SAD","COMMON","SAD","Jess_die","3","","","","375","9","","","","","",""
"emoji_jessie_thanks","","","sc/emoji.sc","emoji_jessie_thanks","Mechanic","","","","SPECIAL","EPIC","THANKS","Jess_ulti","2","","","","1500","39","","","","","",""
"emoji_laugh","","","sc/emoji.sc","emoji_laugh","","","","","PLAYER_1","DEFAULT","HAPPY","","","","","TRUE","","","","","","","",""
"emoji_leon","","","sc/emoji.sc","emoji_leon","Ninja","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Leon_start_vo","2","","","","","","","","","","",""
"emoji_leon_angry","","","sc/emoji.sc","emoji_leon_angry","Ninja","","","","ANGRY","COMMON","ANGRY","Leon_hurt_vo","3","","","","375","9","","","","","",""
"emoji_leon_gg","","","sc/emoji.sc","emoji_leon_gg","Ninja","","","","SPECIAL","RARE","GG","Leon_kill_vo","0","","","","750","19","","","","","",""
"emoji_leon_sad","","","sc/emoji.sc","emoji_leon_sad","Ninja","","","","SAD","COMMON","SAD","Leon_die_vo","0","","","","375","9","","","","","",""
"emoji_leon_thanks","","","sc/emoji.sc","emoji_leon_thanks","Ninja","","","","SPECIAL","EPIC","THANKS","Leon_ulti_vo","0","","","","1500","39","","","","","",""
"emoji_mortis","","","sc/emoji.sc","emoji_mortis","Undertaker","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Mortis_start","3","","","","","","","","","","",""
"emoji_mortis_angry","","","sc/emoji.sc","emoji_mortis_angry","Undertaker","","","","ANGRY","COMMON","ANGRY","Mortis_hurt","2","","","","375","9","","","","","",""
"emoji_mortis_gg","","","sc/emoji.sc","emoji_mortis_gg","Undertaker","","","","SPECIAL","RARE","GG","Mortis_kill","3","","","","750","19","","","","","",""
"emoji_mortis_sad","","","sc/emoji.sc","emoji_mortis_sad","Undertaker","","","","SAD","COMMON","SAD","Mortis_die","2","","","","375","9","","","","","",""
"emoji_mortis_thanks","","","sc/emoji.sc","emoji_mortis_thanks","Undertaker","","","","SPECIAL","EPIC","THANKS","Mortis_ulti_vo","2","","","","1500","39","","","","","",""
"emoji_nita","","","sc/emoji.sc","emoji_nita","Shaman","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Nita_start","0","","","","","","","","","","",""
"emoji_nita_angry","","","sc/emoji.sc","emoji_nita_angry","Shaman","","","","ANGRY","COMMON","ANGRY","Nita_hurt","1","","","","375","9","","","","","",""
"emoji_nita_gg","","","sc/emoji.sc","emoji_nita_gg","Shaman","","","","SPECIAL","RARE","GG","Nita_lead","1","","","","750","19","","","","","",""
"emoji_nita_sad","","","sc/emoji.sc","emoji_nita_sad","Shaman","","","","SAD","COMMON","SAD","Nita_death","0","","","","375","9","","","","","",""
"emoji_nita_thanks","","","sc/emoji.sc","emoji_nita_thanks","Shaman","","","","SPECIAL","EPIC","THANKS","Nita_ulti","1","","","","1500","39","","","","","",""
"emoji_pam","","","sc/emoji.sc","emoji_pam","MinigunDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Pam_start","2","","","","","","","","","","",""
"emoji_pam_angry","","","sc/emoji.sc","emoji_pam_angry","MinigunDude","","","","ANGRY","COMMON","ANGRY","Pam_die","0","","","","375","9","","","","","",""
"emoji_pam_gg","","","sc/emoji.sc","emoji_pam_gg","MinigunDude","","","","SPECIAL","RARE","GG","Pam_ulti","1","","","","750","19","","","","","",""
"emoji_pam_sad","","","sc/emoji.sc","emoji_pam_sad","MinigunDude","","","","SAD","COMMON","SAD","Pam_hurt","4","","","","375","9","","","","","",""
"emoji_pam_thanks","","","sc/emoji.sc","emoji_pam_thanks","MinigunDude","","","","SPECIAL","EPIC","THANKS","Pam_start","3","","","","1500","39","","","","","",""
"emoji_penny","","","sc/emoji.sc","emoji_penny","ArtilleryDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Penny_start","0","","","","","","","","","","",""
"emoji_penny_angry","","","sc/emoji.sc","emoji_penny_angry","ArtilleryDude","","","","ANGRY","COMMON","ANGRY","Penny_takedamage","0","","","","375","9","","","","","",""
"emoji_penny_gg","","","sc/emoji.sc","emoji_penny_gg","ArtilleryDude","","","","SPECIAL","RARE","GG","Penny_lead","0","","LoginCalendarPenny1","","750","19","","","","","",""
"emoji_penny_sad","","","sc/emoji.sc","emoji_penny_sad","ArtilleryDude","","","","SAD","COMMON","SAD","Penny_die","0","","","","375","9","","","","","",""
"emoji_penny_thanks","","","sc/emoji.sc","emoji_penny_thanks","ArtilleryDude","","","","SPECIAL","EPIC","THANKS","Penny_takedamage","1","","LoginCalendarPenny2","","1500","39","","","","","",""
"emoji_piper","","","sc/emoji.sc","emoji_piper","Sniper","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Piper_Start","0","","","","","","","","","","",""
"emoji_piper_angry","","","sc/emoji.sc","emoji_piper_angry","Sniper","","","","ANGRY","COMMON","ANGRY","Piper_Takedamage","1","","","","375","9","","","","","",""
"emoji_piper_gg","","","sc/emoji.sc","emoji_piper_gg","Sniper","","","","SPECIAL","RARE","GG","Piper_Lead","0","","","","750","19","","","","","",""
"emoji_piper_sad","","","sc/emoji.sc","emoji_piper_sad","Sniper","","","","SAD","COMMON","SAD","Piper_Die","1","","","","375","9","","","","","",""
"emoji_piper_thanks","","","sc/emoji.sc","emoji_piper_thanks","Sniper","","","","SPECIAL","EPIC","THANKS","Piper_Kill","1","","","","1500","39","","","","","",""
"emoji_poco","","","sc/emoji.sc","emoji_poco","DeadMariachi","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Poco_start","3","","","","","","","","","","",""
"emoji_poco_angry","","","sc/emoji.sc","emoji_poco_angry","DeadMariachi","","","","ANGRY","COMMON","ANGRY","Poco_die","1","","","","375","9","","","","","",""
"emoji_poco_gg","","","sc/emoji.sc","emoji_poco_gg","DeadMariachi","","","","SPECIAL","RARE","GG","Poco_lead","2","","","","750","19","","","","","",""
"emoji_poco_sad","","","sc/emoji.sc","emoji_poco_sad","DeadMariachi","","","","SAD","COMMON","SAD","Poco_hurt","3","","","","375","9","","","","","",""
"emoji_poco_thanks","","","sc/emoji.sc","emoji_poco_thanks","DeadMariachi","","","","SPECIAL","EPIC","THANKS","Poco_start","2","","","","1500","39","","","","","",""
"emoji_primo","","","sc/emoji.sc","emoji_primo","Luchador","","","TRUE","DEFAULT","DEFAULT","DEFAULT","El_primo_start","1","","","","","","","","","","",""
"emoji_primo_angry","","","sc/emoji.sc","emoji_primo_angry","Luchador","","","","ANGRY","COMMON","ANGRY","El_primo_hurt","3","","","","375","9","","","","","",""
"emoji_primo_gg","","","sc/emoji.sc","emoji_primo_gg","Luchador","","","","SPECIAL","RARE","GG","El_primo_kill","1","","","","750","19","","","","","",""
"emoji_primo_sad","","","sc/emoji.sc","emoji_primo_sad","Luchador","","","","SAD","COMMON","SAD","El_primo_die","0","","","","375","9","","","","","",""
"emoji_primo_thanks","","","sc/emoji.sc","emoji_primo_thanks","Luchador","","","","SPECIAL","EPIC","THANKS","El_primo_start","5","","","","1500","39","","","","","",""
"emoji_rage","","","sc/emoji.sc","emoji_rage","","","","","ANGRY","DEFAULT","ANGRY","","","","","TRUE","","","","","","","",""
"emoji_rico","","","sc/emoji.sc","emoji_rico","TrickshotDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Rick_start","2","","","","","","","","","","",""
"emoji_rico_angry","","","sc/emoji.sc","emoji_rico_angry","TrickshotDude","","","","ANGRY","COMMON","ANGRY","Rick_hurt","4","","","","375","9","","","","","",""
"emoji_rico_gg","","","sc/emoji.sc","emoji_rico_gg","TrickshotDude","","","","SPECIAL","RARE","GG","Rick_kill","5","","","","750","19","","","","","",""
"emoji_rico_sad","","","sc/emoji.sc","emoji_rico_sad","TrickshotDude","","","","SAD","COMMON","SAD","Rick_die","0","","","","375","9","","","","","",""
"emoji_rico_thanks","","","sc/emoji.sc","emoji_rico_thanks","TrickshotDude","","","","SPECIAL","EPIC","THANKS","Rick_start","4","","","","1500","39","","","","","",""
"emoji_rosa","","","sc/emoji.sc","emoji_rosa","Rosa","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Rosa_start","0","","","","","","","","","","",""
"emoji_rosa_angry","","","sc/emoji.sc","emoji_rosa_angry","Rosa","","","","ANGRY","COMMON","ANGRY","Rosa_die","1","","","","375","9","","","","","",""
"emoji_rosa_gg","","","sc/emoji.sc","emoji_rosa_gg","Rosa","","","","SPECIAL","RARE","GG","Rosa_ulti_vo","0","","","","750","19","","","","","",""
"emoji_rosa_sad","","","sc/emoji.sc","emoji_rosa_sad","Rosa","","","","SAD","COMMON","SAD","Rosa_die","2","","","","375","9","","","","","",""
"emoji_rosa_thanks","","","sc/emoji.sc","emoji_rosa_thanks","Rosa","","","","SPECIAL","EPIC","THANKS","Rosa_lead","2","","","","1500","39","","","","","",""
"emoji_sad","","","sc/emoji.sc","emoji_sad","","","","","SAD","DEFAULT","SAD","","","","","TRUE","","","","","","","",""
"emoji_sandy","","","sc/emoji.sc","emoji_sandy","Sandstorm","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Sandy_start_vo","0","","","","","","","","","","",""
"emoji_sandy_angry","","","sc/emoji.sc","emoji_sandy_angry","Sandstorm","","","","ANGRY","COMMON","ANGRY","Sandy_hurt_vo","1","","","","375","9","","","","","",""
"emoji_sandy_gg","","","sc/emoji.sc","emoji_sandy_gg","Sandstorm","","","","SPECIAL","RARE","GG","Sandy_kill_vo","0","","","","750","19","","","","","",""
"emoji_sandy_sad","","","sc/emoji.sc","emoji_sandy_sad","Sandstorm","","","","SAD","COMMON","SAD","Sandy_die_vo","2","","","","375","9","","","","","",""
"emoji_sandy_thanks","","","sc/emoji.sc","emoji_sandy_thanks","Sandstorm","","","","SPECIAL","EPIC","THANKS","Sandy_kill_vo","1","","","","1500","39","","","","","",""
"emoji_shelly","","","sc/emoji.sc","emoji_shelly","ShotgunGirl","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Shelly_Start","3","","","","","","","","","","",""
"emoji_shelly_angry","","","sc/emoji.sc","emoji_shelly_angry","ShotgunGirl","","","","ANGRY","COMMON","ANGRY","Shelly_Die","3","","","","375","9","","","","","",""
"emoji_shelly_gg","","","sc/emoji.sc","emoji_shelly_gg","ShotgunGirl","","","","SPECIAL","RARE","GG","Shelly_Lead","0","","","","750","19","","","","","",""
"emoji_shelly_sad","","","sc/emoji.sc","emoji_shelly_sad","ShotgunGirl","","","","SAD","COMMON","SAD","Shelly_Die","0","","","","375","9","","","","","",""
"emoji_shelly_thanks","","","sc/emoji.sc","emoji_shelly_thanks","ShotgunGirl","","","","SPECIAL","EPIC","THANKS","Shelly_Lead","3","","","","1500","39","","","","","",""
"emoji_shocked","","","sc/emoji.sc","emoji_shocked","","","","","SAD","DEFAULT","SAD","","","","","","","","","","","","",""
"emoji_smile","","","sc/emoji.sc","emoji_smile","","","","","HAPPY","DEFAULT","HAPPY","","","","","TRUE","","","","","","","",""
"emoji_speechless","","","sc/emoji.sc","emoji_speechless","","","","","SAD","DEFAULT","SAD","","","","","","","","","","","","",""
"emoji_spike","","","sc/emoji.sc","emoji_spike","Cactus","","","TRUE","DEFAULT","DEFAULT","DEFAULT","","","","","","","","","","","","",""
"emoji_spike_angry","","","sc/emoji.sc","emoji_spike_angry","Cactus","","","","ANGRY","COMMON","ANGRY","","","","","","375","9","","","","","",""
"emoji_spike_gg","","","sc/emoji.sc","emoji_spike_gg","Cactus","","","","SPECIAL","RARE","GG","","","","","","750","19","","","","","",""
"emoji_spike_sad","","","sc/emoji.sc","emoji_spike_sad","Cactus","","","","SAD","COMMON","SAD","","","","","","375","9","","","","","",""
"emoji_spike_thanks","","","sc/emoji.sc","emoji_spike_thanks","Cactus","","","","SPECIAL","EPIC","THANKS","","","","","","1500","39","","","","","",""
