"Name","Conf","Disabled","Campaigns","IconOverrideSWF","IconOverrideExportName","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","CanDropWithoutBlingPrice","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","DiffuseTexture","SpecularTexture","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"MinigunDudeDefault","MinigunDudeDefault","","","","","","","","","","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGuyHair","BullGuyHair","","NORSEGODS","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_BULL_HAIR_SKIN","TID_BULL_HAIR_SKIN_SHOP","MODEL,VFX","","","bull_viking_redux_tex.sctx","bull_viking_redux_tex.sctx","","","","","","","","",""
"TrickshotGold","TrickshotGold","","ROYALS","","","","","","","","","","","","5000","","149","129","","EPIC","TID_TRICKSHOT_GOLD_SKIN","TID_TRICKSHOT_GOLD_SKIN_SHOP","MODEL,VFX","","","rico_gold_tex.sctx","rico_gold_tex.sctx","","","-300","-550","","","","",""
"BarkeepGold","BarkeepGold","","OUTLAWS","","","","","","","","","","","","1000","","29","","","RARE","TID_BARKEEP_GOLD_SKIN","TID_BARKEEP_GOLD_SKIN_SHOP","MODEL,VFX","","","barley_banker_tex.sctx","barley_banker_tex.sctx","","","","","","","","",""
"LuchadorRudo","LuchadorRudo","","MISC","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_LUCHADOR_RUDO_SKIN","TID_LUCHADOR_RUDO_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrudo_tex.sctx","primo_elrudo_tex.sctx","","","","","","","","",""
"BanditGirlBandita","BanditGirlBandita","","OUTLAWS","","","","","8","","","","","","","1000","","29","","","RARE","TID_SHOTGUN_BANDITA_SKIN","TID_SHOTGUN_BANDITA_SKIN_SHOP","MODEL","","","shelly_bandita_tex.sctx","shelly_bandita_tex.sctx","","","","","","","","",""
"LuchadorRey","LuchadorRey","","ROYALS","","","","","","","","","","","","5000","","149","129","","EPIC","TID_LUCHADOR_KING_SKIN","TID_LUCHADOR_KING_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrey_tex.sctx","primo_elrey_tex.sctx","","","","","","","","",""
"BallDefault","BallDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackholeDefault","BlackholeDefault","","","","","","","","","","","","","","","","","","","","","","","","","tara_tex.sctx","tara_tex.sctx","","","","","","","","",""
"HealstationDefault","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","","","pam_turret_blue_tex.sctx","pam_turret_blue_tex.sctx","","","","","","","","",""
"BarrelbotDefault","BarrelbotDefault","","","","","","","","","","","","","","","","","","","","","","","","","darryl_tex.sctx","darryl_tex.sctx","","","","","","","","",""
"BlackholePetDefault","BlackholePetDefault","","","","","","","","","","","","","","","","","","","","","","","","","tara_superability_tex.sctx","tara_superability_tex.sctx","","","","","","","","",""
"TntPetDefault","TntPetDefault","","","","","","","","","","","","","","","","","","","","","","","","","nita_bear_tex.sctx","nita_bear_tex.sctx","","","","","","","","",""
"RangedBotDefault","RangedBotDefault","","","","","","","","","","","","","","","","","","","","","","","","","bot_ranger_tex.sctx","bot_ranger_tex.sctx","","","","","","","","",""
"MeleeFastBotDefault","MeleeFastBotDefault","","","","","","","","","","","","","","","","","","","","","","","","","bot_fast_melee_tex.sctx","bot_fast_melee_tex.sctx","","","","","","","","",""
"MeleeBotDefault","MeleeBotDefault","","","","","","","","","","","","","","","","","","","","","","","","","bot_melee_tex.sctx","bot_melee_tex.sctx","","","","","","","","",""
"BossBotDefault","BossBotDefault","","","","","","","","","","","","","","","","","","","","","","","","","bot_boss_tex.sctx","bot_boss_tex.sctx","","","","","","","","",""
"ArtilleryGalDefault","ArtilleryGalDefault","","","","","","","","","","ArtilleryTurretDefault","ArtilleryDudeCoverDefault","","","","","","","","","","","","","","penny_tex.sctx","penny_tex.sctx","","","","","","","","",""
"FrankDefault","FrankDefault","","","","","","","","","","","","","","","","","","","","","","","","","frank_tex.sctx","frank_tex.sctx","","","","","","","","",""
"ArtilleryTurretDefault","ArtilleryTurretDefault","","","","","","","","","","","","","","","","","","","","","","","","","penny_tex.sctx","penny_tex.sctx","","","","","","","","",""
"MechanicKnight","MechanicKnight","","ONCEUPON","","","","","","","","TurretDragon","","","","5000","","149","129","","EPIC","TID_MECHANIC_KNIGHT_SKIN","TID_MECHANIC_KNIGHT_SKIN_SHOP","MODEL,TURRET,VFX,ANIM","","","jessie_knight_redux_tex.sctx","jessie_knight_redux_tex.sctx","","","","","","","","",""
"FrankCaveman","FrankCaveman","","CAVE","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_FRANK_CAVEMAN_SKIN","TID_FRANK_CAVEMAN_SKIN_SHOP","MODEL","","","frank_caveman_remake_tex.sctx","frank_caveman_remake_tex.sctx","","","","","","","","",""
"TurretDragon","TurretDragon","","","","","","","","","","","","","","","","","","","","","","","","","jessie_knight_redux_turret_tex.sctx","jessie_knight_redux_turret_tex.sctx","","","","","","","","",""
"MechanicSummer","MechanicSummer","","SUMMER","","","","","","","","TurretSummertime","","","","2750","","79","69","","SUPER_RARE","TID_MECHANIC_SUMMER_SKIN","TID_MECHANIC_SUMMER_SKIN_SHOP","MODEL,TURRET,VFX","","","jessie_beach_tex.sctx","jessie_beach_tex.sctx","","","","","","","","",""
"TurretSummertime","TurretSummertime","","","","","","","","","","","","","","","","","","","","","","","","","jessie_beach_duck_tex.sctx","jessie_beach_duck_tex.sctx","","","","","","","","",""
"CrowPheonix","CrowPheonix","","PHOENIX","","","","","","","","","","","","","true","299","269","","LEGENDARY","TID_CROW_PHEONIX_SKIN","TID_CROW_PHEONIX_SKIN_SHOP","MODEL,VFX,ANIM","","","","","","","-300","-50","","","","",""
"UndertakerGreaser","UndertakerGreaser","","RETRO","sc/emoji.sc","emoji_mortis_retro","","","","","","","","","","5000","","149","129","","EPIC","TID_UNDERTAKER_GREASER_SKIN","TID_UNDERTAKER_GREASER_SKIN_SHOP","MODEL,ANIM","","","mortis_greaser_tex_02.sctx","mortis_greaser_tex_02.sctx","","","","","","","","",""
"BigBotDefault","BigBotDefault","","","","","","","","","","","","","","","","","","","","","","","","","meleebot_tex.sctx","meleebot_tex.sctx","","","","","","","","",""
"BanditGirlPrereg","BanditGirlPrereg","","ANNIVERSARY2019","","","","1","3","","","","","","","","","","","","","TID_SHOTGUN_STAR_SKIN","TID_SHOTGUN_STAR_SKIN_SHOP","MODEL,VFX","","","shelly_prereg_01.sctx","shelly_prereg_01.sctx","","","","","","","","",""
"LootBox","LootBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntBox","TntBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Safe","Safe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntGuySanta","TntGuySanta","","BRAWLIDAYS","","","","3","3","","","","","","","2750","","79","","","SUPER_RARE","TID_DYNAMIKE_SANTA_SKIN","TID_DYNAMIKE_SANTA_SKIN_SHOP","MODEL,VFX","","","dynamike_santa_tex.sctx","dynamike_santa_tex.sctx","","","","","","","","",""
"TntGuyChef","TntGuyChef","","MEAL","","","","","","","","","","","","5000","","149","129","","EPIC","TID_DYNAMIKE_CHEF_SKIN","TID_DYNAMIKE_CHEF_SKIN_SHOP","MODEL,VFX","","","dynamike_chef_tex.sctx","dynamike_chef_tex.sctx","","","","","","","","",""
"RocketGirlBoombox","RocketGirlBoombox","","MUSIC","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_BROCK_BOOMBOX_SKIN","TID_BROCK_BOOMBOX_SKIN_SHOP","MODEL","","","brock_boombox_tex.sctx","brock_boombox_tex.sctx","","","","","","","","",""
"BarkeepWizard","BarkeepWizard","","CLASHIP","","","","2","4","","","","","","","","","","","","","TID_BARLEY_WIZARD_SKIN","TID_BARLEY_WIZARD_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","barley_wizard_tex.sctx","barley_wizard_tex.sctx","","","","","","","","",""
"ShamanReindeer","ShamanReindeer","","BRAWLIDAYS","","","","3","3","","","ShamanBearReindeer","","","","5000","","149","","","EPIC","TID_NITA_REINDEER_SKIN","TID_NITA_REINDEER_SKIN_SHOP","MODEL,PET","","","nita_reindeer_tex.sctx","nita_reindeer_tex.sctx","","","","","","","","",""
"ArtilleryGalElf","ArtilleryGalElf","","BRAWLIDAYS","","","","3","3","","","ArtilleryTurretElf","ArtilleryDudeCoverDefault","","","2750","","79","","","SUPER_RARE","TID_PENNY_ELF_SKIN","TID_PENNY_ELF_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_elf_tex.sctx","penny_elf_tex.sctx","","","","","","","","",""
"NinjaDefault","NinjaDefault","","","","","","","","","","","","","","","","","","","","","","","","","leon_tex.sctx","leon_tex.sctx","","","","","","","","",""
"UndertakerHat","UndertakerHat","","","","","1","5","5","","UndertakerDefault","","","","","","","","","","","TID_UNDERTAKER_HAT_SKIN","TID_UNDERTAKER_HAT_SKIN_SHOP","MODEL","","","mortis_v2_tex.sctx","mortis_v2_tex.sctx","","","","","","","","",""
"BullGuyFootbull","BullGuyFootbull","","SUPERBOWL","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_SKIN_FOOTBULL","TID_SKIN_FOOTBULL_SHOP","MODEL","","","bull_footbull_tex.sctx","bull_footbull_tex.sctx","","","","","","","","",""
"ShamanBearReindeer","ShamanBearReindeer","","","","","","","","","","","","","","","","","","","","","","","","","nita_bear_reindeer_tex.sctx","nita_bear_reindeer_tex.sctx","","","","","","","","",""
"ArtilleryTurretElf","ArtilleryTurretElf","","","","","","","","","","","","","","","","","","","","","","","","","penny_elf_tex.sctx","penny_elf_tex.sctx","","","","","","","","",""
"HookDefault","HookDefault","","","","","","","","","","","","","","","","","","","","","","","","","gene_tex.sctx","gene_tex.sctx","","","","","","","","",""
"TrickshotPopcorn","TrickshotPopcorn","","BRAWLYWOOD","","","","","","","","","","","","5000","","149","129","","EPIC","TID_SKIN_POPCORN_RICO","TID_SKIN_POPCORN_RICO_SHOP","MODEL,VFX","","","rico_popcorn_tex.sctx","rico_popcorn_tex.sctx","","","","","","","","",""
"GunSlingerHanbok","GunSlingerHanbok","","LNY","","","","3","3","","","","","","","5000","","149","","","EPIC","TID_SKIN_LUNAR_COLT","TID_SKIN_LUNAR_COLT_SHOP","MODEL,TEXTURE,VFX","","","colt_hanbok_tex.sctx","colt_hanbok_tex.sctx","","","","","","","","",""
"BarrelbotCny","BarrelbotCny","","LNY","","","","3","3","","","","","","","2750","","79","","","SUPER_RARE","TID_SKIN_DUMPLING_DARRYL","TID_SKIN_DUMPLING_DARRYL_SHOP","MODEL,TEXTURE,VFX","","","darryl_cny_tex.sctx","darryl_cny_tex.sctx","","","","","","","","",""
"PocoValentine","PocoValentine","","BRAWLENTINES","sc/emoji.sc","emoji_poco_stvalentines","","","","","","","","","","5000","","149","129","","EPIC","TID_SKIN_VALENTINE_POCO","TID_SKIN_VALENTINE_POCO_SHOP","MODEL,VFX","","","poco_valentine_tex.sctx","poco_valentine_tex.sctx","","","","","","","","",""
"RocketGirlCny","RocketGirlCny","","LNY","","","","3","3","","","","","","","5000","","149","","","EPIC","TID_SKIN_LUNAR_BROCK","TID_SKIN_LUNAR_BROCK_SHOP","MODEL,TEXTURE,VFX","","","brock_cny_tex.sctx","brock_cny_tex.sctx","","","","","","","","",""
"WhirlwindDefault","WhirlwindDefault","","","","","","","","","","","","","","","","","","","","","","","","","carl_tex.sctx","carl_tex.sctx","","","","","","","","",""
"RoboWarsBox","RoboWarsBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerNightwitch","UndertakerNightwitch","","CLASHIP","","","","","","","","","","","","5000","","149","129","","EPIC","TID_UNDERTAKER_NIGHTWITCH_SKIN","TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP","MODEL,VFX","","","mortis_nightwitch_tex.sctx","mortis_nightwitch_tex.sctx","","","","","","","","",""
"RoboWarsBaseDefault","RoboWarsBaseDefault","","","","","","","","","","","","","","","","","","","","","","","","","siege_base.sctx","siege_base.sctx","","","","","","","","",""
"RosaDefault","RosaDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCart","MineCart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanShiba","ShamanShiba","","GOLDENWEEK","sc/emoji.sc","emoji_nita_gw","","","","","","ShamanBearShiba","","","","5000","","149","129","","EPIC","TID_SHAMAN_SHIBA_SKIN","TID_SHAMAN_SHIBA_SKIN_SHOP","MODEL,PET,VFX,ANIM,SFX","","","nita_shiba_tex.sctx","nita_shiba_tex.sctx","","","","","","","","",""
"ShamanBearShiba","ShamanBearShiba","","","","","","","","","","","","","","","","","","","","","","","","","nita_bear_shiba_tex.sctx","nita_bear_shiba_tex.sctx","","","","","","","","",""
"BaseballDefault","BaseballDefault","","","","","","","","","","","","","","","","","","","","","","","","","bibi_tex.sctx","bibi_tex.sctx","","","","","","","","",""
"MineCartB","MineCartB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartC","MineCartC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartD","MineCartD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartE","MineCartE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDefault","ClusterBombDefault","","","","","","","","","","ClusterBombPetDefault","","","","","","","","","","","","","","","tick_tex.sctx","tick_tex.sctx","","","","","","","","",""
"ClusterBombPetDefault","ClusterBombPetDefault","","","","","","","","","","","","","","","","","","","","","","","","","tick_tex.sctx","tick_tex.sctx","","","","","","","","",""
"ArtilleryGalBunny","ArtilleryGalBunny","","BUNNY_BRIGADE","","","","","","","","ArtilleryTurretBunny","ArtilleryDudeCoverDefault","","","2750","","79","69","","SUPER_RARE","TID_PENNY_BUNNY_SKIN","TID_PENNY_BUNNY_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_bunny_redux_tex.sctx","penny_bunny_redux_tex.sctx","","","","","","","","",""
"ArtilleryTurretBunny","ArtilleryTurretBunny","","","","","","","","","","","","","","","","","","","","","","","","","penny_bunny_redux_tex.sctx","penny_bunny_redux_tex.sctx","","","","","","","","",""
"BarkeepMs","BarkeepMs","","RETRO","sc/emoji.sc","emoji_barley_retro","","3","3","","","","","","","5000","","149","","","EPIC","TID_BARLEY_MS_SKIN","TID_BARLEY_MS_SKIN_SHOP","MODEL,VFX,ANIM","","","barley_ms_tex.sctx","barley_ms_tex.sctx","","","","","","","","",""
"RocketGirlHotrod","RocketGirlHotrod","","RETRO","sc/emoji.sc","emoji_brock_retro","","3","3","","","","","","","5000","","149","","","EPIC","TID_BROCK_HOTROD_SKIN","TID_BROCK_HOTROD_SKIN_SHOP","MODEL,VFX","","","brock_hotrod_tex.sctx","brock_hotrod_tex.sctx","","","","","","","","",""
"BarkeepMaple","BarkeepLumberjack","","MEAL","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_BARLEY_MAPLE_SKIN","TID_BARLEY_MAPLE_SKIN_SHOP","MODEL,VFX","","","barley_lumberjack_tex.sctx","barley_lumberjack_tex.sctx","","","","","","","","",""
"WhirlwindRR","WhirlwindHotrod","","RETRO","sc/emoji.sc","emoji_carl_retro","","3","3","","","","","","","2750","","79","","","SUPER_RARE","TID_CARL_RR_SKIN","TID_CARL_RR_SKIN_SHOP","MODEL,VFX","","","carl_hotrod_tex.sctx","carl_hotrod_tex.sctx","","","","","","","","",""
"BoMecha","BoMecha","","MECHA","","","8","","","","","","","","","","true","299","269","","LEGENDARY","TID_BO_MECHA_SKIN","TID_BO_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_tex.sctx","bo_mecha_tex.sctx","","","","","","","","",""
"CrowMecha","CrowMecha","","MECHA","","","9","","","","","","","","","","true","299","269","","LEGENDARY","TID_CROW_MECHA_SKIN","TID_CROW_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mecha_tex.sctx","crow_mecha_tex.sctx","","","","","","","","",""
"Cactusmecha","Cactusmecha","","MAXFORCE","","","","","","","","","","","","5000","","149","129","","EPIC","TID_SPIKE_ROBO_SKIN","TID_SPIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","spike_mecha_tex.sctx","spike_mecha_tex.sctx","","","","","","","","",""
"TntDudeMecha","TntDudeMecha","","MAXFORCE","","","","","","","","","","","","","true","299","269","","LEGENDARY","TID_MIKE_ROBO_SKIN","TID_MIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","dynamike_mecha_tex.sctx","dynamike_mecha_tex.sctx","","","","","","","","",""
"BowDudeMechaWhite","BoMecha","","MECHA","","","8","","","","","BowDudeTotemDefault","","","","","","49","","","LEGENDARY","TID_BO_MECHA_LIGHT_SKIN","TID_BO_MECHA_LIGHT_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_white_tex.sctx","bo_mecha_white_tex.sctx","","","","","","","BoMecha","",""
"BowDudeMechaGold","BoMecha","","MECHA","","","8","","","","","BowDudeTotemDefault","","","","","","49","","","LEGENDARY","TID_BO_MECHA_GOLD_SKIN","TID_BO_MECHA_GOLD_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_gold_tex.sctx","bo_mecha_gold_tex.sctx","","","","","","","BoMecha","",""
"CrowMechaGold","CrowMecha","","MECHA","","","9","","","","","","","","","","","49","","","LEGENDARY","TID_CROW_MECHA_GOLD_SKIN","TID_CROW_MECHA_GOLD_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mechagold_tex.sctx","crow_mechagold_tex.sctx","","","","","","","CrowMecha","",""
"CrowMechaNight","CrowMecha","","MECHA","","","9","","","","","","","","","","","49","","","LEGENDARY","TID_CROW_MECHA_NIGHT_SKIN","TID_CROW_MECHA_NIGHT_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mecha_night_tex.sctx","crow_mecha_night_tex.sctx","","","","","","","CrowMecha","",""
"BullDudeFootbullBlue","BullGuyFootbull","","SUPERBOWL","","","","","","","","","","","","1000","","29","","","RARE","TID_BULL_LINEBACKER_SKIN","TID_BULL_LINEBACKER_SKIN_SHOP","MODEL","","","bull_footbull_blue_tex.sctx","bull_footbull_blue_tex.sctx","","","","","","","BullGuyFootbull","",""
"GunslingerOutlaw","GunSlingerOutlaw","","OUTLAWS","","","","","","","","","","","","1000","","29","","","RARE","TID_COLT_OUTLAW_SKIN","TID_COLT_OUTLAW_SKIN_SHOP","MODEL","","","colt_outlaw_tex.sctx","colt_outlaw_tex.sctx","","","","","","","","",""
"WhirlwindHogrider","WhirlwindHogrider","","CLASHIP","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_CARL_HOG_RIDER_SKIN","TID_CARL_HOG_RIDER_SKIN_SHOP","MODEL","","","carl_hogrider_tex.sctx","carl_hogrider_tex.sctx","","","","","","","","",""
"BallBeach","BallBeach","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDefault","ArcadeDefault","","","","","","","","","","DamageBoosterDefault","","","","","","","","","","","","","","","8bit_tex.sctx","8bit_tex.sctx","","","","","","","","",""
"DamageBoosterDefault","DamageBoosterDefault","","","","","","","","","","","","","","","","","","","","","","","","","8bit_tex.sctx","8bit_tex.sctx","","","","","","","","",""
"SniperPink","SniperPink","","MISC","","","","","","","","","","","","1000","","29","","","RARE","TID_PIPER_PINK_SKIN","TID_PIPER_PINK_SKIN_SHOP","MODEL","","","piper_pink_tex.sctx","piper_pink_tex.sctx","","","","","","","","",""
"ArcadeClassic","ArcadeClassic","","GAMING","","","","","","","","DamageBoosterDefault","","","","1000","","29","","","RARE","TID_8BIT_CLASSIC_SKIN","TID_8BIT_CLASSIC_SKIN_SHOP","MODEL","","","8bit_classic_tex.sctx","8bit_classic_tex.sctx","","","","","","","","",""
"NinjaShark","NinjaShark","","SUMMER","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_LEON_SHARK_SKIN","TID_LEON_SHARK_SKIN_SHOP","MODEL,VFX","","","shark_leon_tex.sctx","shark_leon_tex.sctx","","","","","","","","",""
"BlackHoleBlue","BlackHoleBlue","","MISC","","","","","","","","","","","","1000","","29","","","RARE","TID_TARA_BLUE_SKIN","TID_TARA_BLUE_SKIN_SHOP","MODEL","","","tara_stara_tex.sctx","tara_stara_tex.sctx","","","","","","","","",""
"LootBoxMoonFestival","LootBoxMoonFestival","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormDefault","SandstormDefault","","","","","","","","","","","","","","","","","","","","","","","","","sandy_tex.sctx","sandy_tex.sctx","","","","","","","","",""
"BeeSniperDefault","BeeSniperDefault","","","","","","","","","","BeeSniperSlowPotDefault","","","","","","","","","","","","","","","bea_tex.sctx","bea_tex.sctx","","","","","","","","",""
"BossRaceBossDefault","BossBotDefault","","","","","","","","","","","","","","","","","","","","","","","","","bot_boss_tex.sctx","bot_boss_tex.sctx","","","","","","","","",""
"BarkeepWizardRed","BarkeepWizardRed","","CLASHIP","","","","","4","","","","","","","1000","","29","","","SUPER_RARE","TID_BARLEY_RED_WIZARD_SKIN","TID_BARLEY_RED_WIZARD_SKIN_SHOP","MODEL","","","barley_wizard_red_tex.sctx","barley_wizard_red_tex.sctx","","","","","","","BarkeepWizard","",""
"HookPirate","HookPirate","","PIRATES","","","","3","3","","","","","","","2750","","79","","","SUPER_RARE","TID_GENE_PIRATE_SKIN","TID_GENE_PIRATE_SKIN_SHOP","MODEL","","","gene_pirate_tex.sctx","gene_pirate_tex.sctx","","","","","","","","",""
"Sandstormsleepy","Sandstormsleepy","","MISC","","","","","","","","","","","","1000","","29","","","RARE","TID_SANDY_SLEEPY_SKIN","TID_SANDY_SLEEPY_SKIN_SHOP","MODEL","","","sleepy_sandy_tex.sctx","sleepy_sandy_tex.sctx","","","","","","","","",""
"MummyDefault","MummyDefault","","","","","","","","","","","","","","","","","","","","","","","","","emz_tex.sctx","emz_tex.sctx","","","","","","","","",""
