"Name","TileCode","DynamicCode","BlocksMovement","BlocksProjectiles","IsDestructible","IsDestructibleNormalWeapon","IsDestructibleOvertime","IsBouncer","IsForest","Damage","Health","HealthStates","HealthChangeEffect","SpeedChange","RestoreAfterDynamicOverlap","RespawnSeconds","CollisionMargin","BaseExportName","BaseExplosionEffect","BaseHitEffect","BaseWindEffect","SortOffset","HasHitAnim","HasWindAnim","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Lifetime","CustomSCW","CustomMesh","CustomAngleStep","MapEditorVisible","MapEditorVisualMode","MapEditorConnected","SpawnEffect"
"ExtraBush","-",3,,,"true",,"true",,"true",,,,,,,,,"grass","grass_explo_yellow","grass_hit_yellow",,-1,"true","true",100,60,-10,60,25,,,,,,1,,"grass_explo"
"RopeFence","a",,"true",,"true",,"true",,,,,,,,,,,"rope_fence_pole","rope_explo",,,,,,100,60,-10,60,25,,,,,"true",2,"true",
"PayloadTrack","b",,,,,,,,,,,,,,"true",,,"payload_track",,,,,,,100,60,-10,60,25,,,,,,1,,
"WallyMoonWall","-",4,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_002_wall_explo_satellite","sprout_002_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_moon.scw","wally_wall",90,,1,,
"WallyMoonFillerWall","-",5,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_002_wall_explo","sprout_002_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_moon.scw","wally_wall_filler",90,,1,,
"SpawnPoint1",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/spawn_point_blue.scw",,,"true",1,,
"SpawnPoint2",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/spawn_point_red.scw",,,"true",1,,
"ReSpawnPoint1",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/respawn_point_blue.scw",,,"true",1,,
"ReSpawnPoint2",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/respawn_point_red.scw",,,"true",1,,
"PowerupCrate",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/crate_powerup.scw",,,"true",1,,
"Base",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/heist_safe.scw",,,"true",1,,
"SpringBoard",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/spring_board.scw",,,"true",1,,
"Teleport1",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/teleport_tile_geo.glb",,,"true",1,,
"Teleport2",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/teleport_tile_2_geo.glb",,,"true",1,,
"Teleport3",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/teleport_tile_3_geo.glb",,,"true",1,,
"Teleport4",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/teleport_tile_4_geo.glb",,,"true",1,,
"SiegeBolt",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/editor_icon_siege_bolt.scw",,,"true",1,,
"Damage","x",,,,,,,,,100,,,,,"true",,,"custom",,,,,,,,,,,,,"sc3d/poison_tile_geo.glb",,,"true",1,,
"Healing",".",,,,,,,,,,,,,,,,,"custom",,,,,,,,,,,,,"sc3d/healing_tile_geo.glb",,,"true",1,,
"Slow","z",,,,,,,,,,,,,-300,"true",,,"custom",,,,,,,,,,,,,"sc3d/slowdown_tile_geo.glb",,,"true",1,,
"Fast","w",,,,,,,,,,,,,300,"true",,,"custom",,,,,,,,,,,,,"sc3d/speedup_tile_geo.glb",,,"true",1,,
"IntervalDamage","v",,,,,,,,,,,,,,"true",,,"custom",,,,,,,,,,,,,"sc3d/damage_tile_geo.glb",,,"true",1,,
"WallyPrinceRedWall","-",6,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_003_wall_explo_chroma","sprout_003_wall_hit_chroma",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_prince.scw","wally_wall",0,,1,,
"WallyPrinceRedFillerWall","-",7,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_003_wall_explo_chroma","sprout_003_wall_hit_chroma",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_prince.scw","wally_wall_filler",90,,1,,
"WallyPrinceGreenWall","-",8,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_003_wall_explo","sprout_003_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_prince_2.scw","wally_wall",0,,1,,
"WallyPrinceGreenFillerWall","-",9,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_003_wall_explo","sprout_003_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_prince_2.scw","wally_wall_filler",90,,1,,
"WallyWeirdWall","-",10,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_004_wall_explosion","sprout_004_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_weird.scw","wally_wall",0,,1,,
"WallyWeirdFillerWall","-",11,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_004_wall_explosion","sprout_004_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_weird.scw","wally_wall_filler",90,,1,,
"Bouncer","o",,"true","true","true",,"true","true",,,,,,,,,,"bouncer_tile","wall1_explo","wall1_hit",,,"true",,100,60,-10,60,25,,,,,,1,,
"IndestructibleFence","E",,"true","true",,,,,,,,,,,,,,"indestructible_fence_tile","indestructible_explo_fx","indestructable_hit",,1,,,100,60,-10,60,25,,,,,,1,"true",
"Snow","S",,,,,,,,,,,,,-150,,,,"snow_tile",,,,,,,,,,,,,,,,,,,
"Ice","q",,,,,,,,,,,,,,,,,"ice_tile",,,,,,,,,,,,,,,,,,,
"IndestructibleDeco1","È",,,,,,,,,,,,,,,,,"indestructible_deco1","indestructible_explo_fx","indestructable_hit",,1,,,100,60,-10,60,25,,,,,,1,"true",
"IndestructibleDeco2","É",,,,,,,,,,,,,,,,,"indestructible_deco2","indestructible_explo_fx","indestructable_hit",,1,,,100,60,-10,60,25,,,,,,1,"true",
"IndestructibleDeco3","Ê",,,,,,,,,,,,,,,,,"indestructible_deco3","indestructible_explo_fx","indestructable_hit",,1,,,100,60,-10,60,25,,,,,,1,"true",
"IndestructibleDeco4","Ë",,,,,,,,,,,,,,,,,"indestructible_deco4","indestructible_explo_fx","indestructable_hit",,1,,,100,60,-10,60,25,,,,,,1,"true",
"Damageable1","À",12,"true","true",,,"true",,,,6000,4,,,,,,"damageable1","godzilla_env_score","godzilla_env_hit",,,"true",,100,60,-10,60,25,,,,,,1,,
"Damageable2","Á",13,"true","true",,,"true",,,,6000,4,,,,,,"damageable2","godzilla_env_score","godzilla_env_hit",,,"true",,100,60,-10,60,25,,,,,,1,,
"Damageable3","Â",14,"true","true",,,"true",,,,6000,4,,,,,,"damageable3","godzilla_env_score","godzilla_env_hit",,,"true",,100,60,-10,60,25,,,,,,1,,
"Damageable4","Ã",15,"true","true",,,"true",,,,6000,4,,,,,,"damageable4","godzilla_env_score","godzilla_env_hit",,,"true",,100,60,-10,60,25,,,,,,1,,
"WallyDeepseaWall","-",16,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_005_wall_explo","sprout_005_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_deepsea.glb","wally_wall",0,,1,,
"WallyDeepseaFillerWall","-",17,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_005_wall_explo","sprout_005_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_deepsea.glb","wally_wall_filler",90,,1,,
"WallyBathWall","-",21,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_006_wall_explo","sprout_006_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_bath.glb","wally_wall",0,,1,,
"WallyBathFillerWall","-",22,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_006_wall_explo","sprout_006_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall_bath.glb","wally_wall_filler",90,,1,,
"MeepleWallDefault","-",18,"true","true","true",,"false",,,,,,,,,,,"custom","meeple_def_atk_gadget_explo","wall1_hit",,,"true",,,,,,,80,"sc3d/dice01.glb",,90,,1,,"meeple_def_atk_gadget_spawn"
"MeepleWallDefault2","-",19,"true","true","true",,"false",,,,,,,,,,,"custom","meeple_def_atk_gadget_explo","wall1_hit",,,"true",,,,,,,80,"sc3d/dice02.glb",,90,,1,,"meeple_def_atk_gadget_spawn"
"MeepleWallDefault3","-",20,"true","true","true",,"false",,,,,,,,,,,"custom","meeple_def_atk_gadget_explo","wall1_hit",,,"true",,,,,,,80,"sc3d/dice03.glb",,90,,1,,"meeple_def_atk_gadget_spawn"
"ArenaConnector","(",,,,,,,,,,,,,,"true",,,"custom",,,,,,,100,60,-10,60,25,,"sc3d/moba_connector_geo.glb",,,,1,,
"OutOfLineWall","-",23,"true","true","true",,"false",,,,,,,,,,,"custom","meeple_def_atk_gadget_explo","wall1_hit",,,"true",,,,,,,80,"sc3d/subway_skill_hurdle_01.glb",,90,,1,,"surbway_hurdle_idle"
"OutOfLineWall_lvl3","-",24,"true","true","true",,"false",,,,,,,,,,,"custom","meeple_def_atk_gadget_explo","wall1_hit",,,"true",,,,,,,120,"sc3d/subway_skill_hurdle_01.glb",,90,,1,,"surbway_hurdle_idle"
