"Name","Disabled","TileSetPrefix","BannerSWF","BannerExportName","Island","Music","GroundModel","EnvironmentModel","MaskedEnvironmentModel","CampaignGroundModel","Wall1Model","Wall1Submesh","Wall1AngleStep","Wall2Model","Wall2Submesh","Wall2AngleStep","CrateModel","CrateSubmesh","CrateAngleStep","BarrelModel","BarrelSubmesh","BarrelAngleStep","ThemedModel","ThemedSubmesh","ThemedAngleStep","Grass","ClutterModel","ClutterSubmesh","ClutterAngleStep","ClutterModel_CN","ClutterSubmesh_CN","ClutterAngleStep_CN","FragileModel","FragileSubmesh","FragileAngleStep","FragileModel_CN","FragileSubmesh_CN","FragileAngleStep_CN","WaterTileModel","FenceModel","RopeFenceModel","PayloadTrackModel","IndestructibleFenceModel","IndestructibleModel","IndestructibleSubmesh","Damageable1Model","Damageable1Submesh","Damageable1AngleStep","Damageable2Model","Damageable2Submesh","Damageable2AngleStep","Damageable3Model","Damageable3Submesh","Damageable3AngleStep","Damageable4Model","Damageable4Submesh","Damageable4AngleStep","IndestructibleDeco1Model","IndestructibleDeco1Submesh","IndestructibleDeco1AngleStep","IndestructibleDeco2Model","IndestructibleDeco2Submesh","IndestructibleDeco2AngleStep","IndestructibleDeco3Model","IndestructibleDeco3Submesh","IndestructibleDeco3AngleStep","IndestructibleDeco4Model","IndestructibleDeco4Submesh","IndestructibleDeco4AngleStep","GroundFillerModel","LaserBallSkinOverride","MineGemSpawnModelOverride","LootBoxSkinOverride","SafeSkinOverride","SafeCharacterOverride","ShowdownBoostModelOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewSkyColorRed","MapPreviewSkyColorGreen","MapPreviewSkyColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides","MapWidth","MapHeight"
"Mine",,"mine_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_mine_ground_geo.glb","sc3d/bgr_mine_geo.glb",,,"sc3d/mine_wall1_geo.glb","Rock_1",90,"sc3d/mine_wall2_geo.glb",,90,"sc3d/default_crate_geo.glb","crate_1",,"sc3d/default_barrel_geo.glb","barrel_1",1,"sc3d/mine_themed_geo.glb","mushroom_1",1,"sc3d/mine_grass_geo.glb","sc3d/mine_clutter_geo.glb",,1,,,,"sc3d/default_fragile_geo.glb","bone_pile",1,"sc3d/mine_fragile_cn_geo.glb","fragile_mushroom",1,"sc3d/mine_water_geo.glb","sc3d/default_fence_geo.glb","sc3d/mine_rope_geo.glb","sc3d/mine_payload_track_geo.glb","sc3d/default_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/default_gem_spawn_geo.glb",,,,,96,68,84,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_mushroom;destructable_mid_1>fragile_mushroom",21,33
,,,,,,,,,,,"sc3d/mine_wall1_geo.glb","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MineTrainTracks",,"mine_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_mine_tracks_1_ground_geo.glb","sc3d/bgr_mine_tracks_1_geo.glb",,,"sc3d/mine_wall1_geo.glb","Rock_1",90,"sc3d/mine_wall2_geo.glb",,90,"sc3d/default_crate_geo.glb","crate_1",,"sc3d/default_barrel_geo.glb","barrel_1",1,"sc3d/mine_themed_geo.glb","mushroom_1",1,"sc3d/mine_grass_geo.glb","sc3d/mine_clutter_geo.glb",,1,,,,"sc3d/default_fragile_geo.glb","bone_pile",1,"sc3d/mine_fragile_cn_geo.glb","fragile_mushroom",1,"sc3d/mine_water_geo.glb","sc3d/default_fence_geo.glb","sc3d/mine_rope_geo.glb",,"sc3d/default_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/default_gem_spawn_geo.glb",,,,,96,68,84,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_mushroom;destructable_mid_1>fragile_mushroom",21,33
,,,,,,,,"sc3d/bgr_mine_tracks_1_lights_geo.glb",,,"sc3d/mine_wall1_geo.glb","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_l_top_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_l_bot_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_r_top_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_r_bot_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warehouse","true","town_","sc/events.sc","event_robowars_banner",,"BattleMusic","sc3d/bgr_warehouse_ground.scw","sc3d/bgr_warehouse.scw",,,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/crate1.scw","crate_1",,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_town_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/generic_rope_fence.scw",,"sc3d/wooden_fence_town.scw","sc3d/indestructible_metal_1.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",27,39
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oasis","true","oasis_","sc/events.sc","event_oasis_banner",,"BattleMusic","sc3d/bgr_oasis_ground.glb","sc3d/bgr_oasis.glb",,,"sc3d/default_wall1.glb","Rock_2",90,"sc3d/oasis_wall2.glb","stone_ruin_1",90,"sc3d/default_crate.glb","crate_1",,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/default_themed.glb","ball_cactus",1,"sc3d/oasis_grass.glb","sc3d/oasis_clutter.glb",,1,,,,"sc3d/oasis_fragile.glb","vase_1",1,,,,"sc3d/default_water.glb","sc3d/default_fence.glb","sc3d/oasis_rope.glb",,"sc3d/default_fence.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,"BallBeach","sc3d/default_gem_spawn.glb",,,,,234,180,119,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,21,33
,,,,,,,,,,,"sc3d/default_wall1.glb","Rock_2b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OasisBeach","true","grassfield_","sc/events.sc","event_beach_banner",,"BattleMusic","sc3d/bgr_oasis_beach_ground.glb","sc3d/bgr_oasis_beach.glb",,,"sc3d/default_wall1.glb","Rock_2",90,"sc3d/default_wall1.glb","Rock_2",90,"sc3d/default_crate.glb","crate_1",,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/default_themed.glb","ball_cactus",1,"sc3d/grassfield_grass.glb","sc3d/default_clutter.glb","bone_single",1,"sc3d/grassfield_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/grassfield_fragile_cn.glb","vase_1",1,"sc3d/default_water.glb","sc3d/default_fence.glb","sc3d/grassfield_rope.glb",,"sc3d/default_fence.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,"BallBeach","sc3d/default_gem_spawn.glb",,,,,60,150,87,15,150,223,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,"sc3d/default_wall1.glb","Rock_2b",90,"sc3d/default_wall1.glb","Rock_2b",90,,,,,,,,,,,"sc3d/default_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/default_clutter.glb","bone_pile_002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortuary","true","mortuary_","sc/events.sc","event_mortuary_banner",,"Halloween_ingame","sc3d/bgr_mortuary_ground_geo.glb","sc3d/bgr_mortuary_geo.glb",,,"sc3d/mortuary_wall1_geo.glb","rock_mortuary",90,"sc3d/mortuary_wall2_geo.glb","tombstone_1",,"sc3d/mortuary_crate_geo.glb","crate_1",,"sc3d/mortuary_barrel_geo.glb","barrel_1",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,"sc3d/mortuary_grass_geo.glb","sc3d/mortuary_clutter_geo.glb","bone_single",1,"sc3d/mortuary_clutter_cn_geo.glb",,1,"sc3d/mortuary_fragile_geo.glb","candles1",,,,,"sc3d/mortuary_water_geo.glb","sc3d/mortuary_fence_geo.glb","sc3d/mortuary_rope_geo.glb","sc3d/mortuary_payload_track_geo.glb","sc3d/mortuary_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/mortuary_gem_spawn_geo.glb",,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_2",,"sc3d/mortuary_crate_geo.glb","crate_1b",,"sc3d/mortuary_barrel_geo.glb","barrel_1b",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,"sc3d/mortuary_clutter_geo.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_3",,"sc3d/mortuary_crate_geo.glb","crate_1c",,"sc3d/mortuary_barrel_geo.glb","barrel_1c",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,"sc3d/mortuary_clutter_geo.glb","bone_pile_002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_4",,"sc3d/mortuary_crate_geo.glb","crate_1d",,,,,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_5",,"sc3d/mortuary_crate_geo.glb","crate_1e",,,,,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryHW",,"mortuary_","sc/events.sc","event_mortuary_banner",,"Halloween_ingame","sc3d/bgr_mortuary_ground_geo.glb","sc3d/bgr_mortuary_geo.glb",,,"sc3d/mortuary_wall1_geo.glb","rock_mortuary",90,"sc3d/mortuary_wall2_geo.glb","tombstone_1",,"sc3d/mortuary_crate_geo.glb","crate_1",,"sc3d/mortuary_barrel_geo.glb","barrel_1",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,"sc3d/mortuary_grass_geo.glb","sc3d/mortuary_clutter_geo.glb","bone_single",1,"sc3d/mortuary_clutter_cn_geo.glb",,1,"sc3d/mortuary_fragile_geo.glb","candles1",,,,,"sc3d/mortuary_water_geo.glb","sc3d/mortuary_fence_geo.glb","sc3d/mortuary_rope_geo.glb","sc3d/mortuary_payload_track_geo.glb","sc3d/mortuary_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/mortuary_gem_spawn_geo.glb",,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,"sc3d/bgr_siege_3v3_ground_lines_geo.glb","sc3d/bgr_mortuary_decos_hw_geo.glb",,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_2",,"sc3d/mortuary_crate_geo.glb","crate_1b",,"sc3d/mortuary_barrel_geo.glb","barrel_1b",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,"sc3d/mortuary_clutter_geo.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_3",,"sc3d/mortuary_crate_geo.glb","crate_1c",,"sc3d/mortuary_barrel_geo.glb","barrel_1c",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,"sc3d/mortuary_clutter_geo.glb","bone_pile_002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_4",,"sc3d/mortuary_crate_geo.glb","crate_1d",,,,,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_5",,"sc3d/mortuary_crate_geo.glb","crate_1e",,,,,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryShowdown","true","mortuary_","sc/events.sc","event_mortuary_showdown_banner",,"Halloween_ingame","sc3d/bgr_mortuary_showdown_ground_geo.glb","sc3d/bgr_mortuary_showdown_geo.glb",,,"sc3d/mortuary_wall1_geo.glb","rock_mortuary",90,"sc3d/mortuary_wall2_geo.glb","tombstone_1",,"sc3d/mortuary_crate_geo.glb","crate_1",,"sc3d/mortuary_barrel_geo.glb","barrel_1",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,"sc3d/mortuary_grass_geo.glb","sc3d/mortuary_clutter_geo.glb","bone_single",1,"sc3d/mortuary_clutter_cn_geo.glb",,1,"sc3d/mortuary_fragile_geo.glb","candles1",,,,,"sc3d/mortuary_water_geo.glb","sc3d/mortuary_fence_geo.glb","sc3d/mortuary_rope_geo.glb",,"sc3d/mortuary_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",60,60
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_2",,"sc3d/mortuary_crate_geo.glb","crate_1b",,"sc3d/mortuary_barrel_geo.glb","barrel_1b",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,"sc3d/mortuary_clutter_geo.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_3",,"sc3d/mortuary_crate_geo.glb","crate_1c",,"sc3d/mortuary_barrel_geo.glb","barrel_1c",1,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,"sc3d/mortuary_clutter_geo.glb","bone_pile_002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_4",,"sc3d/mortuary_crate_geo.glb","crate_1d",,,,,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/mortuary_wall2_geo.glb","tombstone_5",,"sc3d/mortuary_crate_geo.glb","crate_1e",,,,,"sc3d/mortuary_themed_geo.glb","mortuary_tree_stump_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
