"Name","TicketsInRareStar","TicketsInSuperRareStar","TicketsInEpicStar","TicketsInMythicStar","TicketsInLegendaryStar","TicketsInOverchargeStar","TicketsInRankedStar","TicketsInRareCollabDrop","TicketsInSuperRareCollabDrop","TicketsInEpicCollabDrop","TicketsInMythicCollabDrop","TicketsInLegendaryCollabDrop","TicketsInMegaBox","TicketsInAngelicStar","TicketsInDemonicStar","TicketsInSeasonBoxLevel1","TicketsInSeasonBoxLevel2","TicketsInSeasonBoxLevel3","TicketsInSeasonBoxLevel4","TicketsInSeasonBoxLevel5","TicketsInRarePresentDrop","TicketsInSuperRarePresentDrop","TicketsInEpicPresentDrop","TicketsInMythicPresentDrop","TicketsInLegendaryPresentDrop","TicketsInSplitterRare","TicketsInSplitterSuperRare","TicketsInSplitterEpic","TicketsInSplitterMythic","TicketsInGraffitiBox","TicketsInPumpkinBox","TicketsInDeadBox","TypeName","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization"
"Power Points M",,50,,,,,,,,,,,,50,50,,,,,,50,,,,,6,4,3,2,20,,,"PowerPoints",,,,,50,50,,,,,1
"Power Points L",,,20,,,,,,,,,,,20,20,,,,,,,25,,,,1,1,1,1,10,,,"PowerPoints",,,,,100,100,,,,,1
"Power Points XL",,,,30,,,,,,,,,,10,10,,,,,,,,,10,,,,,,2,,,"PowerPoints",,,,,200,200,,,,,2
"Credits S",5,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,100,150,,"Credits",,,,,10,10,,,,,
"Credits M",,5,,,,,,,,,,,,,,,,,,,25,,,,,2,2,2,2,2,,,"Credits",,,,,30,30,,,,,
"Credits L",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,"Credits",,,,,75,75,,,,,
"Credits XL",,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credits",,,,,150,150,,,,,
"Brawler Rare",,,,,,,,,,,,,5,,,,,,,,,10,,,,3,3,3,3,,,5,"Brawler",1,,,,,,"Credits",100,,,2
"Brawler Super Rare",,,,,,,,,,,,,3,,,,,,,,,5,,,,2,2,2,2,,,3,"Brawler",2,,,,,,"Credits",200,,,2
"Brawler Epic",,,,14,10,,,,,,,,2,9,9,,,,,,,,,15,,1,1,1,1,5,5,2,"Brawler",3,,,,,,"Credits",500,,,3
"Brawler Mythic",,,,4,5,,,,,,,,1,2,2,,,,,,,,,,6,,,,,2,3,1,"Brawler",4,,,,,,"Credits",1000,,,3
"Brawler Legendary",,,,,2,,,,,,,,1,1,1,,,,,,,,,,2,,,,,1,1,1,"Brawler",5,,,,,,"Credits",1000,,,3
"Bling S",5,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,300,,,"Bling",,,,,20,20,,,,,
"Bling M",,5,,,,,,,,,,,,,,200,150,100,50,,,,,,,10,10,10,10,50,,,"Bling",,,,,50,50,,,,,
"Bling L",,,,,,,,,,,,,,,,,50,100,100,100,25,,,,,1,1,1,1,25,,,"Bling",,,,,50,150,,,,,
"Bling XL",,,,,,,,,,,,,,,,,,,50,100,,,,,,,,,,10,,,"Bling",,,,,100,300,,,,,
"Skin 1-29 Gem",,,5,25,,,,,,,,,,,,9,5,,,,,,,,,13,13,13,13,,,,"Skin",,,1,29,,,"Bling",500,,,
"Skin 30-79 Gem",,,,,33,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,"Skin",,,30,79,,,"Bling",1000,,,
"Skin 80-149 Gem",,,,,2,,,,,,,,,,,,,4,5,1,,,,,,,,,,,,,"Skin",,,80,149,,,"Bling",1000,,,
"Pin 1-9 Gem",,5,15,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,"Pin",,,1,9,,,"Bling",100,,,
"Pin 10-29 Gem",,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pin",,,10,29,,,"Bling",100,,,
"Pin 30-39 Gem",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pin",,,30,999,,,"Bling",100,,,
"Spray 1-19 Gem",,2,15,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,"Spray",,,1,19,,,"Bling",100,,,
"Spray 20-29 Gem",,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spray",,,20,999,,,"Bling",100,,,
"Profile Pic",,,,10,,,,,,,,,,,,20,20,20,20,20,,,,,,9,9,9,9,,,,"ProfilePic",,,,,,,"Bling",100,,,
"Token Doubler S",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TokenDoubler",,,,,100,100,"Credits",100,,,
"Skin 150-199 Gem",,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,"Skin",,,150,199,,,"Bling",1000,,,
"Skin 200-999 Gem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,,200,999,,,"Bling",1000,,,
"Token Doubler M",,20,,,,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,"TokenDoubler",,,,,200,200,"Credits",100,,,
"Token Doubler L",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TokenDoubler",,,,,500,500,"Credits",100,,,
"Overcharge",,,,,15,1,,,,,,,1,3,3,,,,,,,,,,15,1,1,1,1,1,3,1,"Overcharge",,,,,,,"Coins",1000,,,3
"RankedStarSkin",,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,"RankedStarSkin",,,,,,,"Bling",100,,,
"RankedStarSpray",,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,"RankedStarSpray",,,,,,,"Bling",100,,,
"RankedStarProfilePic",,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,"RankedStarProfilePic",,,,,,,"Bling",100,,,
"Bling Ranked S",,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,100,100,,,,,
"Bling Ranked M",,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,"Bling",,,,,250,250,,,,,
"Bling Ranked L",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,1000,1000,,,,,
"CollabMutation S",,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"CollabMutation",,,,,,,"Credits",20,,,
"CollabSkin 1-29 Gem",,,,,,,,,,,78,,8,,,,,,,,,,5,22,,,,,,150,6,8,"CollabSkin",,,1,29,,,"Bling",200,,,
"CollabSkin 30-79 Gem",,,,,,,,,,,22,,5,,,,,,,,,,5,23,,,,,,50,6,5,"CollabSkin",,,30,79,,,"Bling",500,,,
"CollabSkin 80-149 Gem",,,,,,,,,,,,80,3,,,,,,,,,,,5,50,,,,,30,9,3,"CollabSkin",,,80,149,,,"Bling",1000,,,
"CollabSkin 150-299 Gem",,,,,,,,,,,,8,1,,,,,,,,,,,,2,,,,,25,4,1,"CollabSkin",,,150,299,,,"Bling",1000,,,
"CollabSkin 300-799 Gem",,,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,9,1,,"CollabSkin",,,300,999,,,"Bling",1000,,,3
"CollabSpray",,,,,,,,,,18,,,40,60,,,,,,,,,10,,,30,30,30,30,100,40,40,"CollabSpray",,,,,,,"Bling",75,,,2
"CollabProfilePic",,,,,,,,,,18,,,30,40,,,,,,,,,30,,,9,9,9,9,100,40,30,"CollabProfilePic",,,,,,,"Bling",50,,,2
"Coins S Collab",,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,100,100,,,,,
"Coins M Collab",,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,200,200,,,,,
"Coins L Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,500,500,,,,,
"Coins XL Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,1000,1000,,,,,
"Power Points S Collab",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,50,50,,,,,
"Power Points M Collab",,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,100,100,,,,,
"Power Points L Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,250,250,,,,,
"Power Points XL Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,500,500,,,,,
"Bling S Collab",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,50,50,,,,,
"Bling M Collab",,,,,,,,,15,,,,,150,150,,,,,,,,,,,,,,,,,,"Bling",,,,,100,100,,,,,1
"Bling L Collab",,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,"Bling",,,,,250,250,,,,,1
"Bling XL Collab",,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,"Bling",,,,,500,500,,,,,2
"CollabPin",,,,,,,,,,14,,,50,40,,,,,,,,,50,,,30,30,30,30,100,50,50,"CollabPin",,,,,,,"Bling",100,,,2
"CollabMutation M",,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,"CollabMutation",,,,,,,"Credits",50,,,
"CollabMutation L",,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,"CollabMutation",,,,,,,"Credits",100,,,
"Coins VS",,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,365,300,"Coins",,,,,10,110,,,,,
"Coins Jackpot",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,4,1,1,"Coins",,,,,1000,1000,,,,,3
"Power Points VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,"PowerPoints",,,,,10,20,,,,,
"Power Points Jackpot",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,"PowerPoints",,,,,1000,1000,,,,,3
"Bling VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,10,30,,,,,
"Bling Jackpot",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,"Bling",,,,,1000,1000,,,,,3
"Gems VS",,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,5,,,"Gems",,,,,3,3,,,,,
"Gems Jackpot",,,,,,,,,,,,,,1,1,,,1,1,1,,,,,1,,,,,,,,"Gems",,,,,100,100,,,,,3
"XP Doubler VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,"TokenDoubler",,,,,100,100,,,,,
"XP Doubler JACKPOT",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,"TokenDoubler",,,,,2000,2000,,,,,2
"Bling Jackpot XL",,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,"Bling",,,,,2000,2000,,,,,
"XP Doubler S",,,,,,,,,,,,,110,162,162,200,150,100,75,50,,,,,,,,,,,149,110,"TokenDoubler",,,,,100,300,,,,,1
"XP Doubler JACKPOT 2",,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,,"TokenDoubler",,,,,5000,5000,,,,,
"Pin 1-999 Gem",,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,,,,"Pin",,,1,999,,,"Bling",100,,,
"Spray 1-999 Gem",,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,,,,"Spray",,,1,999,,,"Bling",100,,,
"Skin 1-29 Gem x1",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,"Skin",,"TRUE",1,29,,,"Bling",500,,,
"Skin 30-79 Gem x1",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,"Skin",,"TRUE",30,79,,,"Bling",1000,,,
"Skin 80-149 Gem x1",,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,"Skin",,"TRUE",80,149,,,"Bling",1000,,,
"Skin 159-199 Gem x1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,"TRUE",150,199,,,"Credits",1000,,,
"Skin 200-299 Gem",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,"Skin",,,200,299,,,"Credits",1000,,,
"Skin 300-499 Gem",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"Skin",,,300,499,,,"Credits",1000,,,
"CollabSkin 1-199 Gem",,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,"CollabSkin",,,1,199,,,"Bling",500,,,3
"CollabSpray2",,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,"CollabSpray",2,,,,,,"Bling",200,,,2
"CollabProfilePic2",,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,"CollabProfilePic",2,,,,,,"Bling",200,,,2
"CollabPin2",,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,"CollabPin",2,,,,,,"Bling",200,,,2
"CollabSkin 1-199 Gem2",,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,"CollabSkin",2,,1,199,,,"Bling",500,,,3
"CollabSkin 300-799 Gem2",,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,"CollabSkin",2,,300,999,,,"Bling",1000,,,3
"Pro Pass Pro XP",,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,"ProXP",,,,,250,250,,,,,
"Wasabi Power Hot",,,,,,,,,,,,,,,,,,,,,,,,,,120,134,151,166,,,,"WasabiPower",1,,,,,,"Coins",50,"Coins",25,2
"Wasabi Power Very Hot",,,,,,,,,,,,,,,,,,,,,,,,,,90,101,112,124,,,,"WasabiPower",2,,,,,,"Coins",50,"Coins",25,2
"Wasabi Power Crazy Hot",,,,,,,,,,,,,,,,,,,,,,,,,,60,67,75,82,,,,"WasabiPower",3,,,,,,"Coins",50,"Coins",25,2
"Wasabi Power Inferno",,,,,,,,,,,,,,,,,,,,,,,,,,30,34,37,41,,,,"WasabiPower",4,,,,,,"Coins",50,"Coins",25,2
"SplitterPremium",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,"CollabSkin",,"TRUE",,,,,"Bling",1000,,,3
"SurfersBonusSkillLevel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"BonusSkillLevel",,"TRUE",,,,,"Coins",100,"Coins",50,
