"Name","Disabled","TID","LocationTheme","SupportingCampaignGround","BannerOverrideSWF","BannerOverrideExportName","GameModeVariation","Map","CommunityCredit","TrainingGroundsEnabled","RecommendedBrawler0","RecommendedBrawler1","RecommendedBrawler2","RecommendedBrawler3","RecommendedBrawler4","RecommendedBrawler5","RecommendedBrawler6","RecommendedBrawler7","RecommendedBrawler8","RecommendedBrawler9"
"Coop3","true","TID_COOP_6","DefaultShowdown",,,,"RoboRumble","Coop_3",,,,,,,,,,,,
"Gemgrab7","true","TID_GOLDRUSH_7","Default",,,,"GemGrab","Gemgrab_7","DarkKnight",,,,,,,,,,,
"Gemgrab10","true","TID_GOLDRUSH_10","Default",,,,"GemGrab","Gemgrab_10","Lewinham",,,,,,,,,,,
"Heist5","true","TID_BANKHEIST_5","Default",,,,"Heist","Bankheist_5","Rushalisk",,,,,,,,,,,
"Survival7","true","TID_BATTLE_ROYALE_7","DefaultShowdown",,,,"Showdown","Survival_7",,"true",,,,,,,,,,
"SurvivalTeam6","true","TID_BATTLE_ROYALE_6","DefaultShowdown",,,,"DuoShowdown","Survival_6",,"true",,,,,,,,,,
"Survival8","true","TID_BATTLE_ROYALE_8","IslandShowdown",,,,"Showdown","Survival_8","Rushalisk",,,,,,,,,,,
"SurvivalTeam8","true","TID_BATTLE_ROYALE_8","IslandShowdown",,,,"DuoShowdown","Survival_8","Rushalisk",,,,,,,,,,,
"Heist6","true","TID_BANKHEIST_6","Default",,,,"Heist","Bankheist_6","Mordeus",,,,,,,,,,,
"Gemgrab11","true","TID_GOLDRUSH_11","Default",,,,"GemGrab","Gemgrab_11","FatBubblyDragon",,,,,,,,,,,
"Heist7","true","TID_BANKHEIST_7","Default",,,,"Heist","Bankheist_7","Schmedricks",,,,,,,,,,,
"Ball4",,"TID_BALL_4","StuntShowBB",,,,"BrawlBall","Laserball_4","Lex","true",,,,,,,,,,
"Ball6",,"TID_BALL_6","GrassfieldBeachBall",,,,"BrawlBall","Laserball_6","Mordeus","true",,,,,,,,,,
"Ball7","true","TID_BALL_7","Grassfield",,,,"BrawlBall","Laserball_7","Lewinham",,,,,,,,,,,
"Heist8",,"TID_BANKHEIST_18","StuntShow",,,,"Heist","Bankheist_8","AlexEsteAdevarat","true",,,,,,,,,,
"Wanted9","true","TID_WANTED_9","Default",,,,"Bounty","Wanted_9","thelucas2000","true",,,,,,,,,,
"Survival12","true","TID_BATTLE_ROYALE_12","MortuaryShowdownHW",,,,"Showdown","Survival_12","Tony_A9",,,,,,,,,,,
"SurvivalTeam12","true","TID_BATTLE_ROYALE_12","DefaultShowdown",,,,"DuoShowdown","Survival_12","Tony_A9",,,,,,,,,,,
"Raid1","true","TID_RAID_2","DefaultShowdown",,,,"BossFight","Raid_1",,,,,,,,,,,,
"GGxmas1","true","TID_GOLDRUSH_XMAS_1","Default",,,,"GemGrab","Wanted_3",,,,,,,,,,,,
"GGxmas2","true","TID_GOLDRUSH_XMAS_2","Default",,,,"GemGrab","Gemgrab_7",,,,,,,,,,,,
"GGxmas3","true","TID_GOLDRUSH_XMAS_3","Default",,,,"GemGrab","Gemgrab_5",,,,,,,,,,,,
"GGxmas4","true","TID_GOLDRUSH_XMAS_4","Default",,,,"GemGrab","Gemgrab_1",,,,,,,,,,,,
"GGxmas5","true","TID_GOLDRUSH_XMAS_5","Default",,,,"GemGrab","Gemgrab_4",,,,,,,,,,,,
"GGxmas6","true","TID_GOLDRUSH_XMAS_6","Default",,,,"GemGrab","Gemgrab_9",,,,,,,,,,,,
"GGxmas7","true","TID_GOLDRUSH_XMAS_7","Default",,,,"GemGrab","Gemgrab_3",,,,,,,,,,,,
"BossFight3","true","TID_BOSS_6","Default",,,,"BigGame","BossFight_3",,"false",,,,,,,,,,
"BossFight4","true","TID_BOSS_5","Mine",,,,"BigGame","BossFight_4",,"false",,,,,,,,,,
"Raid2","true","TID_RAID_3","DefaultShowdown",,,,"BossFight","Raid_2",,,,,,,,,,,,
"Coop4","true","TID_COOP_3","DefaultShowdown",,,,"RoboRumble","Coop_4",,,,,,,,,,,,
"Heist9","true","TID_BANKHEIST_9","Default",,,,"Heist","Bankheist_9",,,,,,,,,,,,
"Heist10","true","TID_BANKHEIST_10","Default",,,,"Heist","Bankheist_10",,,,,,,,,,,,
"Heist11","true","TID_BANKHEIST_11","Default",,,,"Heist","Bankheist_11","AeroNautikks",,,,,,,,,,,
"Heist12",,"TID_BANKHEIST_12","Hub",,,,"Heist","Bankheist_12","Zagibulenka","true",,,,,,,,,,
"Heist13","true","TID_BANKHEIST_13","Default",,,,"Heist","Bankheist_13",,,,,,,,,,,,
"LNYHeist1","true","TID_BANKHEIST_9","Default",,,,"Heist","Bankheist_9",,,,,,,,,,,,
"LNYHeist2","true","TID_BANKHEIST_10","Default",,,,"Heist","Bankheist_10",,,,,,,,,,,,
"LNYHeist3","true","TID_BANKHEIST_11","Default",,,,"Heist","Bankheist_11","AeroNautikks",,,,,,,,,,,
"LNYHeist4","true","TID_BANKHEIST_12","Default",,,,"Heist","Bankheist_12","Zagibulenka",,,,,,,,,,,
"LNYHeist5","true","TID_BANKHEIST_13","Default",,,,"Heist","Bankheist_13",,,,,,,,,,,,
"Wanted10","true","TID_WANTED_9","Default",,,,"Bounty","Wanted_10",,,,,,,,,,,,
"Wanted11","true","TID_WANTED_11","Default",,,,"Bounty","Wanted_11",,,,,,,,,,,,
"Wanted12","true","TID_WANTED_12","Default",,,,"Bounty","Wanted_12",,"true",,,,,,,,,,
"Wanted13",,"TID_WANTED_13","StuntShow",,,,"Bounty","Wanted_13","OwenReds","true",,,,,,,,,,
"Wanted14",,"TID_WANTED_14","KatanaKingdom",,,,"Bounty","Wanted_14",,"true",,,,,,,,,,
"LNYWanted1","true","TID_WANTED_9","Default",,,,"Bounty","Wanted_10",,,,,,,,,,,,
"LNYWanted2","true","TID_WANTED_11","Default",,,,"Bounty","Wanted_11",,,,,,,,,,,,
"LNYWanted3","true","TID_WANTED_12","Default",,,,"Bounty","Wanted_12",,,,,,,,,,,,
"LNYWanted4","true","TID_WANTED_13","Default",,,,"Bounty","Wanted_13","OwenReds",,,,,,,,,,,
"LNYWanted5","true","TID_WANTED_14","Default",,,,"Bounty","Wanted_14",,,,,,,,,,,,
"LNYGemgrab1","true","TID_GOLDRUSH_4","Default",,,,"GemGrab","Wanted_3",,,,,,,,,,,,
"LNYGemgrab2","true","TID_GOLDRUSH_5","Default",,,,"GemGrab","Gemgrab_5_LNY",,,,,,,,,,,,
"LNYGemgrab3","true","TID_GOLDRUSH_6","Default",,,,"GemGrab","Gemgrab_4_LNY",,,,,,,,,,,,
"Ball8","true","TID_WANTED_10","GrassfieldBeachBall",,,,"BrawlBall","Laserball_8",,,,,,,,,,,,
"Survival10","true","TID_BATTLE_ROYALE_10","DefaultShowdown",,,,"Showdown","Survival_10","Binnyboy",,,,,,,,,,,
"SurvivalTeam10","true","TID_BATTLE_ROYALE_10","DefaultShowdown",,,,"DuoShowdown","Survival_10","Binnyboy",,,,,,,,,,,
"Survival13","true","TID_BATTLE_ROYALE_D2","DefaultShowdown",,,,"Showdown","Survival_13",,,,,,,,,,,,
"SurvivalTeam13","true","TID_BATTLE_ROYALE_D2","DefaultShowdown",,,,"DuoShowdown","Survival_13",,,,,,,,,,,,
"Siege1","true","TID_ROBO_WARS_6","Scrapyard",,,,"Siege","Siege_1",,,,,,,,,,,,
"Siege2","true","TID_ROBO_WARS_8","Scrapyard",,,,"Siege","Siege_2",,,,,,,,,,,,
"Siege3","true","TID_ROBO_WARS_7","Scrapyard",,,,"Siege","Siege_3",,,,,,,,,,,,
"CRoyale","true","TID_BANKHEIST_14","Default",,,,"Heist","CRoyale","DuccioCh",,,,,,,,,,,
"Survival14","true","TID_BATTLE_ROYALE_17","MortuaryShowdownHW",,,,"Showdown","Survival_14","Maxymus","true",,,,,,,,,,
"SurvivalTeam14","true","TID_BATTLE_ROYALE_17","DefaultShowdown",,,,"DuoShowdown","Survival_14","Maxymus","true",,,,,,,,,,
"Survival15","true","TID_BATTLE_ROYALE_13","MortuaryShowdownHW",,,,"Showdown","Survival_15","Mordeus",,,,,,,,,,,
"SurvivalTeam15","true","TID_BATTLE_ROYALE_13","DefaultShowdown",,,,"DuoShowdown","Survival_15","Mordeus",,,,,,,,,,,
"Survival16","true","TID_BATTLE_ROYALE_19","DefaultShowdown",,,,"Showdown","Survival_16","Meme-grabbee",,,,,,,,,,,
"SurvivalTeam16","true","TID_BATTLE_ROYALE_19","DefaultShowdown",,,,"DuoShowdown","Survival_16","Meme-grabbee",,,,,,,,,,,
"Survival17","true","TID_BATTLE_ROYALE_23","DefaultShowdown",,,,"Showdown","Survival_17","OwenReds",,,,,,,,,,,
"SurvivalTeam17","true","TID_BATTLE_ROYALE_23","DefaultShowdown",,,,"DuoShowdown","Survival_17","OwenReds",,,,,,,,,,,
"Survival18","true","TID_BATTLE_ROYALE_21","DefaultShowdown",,,,"Showdown","Survival_18","Pentagonal Cubes",,,,,,,,,,,
"SurvivalTeam18","true","TID_BATTLE_ROYALE_21","DefaultShowdown",,,,"DuoShowdown","Survival_18","Pentagonal Cubes",,,,,,,,,,,
"Gemgrab12","true","TID_GOLDRUSH_12","Default",,,,"GemGrab","Gemgrab_12","ash",,,,,,,,,,,
"Gemgrab13","true","TID_GOLDRUSH_13","Default",,,,"GemGrab","Gemgrab_13","Electra Drake",,,,,,,,,,,
"Gemgrab14","true","TID_GOLDRUSH_23","Default",,,,"GemGrab","Gemgrab_10","Lewinham",,,,,,,,,,,
"Gemgrab15","true","TID_GOLDRUSH_17","Default",,,,"GemGrab","Gemgrab_15","Mordeus",,,,,,,,,,,
"Gemgrab16",,"TID_GOLDRUSH_25","KatanaKingdom",,,,"GemGrab","Gemgrab_16","benci","true",,,,,,,,,,
"Gemgrab17","true","TID_GOLDRUSH_24","Default",,,,"GemGrab","Gemgrab_17","Lab2point0",,,,,,,,,,,
"Gemgrab18","true","TID_GOLDRUSH_19","Default",,,,"GemGrab","Gemgrab_18","freezeemilk",,,,,,,,,,,
"Ball9",,"TID_BALL_15","GrassfieldBeachBall",,,,"BrawlBall","Laserball_9","Mordeus",,,,,,,,,,,
"Biggame1","true","TID_BOSS_4","DefaultShowdown",,,,"BigGame","Biggame_1","OwenReds","false",,,,,,,,,,
"Biggame2","true","TID_BOSS_3","DefaultShowdown",,,,"BigGame","Biggame_2","OwenReds","false",,,,,,,,,,
"Training","true",,"OldTownTutorial",,,,"Training","Training",,"false",,,,,,,,,,
"Gemgrab19","true","TID_GOLDRUSH_31","MineTrainTracks",,,,"GemGrab","Gemgrab_19",,"true",,,,,,,,,,
"Survival19","true","TID_BATTLE_ROYALE_28","DefaultShowdown",,,,"Showdown","Survival_19","Mordeus",,,,,,,,,,,
"SurvivalTeam19","true","TID_BATTLE_ROYALE_28","DefaultShowdown",,,,"DuoShowdown","Survival_19","Mordeus",,,,,,,,,,,
"Survival20","true","TID_BATTLE_ROYALE_31","DefaultShowdown",,,,"Showdown","Survival_20","OwenReds",,,,,,,,,,,
"SurvivalTeam20","true","TID_BATTLE_ROYALE_31","DefaultShowdown",,,,"DuoShowdown","Survival_20","OwenReds",,,,,,,,,,,
"Siege4","true","TID_ROBO_WARS_13","Scrapyard",,,,"Siege","Siege_4","OwenReds",,,,,,,,,,,
"Siege5","true","TID_ROBO_WARS_11","Scrapyard",,,,"Siege","Siege_5","Binnyboy",,,,,,,,,,,
"Siege6","true","TID_ROBO_WARS_10","Scrapyard",,,,"Siege","Siege_6","Binnyboy",,,,,,,,,,,
"Siege7","true","TID_ROBO_WARS_4","Scrapyard",,,,"Siege","Siege_7","OwenReds",,,,,,,,,,,
"Siege8","true","TID_ROBO_WARS_12","Scrapyard",,,,"Siege","Siege_8","Mordeus",,,,,,,,,,,
"Ball10",,"TID_BALL_17","BBArena",,,,"BrawlBall","Laserball_10","Mordeus","true",,,,,,,,,,
"Raid4","true","TID_ROBO_WARS_14","DefaultShowdown",,,,"BossFight","Raid_4",,,,,,,,,,,,
"Ball11","true","TID_BALL_21","Grassfield",,,,"BrawlBall","Laserball_11","ash",,,,,,,,,,,
"Survival21","true","TID_BATTLE_ROYALE_16","DefaultShowdown",,,,"Showdown","Survival_21","Mordeus",,,,,,,,,,,
"SurvivalTeam21","true","TID_BATTLE_ROYALE_16","DefaultShowdown",,,,"DuoShowdown","Survival_21","Mordeus",,,,,,,,,,,
"Heist14",,"TID_BANKHEIST_14B","SubwaySurfers",,,,"Heist","Bankheist_14","Lex","true",,,,,,,,,,
"Heist15","true","TID_BANKHEIST_15","Default",,,,"Heist","Bankheist_15","OwenReds",,,,,,,,,,,
"Gemgrab20","true","TID_GOLDRUSH_21","Default",,,,"GemGrab","Gemgrab_20",,,,,,,,,,,,
"Gemgrab21","true","TID_GOLDRUSH_21C","Default",,,,"GemGrab","Gemgrab_21","Frep",,,,,,,,,,,
"Siege9","true","TID_ROBO_WARS_2","Scrapyard",,,,"Siege","Siege_9","Mr. Lee",,,,,,,,,,,
"Siege10","true","TID_ROBO_WARS_3","Scrapyard",,,,"Siege","Siege_10","G.W.B.S.",,,,,,,,,,,
"Ball12",,"TID_BALL_22","StuntShowBB",,,,"BrawlBall","Laserball_12","FeFaLah","true",,,,,,,,,,
"Ball13",,"TID_BALL_23","GrassfieldBeachBall",,,,"BrawlBall","Laserball_13","Chief Pekka","true",,,,,,,,,,
"Heist16","true","TID_BANKHEIST_16","Default",,,,"Heist","Bankheist_16","Thomas P.",,,,,,,,,,,
"Heist17","true","TID_BANKHEIST_17B","Default",,,,"Heist","Bankheist_17","Sir.Hocus",,,,,,,,,,,
"Gemgrab22","true","TID_GOLDRUSH_22","Default",,,,"GemGrab","Gemgrab_22","Milan R.",,,,,,,,,,,
"Gemgrab23","true","TID_GOLDRUSH_33","Default",,,,"GemGrab","Gemgrab_23","OwenReds",,,,,,,,,,,
"Wanted15","true","TID_WANTED_16","Default",,,,"Bounty","Wanted_15","Justin W.",,,,,,,,,,,
"Wanted16","true","TID_WANTED_17","Default",,,,"Bounty","Wanted_16","Ossama H.",,,,,,,,,,,
"Heist18","true","TID_BANKHEIST_18B","Default",,,,"Heist","Bankheist_18","Mordeus",,,,,,,,,,,
"Survival22","true","TID_BATTLE_ROYALE_22A","DefaultShowdown",,,,"Showdown","Survival_22","feimao",,,,,,,,,,,
"SurvivalTeam22","true","TID_BATTLE_ROYALE_22A","DefaultShowdown",,,,"DuoShowdown","Survival_22","feimao",,,,,,,,,,,
"Survival23","true","TID_BATTLE_ROYALE_23A","DefaultShowdown",,,,"Showdown","Survival_23","Cloudy",,,,,,,,,,,
"SurvivalTeam23","true","TID_BATTLE_ROYALE_23A","DefaultShowdown",,,,"DuoShowdown","Survival_23","Cloudy",,,,,,,,,,,
"Survival24","true","TID_BATTLE_ROYALE_24A","DefaultShowdown",,,,"Showdown","Survival_24","OwenReds",,,,,,,,,,,
"SurvivalTeam24","true","TID_BATTLE_ROYALE_24A","DefaultShowdown",,,,"DuoShowdown","Survival_24","OwenReds",,,,,,,,,,,
"Gemgrab24","true","TID_GOLDRUSH_24A","Default",,,,"GemGrab","Gemgrab_24","Milan Ryba",,,,,,,,,,,
"Wanted17","true","TID_WANTED_17B","Default",,,,"Bounty","Wanted_17","ToxinLab",,,,,,,,,,,
"Ball14","true","TID_BALL_14A","Grassfield",,,,"BrawlBall","Laserball_14","OwenReds",,,,,,,,,,,
"Ball15","true","TID_BALL_15A","Grassfield",,,,"BrawlBall","Laserball_15","Silver Beast",,,,,,,,,,,
"Ball16","true","TID_BALL_16A","Grassfield",,,,"BrawlBall","Laserball_16","Binnyboy",,,,,,,,,,,
"Ball17","true","TID_BALL_17A","Grassfield",,,,"BrawlBall","Laserball_17","Ellisimo",,,,,,,,,,,
"Ball18","true","TID_BALL_18A","Grassfield",,,,"BrawlBall","Laserball_18","Frep",,,,,,,,,,,
"Survival25","true","TID_BATTLE_ROYALE_30A","DefaultShowdown",,,,"Showdown","Survival_25","Mordeus",,,,,,,,,,,
"SurvivalTeam25","true","TID_BATTLE_ROYALE_30A","DefaultShowdown",,,,"DuoShowdown","Survival_25","Mordeus",,,,,,,,,,,
"BossRace1","true","TID_BOSS_RACE_1","DefaultShowdown",,,,"Takedown","BossRace_1",,"false",,,,,,,,,,
"BossRace2","true","TID_BOSS_RACE_2","DefaultShowdown",,,,"Takedown","BossRace_2","Mordeus","false",,,,,,,,,,
"BossRace3","true","TID_BOSS_RACE_3","DefaultShowdown",,,,"Takedown","BossRace_3",,"false",,,,,,,,,,
"BossRace4","true","TID_BOSS_RACE_4","DefaultShowdown",,,,"Takedown","BossRace_4",,"false",,,,,,,,,,
"BossRace5","true","TID_BOSS_RACE_5","IslandShowdown",,,,"Takedown","BossRace_5",,"false",,,,,,,,,,
"BossRace6","true","TID_BOSS_RACE_6","DefaultShowdown",,,,"Takedown","BossRace_6",,"false",,,,,,,,,,
"BossRace7","true","TID_BOSS_RACE_7","DefaultShowdown",,,,"Takedown","BossRace_7",,"false",,,,,,,,,,
"SoloBounty1","true","TID_LONESTAR_02","DefaultShowdown",,,,"LoneStar","Solobounty_2","_Shqdowz_",,,,,,,,,,,
"SoloBounty2","true","TID_LONESTAR_03","DefaultShowdown",,,,"LoneStar","Solobounty_3","Cindy",,,,,,,,,,,
"SoloBounty3","true","TID_LONESTAR_04","DefaultShowdown",,,,"LoneStar","Solobounty_4","iEnjoy",,,,,,,,,,,
"SoloBounty4","true","TID_LONESTAR_05","DefaultShowdown",,,,"LoneStar","Solobounty_5","DustyBud",,,,,,,,,,,
"SoloBounty5","true","TID_LONESTAR_06","DefaultShowdown",,,,"LoneStar","Solobounty_6","Frep",,,,,,,,,,,
"SoloBounty6","true","TID_LONESTAR_07","DefaultShowdown",,,,"LoneStar","Solobounty_7","ToxinLab",,,,,,,,,,,
"SoloBounty7","true","TID_LONESTAR_08","DefaultShowdown",,,,"LoneStar","Solobounty_8","OwenReds",,,,,,,,,,,
"BossRace8","true","TID_BOSS_RACE_8","DefaultShowdown",,,,"Takedown","BossRace_8","-iLast","false",,,,,,,,,,
"BossRace9","true","TID_BOSS_RACE_9","DefaultShowdown",,,,"Takedown","BossRace_9","Binnyboy","false",,,,,,,,,,
"BossRace10","true","TID_BOSS_RACE_10","DefaultShowdown",,,,"Takedown","BossRace_10","OwenReds","false",,,,,,,,,,
"BossRace11","true","TID_BOSS_RACE_11","DefaultShowdown",,,,"Takedown","BossRace_11","Mordeus","false",,,,,,,,,,
"BossRace12","true","TID_BATTLE_ROYALE_18","DefaultShowdown",,,,"Takedown","BossRace_12","Chief Pekka","false",,,,,,,,,,
"BossRace13","true","TID_BOSS_RACE_13","DefaultShowdown",,,,"Takedown","BossRace_13","_Shqdowz_","false",,,,,,,,,,
"BossRace14","true","TID_BOSS_RACE_14","DefaultShowdown",,,,"Takedown","BossRace_14","Cloudy","false",,,,,,,,,,
"Graves1","true","TID_BATTLE_ROYALE_1","DefaultShowdown",,,,"Showdown","Survival_1",,,,,,,,,,,,
"GravesTeam1","true","TID_BATTLE_ROYALE_1","DefaultShowdown",,,,"DuoShowdown","Survival_1",,,,,,,,,,,,
"Graves2","true","TID_BATTLE_ROYALE_12","DefaultShowdown",,,,"Showdown","Survival_12","Tony_A9",,,,,,,,,,,
"GravesTeam2","true","TID_BATTLE_ROYALE_12","DefaultShowdown",,,,"DuoShowdown","Survival_12","Tony_A9",,,,,,,,,,,
"Graves3","true","TID_BATTLE_ROYALE_5","DefaultShowdown",,,,"Showdown","Survival_33","Mordeus",,,,,,,,,,,
"GravesTeam3","true","TID_BATTLE_ROYALE_5","DefaultShowdown",,,,"DuoShowdown","Survival_33","Mordeus",,,,,,,,,,,
"Graves4","true","TID_BATTLE_ROYALE_13","DefaultShowdown",,,,"Showdown","Survival_15","Mordeus",,,,,,,,,,,
"GravesTeam4","true","TID_BATTLE_ROYALE_13","DefaultShowdown",,,,"DuoShowdown","Survival_15","Mordeus",,,,,,,,,,,
"Graves5","true","TID_LONESTAR_01","DefaultShowdown",,,,"Showdown","Solobounty_1","ash",,,,,,,,,,,
"GravesTeam5","true","TID_LONESTAR_01","DefaultShowdown",,,,"DuoShowdown","Solobounty_1","ash",,,,,,,,,,,
"Graves6","true","TID_BATTLE_ROYALE_17","DefaultShowdown",,,,"Showdown","Survival_14","Maxymus",,,,,,,,,,,
"GravesTeam6","true","TID_BATTLE_ROYALE_17","DefaultShowdown",,,,"DuoShowdown","Survival_14","Maxymus",,,,,,,,,,,
"Graves7","true","TID_BATTLE_ROYALE_21","DefaultShowdown",,,,"Showdown","Survival_18","Pentagonal Cubes",,,,,,,,,,,
"GravesTeam7","true","TID_BATTLE_ROYALE_21","DefaultShowdown",,,,"DuoShowdown","Survival_18","Pentagonal Cubes",,,,,,,,,,,
"CaptureTheFlag2","true","TID_TROPHYTHIEVES_01","Default",,,,"CTF","CaptureTheFlag_2",,,,,,,,,,,,
"CaptureTheFlag3","true","TID_TROPHYTHIEVES_02","Default",,,,"CTF","CaptureTheFlag_3","Binnyboy",,,,,,,,,,,
"CaptureTheFlag4","true","TID_TROPHYTHIEVES_03","Default",,,,"CTF","CaptureTheFlag_4","Binnyboy",,,,,,,,,,,
"CaptureTheFlag5","true","TID_TROPHYTHIEVES_04","Default",,,,"CTF","CaptureTheFlag_5","OwenReds",,,,,,,,,,,
"CaptureTheFlag6","true","TID_TROPHYTHIEVES_05","Default",,,,"CTF","CaptureTheFlag_6","ToxinLab",,,,,,,,,,,
"CaptureTheFlag7","true","TID_TROPHYTHIEVES_06","Default",,,,"CTF","CaptureTheFlag_7","DustyBud",,,,,,,,,,,
"CaptureTheFlag8","true","TID_TROPHYTHIEVES_07","Default",,,,"CTF","CaptureTheFlag_8","Cloudy",,,,,,,,,,,
"Gemgrab25","true","TID_GOLDRUSH_35","Default",,,,"GemGrab","Gemgrab_25","Cloudy",,,,,,,,,,,
"Gemgrab26","true","TID_GOLDRUSH_37","Default",,,,"GemGrab","Gemgrab_26","Cindy",,,,,,,,,,,
"Gemgrab27","true","TID_GOLDRUSH_38","Default",,,,"GemGrab","Gemgrab_27","ToxinLab",,,,,,,,,,,
"Gemgrab28","true","TID_GOLDRUSH_43","Default",,,,"GemGrab","Gemgrab_28","DustyBud",,,,,,,,,,,
"Gemgrab29","true","TID_GOLDRUSH_44","Default",,,,"GemGrab","Gemgrab_29","OwenReds",,,,,,,,,,,
"Gemgrab30","true","TID_GOLDRUSH_45","Default",,,,"GemGrab","Gemgrab_30","Chief Pekka",,,,,,,,,,,
"Gemgrab31","true","TID_GOLDRUSH_36","Default",,,,"GemGrab","Gemgrab_31","gradient33",,,,,,,,,,,
