"Name","Disabled","Type","IntParam","GameplayGoal","TimesPerMatch","TicksCooldown","Tracker","TrackerIntParam","TrackerValue","RewardPoints","RewardType","Reward","FallbackCoins","TitleTID","DescriptionTID","TargetHero","TargetGameModes","PreviousTier","GameModeIcon","SortingOrder","Groupings","NoModifierOnly","IconAsset","IconScalePercent"
"FireDudeWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_amber1",,"TID_ACH_WINS_4_TITLE",,"FireDude",,"FireDudeWins3",,,,,,
"FireDudeWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryAmber",,"TID_ACH_WINS_5_TITLE",,"FireDude",,"FireDudeWins4",,,,,,
"InsectManWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","InsectMan",,,,4,,,,
"InsectManWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"InsectMan",,"InsectManWins1",,,,,,
"InsectManWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_angelo_facepalm",,"TID_ACH_WINS_3_TITLE",,"InsectMan",,"InsectManWins2",,,,,,
"InsectManWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_angelo1",,"TID_ACH_WINS_4_TITLE",,"InsectMan",,"InsectManWins3",,,,,,
"InsectManWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryAngelo",,"TID_ACH_WINS_5_TITLE",,"InsectMan",,"InsectManWins4",,,,,,
"KnightWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","Knight",,,,5,,,,
"KnightWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"Knight",,"KnightWins1",,,,,,
"KnightWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_ash_facepalm",,"TID_ACH_WINS_3_TITLE",,"Knight",,"KnightWins2",,,,,,
"KnightWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_ash1",,"TID_ACH_WINS_4_TITLE",,"Knight",,"KnightWins3",,,,,,
"KnightWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryAsh",,"TID_ACH_WINS_5_TITLE",,"Knight",,"KnightWins4",,,,,,
"BarkeepWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","Barkeep",,,,6,,,,
"BarkeepWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"Barkeep",,"BarkeepWins1",,,,,,
"BarkeepWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_barley_facepalm",,"TID_ACH_WINS_3_TITLE",,"Barkeep",,"BarkeepWins2",,,,,,
"BarkeepWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_barley1",,"TID_ACH_WINS_4_TITLE",,"Barkeep",,"BarkeepWins3",,,,,,
"BarkeepWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBarley",,"TID_ACH_WINS_5_TITLE",,"Barkeep",,"BarkeepWins4",,,,,,
"BeeSniperWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","BeeSniper",,,,7,,,,
"BeeSniperWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"BeeSniper",,"BeeSniperWins1",,,,,,
"BeeSniperWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_bea_facepalm",,"TID_ACH_WINS_3_TITLE",,"BeeSniper",,"BeeSniperWins2",,,,,,
"BeeSniperWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_bea1",,"TID_ACH_WINS_4_TITLE",,"BeeSniper",,"BeeSniperWins3",,,,,,
"BeeSniperWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBea",,"TID_ACH_WINS_5_TITLE",,"BeeSniper",,"BeeSniperWins4",,,,,,
"ElectroSniperWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","ElectroSniper",,,,8,,,,
"ElectroSniperWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"ElectroSniper",,"ElectroSniperWins1",,,,,,
"ElectroSniperWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_belle_facepalm",,"TID_ACH_WINS_3_TITLE",,"ElectroSniper",,"ElectroSniperWins2",,,,,,
"ElectroSniperWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_belle1",,"TID_ACH_WINS_4_TITLE",,"ElectroSniper",,"ElectroSniperWins3",,,,,,
"ElectroSniperWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBelle",,"TID_ACH_WINS_5_TITLE",,"ElectroSniper",,"ElectroSniperWins4",,,,,,
"PainterWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","Painter",,,,9,,,,
"PainterWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"Painter",,"PainterWins1",,,,,,
"PainterWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_berry_facepalm",,"TID_ACH_WINS_3_TITLE",,"Painter",,"PainterWins2",,,,,,
"PainterWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_berry1",,"TID_ACH_WINS_4_TITLE",,"Painter",,"PainterWins3",,,,,,
"PainterWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBerry",,"TID_ACH_WINS_5_TITLE",,"Painter",,"PainterWins4",,,,,,
"BaseballWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","Baseball",,,,10,,,,
"BaseballWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"Baseball",,"BaseballWins1",,,,,,
"BaseballWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_bibi_facepalm",,"TID_ACH_WINS_3_TITLE",,"Baseball",,"BaseballWins2",,,,,,
"BaseballWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_bibi1",,"TID_ACH_WINS_4_TITLE",,"Baseball",,"BaseballWins3",,,,,,
"BaseballWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBibi",,"TID_ACH_WINS_5_TITLE",,"Baseball",,"BaseballWins4",,,,,,
"BowDudeWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","BowDude",,,,11,,,,
"BowDudeWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"BowDude",,"BowDudeWins1",,,,,,
"BowDudeWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_bo_facepalm",,"TID_ACH_WINS_3_TITLE",,"BowDude",,"BowDudeWins2",,,,,,
"BowDudeWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_bo1",,"TID_ACH_WINS_4_TITLE",,"BowDude",,"BowDudeWins3",,,,,,
"BowDudeWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBo",,"TID_ACH_WINS_5_TITLE",,"BowDude",,"BowDudeWins4",,,,,,
"CannonGirlWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","CannonGirl",,,,12,,,,
"CannonGirlWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"CannonGirl",,"CannonGirlWins1",,,,,,
"CannonGirlWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_bonnie_facepalm",,"TID_ACH_WINS_3_TITLE",,"CannonGirl",,"CannonGirlWins2",,,,,,
"CannonGirlWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_bonnie1",,"TID_ACH_WINS_4_TITLE",,"CannonGirl",,"CannonGirlWins3",,,,,,
"CannonGirlWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBonnie",,"TID_ACH_WINS_5_TITLE",,"CannonGirl",,"CannonGirlWins4",,,,,,
"TakedownWhileAirborneShowdown","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE_SHOWDOWN","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","Showdown",,"Showdown",12,"TakedownWhileAirborneShowdown","TRUE",,
"TakedownWhileAirborneDuoShowdown","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE_SHOWDOWN","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","DuoShowdown",,"DuoShowdown",12,"TakedownWhileAirborneShowdown","TRUE",,
"TakedownWhileAirborneTrioShowdown","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE_SHOWDOWN","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","TrioShowdown",,"TrioShowdown",12,"TakedownWhileAirborneShowdown","TRUE",,
"TakedownWhileAirborneKnockout","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","Knockout",,"Knockout",12,"TakedownWhileAirborne","TRUE",,
"TakedownWhileAirborneBounty","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","Bounty",,"Bounty",12,"TakedownWhileAirborne","TRUE",,
"TakedownWhileAirborneGemGrab","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","GemGrab",,"GemGrab",12,"TakedownWhileAirborne","TRUE",,
"TakedownWhileAirborneHeist","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","Heist",,"Heist",12,"TakedownWhileAirborne","TRUE",,
"TakedownWhileAirborneBrawlBall","true",,,1,,,"takedown_while_airborne",,1,100,,,,"TID_ACH_TAKEDOWN_WHILE_AIRBORNE_TITLE","TID_ACH_TAKEDOWN_WHILE_AIRBORNE_DESC","CannonGirl","BrawlBall",,"BrawlBall",12,"TakedownWhileAirborne","TRUE",,
"RocketGirlWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","RocketGirl",,,,13,,,,
"RocketGirlWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"RocketGirl",,"RocketGirlWins1",,,,,,
"RocketGirlWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_brock_facepalm",,"TID_ACH_WINS_3_TITLE",,"RocketGirl",,"RocketGirlWins2",,,,,,
"RocketGirlWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_brock1",,"TID_ACH_WINS_4_TITLE",,"RocketGirl",,"RocketGirlWins3",,,,,,
"RocketGirlWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBrock",,"TID_ACH_WINS_5_TITLE",,"RocketGirl",,"RocketGirlWins4",,,,,,
"BullDudeWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","BullDude",,,,14,,,,
"BullDudeWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"BullDude",,"BullDudeWins1",,,,,,
"BullDudeWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_bull_facepalm",,"TID_ACH_WINS_3_TITLE",,"BullDude",,"BullDudeWins2",,,,,,
"BullDudeWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_bull1",,"TID_ACH_WINS_4_TITLE",,"BullDude",,"BullDudeWins3",,,,,,
"BullDudeWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBull",,"TID_ACH_WINS_5_TITLE",,"BullDude",,"BullDudeWins4",,,,,,
"BullKnockbacksInOneMatchShowdown",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE_SHOWDOWN","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","Showdown",,"Showdown",14,"BullKnockbacksInOneMatchShowdown","TRUE",,
"BullKnockbacksInOneMatchDuoShowdown",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE_SHOWDOWN","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","DuoShowdown",,"DuoShowdown",14,"BullKnockbacksInOneMatchShowdown","TRUE",,
"BullKnockbacksInOneMatchTrioShowdown",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE_SHOWDOWN","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","TrioShowdown",,"TrioShowdown",14,"BullKnockbacksInOneMatchShowdown","TRUE",,
"BullKnockbacksInOneMatchKnockout",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","Knockout",,"Knockout",14,"BullKnockbacksInOneMatch","TRUE",,
"BullKnockbacksInOneMatchBounty",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","Bounty",,"Bounty",14,"BullKnockbacksInOneMatch","TRUE",,
"BullKnockbacksInOneMatchGemGrab",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","GemGrab",,"GemGrab",14,"BullKnockbacksInOneMatch","TRUE",,
"BullKnockbacksInOneMatchHeist",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","Heist",,"Heist",14,"BullKnockbacksInOneMatch","TRUE",,
"BullKnockbacksInOneMatchBrawlBall",,"BullKnockbackBrawlers",,3,,,"gameplay",,1,250,,,,"TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_TITLE","TID_ACH_BULL_KNOCKBACKS_IN_ONE_MATCH_DESC","BullDude","BrawlBall",,"BrawlBall",14,"BullKnockbacksInOneMatch","TRUE",,
"ShieldTankWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","ShieldTank",,,,15,,,,
"ShieldTankWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"ShieldTank",,"ShieldTankWins1",,,,,,
"ShieldTankWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_cameron_facepalm",,"TID_ACH_WINS_3_TITLE",,"ShieldTank",,"ShieldTankWins2",,,,,,
"ShieldTankWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_buster1",,"TID_ACH_WINS_4_TITLE",,"ShieldTank",,"ShieldTankWins3",,,,,,
"ShieldTankWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBuster",,"TID_ACH_WINS_5_TITLE",,"ShieldTank",,"ShieldTankWins4",,,,,,
"BusterBlockDamageInOneMatchShowdown","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE_SHOWDOWN","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","Showdown",,"Showdown",15,"BusterBlockDamageInOneMatchShowdown","TRUE",,
"BusterBlockDamageInOneMatchDuoShowdown","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE_SHOWDOWN","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","DuoShowdown",,"DuoShowdown",15,"BusterBlockDamageInOneMatchShowdown","TRUE",,
"BusterBlockDamageInOneMatchTrioShowdown","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE_SHOWDOWN","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","TrioShowdown",,"TrioShowdown",15,"BusterBlockDamageInOneMatchShowdown","TRUE",,
"BusterBlockDamageInOneMatchKnockout","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","Knockout",,"Knockout",15,"BusterBlockDamageInOneMatch","TRUE",,
"BusterBlockDamageInOneMatchBounty","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","Bounty",,"Bounty",15,"BusterBlockDamageInOneMatch","TRUE",,
"BusterBlockDamageInOneMatchGemGrab","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","GemGrab",,"GemGrab",15,"BusterBlockDamageInOneMatch","TRUE",,
"BusterBlockDamageInOneMatchHeist","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","Heist",,"Heist",15,"BusterBlockDamageInOneMatch","TRUE",,
"BusterBlockDamageInOneMatchBrawlBall","true",,,100000,,,,,1,100,,,,"TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_TITLE","TID_ACH_BUSTER_BLOCK_DAMAGE_IN_ONE_MATCH_DESC","ShieldTank","BrawlBall",,"BrawlBall",15,"BusterBlockDamageInOneMatch","TRUE",,
"RopeDudeWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","RopeDude",,,,16,,,,
"RopeDudeWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"RopeDude",,"RopeDudeWins1",,,,,,
"RopeDudeWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_buzz_facepalm",,"TID_ACH_WINS_3_TITLE",,"RopeDude",,"RopeDudeWins2",,,,,,
"RopeDudeWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_buzz1",,"TID_ACH_WINS_4_TITLE",,"RopeDude",,"RopeDudeWins3",,,,,,
"RopeDudeWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryBuzz",,"TID_ACH_WINS_5_TITLE",,"RopeDude",,"RopeDudeWins4",,,,,,
"BuzzStunBrawlersInOneSuperShowdown",,"BuzzStun3Brawlers1Ulti",,2,1,5,"gameplay",,1,100,,,,"TID_ACH_BUZZ_STUN_BRAWLERS_IN_ONE_SUPER_TITLE_SHOWDOWN","TID_ACH_BUZZ_STUN_BRAWLERS_IN_ONE_SUPER_DESC","RopeDude","Showdown",,"Showdown",16,"BuzzStunBrawlersInOneSuperShowdown","TRUE",,
"BuzzStunBrawlersInOneSuperDuoShowdown",,"BuzzStun3Brawlers1Ulti",,2,1,5,"gameplay",,1,100,,,,"TID_ACH_BUZZ_STUN_BRAWLERS_IN_ONE_SUPER_TITLE_SHOWDOWN","TID_ACH_BUZZ_STUN_BRAWLERS_IN_ONE_SUPER_DESC","RopeDude","DuoShowdown",,"DuoShowdown",16,"BuzzStunBrawlersInOneSuperShowdown","TRUE",,
