"Name","BillingPackages","Tiers"
,"com.supercell.laser.bundle079",40
,"com.supercell.laser.bundle059",30
,"com.supercell.laser.bundle209",110
,"com.supercell.laser.bundle229",120
"1.99USD","com.supercell.laser.bundle199",100
,"com.supercell.laser.bundle179",90
,"com.supercell.laser.bundle159",80
,"com.supercell.laser.bundle139",70
,"com.supercell.laser.bundle119",60
,"com.supercell.laser.bundle099",50
,"com.supercell.laser.bundle079",40
,"com.supercell.laser.bundle059",30
,"com.supercell.laser.bundle219",110
,"com.supercell.laser.bundle239",120
"2.09USD","com.supercell.laser.bundle209",100
,"com.supercell.laser.bundle189",90
,"com.supercell.laser.bundle169",80
,"com.supercell.laser.bundle149",70
,"com.supercell.laser.bundle129",60
,"com.supercell.laser.bundle109",50
,"com.supercell.laser.bundle079",40
,"com.supercell.laser.bundle059",30
,"com.supercell.laser.bundle229",110
,"com.supercell.laser.bundle249",120
"2.19USD","com.supercell.laser.bundle219",100
,"com.supercell.laser.bundle199",90
,"com.supercell.laser.bundle179",80
,"com.supercell.laser.bundle149",70
,"com.supercell.laser.bundle129",60
,"com.supercell.laser.bundle109",50
,"com.supercell.laser.bundle089",40
,"com.supercell.laser.bundle069",30
,"com.supercell.laser.bundle239",110
,"com.supercell.laser.bundle259",120
"2.29USD","com.supercell.laser.bundle229",100
,"com.supercell.laser.bundle209",90
,"com.supercell.laser.bundle179",80
,"com.supercell.laser.bundle159",70
,"com.supercell.laser.bundle139",60
,"com.supercell.laser.bundle119",50
,"com.supercell.laser.bundle089",40
,"com.supercell.laser.bundle069",30
,"com.supercell.laser.bundle249",110
,"com.supercell.laser.bundle279",120
"2.39USD","com.supercell.laser.bundle239",100
,"com.supercell.laser.bundle219",90
,"com.supercell.laser.bundle189",80
,"com.supercell.laser.bundle169",70
,"com.supercell.laser.bundle139",60
,"com.supercell.laser.bundle119",50
,"com.supercell.laser.bundle099",40
,"com.supercell.laser.bundle069",30
,"com.supercell.laser.bundle259",110
,"com.supercell.laser.bundle289",120
"2.49USD","com.supercell.laser.bundle249",100
,"com.supercell.laser.bundle229",90
,"com.supercell.laser.bundle199",80
,"com.supercell.laser.bundle179",70
,"com.supercell.laser.bundle149",60
,"com.supercell.laser.bundle129",50
,"com.supercell.laser.bundle099",40
,"com.supercell.laser.bundle079",30
,"com.supercell.laser.bundle269",110
,"com.supercell.laser.bundle299",120
"2.59USD","com.supercell.laser.bundle259",100
,"com.supercell.laser.bundle229",90
,"com.supercell.laser.bundle209",80
,"com.supercell.laser.bundle179",70
,"com.supercell.laser.bundle159",60
,"com.supercell.laser.bundle129",50
,"com.supercell.laser.bundle099",40
,"com.supercell.laser.bundle079",30
,"com.supercell.laser.bundle289",110
,"com.supercell.laser.bundle299",120
"2.69USD","com.supercell.laser.bundle269",100
,"com.supercell.laser.bundle239",90
,"com.supercell.laser.bundle219",80
,"com.supercell.laser.bundle189",70
,"com.supercell.laser.bundle159",60
,"com.supercell.laser.bundle139",50
,"com.supercell.laser.bundle109",40
,"com.supercell.laser.bundle079",30
,"com.supercell.laser.bundle299",110
,"com.supercell.laser.bundle329",120
"2.79USD","com.supercell.laser.bundle279",100
,"com.supercell.laser.bundle249",90
,"com.supercell.laser.bundle219",80
,"com.supercell.laser.bundle199",70
,"com.supercell.laser.bundle169",60
,"com.supercell.laser.bundle139",50
,"com.supercell.laser.bundle109",40
,"com.supercell.laser.bundle079",30
,"com.supercell.laser.bundle299",110
,"com.supercell.laser.bundle329",120
"2.89USD","com.supercell.laser.bundle289",100
,"com.supercell.laser.bundle259",90
,"com.supercell.laser.bundle229",80
,"com.supercell.laser.bundle199",70
,"com.supercell.laser.bundle169",60
,"com.supercell.laser.bundle149",50
,"com.supercell.laser.bundle119",40
,"com.supercell.laser.bundle089",30
,"com.supercell.laser.bundle329",110
,"com.supercell.laser.bundle349",120
"2.99USD","com.supercell.laser.bundle299",100
,"com.supercell.laser.bundle269",90
,"com.supercell.laser.bundle239",80
,"com.supercell.laser.bundle209",70
,"com.supercell.laser.bundle179",60
,"com.supercell.laser.bundle149",50
,"com.supercell.laser.bundle119",40
,"com.supercell.laser.bundle089",30
,"com.supercell.laser.bundle329",110
,"com.supercell.laser.bundle349",120
"3.29USD","com.supercell.laser.bundle329",100
,"com.supercell.laser.bundle299",90
,"com.supercell.laser.bundle259",80
,"com.supercell.laser.bundle229",70
,"com.supercell.laser.bundle199",60
,"com.supercell.laser.bundle169",50
,"com.supercell.laser.bundle129",40
,"com.supercell.laser.bundle099",30
,"com.supercell.laser.bundle349",110
,"com.supercell.laser.bundle399",120
"3.49USD","com.supercell.laser.bundle349",100
,"com.supercell.laser.bundle329",90
,"com.supercell.laser.bundle279",80
,"com.supercell.laser.bundle249",70
,"com.supercell.laser.bundle209",60
,"com.supercell.laser.bundle179",50
,"com.supercell.laser.bundle139",40
,"com.supercell.laser.bundle109",30
,"com.supercell.laser.bundle379",110
,"com.supercell.laser.bundle429",120
"3.79USD","com.supercell.laser.bundle379",100
,"com.supercell.laser.bundle349",90
,"com.supercell.laser.bundle299",80
,"com.supercell.laser.bundle269",70
,"com.supercell.laser.bundle229",60
,"com.supercell.laser.bundle189",50
,"com.supercell.laser.bundle149",40
,"com.supercell.laser.bundle109",30
,"com.supercell.laser.bundle429",110
,"com.supercell.laser.bundle449",120
"3.99USD","com.supercell.laser.bundle399",100
,"com.supercell.laser.bundle349",90
,"com.supercell.laser.bundle329",80
,"com.supercell.laser.bundle279",70
,"com.supercell.laser.bundle239",60
,"com.supercell.laser.bundle199",50
,"com.supercell.laser.bundle159",40
,"com.supercell.laser.bundle119",30
,"com.supercell.laser.bundle429",110
,"com.supercell.laser.bundle479",120
"4.29USD","com.supercell.laser.bundle429",100
,"com.supercell.laser.bundle379",90
,"com.supercell.laser.bundle349",80
,"com.supercell.laser.bundle299",70
,"com.supercell.laser.bundle259",60
,"com.supercell.laser.bundle219",50
,"com.supercell.laser.bundle169",40
,"com.supercell.laser.bundle129",30
,"com.supercell.laser.bundle479",110
,"com.supercell.laser.bundle499",120
"4.49USD","com.supercell.laser.bundle449",100
,"com.supercell.laser.bundle399",90
,"com.supercell.laser.bundle349",80
,"com.supercell.laser.bundle329",70
,"com.supercell.laser.bundle269",60
,"com.supercell.laser.bundle229",50
,"com.supercell.laser.bundle179",40
,"com.supercell.laser.bundle139",30
,"com.supercell.laser.bundle499",110
,"com.supercell.laser.bundle549",120
"4.79USD","com.supercell.laser.bundle479",100
,"com.supercell.laser.bundle429",90
,"com.supercell.laser.bundle379",80
,"com.supercell.laser.bundle329",70
,"com.supercell.laser.bundle289",60
,"com.supercell.laser.bundle239",50
,"com.supercell.laser.bundle189",40
,"com.supercell.laser.bundle139",30
,"com.supercell.laser.bundle549",110
,"com.supercell.laser.bundle599",120
"4.99USD","com.supercell.laser.bundle499",100
,"com.supercell.laser.bundle449",90
,"com.supercell.laser.bundle399",80
,"com.supercell.laser.bundle349",70
,"com.supercell.laser.bundle299",60
,"com.supercell.laser.bundle249",50
,"com.supercell.laser.bundle199",40
,"com.supercell.laser.bundle149",30
,"com.supercell.laser.bundle549",110
,"com.supercell.laser.bundle599",120
"5.49USD","com.supercell.laser.bundle549",100
,"com.supercell.laser.bundle499",90
,"com.supercell.laser.bundle449",80
,"com.supercell.laser.bundle379",70
,"com.supercell.laser.bundle329",60
,"com.supercell.laser.bundle279",50
,"com.supercell.laser.bundle219",40
,"com.supercell.laser.bundle169",30
,"com.supercell.laser.bundle599",110
,"com.supercell.laser.bundle649",120
"5.99USD","com.supercell.laser.bundle599",100
,"com.supercell.laser.bundle549",90
,"com.supercell.laser.bundle479",80
,"com.supercell.laser.bundle429",70
,"com.supercell.laser.bundle349",60
,"com.supercell.laser.bundle299",50
,"com.supercell.laser.bundle239",40
,"com.supercell.laser.bundle179",30
,"com.supercell.laser.bundle649",110
,"com.supercell.laser.bundle699",120
"6.49USD","com.supercell.laser.bundle649",100
,"com.supercell.laser.bundle599",90
,"com.supercell.laser.bundle499",80
,"com.supercell.laser.bundle449",70
,"com.supercell.laser.bundle399",60
,"com.supercell.laser.bundle329",50
,"com.supercell.laser.bundle259",40
,"com.supercell.laser.bundle199",30
,"com.supercell.laser.bundle699",110
,"com.supercell.laser.bundle799",120
"6.99USD","com.supercell.laser.bundle699",100
,"com.supercell.laser.bundle649",90
,"com.supercell.laser.bundle549",80
,"com.supercell.laser.bundle499",70
,"com.supercell.laser.bundle429",60
,"com.supercell.laser.bundle349",50
,"com.supercell.laser.bundle279",40
,"com.supercell.laser.bundle209",30
,"com.supercell.laser.bundle749",110
,"com.supercell.laser.bundle849",120
"7.49USD","com.supercell.laser.bundle749",100
,"com.supercell.laser.bundle699",90
,"com.supercell.laser.bundle599",80
,"com.supercell.laser.bundle549",70
,"com.supercell.laser.bundle449",60
,"com.supercell.laser.bundle379",50
,"com.supercell.laser.bundle299",40
,"com.supercell.laser.bundle229",30
,"com.supercell.laser.bundle799",110
,"com.supercell.laser.bundle899",120
"7.99USD","com.supercell.laser.bundle799",100
,"com.supercell.laser.bundle699",90
,"com.supercell.laser.bundle649",80
,"com.supercell.laser.bundle549",70
,"com.supercell.laser.bundle479",60
,"com.supercell.laser.bundle399",50
,"com.supercell.laser.bundle329",40
,"com.supercell.laser.bundle239",30
,"com.supercell.laser.bundle899",110
,"com.supercell.laser.bundle949",120
"8.49USD","com.supercell.laser.bundle849",100
,"com.supercell.laser.bundle749",90
,"com.supercell.laser.bundle699",80
,"com.supercell.laser.bundle599",70
,"com.supercell.laser.bundle499",60
,"com.supercell.laser.bundle429",50
,"com.supercell.laser.bundle349",40
,"com.supercell.laser.bundle259",30
,"com.supercell.laser.bundle949",110
,"com.supercell.laser.bundle999",120
"8.99USD","com.supercell.laser.bundle899",100
,"com.supercell.laser.bundle799",90
,"com.supercell.laser.bundle699",80
,"com.supercell.laser.bundle649",70
,"com.supercell.laser.bundle549",60
,"com.supercell.laser.bundle449",50
,"com.supercell.laser.bundle349",40
,"com.supercell.laser.bundle269",30
,"com.supercell.laser.bundle999",110
,"com.supercell.laser.bundle1099",120
"9.49USD","com.supercell.laser.bundle949",100
,"com.supercell.laser.bundle849",90
,"com.supercell.laser.bundle749",80
,"com.supercell.laser.bundle649",70
,"com.supercell.laser.bundle549",60
,"com.supercell.laser.bundle479",50
,"com.supercell.laser.bundle379",40
,"com.supercell.laser.bundle289",30
,"com.supercell.laser.bundle999",110
,"com.supercell.laser.bundle1099",120
"9.99USD","com.supercell.laser.bundle999",100
,"com.supercell.laser.bundle899",90
,"com.supercell.laser.bundle799",80
,"com.supercell.laser.bundle699",70
,"com.supercell.laser.bundle599",60
,"com.supercell.laser.bundle499",50
,"com.supercell.laser.bundle399",40
,"com.supercell.laser.bundle299",30
,"com.supercell.laser.bundle1099",110
,"com.supercell.laser.bundle1199",120
"10.99USD","com.supercell.laser.bundle1099",100
,"com.supercell.laser.bundle999",90
,"com.supercell.laser.bundle899",80
,"com.supercell.laser.bundle749",70
,"com.supercell.laser.bundle649",60
,"com.supercell.laser.bundle549",50
,"com.supercell.laser.bundle449",40
,"com.supercell.laser.bundle329",30
,"com.supercell.laser.bundle1199",110
,"com.supercell.laser.bundle1299",120
"11.99USD","com.supercell.laser.bundle1199",100
,"com.supercell.laser.bundle1099",90
,"com.supercell.laser.bundle949",80
,"com.supercell.laser.bundle849",70
,"com.supercell.laser.bundle699",60
,"com.supercell.laser.bundle599",50
,"com.supercell.laser.bundle479",40
,"com.supercell.laser.bundle349",30
,"com.supercell.laser.bundle1299",110
,"com.supercell.laser.bundle1399",120
"12.99USD","com.supercell.laser.bundle1299",100
,"com.supercell.laser.bundle1199",90
,"com.supercell.laser.bundle999",80
,"com.supercell.laser.bundle899",70
,"com.supercell.laser.bundle799",60
,"com.supercell.laser.bundle649",50
,"com.supercell.laser.bundle499",40
,"com.supercell.laser.bundle399",30
,"com.supercell.laser.bundle1399",110
,"com.supercell.laser.bundle1599",120
"13.99USD","com.supercell.laser.bundle1399",100
,"com.supercell.laser.bundle1299",90
,"com.supercell.laser.bundle1099",80
,"com.supercell.laser.bundle999",70
,"com.supercell.laser.bundle849",60
,"com.supercell.laser.bundle699",50
,"com.supercell.laser.bundle549",40
,"com.supercell.laser.bundle429",30
,"com.supercell.laser.bundle1499",110
,"com.supercell.laser.bundle1699",120
"14.99USD","com.supercell.laser.bundle1499",100
,"com.supercell.laser.bundle1399",90
,"com.supercell.laser.bundle1199",80
,"com.supercell.laser.bundle1099",70
,"com.supercell.laser.bundle899",60
,"com.supercell.laser.bundle749",50
,"com.supercell.laser.bundle599",40
,"com.supercell.laser.bundle449",30
,"com.supercell.laser.bundle1599",110
,"com.supercell.laser.bundle1799",120
"15.99USD","com.supercell.laser.bundle1599",100
,"com.supercell.laser.bundle1399",90
,"com.supercell.laser.bundle1299",80
,"com.supercell.laser.bundle1099",70
,"com.supercell.laser.bundle949",60
,"com.supercell.laser.bundle799",50
,"com.supercell.laser.bundle649",40
,"com.supercell.laser.bundle479",30
,"com.supercell.laser.bundle1799",110
,"com.supercell.laser.bundle1899",120
"16.99USD","com.supercell.laser.bundle1699",100
,"com.supercell.laser.bundle1499",90
,"com.supercell.laser.bundle1399",80
,"com.supercell.laser.bundle1199",70
,"com.supercell.laser.bundle999",60
,"com.supercell.laser.bundle849",50
,"com.supercell.laser.bundle699",40
,"com.supercell.laser.bundle499",30
,"com.supercell.laser.bundle1899",110
,"com.supercell.laser.bundle1999",120
"17.99USD","com.supercell.laser.bundle1799",100
,"com.supercell.laser.bundle1599",90
,"com.supercell.laser.bundle1399",80
,"com.supercell.laser.bundle1299",70
,"com.supercell.laser.bundle1099",60
,"com.supercell.laser.bundle899",50
,"com.supercell.laser.bundle699",40
,"com.supercell.laser.bundle549",30
,"com.supercell.laser.bundle1999",110
,"com.supercell.laser.bundle2199",120
"18.99USD","com.supercell.laser.bundle1899",100
,"com.supercell.laser.bundle1699",90
,"com.supercell.laser.bundle1499",80
,"com.supercell.laser.bundle1299",70
,"com.supercell.laser.bundle1099",60
,"com.supercell.laser.bundle949",50
,"com.supercell.laser.bundle749",40
,"com.supercell.laser.bundle549",30
,"com.supercell.laser.bundle2099",110
,"com.supercell.laser.bundle2299",120
"19.99USD","com.supercell.laser.bundle1999",100
,"com.supercell.laser.bundle1799",90
,"com.supercell.laser.bundle1599",80
,"com.supercell.laser.bundle1399",70
,"com.supercell.laser.bundle1199",60
,"com.supercell.laser.bundle999",50
,"com.supercell.laser.bundle799",40
,"com.supercell.laser.bundle599",30
,"com.supercell.laser.bundle2199",110
,"com.supercell.laser.bundle2399",120
"20.99USD","com.supercell.laser.bundle2099",100
,"com.supercell.laser.bundle1899",90
,"com.supercell.laser.bundle1699",80
,"com.supercell.laser.bundle1499",70
,"com.supercell.laser.bundle1299",60
,"com.supercell.laser.bundle1099",50
,"com.supercell.laser.bundle849",40
,"com.supercell.laser.bundle649",30
,"com.supercell.laser.bundle2299",110
,"com.supercell.laser.bundle2499",120
"21.99USD","com.supercell.laser.bundle2199",100
,"com.supercell.laser.bundle1999",90
,"com.supercell.laser.bundle1799",80
,"com.supercell.laser.bundle1499",70
,"com.supercell.laser.bundle1299",60
,"com.supercell.laser.bundle1099",50
,"com.supercell.laser.bundle899",40
,"com.supercell.laser.bundle649",30
,"com.supercell.laser.bundle2399",110
,"com.supercell.laser.bundle2599",120
"22.99USD","com.supercell.laser.bundle2299",100
,"com.supercell.laser.bundle2099",90
,"com.supercell.laser.bundle1799",80
,"com.supercell.laser.bundle1599",70
,"com.supercell.laser.bundle1399",60
,"com.supercell.laser.bundle1199",50
,"com.supercell.laser.bundle899",40
,"com.supercell.laser.bundle699",30
,"com.supercell.laser.bundle2499",110
,"com.supercell.laser.bundle2799",120
"23.99USD","com.supercell.laser.bundle2399",100
,"com.supercell.laser.bundle2199",90
,"com.supercell.laser.bundle1899",80
,"com.supercell.laser.bundle1699",70
,"com.supercell.laser.bundle1399",60
,"com.supercell.laser.bundle1199",50
,"com.supercell.laser.bundle949",40
,"com.supercell.laser.bundle699",30
,"com.supercell.laser.bundle2599",110
,"com.supercell.laser.bundle2899",120
"24.99USD","com.supercell.laser.bundle2499",100
,"com.supercell.laser.bundle2299",90
,"com.supercell.laser.bundle1999",80
,"com.supercell.laser.bundle1799",70
,"com.supercell.laser.bundle1499",60
,"com.supercell.laser.bundle1299",50
,"com.supercell.laser.bundle999",40
,"com.supercell.laser.bundle749",30
,"com.supercell.laser.bundle2699",110
,"com.supercell.laser.bundle2999",120
"25.99USD","com.supercell.laser.bundle2599",100
,"com.supercell.laser.bundle2299",90
,"com.supercell.laser.bundle2099",80
,"com.supercell.laser.bundle1799",70
,"com.supercell.laser.bundle1599",60
,"com.supercell.laser.bundle1299",50
,"com.supercell.laser.bundle999",40
,"com.supercell.laser.bundle799",30
,"com.supercell.laser.bundle2899",110
,"com.supercell.laser.bundle3099",120
"26.99USD","com.supercell.laser.bundle2699",100
,"com.supercell.laser.bundle2399",90
,"com.supercell.laser.bundle2199",80
,"com.supercell.laser.bundle1899",70
,"com.supercell.laser.bundle1599",60
,"com.supercell.laser.bundle1399",50
,"com.supercell.laser.bundle1099",40
,"com.supercell.laser.bundle799",30
,"com.supercell.laser.bundle2999",110
,"com.supercell.laser.bundle3199",120
"27.99USD","com.supercell.laser.bundle2799",100
,"com.supercell.laser.bundle2499",90
,"com.supercell.laser.bundle2199",80
,"com.supercell.laser.bundle1999",70
,"com.supercell.laser.bundle1699",60
,"com.supercell.laser.bundle1399",50
,"com.supercell.laser.bundle1099",40
,"com.supercell.laser.bundle849",30
,"com.supercell.laser.bundle3099",110
,"com.supercell.laser.bundle3399",120
"28.99USD","com.supercell.laser.bundle2899",100
,"com.supercell.laser.bundle2599",90
,"com.supercell.laser.bundle2299",80
,"com.supercell.laser.bundle1999",70
,"com.supercell.laser.bundle1699",60
,"com.supercell.laser.bundle1499",50
,"com.supercell.laser.bundle1199",40
,"com.supercell.laser.bundle849",30
,"com.supercell.laser.bundle3199",110
,"com.supercell.laser.bundle3499",120
"29.99USD","com.supercell.laser.bundle2999",100
,"com.supercell.laser.bundle2699",90
,"com.supercell.laser.bundle2399",80
,"com.supercell.laser.bundle2099",70
,"com.supercell.laser.bundle1799",60
,"com.supercell.laser.bundle1499",50
,"com.supercell.laser.bundle1199",40
,"com.supercell.laser.bundle899",30
,"com.supercell.laser.bundle3299",110
,"com.supercell.laser.bundle3599",120
"30.99USD","com.supercell.laser.bundle3099",100
,"com.supercell.laser.bundle2799",90
,"com.supercell.laser.bundle2499",80
,"com.supercell.laser.bundle2199",70
,"com.supercell.laser.bundle1899",60
,"com.supercell.laser.bundle1599",50
,"com.supercell.laser.bundle1199",40
,"com.supercell.laser.bundle949",30
,"com.supercell.laser.bundle3399",110
,"com.supercell.laser.bundle3699",120
"31.99USD","com.supercell.laser.bundle3199",100
,"com.supercell.laser.bundle2899",90
,"com.supercell.laser.bundle2599",80
,"com.supercell.laser.bundle2199",70
,"com.supercell.laser.bundle1899",60
,"com.supercell.laser.bundle1599",50
,"com.supercell.laser.bundle1299",40
,"com.supercell.laser.bundle949",30
,"com.supercell.laser.bundle3499",110
,"com.supercell.laser.bundle3799",120
"32.99USD","com.supercell.laser.bundle3299",100
,"com.supercell.laser.bundle2999",90
,"com.supercell.laser.bundle2599",80
,"com.supercell.laser.bundle2299",70
,"com.supercell.laser.bundle1999",60
,"com.supercell.laser.bundle1699",50
,"com.supercell.laser.bundle1299",40
,"com.supercell.laser.bundle999",30
,"com.supercell.laser.bundle3599",110
,"com.supercell.laser.bundle3999",120
"33.99USD","com.supercell.laser.bundle3399",100
,"com.supercell.laser.bundle3099",90
,"com.supercell.laser.bundle2699",80
,"com.supercell.laser.bundle2399",70
,"com.supercell.laser.bundle1999",60
,"com.supercell.laser.bundle1699",50
,"com.supercell.laser.bundle1399",40
,"com.supercell.laser.bundle999",30
,"com.supercell.laser.bundle3699",110
,"com.supercell.laser.bundle4099",120
"34.99USD","com.supercell.laser.bundle3499",100
,"com.supercell.laser.bundle3199",90
,"com.supercell.laser.bundle2799",80
,"com.supercell.laser.bundle2499",70
,"com.supercell.laser.bundle2099",60
,"com.supercell.laser.bundle1799",50
,"com.supercell.laser.bundle1399",40
,"com.supercell.laser.bundle1099",30
,"com.supercell.laser.bundle3799",110
,"com.supercell.laser.bundle4199",120
"35.99USD","com.supercell.laser.bundle3599",100
,"com.supercell.laser.bundle3199",90
,"com.supercell.laser.bundle2899",80
,"com.supercell.laser.bundle2499",70
,"com.supercell.laser.bundle2199",60
,"com.supercell.laser.bundle1799",50
,"com.supercell.laser.bundle1399",40
,"com.supercell.laser.bundle1099",30
,"com.supercell.laser.bundle3999",110
,"com.supercell.laser.bundle4299",120
"36.99USD","com.supercell.laser.bundle3699",100
,"com.supercell.laser.bundle3299",90
,"com.supercell.laser.bundle2999",80
,"com.supercell.laser.bundle2599",70
,"com.supercell.laser.bundle2199",60
,"com.supercell.laser.bundle1899",50
,"com.supercell.laser.bundle1499",40
,"com.supercell.laser.bundle1099",30
,"com.supercell.laser.bundle4099",110
,"com.supercell.laser.bundle4399",120
"37.99USD","com.supercell.laser.bundle3799",100
,"com.supercell.laser.bundle3399",90
,"com.supercell.laser.bundle2999",80
,"com.supercell.laser.bundle2699",70
,"com.supercell.laser.bundle2299",60
,"com.supercell.laser.bundle1899",50
,"com.supercell.laser.bundle1499",40
,"com.supercell.laser.bundle1099",30
,"com.supercell.laser.bundle4199",110
,"com.supercell.laser.bundle4599",120
"38.99USD","com.supercell.laser.bundle3899",100
,"com.supercell.laser.bundle3499",90
