"Name","TicketsInDancerBrawlerBox","TicketsInFuryBrawlerBox","TypeName","SpecificBrawler","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw"
,,,,,,,,,,,,,,,,,,"spray_graffiti_1",1,,,,
,,,,,,,,,,,,,,,,,,"spray_sushi_6",1,,,,
,,,,,,,,,,,,,,,,,,"spray_mila_1",1,,,,
,,,,,,,,,,,,,,,,,,"spray_mila_2",1,,,,
,,,,,,,,,,,,,,,,,,"spray_mila_3",1,,,,
,,,,,,,,,,,,,,,,,,"spray_box_mina",1,,,,
"Dancer Icon",20,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_starr",1,,
,,,,,,,,,,,,,,,,,,,,"player_icon_whatcouldthisbe",1,,
,,,,,,,,,,,,,,,,,,,,"player_icon_mina_box",1,,
"Dancer Pin",60,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_aprilfools_eggcool",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_popstar",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_champie_whistle",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_box_mina",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_happy",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_sad",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_angry",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_gg",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_thanks",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_phew",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_special",1
"Fury Brawler",,2,"SpecificBrawler","Fury",,,,,,,"Credits",1000,,,,,,,,,,,
"Fury Skin 29",,10,"ListedSkin",,,,1,29,,,"Bling",500,,,,"TntGuyRare",1,,,,,,
"Fury Skin 79",,20,"ListedSkin",,,,30,79,,,"Bling",750,,,,"RollerPunk",1,,,,,,
,,,,,,,,,,,,,,,,"BaseballWarrior",1,,,,,,
"Fury Skin 149",,20,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"UndertakerGreaser",1,,,,,,
,,,,,,,,,,,,,,,,"RocketGirlHotrod",1,,,,,,
,,,,,,,,,,,,,,,,"RopeDudePunk",1,,,,,,
,,,,,,,,,,,,,,,,"DeadMariachiPunk",1,,,,,,
,,,,,,,,,,,,,,,,"SnakeOilWizard_white",1,,,,,,
,,,,,,,,,,,,,,,,"SnakeOilWizard",1,,,,,,
"Fury Skin 199",,12,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"FishTankSurfer",1,,,,,,
,,,,,,,,,,,,,,,,"TrickshotBrawloween",1,,,,,,
,,,,,,,,,,,,,,,,"SplitterBrawloween",1,,,,,,
,,,,,,,,,,,,,,,,"DeadMariachiOnceupon",1,,,,,,
"Fury Skin 299",,1,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"DragonRiderOnceupon",1,,,,,,
"Fury Spray",,40,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_saw_robot_01",1,,,,
,,,,,,,,,,,,,,,,,,"spray_saw_robot_02",1,,,,
,,,,,,,,,,,,,,,,,,"spray_saw_robot_03",1,,,,
,,,,,,,,,,,,,,,,,,"spray_ziggy_1",1,,,,
,,,,,,,,,,,,,,,,,,"spray_ziggy_2",1,,,,
,,,,,,,,,,,,,,,,,,"spray_ziggy_3",1,,,,
,,,,,,,,,,,,,,,,,,"spray_box_ziggy",1,,,,
"Fury Icon",,20,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_action",1,,
,,,,,,,,,,,,,,,,,,,,"player_icon_badrandoms",1,,
,,,,,,,,,,,,,,,,,,,,"player_icon_super1",1,,
,,,,,,,,,,,,,,,,,,,,"player_icon_ziggy_box",1,,
"Fury Pin",,93,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_monkey_blind",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_monkey_deaf",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_monkey_dumb",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_champie_lighter",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_fire",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_box_ziggy",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_happy",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_sad",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_angry",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_gg",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_thanks",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_phew",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_special",1
,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_clap",1
