"Name","Variation","Disabled","ShortName","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","BannerOverrideSWF","BannerOverrideExportName","SquareBannerOverrideSWF","SquareBannerOverrideExportName","MaxScore","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreOpponentText","ScoreTextEnd","ScoreOpponentTextEnd","ScoreVO","OpponentScoreVO","VictoryVO","DefeatVO","DoubleTakedownVO","TripleTakedownVO","QuadTakedownVO","TeamTakedownVO","FirstBloodVO","PointsLeftMediumVO","PointsLeftLowVO","FriendlyMenuOrder","IntroText","IntroDescText","IntroDescText2","OvertimeText","OvertimeVO","PlayerCountInfo","StartNotification","EndNotification","Color","BgColor","FallbackPlayerMapEnvironment","TeamEntryItemName","PanelTeamOnlineName","SpecificEmote1","SpecificEmote2","SpecificEmote3","ScorePanelIconFrame","HasModeSpecificQuest","MaxDamage","MaxHealing","CustomValue1","PlayerCollectBountyStars","PlayersCollectPowerCubes","MaxPowerCubesToDrop","PlayersCollectBolts","ItemClaimDelaySeconds","IsPlayedOnVeryLargeMap","SpectateAfterGameOver","SpectateAfterDeath","SpectateFriendAfterDeath","HasCornerScoreNumbers","HasCornerScoreForBothTeams","IsBattleRoyale","HasAntiTeamingFeatures","HasBoxesWithPowerCubes","HasOffScreenIndicator","HasOffScreenBossIndicator","IsCoop","HasDownwardsTickingClock","DisplayOneHealthbar","DisplayOneHealthbarForBothTeams","DisplayOneBlueHealthbar","DisplayHealthbarForBothTeams","HealthbarsAreInOneCorner","HealthBarsFillUp","HasTwoBases","IsSoloModeWithRespawns","IsSoloMode","GetHeroSelectionCount","HasTimerAndCanEndBeforeTimerRunsOut","ShouldSpawnCloseToTeammate","HasSpawnProtectionInTheStart","GiveMVPAtGameEnd","HasWinBasedExp","PanCameraToCenterWhenGameOver","RevealMapWhenGameOver","FlashHealthBar","IsGoalBasedMode","ShowTextOnScore","ModeHasCarryables","AllowAttackWhileCarrying","IsHorizontalMode","BattleTicks","HasOvertime","OvertimeHasGoldenGoal","RespawnSeconds","ModeHasSecondaryRespawnPoints","ModeGameObjectCount","RoundResetsWhenObjectiveIsMissing","DroppedItemOnDeath","BotGoalAreaEffect","BotItemPickup","BotItemPickup2","BotItemPickupRadius","HasTeamItems","PreventWallsOnBase","HasMultipleDifficulties","IsTypeOfBossFight","IsSpecialEvent","IsBlockedFromFriendlyRoom","AreTeamsDisabledIn","BossCharacterData","BossCharacterData2","BossCharacterData3","BossShareHP","NumberOfRounds","MoveDeathNotificationsDown","ModeCarryable","TeamSize","TeamCount","ModeHasFillingPoison","BattleLoad","BattleLoadCoop","HasTokensToHold","IsMatchmakingBasedOnAverageHeroScore","IsNotRewardingTrophies","IsAllowDuplicateHeroes","TrophyGainedMultiplierPercent","TrophyLostMultiplierPercent","BattleMusicOverride"
"DuoShowdown",9,,"Duo SD","TID_GAME_MODE_9","chat_letsplay_teamsurvival","event_gameroom_teamsurvival","event_icon_teamsurvival",,,,"event_teamsurvival_banner_square",,,,,,,,,,,,,,,,,,,,"TID_GAME_MODE_9","TID_BATTLE_ROYALE_TEAM_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM",,,"0xff91e136","0xff81D621","DefaultEnvironment","event_teamentry_teamsurvival","panel_team_online_teamsurvival",,,,,"true",,,,,"TRUE",5,,,"TRUE",,"TRUE","TRUE",,,"TRUE","TRUE","TRUE","TRUE",,,,,,,,,,,,,1,,"TRUE","TRUE",,,,,,,,,,,800,,,17,,,,"BattleRoyaleBuff",,,,,,,,,,,,,,,,1,,,2,5,"TRUE",20,14,,,,,,,
"BossFight",10,,"BossF","TID_GAME_MODE_10","chat_letsplay_raid","event_gameroom_raid","event_icon_raid","sc/ui.sc","event_raid_banner","sc/events.sc","event_raid_banner_square",,,,,,,,,,,,,,,,,,,12,"TID_GAME_MODE_10","TID_RAID_BOSS_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS","RaidBossStart",,"0xffff6847","0xffDC2423",,"event_teamentry_raid","panel_team_online_raid",,,,,,,,,,"TRUE",5,,,"TRUE",,"TRUE","TRUE",,,,,,"TRUE","TRUE","TRUE",,"TRUE","TRUE",,,,,,,,1,,"TRUE",,,,,,,,,,,,800,,,22,,1,,"BattleRoyaleBuff",,,,,,,"TRUE","TRUE","TRUE","TRUE",,"RaidBoss",,,,1,,,3,1,,10,8,,,,,,,
"Siege",11,,"Siege","TID_GAME_MODE_11","chat_letsplay_petwars","event_gameroom_petwars","event_icon_petwars",,,,,,,,,,,,,,,,,,,,,,,7,"TID_GAME_MODE_11","TID_ROBO_WARS_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","RoboWarsStart",,"0xffff6847","0xffF05031","DefaultEnvironment","event_teamentry_petwars","panel_team_online_petwars",,,,,,,,,,,,"TRUE",3,,,,,,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE",,,1,"TRUE",,,"TRUE","TRUE",,"TRUE","TRUE",,,,,,,,,5,,2,,"PetWars",,"PetWars",,,,"TRUE",,,,"TRUE",,,,,,1,"TRUE",,3,2,,15,12,"TRUE",,,,,,
"Tutorial",12,,"Tutorial",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_OVERTIME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,800,,,5,,,,,,,,,,,,,,,,,,,,1,,,3,1,,2,2,,,,,,,
"Training",13,,"Training",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_OVERTIME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,800,,,5,,,,,,,,,,,,,,,,,,,,1,,,1,1,,2,2,,,,,,,
"Takedown",14,,"TakeD","TID_GAME_MODE_14","chat_letsplay_takedown","event_gameroom_takedown","event_icon_takedown","sc/events.sc","event_takedown_banner","sc/events.sc","event_takedown_banner_square",,,,,,,,,,,,,,,,,,,8,"TID_GAME_MODE_14","TID_BOSS_RACE_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","TakedownStart",,"0xff3891ff","0xffB606B0",,"event_teamentry_takedown","panel_team_online_takedown",,,,,,,,,,"TRUE",5,,,"TRUE",,,,,,,,,"TRUE","TRUE",,,"TRUE","TRUE",,,,,,"TRUE","TRUE",1,,,"TRUE",,,,"TRUE",,,,,,,480,,,7,,1,,"BattleRoyaleBuff",,,,,,,,,,,"TRUE",,,,,1,,,1,10,,20,16,,,,,,,
"LoneStar",15,"TRUE","LoneS","TID_GAME_MODE_15","chat_letsplay_lone_star","event_gameroom_lonestar","event_icon_lone_star","sc/events.sc","event_lone_star_banner","sc/events.sc","event_lone_star_banner_square",,,,,,,,,,,,,,,,,,,9,"TID_GAME_MODE_15","TID_BOUNTY_HUNTER_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","LoneStarStart",,"0xffe24e5a","0xff56CDEA",,"event_teamentry_lonestar","panel_team_online_lonestar",,,,,,,,,"TRUE",,,,,"TRUE",,,,"TRUE",,,,,,,,"TRUE",,,,,,,,"TRUE","TRUE",1,,,"TRUE",,,,,,,,,,,,,,7,,,,,,"Money",,,,,,,,,"TRUE",,,,,1,,,1,10,,20,16,,,,,,,
"CTF",16,,"PresentP","TID_GAME_MODE_16","chat_letsplay_trophy_thieves","event_gameroom_trophy_thieves","event_icon_trophy_thieves",,,,,2,"Brawl_xmas_flag_win","Brawl_xmas_flag_lose","TID_CTF_GOAL","TID_CTF_GOAL","TID_CTF_GOAL_MATCH_OVER","TID_CTF_GOAL_MATCH_OVER",,,"Deathmatch_Victory_VO","Deathmatch_Defeat_VO",,,,,,,,6,"TID_GAME_MODE_16","TID_CTF_INTRO_TEXT",,"TID_OVERTIME","Announcer_overtime_vo","TID_EVENT_POPUP_GMV_LABEL_TEAM","CTFStart",,"0xff2ef3e0","0xff00DA48",,"event_teamentry_ctf","panel_team_online_ctf",,,,6,,,,,,,,,,,,,,"TRUE","TRUE",,,,"TRUE",,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,,,"TRUE","TRUE","TRUE","TRUE",,210,"TRUE","TRUE",7,,2,,,,,,,,,,,,"TRUE",,,,,,1,,"CaptureFlag",3,2,,10,8,,,,,,,
"KingOfHill",17,,"HotZone","TID_GAME_MODE_17","chat_letsplay_king_of_hill","event_gameroom_king_of_hill","event_icon_king_of_hill",,,,,100,,,,,,,,,,,,,,,,,,13,"TID_GAME_MODE_17","TID_KING_OF_HILL_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","KOHStart",,"0xffff4343","0xffE33B50","DefaultEnvironment","event_teamentry_king_of_hill","panel_team_online_king_of_hill",,,,3,"true",,,,,,,,,,,,,,,,,,,,,"TRUE",,,,"TRUE","TRUE","TRUE",,,,1,"TRUE",,,"TRUE","TRUE","TRUE","TRUE","TRUE",,"TRUE",,,,180,,,5,,,,,"KingOfHillArea",,,1050,,,,,,,,,,,,1,"TRUE",,3,2,,10,8,,,,,,,
"BossFight_TownCrush",18,"TRUE","Rampage","TID_GAME_MODE_18","chat_letsplay_rampage","event_gameroom_rampage","event_icon_rampage","sc/ui.sc","event_rampage_banner","sc/events.sc","event_rampage_banner_square",,,,,,,,,,,,,,,,,,,14,"TID_GAME_MODE_18","TID_RAID_BOSS_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS_TOWN_CRUSHER","TownCrusherStart",,"0xffff6847","0xffDC2423",,"event_teamentry_rampage","panel_team_online_rampage",,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,"TRUE","TRUE","TRUE",,"TRUE","TRUE",,,,,,,"TRUE",1,,"TRUE",,,,,,,,,,,,800,,,22,,1,,,,,,,,,"TRUE","TRUE","TRUE","TRUE","TRUE","RaidBoss_TownCrush",,,,1,,,3,1,,10,8,,,,,,,
"ProtectKing",19,"TRUE","ProtectKing","TID_GAME_MODE_19","chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,"event_heist_banner_square",,,,,,,,,,,,,,,,,,,3,"TID_GAME_MODE_19","TID_PROTECT_KING_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","AttackDefendStart",,"0xffd852ff","0xff9A3DF3",,"event_teamentry_heist","panel_team_online_heist",,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,"TRUE",,,,,,1,"TRUE",,,"TRUE","TRUE",,,"TRUE",,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,3,2,,10,8,,,,,,,
"Knockout",20,,"Knockout","TID_GAME_MODE_20","chat_letsplay_knockout","event_gameroom_knockout","event_icon_knockout",,,"sc/events.sc","event_knockout_banner_square",2,,,,,,,,,,,,,,,,,,15,"TID_GAME_MODE_20","TID_KNOCKOUT_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","KnockoutStart",,"0xfffd9b0e","0xffF7831C","DefaultEnvironment","event_teamentry_knockedout","panel_team_online_knockedout",,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,1,,,,"TRUE","TRUE",,,,,,,,,800,,,-1,,,,,,,,,,,,,,,,,,,,3,"TRUE",,3,2,"TRUE",10,8,,,,,,,
"HoldTheBall",21,,"HoldTheBall","TID_GAME_MODE_21","chat_letsplay_holdthetrophy","event_gameroom_holdthetrophy","event_icon_holdthetrophy",,,"sc/events.sc","event_holdthetrophy_banner_square",100,,,,,,,,,,,,,,,,,,16,"TID_GAME_MODE_21","TID_HOLD_THE_BALL_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","KnockoutStart",,"0xfffd9b0e","0xffE337C1",,"event_teamentry_holdthetrophy","panel_team_online_holdthetrophy",,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,"TRUE",,,,"TRUE","TRUE","TRUE",,,,1,"TRUE",,,"TRUE","TRUE",,,"TRUE",,,"TRUE","FALSE",,180,,,5,,1,,,,,,,,,,,,"TRUE",,,,,,1,"TRUE","HoldingBall",3,2,,10,8,,,,,,,
"BasketBrawl",22,,"BasketBrawl","TID_GAME_MODE_22","chat_letsplay_basketbrawl","event_gameroom_basketbrawl","event_icon_basketbrawl","sc/events.sc","event_basketball_banner","sc/events.sc","event_basketbrawl_banner_square",5,"Basketbrawl_goal","Basketbrawl_other_goal","TID_HOOP_GOAL","TID_HOOP_GOAL","TID_HOOP_GOAL_MATCH_OVER","TID_HOOP_GOAL_MATCH_OVER","Announcer_goal_vo","Announcer_goal_vo","Deathmatch_Victory_VO","Deathmatch_Defeat_VO",,,,,,,,17,"TID_GAME_MODE_22","TID_BASKET_BRAWL_INTRO_TEXT",,"TID_OVERTIME","Announcer_overtime_vo","TID_EVENT_POPUP_GMV_LABEL_TEAM","KnockoutStart",,"0xff2fc4f9","0xff2FC4F9",,"event_teamentry_basketbrawl","panel_team_online_basketbrawl",,,,5,,,,,,,,,,,,,,"TRUE","TRUE",,,,"TRUE",,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,"TRUE",,"TRUE","TRUE","TRUE","FALSE",,210,"TRUE","TRUE",7,,1,"TRUE",,,,,,,,,,,,,,,,,1,,"BasketBall",3,2,,10,8,,,,,,,
"VolleyBrawl",23,,"VolleyBrawl","TID_GAME_MODE_23","chat_letsplay_volleybrawl","event_gameroom_volleybrawl","event_icon_volleybrawl",,,"sc/events.sc","event_volleybrawl_banner_square",2,"Volleybrawl_goal","Volleybrawl_other_goal","TID_TEAM_GOAL","TID_OPPONENT_GOAL","TID_TEAM_GOAL_MATCH_OVER","TID_OPPONENT_GOAL_MATCH_OVER","Announcer_goal_vo","Announcer_goal_vo","Deathmatch_Victory_VO","Deathmatch_Defeat_VO",,,,,,,,18,"TID_GAME_MODE_23","TID_VOLLEY_BRAWL_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","KnockoutStart",,"0xffc2ed00","0xffB8FB26",,"event_teamentry_volleybrawl","panel_team_online_volleybrawl",,,,4,,,,,,,,,,,,,,"TRUE","TRUE",,,,"TRUE",,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,"TRUE",,"TRUE","TRUE","TRUE","FALSE",,210,,,7,"TRUE",1,"TRUE",,"VolleyBallTarget",,,300,,,,,,"TRUE",,,,,,1,,"VolleyBall",3,2,,10,8,,,,,,,
"TagTeam",24,,"TagTeam","TID_GAME_MODE_24","chat_letsplay_tagteam","event_gameroom_tagteam","event_icon_tagteam",,,"sc/events.sc","event_tagteam_banner_square",3,,,,,,,,,,,,,,,,,,19,"TID_GAME_MODE_24","TID_TAG_TEAM_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_DUEL","TagTeamStart",,"0xffc2ed00","0xffB8FB26",,"event_teamentry_tagteam","panel_team_online_tagteam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",3,,,,,"TRUE",,"TRUE",,,,,,,800,,,-1,,,,,,,,,,,,,,,"TRUE",,,,,5,"TRUE",,1,2,"TRUE",4,3,,,,,,,
"Deathmatch",25,,"Deathmatch","TID_GAME_MODE_25","chat_letsplay_teamdeathmatch","event_gameroom_teamdeathmatch","event_icon_teamdeathmatch",,,"sc/events.sc","event_teamdeathmatch_banner_square",10,,,,,,,,,"Deathmatch_Victory_VO","Deathmatch_Defeat_VO","Deathmatch_DoubleTD_VO","Announcer_tripletakedown_vo","Announcer_quadtakedown_vo","Deathmatch_TeamTD_VO","Deathmatch_FirstTD_VO","Deathmatch_FourTD_left_VO","Deathmatch_OneTD_left_VO",20,"TID_GAME_MODE_25","TID_DEATHMATCH_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","DeathmatchStart",,"0xff24d6ff","0xff00CFFF",,"event_teamentry_teamdeathmatch","panel_team_online_teamdeathmatch",,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,"TRUE",,,"TRUE",,,,180,,,3,,,,,,,,,,,,,,,,,,,,1,"TRUE",,3,2,,10,8,,,,,,,
"Payload",26,,"Payload","TID_GAME_MODE_26","chat_letsplay_payload","event_gameroom_payload","event_icon_payload",,,"sc/events.sc","event_payload_banner_square",100,,,,,,,,,,,,,,,,,,21,"TID_GAME_MODE_26","TID_PAYLOAD_INTRO_TEXT",,"TID_OVERTIME_PAYLOAD","Announcer_overtime_vo","TID_EVENT_POPUP_GMV_LABEL_TEAM","PayloadStart",,"0xffff4343","0xffE33B50",,"event_teamentry_payload","panel_team_online_payload",,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,"TRUE","TRUE","TRUE",,,,1,"TRUE",,,"TRUE","TRUE",,"TRUE","TRUE",,,,,,210,"TRUE",,7,,2,,,"PayloadMoveArea",,,900,,,,,,,,,,,,1,"TRUE",,3,2,,10,8,,,,,,,
