"Name","TID","CollabId","EventPanelExportName","SpecialEventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsCanDropWithoutBrawler","SkinsInReward","TicketsInSkinDraw","TicketsInSkinAltDraw","SpecialSkinsInReward","TicketsInSpecialSkinDraw","SpraysInReward","TicketsInSprayDraw","TicketsInSprayAltDraw","ProfilePicsInReward","TicketsInProfilePicDraw","TicketsInProfilePicAltDraw","PinsInReward","TicketsInPinDraw","TicketsInPinAltDraw","ClubCollabSkin","HideSkinRewardsInClubTrack","Modifier","CollabMenuVFX","CollabVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID","ThemeAngelic","ThemeDemonic","HasCollabShop","HasShopKeeper","BrawlersForCollabShop","TicketsInBrawlersForCollabShopDraw","ShopStylesNames","CoversIds","Discounts","BundleTitleBasedOnDiscount","FrameLabelBasedOnDiscount","RemoveAllExceptOneClipWithPrefix","ChapterNewsInboxLinkIds"
"Coral","TID_COLLAB_3",3,"collab_event_panel_1_screen_hud_left","collab_event_panel_2_screen_hud_left",,"collab_event_teaser",,,,,,,,"WallyHawaii",2,0,"RopeDudeSB",25,"spray_event_sb_gary",33,0,"player_icon_event_sb_1",33,0,"emoji_event_mrkrabs_sb",20,0,"LuchadorSB","TRUE",39,"ArchetypeItemMenuEffect","ArchetypeItemBrawler",,"TID_COLLAB_3_LEADERBOARD_TAB","TID_COLLAB_3_LEADERBOARD_TITLE","TID_COLLAB_3_LEADERBOARD_SCORE",,,"TRUE","TRUE",,,"sb_free",5,100,"TID_SB_SHOP_FREE_OFFER",,"gary_",
,,,,,,,,,,,,,,"RocketGirlBeach",5,0,"BarrelBotSB",25,"spray_event_sb_patty",33,0,"player_icon_event_sb_2",33,0,"emoji_event_patrick_sb",20,0,,,,,,,,,,,,,,,,"sb_discount",4,30,"TID_SB_SHOP_MEGA_OFFER",,,
,,,,,,,,,,,,,,"UndertakerBeach",5,0,"MechanicSB",25,"spray_event_sb_sponge",34,0,"player_icon_event_sb_3",34,0,"emoji_event_plankton_sb",20,0,,,,,,,,,,,,,,,,"sb_discount",4,25,"TID_SB_SHOP_MEGA_OFFER",,,
,,,,,,,,,,,,,,"NinjaDino",5,0,"ClusterBombDudeSB",25,,,,,,,"emoji_event_sandy_sb",20,0,,,,,,,,,,,,,,,,"sb_epic",6,20,"TID_SB_SHOP_EPIC_OFFER",,,
,,,,,,,,,,,,,,"MinigunDudeSummer",5,0,,,,,,,,,"emoji_event_spongebob_sb",20,0,,,,,,,,,,,,,,,,"sb_epic",6,15,"TID_SB_SHOP_EPIC_OFFER",,,
,,,,,,,,,,,,,,"NinjaShark",5,0,,,,,,,,,"emoji_event_squidward_sb",20,0,,,,,,,,,,,,,,,,"sb_epic",6,10,"TID_SB_SHOP_NORMAL_OFFER",,,
,,,,,,,,,,,,,,"MechanicSummer",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"sb",3,0,"TID_SB_SHOP_NORMAL_OFFER",,,
,,,,,,,,,,,,,,"RosaCoco",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"KickerDudeOcto",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SnakeOilTropical",3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"HammerDudeVacation",3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ShamanSummer",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BaseballPirate",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PowerLevelerKraken",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"AssaultShotgunTreasure",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"MechaDudePirate",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"FishTankShark",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ElectroSniperCoral",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaos","TID_COLLAB_4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demons","TID_COLLAB_5",5,"event_gameroom_possession_square",,,"collab_event_teaser",,,,,,,,"EnragerAngel",1,0,,,"spray_angelsdemons_4",1,0,"player_icon_good_angelsdemons",1,0,"emoji_angel1",1,0,,,42,"AngelicMenuEffect","AngelicBrawler",,,,,"Angels","Demons",,,,,,,,,,,
,,,,,,,,,,,,,,"EnragerAngelChroma1",1,0,,,"spray_angelsdemons_3",1,0,"player_icon_angelsdemons1",1,0,"emoji_angel2",1,0,,,,"DemonicMenuEffect","DemonicBrawler",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EnragerAngelChroma2",1,0,,,"spray_skullwings",1,0,"player_icon_angelsdemons4",1,0,"emoji_olympus_fire",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SpeedyAngel",1,0,,,"spray_janet_popstar",1,0,"player_icon_angelsdemons6",1,0,"emoji_olympus_fist",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"HookDudeAngel",1,0,,,"spray_heartarrow",1,0,"player_icon_brawlentines",1,0,"emoji_olympus_lightning",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"GunslingerDarkAngelChroma",1,0,,,"spray_drop",1,0,"player_icon_olympus",1,0,"emoji_popstar",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ControllerEaster",1,0,,,"spray_angrycloud",1,0,"player_icon_starr",1,0,"emoji_demon1",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BlackHoleBlue",1,0,,,"spray_brawlentines_heart1",1,0,"player_icon_bad_angelsdemons",0,1,"emoji_demon2",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CannonGirlUnicorn",1,0,,,"spray_brawlentines_heart2",1,0,"player_icon_angelsdemons2",0,1,"emoji_stop",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"InsectManGreek",1,0,,,"spray_angelsdemons_1",0,1,"player_icon_angelsdemons3",0,1,"emoji_fire",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SandstormMake",1,0,,,"spray_angelsdemons_2",0,1,"player_icon_angelsdemons5",0,1,"emoji_summer_sweat",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"UndertakerDemon",0,1,,,"spray_denied",0,1,"player_icon_outlaw",0,1,"emoji_burning_ball",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"UndertakerDemonChroma1",0,1,,,"spray_allfine",0,1,"player_icon_phoenix_fire",0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"UndertakerDemonChroma2",0,1,,,"spray_salt",0,1,"player_icon_masks",0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PuppeteerDemon",0,1,,,"spray_fire_love",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SilencerDemon",0,1,,,"spray_footstep",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PercenterChromaDemonRed",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"MummyDemon",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BowDudeDemonic",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SplitterCultist",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DragonRiderRare",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ConductorRare",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toys","TID_COLLAB_6",6,"collab_event_panel_1_screen_hud_left","collab_event_panel_2_screen_hud_left",,"collab_event_teaser",,,,,,,,"BullDudeOx",1,0,,,"spray_starrforce1",3,0,"player_icon_starrforce1",2,0,"emoji_starrforce_1",1,0,,,,,,,"TID_COLLAB_3_LEADERBOARD_TAB","TID_COLLAB_3_LEADERBOARD_TITLE","TID_COLLAB_3_LEADERBOARD_SCORE",,,"TRUE",,"Meeple",1,"toy_free",5,100,"TID_TOY_SHOP_FREE_OFFER","free",,
,,,,,,,,,,,,,,"CactusLord",1,0,,,"spray_skullsign",1,0,"player_icon_starrforce2",2,0,"emoji_starrforce_2",1,0,,,,,,,,,,,,,,,,"toy_mega",4,30,"TID_TOY_SHOP_MEGA_OFFER","legendary",,
,,,,,,,,,,,,,,"PercenterCrew",1,0,,,"spray_lny2022",1,0,"player_icon_starrforce3",2,0,"emoji_stop",1,0,,,,,,,,,,,,,,,,"toy_mega",4,25,"TID_TOY_SHOP_MEGA_OFFER","legendary",,
,,,,,,,,,,,,,,"MechaDudeRhino",1,0,,,"spray_crymask",1,0,"player_icon_starrforce4",2,0,"emoji_think",1,0,,,,,,,,,,,,,,,,"toy_epic",6,20,"TID_TOY_SHOP_EPIC_OFFER","epic",,
,,,,,,,,,,,,,,"WallyWeirdPlant",1,0,,,,,,"player_icon_starrforce5",2,0,"emoji_mutation_heart",1,0,,,,,,,,,,,,,,,,"toy_epic",6,15,"TID_TOY_SHOP_EPIC_OFFER","epic",,
,,,,,,,,,,,,,,"EnragerVine",1,0,,,,,,"player_icon_starrforce6",2,0,"emoji_lny_rabbit",1,0,,,,,,,,,,,,,,,,"toy_epic",6,10,"TID_TOY_SHOP_NORMAL_OFFER","epic",,
,,,,,,,,,,,,,,"FleaBiker",1,0,,,,,,"player_icon_toys1",5,0,"emoji_ts_cone",1,0,,,,,,,,,,,,,,,,"toy",3,0,"TID_TOY_SHOP_NORMAL_OFFER","rare",,
,,,,,,,,,,,,,,"BlackHoleStreetNinja_remake",1,0,,,,,,"player_icon_toys2",5,0,"emoji_ts_alien",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ElectroSniperSCmake",1,0,,,,,,"player_icon_toys3",5,0,"emoji_ts_zurg",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CannonGirlVillain",1,0,,,,,,"player_icon_lny2023",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DuplicatorVillain",1,0,,,,,,"player_icon_robots_1",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ArtilleryDudeSmuggler_orange",1,0,,,,,,"player_icon_robots_2",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SnakeOilVillain",1,0,,,,,,"player_icon_robots_3",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DuelistBrain",1,0,,,,,,"player_icon_robots_4",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ArcadeVirusChroma",1,0,,,,,,"player_icon_robot_colt",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BeeSniperVirus",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"KickerDudeVirus",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TwinsVirus",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CocoonerVirus",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"MaisieMaisieCyber",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"FleaStarrForce",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ShamanStarrForce",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PainterStarrForce",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DoorManStarrForce",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PresentDrop",,7,,,,,,,,,,,,"BarrelbotToy",1,0,,,"spray_xmas_1",1,0,"player_icon_champie_gingerbread",1,0,"emoji_brawlmas_wreath",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"AttacherToy",1,0,,,"spray_brawlidays_hat",1,0,"player_icon_brawlidays1",1,0,"emoji_brawlmas_candle",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TntDudeChristmas",1,0,,,"spray_brawlidays_horns",1,0,"player_icon_brawlidays2",1,0,"emoji_brawlmas_candy",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ShamanGummybear",1,0,,,"spray_xmas_kiss",1,0,"player_icon_brawlidays3",1,0,"emoji_brawlmas_deer",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BaseballBubblegum",1,0,,,"spray_xmas_candy",1,0,"player_icon_brawlidays4",1,0,"emoji_brawlmas_gingerbreadman",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CannonGirlUnicorn",1,0,,,,,,"player_icon_brawlidays5",1,0,"emoji_brawlmas_snowmball",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"KnightKrampus",1,0,,,,,,"player_icon_brawlidays6",1,0,"emoji_brawlmas_cupcake",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ClusterBombDudeSnowman",1,0,,,,,,,,,"emoji_brawlmas_donut",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DrillerGift",1,0,,,,,,,,,"emoji_brawlmas_rainbow",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BowDudeSanta",1,0,,,,,,,,,"emoji_brawlmas",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CactusLog",1,0,,,,,,,,,"emoji_brawlmas_angry",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PowerLevelerDIY",1,0,,,,,,,,,"emoji_brawlmas_gg",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"StickyBombPotato",1,0,,,,,,,,,"emoji_brawlmas_happy",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"MechanicDoll",1,0,,,,,,,,,"emoji_brawlmas_phew",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"WeaponThrowerValentines",1,0,,,,,,,,,"emoji_brawlmas_sad",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ArcadeClassic",1,0,,,,,,,,,"emoji_brawlmas_special",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ControllerRetro",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TwinsRare",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DuplicatorGiftsToy",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ShamanChristmas",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BarrelBotCupcake",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"KnightPinata",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RopeDudeLollipop",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"LeaperDarkXmas",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"WeaponThrowerYeti",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RollerChristmas",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BlowerNutcracker",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"HammerDudeXmas",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"AssaultShotgunSled",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PowerLevelerKnight_red",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ArtilleryGalToy",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"FireDudeFrost",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wasabi","TID_COLLAB_8",8,"collab_event_panel_screen_hud_left",,,"collab_event_teaser",,,,,,,,"DoorManJapan",1,0,,,"spray_feudaljapan_stinky",1,0,"player_icon_feudaljapan_octopuss",1,0,"emoji_feudaljapan_baoninja",1,0,,,36,"WasabiPowerMenuEffect","WasabiPowerIngame",,,,,,,,,,,,,,,,,"comic1"
,,,,,,,,,,,,,,"WallyJapan",1,0,,,"spray_feudaljapan_lily",1,0,"player_icon_feudaljapan_bentobox",1,0,"emoji_feudaljapan_samuraisushi",1,0,,,,,,,,,,,,,,,,,,,,,,"comic2"
,,,,,,,,,,,,,,"InsectManJapan",1,0,,,"spray_feudaljapan_weapon",1,0,"player_icon_boba_tick",1,0,"emoji_feudaljapan_wasabi",1,0,,,,,,,,,,,,,,,,,,,,,,"comic3"
,,,,,,,,,,,,,,"BlackHoleJapan",1,0,,,"spray_feudaljapan_katana",1,0,"player_icon_boba_spike",1,0,"emoji_spicy",1,0,,,,,,,,,,,,,,,,,,,,,,"comic4"
,,,,,,,,,,,,,,"KnightJapan",1,0,,,"spray_sushi_1",1,0,"player_icon_feudaljapan_statue",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"spray_sushi_2",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"spray_sushi_3",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"spray_sushi_4",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"spray_sushi_5",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"spray_sushi_6",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
