"Name","Target","MetaType","ServerOnly","Type","Value","Projectile","AreaEffect","Character","Skill","StatusEffect","SecondProjectile","SecondAreaEffect"
"Stu1","Roller",7,,"TriggerAreaEffectWhenUlti",,,"RollerMutationArea",,,,,
"8bit1","Arcade",7,,"OverrideMaxSpawns",6,,,,,,,
"8bit2","Arcade",7,,"OverrideUltiCharge",170,,,,,,,
"8bit3","Arcade",7,,"AddExtraHealthToSummonedMinions",2000,,,,,,,
"Gene1","HookDude",7,,"OverrideUltiCharge",120,,,,,,,
"Gene2","HookDude",7,,"OverrideUltiSteerStrength",20,,,,,,,
"Gene3","HookDude",7,,"OverrideUltiSteerIgnoreTicks",5,,,,,,,
"Gene4","HookDude",7,,"OverrideUltiHomeDistance",20,,,,,,,
"Gene5","HookDude",7,,"OverrideUltiSteerLifeTime",15,,,,,,,
"Gene6","HookDude",7,,"OverrideUltiTravelType",4,,,,,,,
"Berry1","Painter",7,,"SpawnAreaEffectWhileMoving",20,,"PainterAreaEffectMutant",,,,,
"Charlie1","Cocooner",7,,"SpawnCharacterWhileMoving",40,,,"CocoonerPet",,,,
"Bull1","BullDude",7,,"OverrideChargeUltiAutomaticallyPerSecond",500,,,,,,,
"Jessie1","Mechanic",7,,"OverrideRapidFireAttackPatternForPets",20,,,,,,,
"Jessie2","Mechanic",7,,"AddExtraHealthToSummonedMinions",2000,,,,,,,
"Jessie3","Mechanic",7,,"AddExtraScaleToPets",100,,,,,,,
"Finx1","Chronomancer",7,,"AddAreaEffectThatFollows",,,"ChronomancerUltiTimebend",,,,,
"Kenji1","Samurai",7,,"OverrideBasicAttackRechargeTime",100,,,,,,,
"Juju1","Voodoo",7,,"AddExtraHealthToSummonedMinions",5000,,,,,,,
"Juju2","Voodoo",7,,"AddExtraScaleToPets",140,,,,,,,
"Lily1","Ambusher",7,,"OverrideMaxDistanceAddBouncesUlti",8,,,,,,,
"Lily2","Ambusher",7,,"OverrideDistanceAddFromBounceUlti",5000,,,,,,,
"Lily3","Ambusher",7,,"OverrideIsBouncing",1,,,,,,,
"Lily4","Ambusher",7,,"OverrideUltiCastingRange",50,,,,,,,
"Barley1","Barkeep",7,,"OverrideChainAreaEffectBasicAttack",,,"BarleyMutationAreaEffect",,,,,
"Leon1","Ninja",7,,"SpawnCharacterOnUlti",2,,,"NinjaMutation",,,,
"Leon2","Ninja",7,,"OverrideMaxSpawns",6,,,,,,,
"Leon3","Ninja",7,,"OverrideSpawnCharacterRandomDist",600,,,,,,,
"Leon4","Ninja",7,,"OverrideUltiCharge",125,,,,,,,
"Leon5","Ninja",7,,"OverrideUltiSkillTargetSelf",,,,,,,,
"Tara1","BlackHole",7,,"SpawnCharacterOnUlti",3,,,"BlackHolePet",,,,
"Tara2","BlackHole",7,,"OverrideMaxSpawns",10,,,,,,,
"Tara3","BlackHole",7,,"OverrideSpawnCharacterRandomDist",600,,,,,,,
"Tara4","BlackHole",7,,"OverrideUltiCharge",100,,,,,,,
"Gus1","SoulCollector",7,,"OverrideChargeUpMax",1,,,,,,,
"Gus2","SoulCollector",7,,"OverrideChargeUp",1,,,,,,,
"Gus3","SoulCollector",7,,"IgnoreChargeReset",1,,,,,,,
"Olli1","Skater",7,,"OverrideAreaEffectStatusEffectEnemy",,,"SkaterUltiTaunt",,,"SkaterMutantTaunt",,
"Olli2","Skater",7,,"IncreaseMaxHp",20,,,,,,,
"MrP1","SpawnerDude",7,,"OverrideSpawnAreaEffect1BasicAttack",,,"MrpMutationArea",,,,,
"Draco1","DragonRider",7,,"OverrideMountUpDurationTicks",-1,,,,,,,
"Amber1","FireDude",7,,"OverrideSpreadBasicAttack",20,,,,,,,
"Amber2","FireDude",7,,"OverrideNumBulletsInBasicAttack",2,,,,,,,
"Amber3","FireDude",7,,"SpawnAreaEffectWhileMoving",10,,"PetrolDistributionTrail",,,,,
"Byron1","SnakeOil",7,,"OverrideSpreadBasicAttack",60,,,,,,,
"Byron2","SnakeOil",7,,"OverrideNumBulletsInBasicAttack",3,,,,,,,
"Edgar1","Enrager",7,,"OverrideChargeSpeed",4000,,,,,,,
"Edgar2","Enrager",7,,"OverrideUltiCastingRange",50,,,,,,,
"Fang1","KickerDude",7,,"OverrideChainChargeRange",60,,,,,,,
"Fang2","KickerDude",7,,"OverrideUltiCharge",110,,,,,,,
"Fang3","KickerDude",7,,"IncreaseMaxHp",15,,,,,,,
"Meeple1","Meeple",7,,"OverrideBasicAttackSteerStrength",10,,,,,,,
"Meeple2","Meeple",7,,"OverrideBasicAttackSteerIgnoreTicks",8,,,,,,,
"Meeple3","Meeple",7,,"OverrideBasicAttackHomeDistance",40,,,,,,,
"Meeple4","Meeple",7,,"OverrideBasicAttackSteerLifeTime",15,,,,,,,
"Meeple5","Meeple",7,,"OverrideNumBulletsInBasicAttack",3,,,,,,,
"Meeple6","Meeple",7,,"OverrideSpreadBasicAttack",250,,,,,,,
"Meeple7","Meeple",7,,"OverrideBasicAttackCastingRange",25,,,,,,,
"Colette1","Percenter",7,,"SpawnAreaEffectWhileCharging",5,,"PercenterAreaEffectMutant",,,,,
"Colette2","Percenter",7,,"BulletExplosionAlignBrawlerFacing",,,,,,,,
"Shade1","Ghost",7,,"ApplyStatusEffectWhenDeadCenter",,,,,,"MutantGhostIncorporeal",,
"Shade2","Ghost",7,,"OverrideUltiCharge",120,,,,,,,
"Surge1","PowerLeveler",7,,"OverrideLvlUpValue",3,,,,,,,
"Surge2","PowerLeveler",7,,"OverrideBasicAttackRechargeTime",500,,,,,,,
"Jae1","Alternator",7,,"SpawnAreaEffectWhileMoving",8,,"AlternatorProjectileSpeedTrail",,,,,
"Jae2","Alternator",7,,"OverrideUltiCharge",300,,,,,,,
"Mortis1","Undertaker",7,,"ShootProjectileIfChargeUpReadyOnBasicAttack",1500,"UndertakerUltiProjectile",,,,,,
"Moe1","Digger",7,,"OverrideTransformTicks",500,,,,,,,
"Moe1_Transform","DiggerDrill",7,,"OverrideTransformTicks",500,,,,,,,
"Moe2","Digger",7,,"OverrideChargeSpeed",4500,,,,,,,
"Maisie1","Maisie",7,,"OverrideBasicAttackSteerStrength",10,,,,,,,
"Maisie2","Maisie",7,,"OverrideBasicAttackSteerIgnoreTicks",8,,,,,,,
"Maisie3","Maisie",7,,"OverrideBasicAttackHomeDistance",40,,,,,,,
"Maisie4","Maisie",7,,"OverrideBasicAttackSteerLifeTime",15,,,,,,,
"Maisie5","Maisie",7,,"OverrideBasicAttackTravelType",4,,,,,,,
"Maisie6","Maisie",7,,"OverrideMsBetweenBasicAttacks",300,,,,,,,
"Maisie7","Maisie",7,,"OverrideActiveTimeBasicAttack",600,,,,,,,
"Pearl1","Cooker",7,,"OverrideChargeUp",12000,,,,,,,
"Pearl2","Cooker",7,,"IgnoreChargeReset",1,,,,,,,
"Pearl3","Cooker",7,,"PreventLosingCharge",1,,,,,,,
"Penny4","ArtilleryDude",7,,"OverrideSpawnCharacterRandomDist",350,,,,,,,
"Tick3","ClusterBombDude",7,,"OverrideSpawnCharacterRandomDist",480,,,,,,,
"Angels1_1",,10,,"OverrideChargeUltiAutomaticallyPerSecond",200,,,,,,,
"Angels1_2",,10,,"AddReloadSpeedBuffToPets",20,,,,,,,
"Angels2_1",,10,,"ChargeUltiByHealing",30,,,,,,,
"Angels2_2",,10,,"AddStatusEffectToProjectileForAllies",,"AngelicProjectile",,,,"AngelicHot",,
"Angels3_1",,10,,"ShootProjectileOnBasicAttack",,"AngelicProjectile",,,,"ShootProjectileOnBasicAttackCooldown",,
"Angels4_1",,10,,"ApplyStatusEffectWhenUsingUlti",,,,,,"SpeedWhenUsingUltiAngels",,
"Angels4_2",,10,,"SpawnCharacterOnAreaEffect",,,"AngelicAreaEffect","AngelicPet",,,,
"Angels5_1",,10,,"AddConsumabeShieldWhenDealinDmg",6,,,,,,,
"Angels5_2",,10,,"AddExtraHealthToSummonedMinions",2000,,,,,,,
"Angels6_1",,10,,"SpawnAreaEffectWhileMoving",100,,"AngelicAreaEffect",,,,,
"Angels7_1",,10,,"TriggerAreaEffectWhenUlti",,,"AngelicAreaEffect",,,"SpeedWhenUsingUltiAngels",,
"Angels8_1",,10,,"AddReloadSpeedPercent",4000,,,,,,,
"Angels8_2",,10,,"AddChainAreaEffectToAreaEffect",,,"AngelicBulletAreaEffect",,,,,"AngelicAreaEffect"
"Demons1_1",,10,,"SetInvisibleOnKill",50,,,,,,,
"Demons1_2",,10,,"AddChainProjectileToProjectile",,"DemonicProjectileBoomerang",,,,,"DemonicProjectile",
"Demons1_3",,10,,"AddBoomerangToProjectile",1,"DemonicProjectile",,,,,,
"Demons2_1",,10,,"ApplyStatusEffectToAlliesAllTime",,,,,,"InvokDemonicPetAfterDying",,
"Demons2_2",,10,,"AddChainAreaEffectToProjectile",,"DemonicProjectile","DemonicAreaEffect",,,,,
"Demons3_1",,10,,"ChargeUltiWhenReceivingDmg",20,,,,,,,
"Demons3_2",,10,,"AddDeathAreaEffectToPets",,,"DemonicAreaEffect",,,,,
"Demons4_1",,10,,"ShootProjectileOnBasicAttack",,"DemonicProjectile",,,,"ShootProjectileOnBasicAttackCooldown",,
"Demons5_1",,10,,"TriggerAreaEffectWhenUlti",,,"DemonicBulletAreaEffect",,,,,
"Demons6_1",,10,,"BoostUltiCharge",20,,,,,,,
"Demons6_2",,10,,"AddExtraHealthToSummonedMinions",2000,,,,,,,
"Demons7_1",,10,,"SpawnAreaEffectOnKillX",,,"DemonicAreaEffect",,,"InvokDemonicPetAfterDying",,
"Demons8_1",,10,,"SpawnCharacterOnKill",1,,,"DemonicPet",,,,
"Demons8_2",,10,,"AddChainAreaEffectToAreaEffect",,,"DemonicAreaEffectFire",,,,,"DemonicAreaEffect"
"DuplicatorPet1",,,,"PetTooClose",3,,,,,"DuplicatorPetTooCloseCripple",,
"StalkerSkillRange",,,,"CastingRangeMultByMoveSpeed",250,,,,,,,
