"Name","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","StartFreezeSecond","NumSkills","AttackSkills","AttackMaxCount","DamageIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorWidth","MoveStyle","SkillTPCameraType","BattleIntroFrameLabel","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName"
,0,0,,,,,"1;2;3;1;3;1",100,,,,,,,,,,,,
,0,0,,,,,"1;2;3;2;3;1",150,,,,,,,,,,,,
"MegaBossCrow",250,100,"MegaBossVulnerableGen",0,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_crow_brawloween","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween"
,350,60,,,,,"1;3;1;3;1;0",0,,,,,,,,,,,,
,400,30,,,,,"1;3;1;3;2;1",0,,,,,,,,,,,,
,0,0,,,,,"1;4;1;4;2;1",50,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;4;1",100,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;4;1",150,,,,,,,,,,,,
"MegaBossCrowRed",250,100,"MegaBossVulnerableGen",0,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_crow_brawloween","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween"
,350,60,,,,,"1;3;1;3;0;0",0,,,,,,,,,,,,
,400,30,,,,,"1;3;1;3;1;0",0,,,,,,,,,,,,
,0,0,,,,,"1;4;1;4;1;0",50,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",100,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",150,,,,,,,,,,,,
"MegaBossCrowWhite",250,100,"MegaBossVulnerableGen",0,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1","0;0;0;0;0;0","boss_crow_brawloween","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween"
,350,60,,,,,"1;3;1;3;0;0",0,,,,,,,,,,,,
,400,30,,,,,"1;3;1;3;1;0",0,,,,,,,,,,,,
,0,0,,,,,"1;4;1;4;1;0",50,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",100,,,,,,,,,,,,
,0,0,,,,,"1;4;2;4;3;1",150,,,,,,,,,,,,
