"Name","TitleTID","Gradient"
"TitleMasteryGray","TID_TITLE_MASTERY_GRAY","PlayerTitleGold"
"TitleMasteryMandy","TID_TITLE_MASTERY_MANDY","PlayerTitleGold"
"TitleMasteryRT","TID_TITLE_MASTERY_RT","PlayerTitleGold"
"TitleMasteryWillow","TID_TITLE_MASTERY_WILLOW","PlayerTitleGold"
"TitleMasteryMaisie","TID_TITLE_MASTERY_MAISIE","PlayerTitleGold"
"TitleMasteryFishTank","TID_TITLE_MASTERY_HANK","PlayerTitleGold"
"TitleMasteryDoug","TID_TITLE_MASTERY_DOUG","PlayerTitleGold"
"TitleMasteryCordelius","TID_TITLE_MASTERY_CORDELIUS","PlayerTitleGold"
"TitleMasteryPearl","TID_TITLE_MASTERY_PEARL","PlayerTitleGold"
"TitleMasteryChuck","TID_TITLE_MASTERY_CHUCK","PlayerTitleGold"
"TitleMasteryCharlie","TID_TITLE_MASTERY_CHARLIE","PlayerTitleGold"
"TitleMasteryMiko","TID_TILE_MASTERY_MIKO","PlayerTitleGold"
"TitleMasteryKit","TID_TILE_MASTERY_KIT","PlayerTitleGold"
"TitleMasteryTwins","TID_TILE_MASTERY_TWINS","PlayerTitleGold"
"TitleBP22","TID_TILE_BATTLEPASSPLUS_SEASON22","Plus"
"TitleBP23","TID_TILE_BATTLEPASSPLUS_SEASON23","Plus"
"TitleMasteryAngelo","TID_TITLE_MASTERY_ANGELO","PlayerTitleGold"
"TitleMasteryMelody","TID_TITLE_MASTERY_MELODY","PlayerTitleGold"
"TitleBP24","TID_TILE_BATTLEPASSPLUS_SEASON24","Plus"
"TitleBP25","TID_TILE_BATTLEPASSPLUS_SEASON25","Plus"
"TitleBP26","TID_TILE_BATTLEPASSPLUS_SEASON26","Plus"
"TitleBP27","TID_TILE_BATTLEPASSPLUS_SEASON27","Plus"
"TitleMasteryLily","TID_TILE_MASTERY_LILY","PlayerTitleGold"
"TitleMasteryDraco","TID_TILE_MASTERY_DRACO","PlayerTitleGold"
"TitleMasteryBerry","TID_TILE_MASTERY_BERRY","PlayerTitleGold"
"TitleMasteryClancy","TID_TILE_MASTERY_CLANCY","PlayerTitleGold"
"TitleBP28","TID_TILE_BATTLEPASSPLUS_SEASON28","Plus"
"TitleBP29","TID_TILE_BATTLEPASSPLUS_SEASON29","Plus"
"TitleMasteryKenji","TID_TILE_MASTERY_SAMURAI","PlayerTitleGold"
"TitleBP30","TID_TITLE_BATTLEPASSPLUS_SEASON30","Plus"
"TitleBP31","TID_TITLE_BATTLEPASSPLUS_SEASON31","Plus"
"TitleDigger","TID_TITLE_MASTERY_DIGGER","PlayerTitleGold"
"TitleOGRank35","TID_TITLE_OG_RANK_35","Plus"
"TitleMasteryVoodoo","TID_TILE_MASTERY_VOODOO","PlayerTitleGold"
"TitleMasteryGhost","TID_TILE_MASTERY_GHOST","PlayerTitleGold"
"TitleBP32","TID_TILE_BATTLEPASSPLUS_SEASON32","Plus"
"TitleBP33","TID_TILE_BATTLEPASSPLUS_SEASON33","Plus"
"TitleMasteryLightyear","TID_TITLE_MASTERY_LIGHTYEAR","PlayerTitleGold"
"TitleBP34","TID_TILE_BATTLEPASSPLUS_SEASON34","Plus"
"TitleBP35","TID_TILE_BATTLEPASSPLUS_SEASON35","Plus"
"TitleMasteryMeeple","TID_TILE_MASTERY_MEEPLE","PlayerTitleGold"
"TitleMasteryOllie","TID_TILE_MASTERY_OLLIE","PlayerTitleGold"
"TitleMasteryLumi","TID_TITLE_MASTERY_LUMI","PlayerTitleGold"
"TitleMasteryFinx","TID_TITLE_MASTERY_FINX","PlayerTitleGold"
"TitleBP36","TID_TILE_BATTLEPASSPLUS_SEASON36","Plus"
"TitleBP37","TID_TILE_BATTLEPASSPLUS_SEASON37","Plus"
"TitleMasteryJae","TID_TITLE_MASTERY_JAE","PlayerTitleGold"
"TitleBP38","TID_TILE_BATTLEPASSPLUS_SEASON38","Plus"
"TitleBP39","TID_TILE_BATTLEPASSPLUS_SEASON39","Plus"
"TitleMasteryKaze","TID_TITLE_MASTERY_GEISHA","PlayerTitleGold"
"TitleMasteryAlli","TID_TITLE_MASTERY_STALKER","PlayerTitleGold"
"TitleMasteryTrunk","TID_TITLE_MASTERY_TRUNK","PlayerTitleGold"
"TitleBP40","TID_TITLE_BATTLEPASSPLUS_SEASON40","Plus"
"TitleBP41","TID_TITLE_BATTLEPASSPLUS_SEASON41","Plus"
"TitleKnockoutClutch1v3","TID_TITLE_MASTERY_PEARL","PlayerTitleGold"
"TitleKnockout5v5Clutch1v5","TID_TITLE_MASTERY_CHUCK","PlayerTitleGold"
"TitleTakedownAllInSoloShowdown","TID_TITLE_MASTERY_CHARLIE","PlayerTitleGold"
"TitleFullYearDailyStreak","TID_TILE_MASTERY_MIKO","PlayerTitleGold"
"TitleMasteryRIP","TID_TITLE_MASTERY_EVENT_RIP","PlayerTitleGold"
"TitleMasteryDancer","TID_TITLE_MASTERY_DANCER","PlayerTitleGold"
"TitleMasteryFury","TID_TITLE_MASTERY_FURY","PlayerTitleGold"
"TitleBP42","TID_TITLE_BATTLEPASSPLUS_SEASON42","Plus"
"TitleBP43","TID_TITLE_BATTLEPASSPLUS_SEASON43","Plus"
