"Name","Logic","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TriggerEffect","EndEffect"
"SkaterGadgetProjectileTaunt","SkaterGadgetProjectileTaunt",,,,,,,,,,,,,"taunt_effect","end",,
"MeepleSuperArea","MeepleSuperArea",,,,"TRUE",100,0,100,,,,,,,,,
"Invulnerable","Invulnerable",,,,,0,0,0,,,,,,,"end",,
"ArenaBuff","ArenaBuff",,,,,,,,,,,,,"ArenaKaijuBuff","end",,
"MorningstarSuperRoot","MorningstarSuperRoot",,,,,,,,,,,,,"lumi_def_ulti_explosion_03_restriction","remove",,
"MorningstarRecallSlow","MorningstarRecallSlow",,,,,,,,,,,,,"slowed","end",,
"Morningstar002RecallSlow","MorningstarRecallSlow",,,,,,,,,,,,,"slowed","end",,
"GusOverchargedHealingProjectile","GusOverchargedHealingProjectile",,,,,0,0,0,,,,,,,"end",,
"ChronomancerTimebendSpeedReduce","ChronomancerTimebendSpeedReduce",,,,,,,,,,,,,"finx_def_ulti_prj_buff_slow","remove",,
"ChronomancerTimebendSpeedBoost","ChronomancerTimebendSpeedBoost",,,,,,,,,,,,,"finx_def_ulti_prj_buff_fast","end",,
"ChronomancerTimebendBoostSelf","ChronomancerTimebendBoostSelf",,,,,,,,,,,,,"finx_def_ulti_prj_buff_fast","end",,
"ChronomancerGadgetProjectileStasis","ChronomancerGadgetProjectileStasis",,,,,,,,,,,,,"finx_def_gadget2_twinkle","end",,
"CleanseInfiniteNoVFX","CleanseInfiniteNoVFX",,,,,,,,,,,,,,,,
"AlternatorProjectileHeal","AlternatorProjectileHeal",,,,,,,,,,,,,"heal_over_time_3","end",,
"AlternatorHealAura","AlternatorHealAura",,,,,,,,,,,,,"heal_over_time_3","end",,
"AlternatorSpeedAura","AlternatorSpeedAura",,,,,,,,,,,,,"buff_speedUp","remove",,
"AlternatorDamageAura","AlternatorDamageAura",,,,,,,,,,,,,,,,
"AlternatorSlowAura","AlternatorSlowAura",,,,,,,,,,,,,"slowed","remove",,
"AlternatorProjectileSpeedTrail","AlternatorProjectileSpeedTrail",,,,,,,,,,,,,"buff_speedUp","remove",,
"AlternatorProjectileSlowTrail","AlternatorProjectileSlowTrail",,,,,,,,,,,,,"slowed","remove",,
"AlternatorHealAuraOvercharged","AlternatorHealAuraOvercharged",,,,,,,,,,,,,"heal_over_time_3","end",,
"AlternatorSpeedAuraOvercharged","AlternatorSpeedAuraOvercharged",,,,,,,,,,,,,"buff_speedUp","remove",,
"GeishaStormDebuff","GeishaStormDebuff",,,,,,,,"40;0;40","-150;-150;-150","sc/effects_brawler_kaze.sc","kaze_def_ulti_screen_glow_shadowed",,,,,
"GeishaTransformedUltiDamageMark","GeishaTransformedUltiDamageMark",,,,,,,,,,,,,"kaze_def_ulti2_mark","remove",,"kaze_def_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkSp","GeishaTransformedUltiDamageMarkSp",,,,,,,,,,,,,"kaze_def_ulti2_mark","remove",,"kaze_def_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkOvercharged","GeishaTransformedUltiDamageMarkOvercharged",,,,,,,,,,,,,"kaze_def_oc_ulti2_mark","remove",,"kaze_def_oc_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkSpOvercharged","GeishaTransformedUltiDamageMarkSpOvercharged",,,,,,,,,,,,,"kaze_def_oc_ulti2_mark","remove",,"kaze_def_oc_ulti2_mark_explosion"
"GeishaTransformSpeedBoost","GeishaTransformSpeedBoost",,,,,,,,,,,,,"buff_speedUp","end",,
"GeishaTransformInvisibility","GeishaTransformInvisibility",,,,,,,,,,,,,,,,
"GeishaWeakSpotSlowdown","GeishaWeakSpotSlowdown",,,,,,,,,,,,,"slowed","remove",,
"SkaterMutantTaunt","SkaterMutantTaunt",,,,,,,,,,,,,"taunt_effect","end",,
"TriggerProjectileOnHittingCooldown","TriggerProjectileOnHittingCooldown",,,,,,,,,,,,,,,,
"MegaBossVulnerableGen","MegaBossVulnerableGen",,,,"TRUE",128,64,,,,,,,"samurai_mega_stun","end",,
"ForceShow","ForceShow",,,,,,,,,,,,,,,,
"MutantRosaForceShow","MutantRosaForceShow",,,,,,,,,,,,,,,,
"MutantGhostIncorporeal","MutantGhostIncorporeal",,,,"TRUE",255,255,255,,,,,,,,,
"SafeInvulnerability","SafeInvulnerability",,,,,,,,,,,,,"buff_shield_heist","remove",,
"Debug","DancerRootSp",,,,,,,,,,,,,"lumi_def_ulti_explosion_03_restriction","remove",,
"GusOverchargedDmgProjectile","GusOverchargedDmgProjectile",,,,,,,,,,,,,,,,
"SpeedWhenUsingUltiAngels","SpeedWhenUsingUltiAngels","SpeedOfAnAngel003",,,,0,0,0,,,,,,"SpeedOfAnAngel002","end",,
"SpeedBoostOnKillDemons","SpeedBoostOnKillDemons",,,,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum004","end",,
"ShootProjectileOnBasicAttackCooldown","ShootProjectileOnBasicAttackCooldown",,,,,,,,,,,,,,,,
"DemonicStatusEffectForProjectiles","DemonicStatusEffectForProjectiles",,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,
"CannonGirlOverchargedStun","CannonGirlOverchargedStun",,,,,,,,,,,,,"stunned","end",,
"DomainOnAreaBuff","DomainOnAreaBuff",,,,,,,,,,,,,"buff_speedUp",,,
"DomainDamageReduceSP","DomainDamageReduceSP",,,,,,,,,,,,,"crippled","end",,
"DomainForceShowSP","DomainForceShowSP",,,,,,,,,,,,,,,,
"DomainInverseDamageGadget","DomainInverseDamageGadget",,,,,,,,,,,,,"trunk_def_gadget2_shield","remove",,
"DomainOverchargedUltiDamage","DomainOverchargedUltiDamage",,,,,,,,,,,,,"trunk_def_oc_ulti_dotDamage","end",,
"AngelicHot","AngelicHot",,,,,0,0,0,,,,,,"heal_over_time_3","end",,
"IceDudeHypothermia","IceDudeHypothermia",,,,,,,,,,,,,,,,
"DuplicatorPetTooCloseCripple","DuplicatorPetTooCloseCripple",,,,,,,,,,,,,"crippled","end",,
"StalkerUltiInvisible","StalkerUltiInvisible",,,,,,,,,,,,,,,,
"StalkerUltiDamageTargetCurrentHpBoost","StalkerUltiDamageTargetCurrentHpBoost",,,,,,,,,,,,,"alli_def_ulti_hp_boost",,,
"ElectroSniperCurse","ElectroSniperCurse",,,,,,,,,,,,,"gen_debuff_curse","remove",,
"DragonRaiderMark","DragonRaiderMark",,,,,,,,,,,,,"gen_debuff_curse","remove",,
"SplitterTag","SplitterTag",,,,,,,,,,,,,"rt_def_atk_target","remove",,
"Splitter002Tag","SplitterTag",,,,,,,,,,,,,"rt_002_atk_target","remove",,
"Splitter004Tag","SplitterTag",,,,,,,,,,,,,"rt_004_atk_target","remove",,
"Splitter005Tag","SplitterTag",,,,,,,,,,,,,"rt_005_atk_target","remove",,
"BullGadgetStun","BullGadgetStun",,,,,,,,,,,,,"stunned","end",,
"DodgeballDeathStun","DodgeballDeathStun",,,,,,,,,,,,,,"end",,
"SS_JetpackSlow","SS_JetpackSlow",,,,,,,,,,,,,"slowed","end",,
"TrailRunSpeedBoostOnKill","TrailRunSpeedBoostOnKill",,,,,,,,,,,,,"trailrun_rubberspeed_3","end",,
"TrailRunRubberBandSpeedBoost1","TrailRunRubberBandSpeedBoost1",,,,,,,,,,,,,"trailrun_rubberspeed_1","end",,
"TrailRunRubberBandSpeedBoost2","TrailRunRubberBandSpeedBoost2",,,,,,,,,,,,,"trailrun_rubberspeed_1","end",,
"TrailRunRubberBandSpeedBoost3","TrailRunRubberBandSpeedBoost3",,,,,,,,,,,,,"trailrun_rubberspeed_2","end",,
"FurySlowdown","FurySlowdown",,,,,,,,,,,,,"slowed","end",,
"StickyBombUltiSlow","StickyBombUltiSlow",,,,,,,,,,,,,"slowed","end",,
"MaisieUltiSlow","MaisieUltiSlow",,,,,,,,,,,,,"slowed","end",,
"SignalStrikeReload","SignalStrikeReload",,,,,,,,,,,,,,,,
"MegaCrowPoisonVirus","MegaCrowPoison",,,,"TRUE",100,100,0,,,,,,"poisoned_014","end",,
"MegaCrowPoisonVirusStrong","MegaCrowPoisonStrong",,,,"TRUE",100,100,0,,,,,,"poisoned_014","end",,
"DancerRootSp","DancerRootSp",,,,,,,,,,,,,"mina_def_sp2","remove",,
"MeepleOverchargedPassWall","MeepleOverchargedPassWall",,,,"TRUE",120,120,120,,,,,,,,,
"MegaBossInvulnerability","SafeInvulnerability",,,,,,,,,,,,,"buff_shield_boss_invincible","remove",,
"MegaBossSplitterTag","MegaBossSplitterTag",,,,,,,,,,,,,"rt_005_atk_target","remove",,
"TrailRunRubberBandSpeedBoost4","TrailRunRubberBandSpeedBoost4",,,,,,,,,,,,,"trailrun_rubberspeed_2","end",,
"TrailRunRubberBandSpeedBoost5","TrailRunRubberBandSpeedBoost5",,,,,,,,,,,,,"trailrun_rubberspeed_2","end",,
"TrailRunRubberBandSpeedBoost6","TrailRunRubberBandSpeedBoost6",,,,,,,,,,,,,"trailrun_rubberspeed_3","end",,
"TrailRunRubberBandSpeedBoost7","TrailRunRubberBandSpeedBoost6",,,,,,,,,,,,,"trailrun_rubberspeed_3","end",,
