"TID","NL"
"TID_RANK_POPUP_CLUB_FEATURE","CLUBS"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","SEIZOEN <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","TERUG NAAR HET HUIDIGE SEIZOEN"
"TID_BRAWL_PASS_PREVIOUS_SEASON","VORIGE SEIZOEN"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","TIK HIER OM BELONINGEN OP TE HALEN!"
"TID_BRAWL_PASS_UNLOCK_INFO","EXCLUSIEVE BELONINGEN VERGRENDELD!"
"TID_BRAWL_PASS_UNLOCK_LABEL","ONTGRENDELEN"
"TID_BRAWLPASS_PURCHASE_ERROR_3","Je hebt de Brawl Pass voor dit seizoen al gekocht."
"TID_BRAWLPASS_PURCHASE_ERROR_4","Sorry, de Brawl Pass is niet langer beschikbaar!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","De Brawl Pass-bundel kan niet worden gekocht, omdat je alle beloningen al hebt verdiend."
"TID_BRAWLPASS_PURCHASE_ERROR_6","De aankoop van de Brawl Pass wordt al uitgevoerd."
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","VOLGENDE DREMPEL?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Wil je <NUM> Brawl Pass-XP kopen en doorgaan naar de volgende drempel?"
"TID_PURCHASE_BRAWL_PASS_TITLE","KOOP DE BRAWL PASS!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BRAWL PASS-BUNDEL"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Ontgrendel Brawl Pass-beloningen en extra opdrachten"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> DREMPELS"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","Het is niet mogelijk om een Brawl Pass uit een voorgaand seizoen te kopen."
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","De Brawl Pass voor het huidige seizoen kan niet worden gevonden. Probeer het later opnieuw."
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","Je hebt de Brawl Pass voor het huidige seizoen al ontgrendeld."
"TID_TAKEDOWNS_LABEL","UITSCHAKELINGEN"
"TID_DEFEAT_LABEL","VERSLAGEN"
"TID_UNDERDOG","UNDERDOG"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","MUNTENREGEN-\nEVENEMENT"
"TID_BATTLE_END_CC_SHOWER","CHROMAREGENEVENEMENT"
"TID_LFG_POPUP_TITLE_MEMBER","EEN LID ZOEKEN"
"TID_LFG_POPUP_TITLE_TEAM","EEN TEAM ZOEKEN"
"TID_LFG_POPUP_INFO_MEMBER","Zoek spelers die met jou een team willen vormen"
"TID_LFG_POPUP_INFO_TEAM","Zoek een speler die zich wil aansluiten bij je huidige team"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Gekozen evenement (tik om te wijzigen)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Ik wil dit spelen (tik om te wijzigen)"
"TID_LFG_POPUP_START_SEARCH","OKÉ!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Er kunnen geen andere spelers meer deelnemen aan deze spelmodus."
"TID_LFG_NOT_AVAILABLE_FOR_MODE","Niet beschikbaar voor de huidige spelmodus"
"TID_LOOKING_FOR_A_TEAM","OP ZOEK NAAR EEN TEAM"
"TID_LOOKING_FOR_A_MEMBER","OP ZOEK NAAR EEN LID"
"TID_CC_TEASER_TITLE","Begint binnenkort!"
"TID_CC_TEASER_INFO","Bereid je voor op de kampioenschapsuitdaging met <WIN> overwinningen!\n\nSpeel met vrienden of gebruik de functie 'Een team zoeken' om je kansen te verhogen.\n\nDe uitdaging duurt maar <DURATION> uur, dus maak er het beste van!"
"TID_CC_POPUP_TITLE","KAMPIOENSCHAPSUITDAGING"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","Verdien geweldige beloningen met elke overwinning! Je moet <WINS> keer winnen om de uitdaging te voltooien, maar na <LOSSES> nederlagen lig je eruit!"
"TID_CC_POPUP_1_DESC","Verdien geweldige beloningen met elke overwinning! Je moet <WINS> keer winnen om het toernooi te winnen, maar je ligt eruit na <LOSSES> nederlagen!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> OVERWINNINGEN"
"TID_CC_POPUP_WINS_FOR_EVENT","FASE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","KWARTFINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","HALVE FINALE"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALE"
"TID_CC_POPUP_QUALIFY_INFO","Voltooi de uitdaging om je te kwalificeren voor de volgende fase van het Brawl Stars-kampioenschap!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Voltooi de uitdaging om de PSG-skin voor Shelly te winnen!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Uitdaging voltooid!"
"TID_CC_POPUP_CHALLENGE_OVER","UITDAGING AFGELOPEN"
"TID_CC_POPUP_OUT_OF_LIVES","GEEN POGINGEN MEER OVER"
"TID_CC_POPUP_BUY_LIVES","NOG <NUM> KOPEN?"
"TID_CC_POPUP_COMPLETED","UITDAGING VOLTOOID"
"TID_CC_POPUP_LEVEL","FASE <LEVEL>"
"TID_CC_POPUP_WIN","OVERWINNING"
"TID_CC_POPUP_LOSSES","NEDERLAGEN"
"TID_QUALIFIED_TITLE","Online kwalificatieronde ONTGRENDELD"
"TID_QUALIFIED_INFO","Wauw, je hebt de kampioenschapsuitdaging voltooid! GEWELDIG!\n\nGa naar <cFFE400><URL></c> om je weg naar het Brawl Stars-kampioenschap voort te zetten."
"TID_QUALIFIED_INFO_HUB","Wauw, je hebt de kampioenschapsuitdaging voltooid! GEWELDIG!\n\nTik in het ladderscherm op de nieuwe knop 'E-sports' om je weg naar het Brawl Stars-kampioenschap voort te zetten."
"TID_QUALIFIED_INFO_PSG","Gefeliciteerd, je hebt de PSG CUP gewonnen! Veel plezier met je PSG-skin voor Shelly!"
"TID_QUALIFIED_GO","GAAN!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","KAMPIOENSCHAPS-\nUITDAGING"
"TID_BATTLE_END_CC_WIN_LABEL","BELONING VOOR OVERWINNING <AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","De uitdaging is afgelopen.\nVolgende keer beter!"
"TID_BATTLE_END_CC_DEFEAT_1","Als je nog één keer verliest, lig je eruit. Blijf vechten!"
"TID_BATTLE_END_CC_DEFEAT_2","Je hebt deze keer verloren, maar je kunt nog verdergaan!"
"TID_BATTLE_END_CC_DRAW_DESC","Speel opnieuw om te winnen!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","GEKWALIFICEERD!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Gefeliciteerd! Je hebt je gekwalificeerd voor de volgende fase van het Brawl Stars-kampioenschap.\nGa naar je postvak In voor meer informatie."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Divisiebeloningen voor KRACHTSPEL"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Beloning op basis van\nje uiteindelijke punten"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Positie"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Punten"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Extra beloning voor het bereiken\nvan de top van het wereldwijde klassement"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","BELONINGEN VOOR EINDE KRACHTSPEL-DIVISIE"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","DIVISIEKLASSEMENT"
"TID_PRO_LEAGUE_SEASON_END_TIME","DIVISIE EINDIGT OVER"
"TID_PRO_LEAGUE_POPUP_TITLE","KRACHTSPEL"
"TID_EVENT_LABEL_PRO_LEAGUE","KRACHT-\nSPEL"
"TID_PRO_LEAGUE_POPUP_INFO","Stel je vaardigheden op de proef met KRACHTSPEL! Neem elke dag deel aan drie gevechten om te stijgen in het divisieklassement. Wanneer de divisie is afgelopen, krijg je sterpunten op basis van je punten en je positie in het wereldwijde divisieklassement."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","HUIDIGE DIVISIE"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","VORIGE DIVISIE"
"TID_PRO_LEAGUE_LABEL","KRACHTSPEL"
"TID_TEAM_ERROR_38","Kies een knokker met KRACHTLEVEL 10!"
"TID_TEAM_ERROR_39","Er zijn vandaag geen KRACHTSPELLEN meer over."
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> GEVECHTEN OVER"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","KRACHTSPEL-DIVISIE AFGELOPEN"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Jouw punten"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Jouw positie"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Sterpuntbeloning"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","KRACHTSPEL-BELONING: <AMOUNT> <cff00ff>sterpunten</c> verdiend!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Epische overwinning (+ 3 punten):"
"TID_OVERWHELMING_VICTORY_GMV_0","Win voordat de 15e edelsteen verschijnt."
"TID_OVERWHELMING_VICTORY_GMV_5","Win met 2-0."
"TID_OVERWHELMING_VICTORY_GMV_2","Win terwijl de gezondheid van je kluis nog minstens 60% bedraagt."
"TID_OVERWHELMING_VICTORY_GMV_11","Win terwijl de gezondheid van je basis nog minstens 80% bedraagt."
"TID_OVERWHELMING_VICTORY_GMV_3","Win met minstens 10 meer sterren dan de vijand."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Verdien punten op basis van je positie in het gevecht."
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Krijg 30 punten bij een overwinning, 15 punten bij een gelijkspel en een troostprijs van 5 punten bij een nederlaag."
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","PUNTEN"
"TID_DOUBLE_TOKEN_WEEKEND","EVENEMENT: DUBBELE XP"
"TID_COIN_SHOWER_EVENT","MUNTENREGEN"
"TID_CHROMA_CREDITS_SHOWER_EVENT","CHROMAREGEN"
"TID_MASTERY_POINTS_BOOST_EVENT","MEESTERSCHAPSMANIE"
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","SKINPREVIEW"
"TID_DEFAULT_SKIN","STANDAARDSKIN VAN <HERO>"
"TID_HERO_LVL_UP_MATERIAL","munten"
"TID_TOKENS","tokens"
"TID_FIRST_WINS","stertokens"
"TID_CLUB_COINS","Clubmunten"
"TID_BUTTON_INBOX","POSTVAK IN"
"TID_INBOX_TITLE","POSTVAK IN"
"TID_INBOX_SYSTEM_SENDER","Systeem"
"TID_INBOX_SUPPORT_SENDER","De ondersteuning van Brawl Stars"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> geleden"
"TID_INBOX_CLAIM","OPHALEN"
"TID_INBOX_VIEW","BEKIJKEN"
"TID_INBOX_TAB_0","CLUBMAIL"
"TID_INBOX_TAB_1","PERSOONLIJK"
"TID_INBOX_NO_ENTRIES","GEEN GEGEVENS"
"TID_INBOX_CAPTION_101","DONATIE: BRAWL PASS PLUS-UPGRADE"
"TID_INBOX_CAPTION_100","DONATIE: BRAWL PASS PLUS"
"TID_INBOX_CAPTION_99","Trofeeëndivisie is afgelopen"
"TID_INBOX_CAPTION_94","Skindonatie: <NAME>"
"TID_INBOX_CAPTION_93","Knokkerdonatie: <NAME>"
"TID_INBOX_CAPTION_93_WITH_LEVEL","Knokkerdonatie: <NAME> (krachtlevel <LEVEL>)"
"TID_INBOX_CAPTION_92","Donatie van <AMOUNT> krachtpunten voor <NAME>"
"TID_INBOX_CAPTION_91","Donatie van <AMOUNT> tickets"
"TID_INBOX_CAPTION_90","Donatie van <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donatie van <AMOUNT> edelstenen"
"TID_INBOX_CAPTION_88","Donatie van <AMOUNT> XP-verdubbelaars"
"TID_INBOX_CAPTION_85","Aftrek van <AMOUNT> edelstenen"
"TID_INBOX_CAPTION_84_4","Donatie van sterrenkracht <ABI> voor <NAME>"
"TID_INBOX_CAPTION_84_5","Donatie van gadget <ABI> voor <NAME>"
"TID_INBOX_CAPTION_84_6","Donatie van hyperkracht <ABI> voor <NAME>"
"TID_INBOX_CAPTION_78","Knokkerrangen 21-30 zijn gearriveerd!"
"TID_INBOX_CAPTION_76","Online kwalificatieronde ONTGRENDELD!"
"TID_INBOX_CAPTION_75","Overwinningsbeloning voor <CHALLENGE>:\n<NAME>"
"TID_INBOX_CAPTION_74","Vergoeding voor tickets"
"TID_INBOX_CAPTION_73","DONATIE: BRAWL PASS"
"TID_INBOX_CAPTION_72_52","DONATIE: REACTIE"
"TID_INBOX_CAPTION_71","DONATIE: <AMOUNT> TOKENS VOOR BRAWL PASS-SEIZOEN <SEASON>"
"TID_INBOX_CAPTION_70","Overwinningsbeloning voor <CHALLENGE>:"
"TID_INBOX_CAPTION_64","Donatie: <AMOUNT>x <NAME>"
"TID_INBOX_CAPTION_DONATION","DONATIE: <TEXT>"
"TID_INBOX_NEW","NIEUW!"
"TID_BAND_MAIL_POPUP_TITLE","CLUBMAIL"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","schrijf je boodschap hier..."
"TID_BAND_MAIL_POPUP_POST","PLAATSEN"
"TID_BAND_MAIL_POPUP_NO_MSG","Vergeet niet een boodschap te schrijven"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Deze functie is niet beschikbaar voor demo-accounts."
"TID_REVOKE_TITLE","Bericht van de ondersteuning"
"TID_REVOKE_OK","Oké"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Kan het deelnameverzoek niet verzenden. Je zit al in een team."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Kan het deelnameverzoek niet verzenden. Je hebt al een teamuitnodiging in behandeling."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Kan het deelnameverzoek niet verzenden. Je hebt al een deelnameverzoek in behandeling."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Deelnameverzoek geannuleerd."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","IK WIL ME BIJ JE TEAM AANSLUITEN"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>OVERWINNING</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>NEDERLAAG</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>GELIJKSPEL</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>POSITIE <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>POSITIE <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>POSITIE <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> geleden"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","GEVECHTSLOG"
"TID_BATTLE_LOG_REPLAY","HERHALING"
"TID_BATTLE_LOG_MVP","STERSPELER"
"TID_BATTLE_LOG_FRIENDLY","VRIENDSCHAPPELIJK"
"TID_BATTLE_LOG_TOURNAMENT","TOERNOOI"
"TID_BATTLE_LOG_PVP","KLASSEMENT"
"TID_BATTLE_LOG_PRO_LEAGUE","KRACHTSPEL"
"TID_BATTLE_LOG_RANKED","LADDERMODUS"
"TID_BATTLE_LOG_NO_ENTRIES","GEEN GEGEVENS"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Dit is een bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Herhalingen uitgeschakeld"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Nog geen herhaling beschikbaar"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Geen herhaling: te weinig knokkertrofeeën"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Behaal <NUM> knokkertrofeeën om herhalingen te ontgrendelen."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Geen herhaling: opname mislukt"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Herhaling niet langer beschikbaar"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Vriend kan niet worden toegevoegd."
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Vriendenlink is verlopen!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Vriend kan niet worden toegevoegd. Zijn vriendenlijst is vol!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Vriend kan niet worden toegevoegd. Je vriendenlijst is vol!"
"TID_ADD_FRIEND_FAILED_BANNED","Vriend kan niet worden toegevoegd. Speler is geblokkeerd."
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> over"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> tokens over <TIME>."
"TID_TOP_HUD_NEXT_REWARD","Volgende beloning"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Alternatieve beloning bevestigen"
"TID_RANK_UP_REWARD_REPLACED_POWER","Geen van je knokkers kan worden gekozen om <AMOUNT> krachtpunten aan te geven.\n\nWil je een alternatieve beloning?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Aangezien je <NAME> al hebt, krijg je een alternatieve beloning."
"TID_RANK_UP_REWARD_REPLACED_PIN","Aangezien je deze reactie al hebt, krijg je een alternatieve beloning."
"TID_RANK_UP_REWARD_REPLACED_SKIN","Aangezien je <NAME> al hebt, krijg je een alternatieve beloning."
"TID_RANK_UP_REWARD_REPLACED_GEN","Aangezien je deze beloning al hebt, krijg je een alternatieve beloning."
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","Je bezit geen knokker die <AMOUNT> krachtpunten kan ontvangen en hebt het maximale aantal krachtpunten bereikt.\n\nWil je de alternatieve beloning ophalen?"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","ALS VRIEND TOEVOEGEN"
"TID_PLAYER_INFO_REMOVE_FRIEND","VAN VRIENDENLIJST VERWIJDEREN"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","VERZOEK VERZONDEN"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","VRIEND\nIN HET SPEL"
"TID_POWER_POINTS","KRACHTPUNTEN"
"TID_HERO_INFO_LEVEL","KRACHT"
"TID_HERO_INFO_LEVEL_LONG","KRACHTLEVEL"
"TID_HERO_INFO_RANK","DREMPEL"
"TID_HERO_TIER_MAX","MAX."
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","UPGRADEN NAAR KRACHTLEVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TIK OPNIEUW OM TE BEVESTIGEN"
"TID_HERO_INFO_MAX_LEVEL","MAX. KRACHT"
"TID_HERO_INFO_MORE_POWER_NEEDED","Verzamel meer kracht om te upgraden."
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Knokker heeft niet genoeg krachtpunten."
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Je hebt te weinig munten."
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Knokker al op MAXIMUMLEVEL!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","STARTKNOKKER"
"TID_HERO_INFO_STAR_POWER_EQUIP","SELECTEREN"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","GESELECTEERD"
"TID_CHOOSE_CHARACTER","KNOKKER KIEZEN"
"TID_ARMOR","GEZONDHEID"
"TID_ARMOR_DESC","Geeft weer hoeveel opgelopen schade de knokker kan absorberen voor hij neervalt."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly is de perfecte ranger: betrouwbaar, stoer en geweldig met haar shotgun. Ze heeft nooit begrepen waarom Colt de show moest stelen..."
"TID_LONG_RANGE_SHOTGUN","HAGEL"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's shotgun vuurt op lange afstand een breed schot van kogels af. Hoe meer kogels het doelwit raken, hoe groter de schade."
"TID_MEGA_BLASH_ULTI","SUPERHULS"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's superhuls vernietigt zowel beschutting als vijanden. Eventuele overlevenden worden teruggeslagen."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt is de topattractie in Starr Park! Met zijn knappe uiterlijk, charisma en pistoolkunsten weet hij het publiek voor zich te winnen, behalve Shelly dan."
"TID_RAPID_FIRE","ZESSCHUTTER"
"TID_RAPID_FIRE_DESC","Colt vuurt zes rechte langeafstandsschoten af met zijn revolvers."
"TID_RAPID_FIRE_ULTI","KOGELSTORM"
"TID_RAPID_FIRE_ULTI_DESC","Colt vuurt een enorm salvo van kogels af die extra ver vliegen en beschutting vernietigen."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull is niet zo zorgeloos als in zijn jeugd. Het feit dat zijn wilde dagen nu achter hem liggen, wil echter niet zeggen dat hij knokkers die erom vragen niet zal verpletteren."
"TID_SHOTGUN_BLAST","DUBBELLOOPS"
"TID_SHOTGUN_BLAST_DESC","Het dubbelloopsgeweer van Bull richt zware schade aan. Het heeft een kort bereik, dus Bull stapt graag op tegenstanders af."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull houdt zijn hoofd naar beneden en bulldozert door obstakels heen. Onderweg deelt hij schade uit aan vijanden en hij vertraagt nabije vijanden aan het einde. Zijn harde hoofd is ongeëvenaard."
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock doet niets liever dan videogames spelen. Zijn opscheppende gedrag verbergt een meer introverte persoonlijkheid, maar hij zal er alles aan doen om te winnen!"
"TID_FIREWORKS_WEAPON","ROCKENDE RAKET"
"TID_FIREWORKS_WEAPON_DESC","Brock vuurt een enkele rockende raket af die echt tot het uiterste gaat."
"TID_FIREWORKS_ULTI","RAKETTENREGEN"
"TID_FIREWORKS_ULTI_DESC","Brock vuurt een spervuur van raketten af die vijanden en obstakels uitschakelen. Hij wil je zien dansen in de rakettenregen."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike is een oude mijnwerker en goudzoeker die geobsedeerd is door ontploffingen. Niets maakt hem blijer dan een enorme knal!"
"TID_MORTAR","KORT LONTJE"
"TID_MORTAR_DESC","Mike gooit twee dynamietstaven, over obstakels heen als het moet. De lontjes zijn net zo kort als Mikes eigen lontje."
