TID,IT
TID_BRAWLPASS_PURCHASE_ERROR_5,Impossibile acquistare il BUNDLE DEL BRAWL PASS. Hai già ottenuto tutti i premi!
TID_BRAWLPASS_PURCHASE_ERROR_6,Impossibile acquistare il Brawl Pass con un saldo di gemme negativo.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,SBLOCCO SOGLIA
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Vuoi acquistare <NUM> gettoni e avanzare alla prossima soglia?
TID_PURCHASE_BRAWL_PASS_TITLE,OTTIENI IL BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,BUNDLE DEL BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Sblocca i premi del Brawl Pass, le missioni aggiuntive e la possibilità di cambiare <NUM> missioni a settimana."
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,Brawl Pass e <NUM> soglie.
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Impossibile acquistare i Brawl Pass delle stagioni precedenti.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,Impossibile trovare il Brawl Pass della stagione attuale. Riprova più tardi.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Il Brawl Pass della stagione attuale è già stato sbloccato.
TID_TAKEDOWNS_LABEL,ELIMINAZIONI
TID_DEFEAT_LABEL,SCONFITTA
TID_UNDERDOG,SFAVORITO
TID_ACCESSORY,GADGET
TID_BATTLE_END_COIN_SHOWER,EVENTO PIOGGIA DI MONETE
TID_LFG_POPUP_TITLE_MEMBER,TROVA UN MEMBRO
TID_LFG_POPUP_TITLE_TEAM,TROVA UNA SQUADRA
TID_LFG_POPUP_INFO_MEMBER,Cerca dei giocatori da mettere in squadra.
TID_LFG_POPUP_INFO_TEAM,Cerca un giocatore da mettere in squadra.
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Criteri dell'evento (tocca per cambiare):
TID_LFG_POPUP_EVENT_LABEL_TEAM,Voglio giocare a (tocca per cambiare):
TID_LFG_POPUP_START_SEARCH,VAI
TID_LFG_NO_ROOM_FOR_PLAYERS,Non possono partecipare altri giocatori a questo evento.
TID_LOOKING_FOR_A_TEAM,IN CERCA DI UNA SQUADRA
TID_LOOKING_FOR_A_MEMBER,IN CERCA DI UN MEMBRO
TID_CC_TEASER_TITLE,Prossimamente!
TID_CC_TEASER_INFO,"Pensi di avere la stoffa per vincere <WIN> volte nella sfida del torneo?\n\nGioca con gli amici o usa la funzione \qTrova una squadra\q per aumentare le tue possibilità.\n\nLa sfida sarà attiva solo per <DURATION> ore, quindi non perdertela!"
TID_CC_POPUP_TITLE,SFIDA DEL TORNEO
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,"Ricevi premi favolosi con ogni vittoria! Te ne servono <WINS> per superare la sfida, ma ricorda che con <LOSSES> sconfitte sei fuori!"
TID_CC_POPUP_1_DESC,"Ricevi premi favolosi con ogni vittoria! Servono <WINS> vittorie per superare la sfida, ma ricorda che con <LOSSES> sconfitte sei fuori!"
TID_CC_POPUP_WINS,VITTORIE: <WINS>/<MAX>
TID_CC_POPUP_WINS_FOR_EVENT,LIVELLO <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,QUARTI DI FINALE
TID_POPUP_WINS_FOR_EVENT_PSG_2,SEMIFINALI
TID_POPUP_WINS_FOR_EVENT_PSG_3,FINALI
TID_CC_POPUP_QUALIFY_INFO,Supera la sfida per qualificarti al prossimo turno del torneo di Brawl Stars.
TID_CC_POPUP_QUALIFY_INFO_PSG,Supera la sfida per vincere la skin \qShelly PSG\q!
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Sfida superata!
TID_CC_POPUP_CHALLENGE_OVER,FINE DELLA SFIDA
TID_CC_POPUP_OUT_OF_LIVES,TENTATIVI ESAURITI
TID_CC_POPUP_BUY_LIVES,COMPRARNE <NUM> IN PIÙ?
TID_CC_POPUP_COMPLETED,SFIDA COMPLETATA
TID_CC_POPUP_LEVEL,LIVELLO <LEVEL>
TID_CC_POPUP_WIN,VITTORIA
TID_CC_POPUP_LOSSES,SCONFITTE
TID_QUALIFIED_TITLE,Eliminatorie online SBLOCCATE
TID_QUALIFIED_INFO,"Hai superato la sfida del torneo, ben fatto!\n\nPer partecipare ai turni successivi del TORNEO DI BRAWL STARS, vai su <cFFE400><URL></c>."
TID_QUALIFIED_INFO_HUB,"Hai superato la sfida del torneo, ben fatto!\n\nPer partecipare ai turni successivi del TORNEO DI BRAWL STARS, visita la nuova sezione \qESPORTS\q dalla schermata principale!"
TID_QUALIFIED_INFO_PSG,"Congratulazioni, hai vinto la PSG CUP e sbloccato la skin \qShelly PSG\q!"
TID_QUALIFIED_GO,VAI
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,SFIDA DEL TORNEO
TID_BATTLE_END_CC_WIN_LABEL,PREMIO PER LA VITTORIA N. <AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,La sfida è terminata.\nAndrà meglio alla prossima!
TID_BATTLE_END_CC_DEFEAT_1,"Occhio a non perdere un'altra volta, o sarai fuori dai giochi!"
TID_BATTLE_END_CC_DEFEAT_2,"Questa volta hai perso, ma puoi continuare a gareggiare!"
TID_BATTLE_END_CC_DRAW_DESC,Gioca ancora per vincere!
TID_BATTLE_END_CC_QUALIFY_LABEL,HAI PASSATO IL TURNO!
TID_BATTLE_END_CC_QUALIFY_INFO,"Complimenti, puoi partecipare al prossimo turno del torneo di Brawl Stars!\nControlla i messaggi per maggiori informazioni."
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Premi in SETE DI POTERE
TID_PRO_LEAGUE_INFO_POPUP_INFO,Premio basato\nsui tuoi punti finali
TID_PRO_LEAGUE_INFO_POPUP_RANK,Posizione
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Punti
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Premio aggiuntivo per aver raggiunto\nla vetta della classifica globale
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,Premi di fine lega in SETE DI POTERE
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,CLASSIFICA DI LEGA
TID_PRO_LEAGUE_SEASON_END_TIME,LA LEGA FINISCE TRA:
TID_PRO_LEAGUE_POPUP_TITLE,SETE DI POTERE
TID_EVENT_LABEL_PRO_LEAGUE,SETE DI POTERE
TID_PRO_LEAGUE_POPUP_INFO,"Mettiti alla prova con SETE DI POTERE e gioca le tre partite giornaliere per scalare la classifica di lega. Al termine della lega, riceverai in premio un numero di punti stellari proporzionale ai punti che hai accumulato e alla posizione che hai raggiunto nella classifica globale di lega."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,LEGA ATTUALE
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,LEGA PRECEDENTE
TID_PRO_LEAGUE_LABEL,SETE DI POTERE
TID_TEAM_ERROR_38,Devi selezionare un brawler di livello 10!
TID_TEAM_ERROR_39,Avete terminato le partite giornaliere di SETE DI POTERE.
TID_PRO_LEAGUE_GAMES,BATTAGLIE RESTANTI: <GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,LA LEGA DI SETE DI POTERE È TERMINATA
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,I tuoi punti
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,La tua posizione
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Punti stellari in palio
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,<cff00ff>Punti stellari</c> guadagnati al termine della lega di SETE DI POTERE: <AMOUNT>.
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Trionfo epico (tre punti in palio):
TID_OVERWHELMING_VICTORY_GMV_0,vinci prima che sia generata la quindicesima gemma.
TID_OVERWHELMING_VICTORY_GMV_5,vinci lo scontro per 2-0.
TID_OVERWHELMING_VICTORY_GMV_2,Vinci e fa' in modo che la tua cassaforte abbia almeno il 60% di salute.
TID_OVERWHELMING_VICTORY_GMV_11,vinci e fa' in modo che il tuo assemblatore abbia almeno l'80% di salute.
TID_OVERWHELMING_VICTORY_GMV_3,vinci con almeno 10 stelle in più dell'avversario.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Ottieni punti in base alla tua posizione nello scontro.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Ottieni 30 punti per una vittoria, 15 per un pareggio e 5 punti di consolazione per una sconfitta."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,PUNTI
TID_DOUBLE_TOKEN_WEEKEND,EVENTO DOPPI GETTONI
TID_COIN_SHOWER_EVENT,EVENTO \qPIOGGIA DI MONETE\q
TID_RANKS_ADDED_TITLE,Nuovi gradi dei brawler
TID_RANKS_ADDED_DESC,"Ora i brawler hanno nuovi gradi, dal 21 al 35!\n\nHai ottenuto <cff00ff><STARPOINTS></c> punti stellari e <TOKENS> gettoni grazie ai brawler che hanno raggiunto questi gradi."
TID_SKINS_TITLE,SKIN
TID_SKINS_BUTTON_LABEL,SKIN
TID_SKIN_PREVIEW,ANTEPRIMA SKIN
TID_DEFAULT_SKIN,SKIN PREDEFINITA DI <HERO>
TID_HERO_LVL_UP_MATERIAL,monete
TID_TOKENS,gettoni
TID_FIRST_WINS,gettoni stella
TID_CLUB_COINS,Monete del club
TID_BUTTON_INBOX,MESSAGGI
TID_INBOX_TITLE,MESSAGGI
TID_INBOX_SYSTEM_SENDER,Sistema
TID_INBOX_SUPPORT_SENDER,Assistenza di Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> fa
TID_INBOX_CLAIM,RITIRA
TID_INBOX_VIEW,VEDI
TID_INBOX_TAB_0,MESSAGGI DEL CLUB
TID_INBOX_TAB_1,MESSAGGI PERSONALI
TID_INBOX_NO_ENTRIES,NESSUN MESSAGGIO
TID_INBOX_CAPTION_99,La lega dei trofei è finita
TID_INBOX_CAPTION_94,Donazione skin \q<NAME>\q
TID_INBOX_CAPTION_93,Donazione brawler (<NAME>)
TID_INBOX_CAPTION_93_WITH_LEVEL,Donazione di un brawler: <NAME> (livello <LEVEL>)
TID_INBOX_CAPTION_92,Donazione di <AMOUNT> punti energia per <NAME>
TID_INBOX_CAPTION_91,Donazione di <AMOUNT> biglietti
TID_INBOX_CAPTION_90,Donazione di <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Donazione di <AMOUNT> gemme
TID_INBOX_CAPTION_88,Donazione di <AMOUNT> raddoppiagettoni
TID_INBOX_CAPTION_85,Revoca di <AMOUNT> gemme
TID_INBOX_CAPTION_84_4,Donazione dell'abilità stellare \q<ABI>\q per <NAME>
TID_INBOX_CAPTION_84_5,Donazione del gadget \q<ABI>\q per <NAME>
TID_INBOX_CAPTION_78,Nuovi gradi per i brawler: dal 21 al 30!
TID_INBOX_CAPTION_76,Eliminatorie online SBLOCCATE
TID_INBOX_CAPTION_75,Premio per la vittoria della sfida \q<CHALLENGE>\q:\n<NAME>
TID_INBOX_CAPTION_74,Rimborso dei biglietti
TID_INBOX_CAPTION_73,DONAZIONE DEL BRAWL PASS
TID_INBOX_CAPTION_72_52,DONAZIONE DI UNA REAZIONE
TID_INBOX_CAPTION_71,DONAZIONE DI <AMOUNT> GETTONI NEL BRAWL PASS DELLA STAGIONE <SEASON>
TID_INBOX_CAPTION_70,Premio per aver vinto la sfida \q<CHALLENGE>\q:
TID_INBOX_CAPTION_64,Donazione: <NAME> (x<AMOUNT>)
TID_INBOX_CAPTION_DONATION,DONAZIONE DI: <TEXT>
TID_INBOX_NEW,NUOVO!
TID_BAND_MAIL_POPUP_TITLE,MESSAGGIO DEL CLUB
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Scrivi qui il tuo messaggio.
TID_BAND_MAIL_POPUP_POST,INVIA
TID_BAND_MAIL_POPUP_NO_MSG,Devi inserire un messaggio.
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Questa funzionalità non è disponibile per gli account di prova.
TID_REVOKE_TITLE,Messaggio dall'assistenza
TID_REVOKE_OK,OK
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Impossibile inviare la richiesta. Sei già in una squadra.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Impossibile inviare la richiesta. Hai un invito in sospeso.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Impossibile inviare la richiesta. Ne hai già una in sospeso.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,La richiesta è stata annullata.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,VORREI ENTRARE IN SQUADRA
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>VITTORIA</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>SCONFITTA</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>PAREGGIO</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>POSIZ.: <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>POSIZ.: <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>POSIZ.: <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> fa
TID_BATTLE_LOG_HERO_LEVEL_LABEL,LIV.
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,REGISTRO MISCHIE
TID_BATTLE_LOG_REPLAY,REPLAY
TID_BATTLE_LOG_MVP,MIGLIORE
TID_BATTLE_LOG_FRIENDLY,AMICHEVOLE
TID_BATTLE_LOG_TOURNAMENT,TORNEO
TID_BATTLE_LOG_PVP,CLASSIFICATA
TID_BATTLE_LOG_PRO_LEAGUE,SETE DI POTERE
TID_BATTLE_LOG_RANKED,LEGA DELLE STELLE
TID_BATTLE_LOG_NO_ENTRIES,VUOTO
TID_BATTLE_LOG_THIS_IS_A_BOT,Questo è un bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Replay disattivati
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Nessun replay disponibile
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,"Replay non disponibile, trofei del brawler insufficienti"
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,I replay si sbloccano quando uno di questi brawler ha <NUM> trofei.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,"Replay non disponibile, errore durante la registrazione"
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Replay non più disponibile
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Impossibile aggiungere amico
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Il link è scaduto.
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Impossibile aggiungere questo amico, perché la sua lista degli amici è piena."
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Impossibile aggiungere questo amico, perché la tua lista degli amici è piena."
TID_ADD_FRIEND_FAILED_BANNED,"Impossibile aggiungere questo amico, perché è stato sospeso."
TID_KEYPOOL_KEYS_REMAINING,Rimanenti: <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> gettoni tra <TIME>
TID_TOP_HUD_NEXT_REWARD,Prossimo premio
TID_RANK_UP_REWARD_REPLACED_TITLE,Conferma premio alternativo
TID_RANK_UP_REWARD_REPLACED_POWER,Nessun brawler può ricevere <AMOUNT> punti energia.\n\nVuoi ritirare il premio alternativo?
TID_RANK_UP_REWARD_REPLACED_HERO,"Possiedi già <NAME>, quindi riceverai il premio alternativo."
TID_RANK_UP_REWARD_REPLACED_PIN,"Possiedi già questa reazione, quindi riceverai il premio alternativo."
TID_RANK_UP_REWARD_REPLACED_SKIN,"Possiedi già \q<NAME>\q, quindi riceverai il premio alternativo."
TID_RANK_UP_REWARD_REPLACED_GEN,"Possiedi già questo premio, quindi riceverai quello alternativo."
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,Hai raggiunto il limite massimo di punti energia a disposizione e nessuno dei tuoi brawler può riceverne <AMOUNT>.\n\nPreferisci ritirare il premio alternativo?
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,RICHIEDI AMICIZIA
TID_PLAYER_INFO_REMOVE_FRIEND,ELIMINA DAGLI AMICI
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,RICHIESTA D'AMICIZIA INVIATA
TID_PLAYER_INFO_IS_YOUR_FRIEND,AMICO\nIN GIOCO
TID_POWER_POINTS,PUNTI ENERGIA
TID_HERO_INFO_LEVEL,LIVELLO
TID_HERO_INFO_LEVEL_LONG,LIVELLO
TID_HERO_INFO_RANK,GRADO
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,MIGLIORA AL LIVELLO <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,TOCCA ANCORA PER CONFERMARE
TID_HERO_INFO_MAX_LEVEL,LIVELLO MAX
TID_HERO_INFO_MORE_POWER_NEEDED,Ti serve altra energia per il miglioramento!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Il brawler non ha abbastanza punti energia
TID_HERO_INFO_LEVEL_UP_ERROR_3,Non hai abbastanza monete!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Brawler già al livello massimo!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,BRAWLER INIZIALE
TID_HERO_INFO_STAR_POWER_EQUIP,USA
TID_HERO_INFO_STAR_POWER_EQUIPPED,IN USO
TID_PLAYER_REPORTED_SUCCESSFULLY,Giocatore segnalato
TID_TOO_MANY_REPORTS_SENT,Hai superato il limite giornaliero di segnalazioni
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Aspetta prima di inviare una nuova segnalazione
TID_CHOOSE_CHARACTER,SCEGLI BRAWLER
TID_ARMOR,SALUTE
TID_ARMOR_DESC,Indica la quantità di danni che può subire il brawler prima di essere eliminato.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,Shelly si affida al suo fucile per sforacchiare gli avversari con una rosa di pallettoni. La super distrugge i ripari e tiene a distanza i nemici.
TID_LONG_RANGE_SHOTGUN,FUCILE A PALLETTONI
TID_LONG_RANGE_SHOTGUN_DESC,"Il fucile di Shelly è ideale per farcire di piombo i nemici a media distanza. Più pallettoni colpiscono il malcapitato, più male fa."
TID_MEGA_BLASH_ULTI,SUPERPALLETTONI
TID_MEGA_BLASH_ULTI_DESC,La super di Shelly disintegra qualsiasi copertura e fa piazza pulita dei nemici. Chiunque sopravviva viene sbalzato all'indietro.
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,Un eroe improbabile con l'innata capacità di trovarsi nel posto sbagliato al momento giusto. Fa \qvanità\q di secondo nome e in pochi hanno più fiducia in se stessi di lui!
TID_RAPID_FIRE,REVOLVER
TID_RAPID_FIRE_DESC,Colt spara una raffica di sei proiettili che coprono una lunga distanza in linea retta.
TID_RAPID_FIRE_ULTI,TEMPESTA DI PIOMBO
TID_RAPID_FIRE_ULTI_DESC,Colt usa una scarica di colpi devastante per annientare qualsiasi copertura e raggiungere distanze maggiori.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bull causa danni spaventosi quando colpisce i nemici a bruciapelo col suo fucile. Con la super, carica come un toro sfondando ostacoli e respingendo gli avversari."
TID_SHOTGUN_BLAST,FUCILE A CANNE MOZZE
TID_SHOTGUN_BLAST_DESC,"L'arma di Bull provoca danni ingenti, ma ha una portata limitata. Non è un problema comunque: a Bull piace conoscere la gente da vicino."
TID_CHARGE,CARICA
TID_CHARGE_DESC,"Con la grazia di un toro in carica, Bull si lancia a testa bassa, sfondando le coperture e facendosi strada tra i nemici."
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Quando non è impegnato a lanciare razzi a destra e a manca sul campo di battaglia, Brock si diverte a incendiare la pista da ballo con le sue mosse da ballerino provetto."
TID_FIREWORKS_WEAPON,TURBORAZZI
TID_FIREWORKS_WEAPON_DESC,"Brock mette il turbo ai razzi, facendogli percorrere distanze incredibili. Sarebbe inarrestabile, se solo ne sparasse più di uno alla volta..."
TID_FIREWORKS_ULTI,PIOGGIA ESPLOSIVA
TID_FIREWORKS_ULTI_DESC,"Brock fa piovere distruzione dal cielo, annientando ostacoli e avversari. Ora sì che è inarrestabile!"
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Tutti pensavano fosse rimasto intrappolato in una miniera, ma il caro vecchio Dynamike è un osso duro e non ha perso il vizio di far saltare in aria tutto ciò che gli si para davanti!"
TID_MORTAR,MICCIA CORTA
TID_MORTAR_DESC,"Mike lancia due candelotti di dinamite che, oltre a scavalcare gli ostacoli, rappresentano al meglio il suo temperamento esplosivo."
TID_MORTAR_ULTI,BARILOTTO COL BOTTO
TID_MORTAR_ULTI_DESC,"Perfetto per far saltare in aria nemici e coperture, far sbalzare via qualsiasi sopravvissuto o festeggiare Capodanno."
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"El Primo preferisce sferrare una rapida combo di pugni contro i nemici e adora schiacciarli con la super, con cui esegue una spettacolare gomitata volante."
TID_LUCHADOR_WEAPON,PUGNI FURIOSI
TID_LUCHADOR_WEAPON_DESC,"El Primo sferra una rapida combo di quattro pugni che riduce la povera vittima in poltiglia o, meglio, in \qtortilla\q!"
TID_LUCHADOR_ULTI,GOMITATA INTERGALATTICA
TID_LUCHADOR_ULTI_DESC,"Proprio come una meteora, El Primo impatta dall'alto con una gomitata mostruosa che sbalza i nemici all'indietro e distrugge le coperture."
TID_TRICKSHOT_DUDE_OLD,STECCA
TID_TRICKSHOT_DUDE_DESC,"I proiettili di Stecca hanno la particolarità di rimbalzare sui muri e se sono sparati con la super, coprono una distanza maggiore, trapassando anche gli avversari."
TID_TRICKSHOT_DUDE_WEAPON,PROIETTILI RIMBALZANTI
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Rimbalzando sui muri, gli speciali proiettili di Stecca coprono maggiori distanze e possono colpire i nemici in copertura."
TID_TRICKSHOT_DUDE_ULTI,CARAMBOLA
TID_TRICKSHOT_DUDE_ULTI_DESC,"Stecca spara una lunga raffica di proiettili che, oltre ad estendere la propria portata a ogni rimbalzo, attraversano anche i nemici."
TID_CACTUS,SPIKE
TID_CACTUS_DESC,"Avendo il pollice verde, Spike usa granate vegetali che sparano spine ovunque. Con la super, fa spuntare degli aghi che rallentano e danneggiano chi li calpesta."
TID_CACTUS_WEAPON,BOMBA D'AGHI
TID_CACTUS_WEAPON_DESC,Spike lancia un minicactus esplosivo che scaglia aghi ovunque alla detonazione.
TID_CACTUS_ULTI,AGO-NIA
TID_CACTUS_ULTI_DESC,"Spike scaglia una granata pungente, la cui zona d'impatto danneggia e rallenta i nemici."
TID_BARKEEP,BOMBARDINO
TID_BARKEEP_DESC,"Bombardino serve i migliori cocktail dello Starr Park, ma ha un piccolo vizio: se qualcuno gli sporca il bar, va su di giri e inizia a far volare bottiglie dappertutto!"
TID_BARKEEP_WEAPON,INTRUGLIO
