TID,PT
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,BRAWL PASS + <NUM> PATAMARES
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Não é possível comprar o Brawl Pass de temporadas passadas.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,O Brawl Pass da temporada atual não foi encontrado. Tente de novo mais tarde.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,O Brawl Pass desta temporada já foi desbloqueado.
TID_TAKEDOWNS_LABEL,ELIMINAÇÕES
TID_DEFEAT_LABEL,DERROTA
TID_UNDERDOG,AZARÃO
TID_ACCESSORY,ACESSÓRIO
TID_BATTLE_END_COIN_SHOWER,EVENTO CHUVA DE MOEDAS
TID_LFG_POPUP_TITLE_MEMBER,PROCURAR UM INTEGRANTE
TID_LFG_POPUP_TITLE_TEAM,PROCURAR UMA EQUIPE
TID_LFG_POPUP_INFO_MEMBER,Procure jogadores para formar uma equipe.
TID_LFG_POPUP_INFO_TEAM,Procure um jogador para entrar na sua equipe atual.
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Critérios do evento (toque para escolher)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Quero jogar (toque para escolher)
TID_LFG_POPUP_START_SEARCH,IR!
TID_LFG_NO_ROOM_FOR_PLAYERS,Este modo não permite um número maior de jogadores.
TID_LOOKING_FOR_A_TEAM,PROCURANDO UMA EQUIPE
TID_LOOKING_FOR_A_MEMBER,PROCURANDO UM INTEGRANTE
TID_CC_TEASER_TITLE,Em breve!
TID_CC_TEASER_INFO,"Prepare-se para o desafio do campeonato de <WIN> vitórias!\n\nJogue com amigos ou use a opção \qProcurando uma equipe\q para aumentar suas chances.\n\nO desafio estará disponível por apenas <DURATION> horas, então não marque bobeira!"
TID_CC_POPUP_TITLE,DESAFIO DO CAMPEONATO
TID_CC_POPUP_1_TITLE,COPA PSG
TID_CC_POPUP_TITLE_PSG_21,COPA PSG 2021
TID_CC_POPUP_DESC,"Ganhe recompensas incríveis a cada vitória! Você vence o desafio com <WINS> vitórias, mas se perder <LOSSES> vezes, está fora!"
TID_CC_POPUP_1_DESC,"Ganhe recompensas incríveis a cada vitória! Você vence a Copa com <WINS> vitórias, mas se perder <LOSSES> vezes, está fora!"
TID_CC_POPUP_WINS,<WINS>/<MAX> VITÓRIAS
TID_CC_POPUP_WINS_FOR_EVENT,FASE <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,QUARTAS DE FINAL
TID_POPUP_WINS_FOR_EVENT_PSG_2,SEMIFINAIS
TID_POPUP_WINS_FOR_EVENT_PSG_3,FINAL
TID_CC_POPUP_QUALIFY_INFO,Vença o desafio e garanta uma vaga na próxima etapa do campeonato de Brawl Stars!
TID_CC_POPUP_QUALIFY_INFO_PSG,Vença o desafio para ganhar o visual da Shelly PSG!
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Desafio concluído!
TID_CC_POPUP_CHALLENGE_OVER,NÃO FOI DESTA VEZ
TID_CC_POPUP_OUT_OF_LIVES,TENTATIVAS ESGOTADAS
TID_CC_POPUP_BUY_LIVES,COMPRAR MAIS <NUM>?
TID_CC_POPUP_COMPLETED,DESAFIO CONCLUÍDO
TID_CC_POPUP_LEVEL,FASE <LEVEL>
TID_CC_POPUP_WIN,VITÓRIA
TID_CC_POPUP_LOSSES,DERROTAS
TID_QUALIFIED_TITLE,Classificatória on-line LIBERADA!
TID_QUALIFIED_INFO,"Você venceu o desafio do campeonato! QUE INCRÍVEL!\n\nPara continuar sua jornada rumo ao CAMPEONATO DE BRAWL STARS, acesse <cFFE400><URL></c>!"
TID_QUALIFIED_INFO_HUB,"Você venceu o desafio do campeonato! QUE INCRÍVEL!\n\nPara continuar sua jornada no CAMPEONATO DE BRAWL STARS, acesse a nova seção de e-sports na tela inicial!"
TID_QUALIFIED_INFO_PSG,Parabéns! Você venceu a COPA PSG e desbloqueou o visual da Shelly PSG!
TID_QUALIFIED_GO,IR!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,DESAFIO DO CAMPEONATO
TID_BATTLE_END_CC_WIN_LABEL,RECOMPENSA PELA <AMOUNT>ª VITÓRIA
TID_BATTLE_END_CC_DEFEAT_0,Tentativas esgotadas!\nMais sorte na próxima vez!
TID_BATTLE_END_CC_DEFEAT_1,Mais uma derrota e você estará fora. Força!
TID_BATTLE_END_CC_DEFEAT_2,"Você perdeu esta, mas ainda pode continuar!"
TID_BATTLE_END_CC_DRAW_DESC,Jogue de novo para vencer!
TID_BATTLE_END_CC_QUALIFY_LABEL,VOCÊ CONSEGUIU!
TID_BATTLE_END_CC_QUALIFY_INFO,Parabéns! Você garantiu sua vaga na próxima etapa do campeonato de Brawl Stars.\nConfira suas mensagens para saber mais.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Recompensas de SEDE DE PODER
TID_PRO_LEAGUE_INFO_POPUP_INFO,Recompensa com base\nna sua pontuação final
TID_PRO_LEAGUE_INFO_POPUP_RANK,Classificação
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Pontos
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Recompensa adicional por chegar\nao topo da liderança global
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,Prêmios do fim da liga em SEDE DE PODER
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,CLASSIFICAÇÃO DA LIGA
TID_PRO_LEAGUE_SEASON_END_TIME,A LIGA TERMINA EM
TID_PRO_LEAGUE_POPUP_TITLE,SEDE DE PODER
TID_EVENT_LABEL_PRO_LEAGUE,SEDE DE PODER
TID_PRO_LEAGUE_POPUP_INFO,"Teste suas habilidades com a SEDE DE PODER! Participe de três batalhas por dia para subir de posição. Quando a liga terminar, você ganhará pontos estelares com base na quantidade de pontos e na sua classificação na liderança global."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,LIGA ATUAL
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,LIGA ANTERIOR
TID_PRO_LEAGUE_LABEL,SEDE DE PODER
TID_TEAM_ERROR_38,Escolha um Brawler com NÍVEL DE PODER 10!
TID_TEAM_ERROR_39,Não há mais batalhas disponíveis em SEDE DE PODER hoje.
TID_PRO_LEAGUE_GAMES,BATALHAS RESTANTES (<GAMESLEFT>/<MAXGAMES>)
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,A LIGA DE SEDE DE PODER TERMINOU
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Seus pontos
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Sua classificação
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Pontos estelares obtidos
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,RECOMPENSAS DE SEDE DE PODER: <AMOUNT> <cff00ff>pontos estelares</c> obtidos!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Vitória épica (+3 pontos):
TID_OVERWHELMING_VICTORY_GMV_0,Vença antes da 15ª gema aparecer.
TID_OVERWHELMING_VICTORY_GMV_5,Vitória 2-0
TID_OVERWHELMING_VICTORY_GMV_2,Vença com pelo menos 60% de saúde em seu cofre.
TID_OVERWHELMING_VICTORY_GMV_11,Vença com pelo menos 80% de saúde em sua base.
TID_OVERWHELMING_VICTORY_GMV_3,Vença com pelo menos 10 estrelas a mais do que o adversário.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Obtenha pontos com base na sua classificação na batalha.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Ganhe 30 pontos ao vencer, 15 ao empatar e 5 ao perder."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,PONTOS
TID_DOUBLE_TOKEN_WEEKEND,EVENTO COM DOBRO DE FICHAS
TID_COIN_SHOWER_EVENT,EVENTO CHUVA DE MOEDAS
TID_RANKS_ADDED_TITLE,Novas classes dos Brawlers
TID_RANKS_ADDED_DESC,Agora todos os Brawlers podem chegar até a classe 35.\n\nVocê ganhou <cff00ff><STARPOINTS></c> pontos estelares e <TOKENS> fichas pelos Brawlers que alcançaram as novas classes.
TID_SKINS_TITLE,VISUAIS
TID_SKINS_BUTTON_LABEL,VISUAIS
TID_SKIN_PREVIEW,PRÉVIA DE VISUAL
TID_DEFAULT_SKIN,VISUAL PADRÃO DE <HERO>
TID_HERO_LVL_UP_MATERIAL,moedas
TID_TOKENS,fichas
TID_FIRST_WINS,fichas estrela
TID_CLUB_COINS,Moedas do clube
TID_BUTTON_INBOX,CAIXA DE ENTRADA
TID_INBOX_TITLE,CAIXA DE ENTRADA
TID_INBOX_SYSTEM_SENDER,Sistema
TID_INBOX_SUPPORT_SENDER,Suporte do Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> atrás
TID_INBOX_CLAIM,RESGATAR
TID_INBOX_VIEW,VER
TID_INBOX_TAB_0,CLUBE
TID_INBOX_TAB_1,PESSOAL
TID_INBOX_NO_ENTRIES,NENHUMA ENTRADA
TID_INBOX_CAPTION_99,A liga de troféus terminou.
TID_INBOX_CAPTION_94,Doação de visual: <NAME>
TID_INBOX_CAPTION_93,Doação de Brawler: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Doação de Brawler: <NAME> (nível de poder <LEVEL>)
TID_INBOX_CAPTION_92,Doação de pontos de poder para <NAME>: <AMOUNT>
TID_INBOX_CAPTION_91,Doação de <AMOUNT> ingressos
TID_INBOX_CAPTION_90,Doação de <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Doação de <AMOUNT> gemas
TID_INBOX_CAPTION_88,Doação de <AMOUNT> duplicadores de fichas
TID_INBOX_CAPTION_85,Revogação de <AMOUNT> gemas
TID_INBOX_CAPTION_84_4,Doação do poder de estrela <ABI> para <NAME>
TID_INBOX_CAPTION_84_5,Doação do acessório <ABI> para <NAME>
TID_INBOX_CAPTION_78,As novas classes de 21 a 30 chegaram!
TID_INBOX_CAPTION_76,Classificatória on-line LIBERADA!
TID_INBOX_CAPTION_75,Recompensa por vitória em <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,Reembolso de ingressos
TID_INBOX_CAPTION_73,DOAÇÃO: BRAWL PASS
TID_INBOX_CAPTION_72_52,DOAÇÃO: REAÇÃO
TID_INBOX_CAPTION_71,DOAÇÃO: <AMOUNT> FICHAS PARA A TEMPORADA <SEASON> DO BRAWL PASS
TID_INBOX_CAPTION_70,Prêmio pela vitória em <CHALLENGE>:
TID_INBOX_CAPTION_64,Doação: <NAME> (<AMOUNT>)
TID_INBOX_CAPTION_DONATION,DOAÇÃO: <TEXT>
TID_INBOX_NEW,NOVO!
TID_BAND_MAIL_POPUP_TITLE,CORREIO DO CLUBE
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Escreva sua mensagem aqui.
TID_BAND_MAIL_POPUP_POST,PUBLICAR
TID_BAND_MAIL_POPUP_NO_MSG,Não se esqueça de inserir a mensagem.
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Este recurso não está disponível para contas demo
TID_REVOKE_TITLE,Mensagem da equipe de suporte
TID_REVOKE_OK,Entendi!
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Não é possível enviar o pedido. Você já está numa equipe.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Não é possível enviar o pedido. Você tem convite de equipe pendente.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Não é possível enviar o pedido. Você tem um pedido pendente.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Pedido para equipe cancelado.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,QUERO ENTRAR NA SUA EQUIPE
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>VITÓRIA</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>DERROTA</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>EMPATE</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>CLASSIFICAÇÃO <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>CLASSIFICAÇÃO <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>CLASSIFICAÇÃO <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> atrás
TID_BATTLE_LOG_HERO_LEVEL_LABEL,NVL
TID_BATTLE_LOG_TVST_VERSUS,x
TID_BATTLE_LOG_TITLE,REGISTRO DE BATALHA
TID_BATTLE_LOG_REPLAY,REPLAY
TID_BATTLE_LOG_MVP,CRAQUE
TID_BATTLE_LOG_FRIENDLY,AMISTOSO
TID_BATTLE_LOG_TOURNAMENT,TORNEIO
TID_BATTLE_LOG_PVP,RANQUEADO
TID_BATTLE_LOG_PRO_LEAGUE,SEDE DE PODER
TID_BATTLE_LOG_RANKED,LIGA ESTELAR
TID_BATTLE_LOG_NO_ENTRIES,NENHUMA ENTRADA AINDA
TID_BATTLE_LOG_THIS_IS_A_BOT,Este é um Bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Replays desativados
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Ainda não há nenhum replay
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Replay indisponível: poucos troféus.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Consiga <NUM> troféus para desbloquear os replays.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Replay indisponível: falha ao gravar.
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,O replay não está mais disponível.
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Falha ao iniciar amizade
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,O link de amizade expirou!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,Não é possível fazer amizade com quem está com a lista de amigos cheia.
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,Não é possível fazer amizade estando com a lista de amigos cheia.
TID_ADD_FRIEND_FAILED_BANNED,Não é possível fazer amizade com quem foi banido.
TID_KEYPOOL_KEYS_REMAINING,Chaves restantes: <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> fichas em <TIME>
TID_TOP_HUD_NEXT_REWARD,Próxima recompensa
TID_RANK_UP_REWARD_REPLACED_TITLE,Confirmar a recompensa alternativa
TID_RANK_UP_REWARD_REPLACED_POWER,Nenhum dos seus Brawlers pode receber <AMOUNT> pontos de poder.\n\nColetar a recompensa alternativa?
TID_RANK_UP_REWARD_REPLACED_HERO,"Como já tem <NAME>, você ganhará a recompensa alternativa."
TID_RANK_UP_REWARD_REPLACED_PIN,"Como já tem essa reação, você ganhará a recompensa alternativa."
TID_RANK_UP_REWARD_REPLACED_SKIN,"Como já tem <NAME>, você ganhará a recompensa alternativa."
TID_RANK_UP_REWARD_REPLACED_GEN,"Como já tem esse prêmio, você ganhará a recompensa alternativa."
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"Nenhum dos seus Brawlers pode receber <AMOUNT> pontos de poder, e você chegou à quantidade máxima de pontos de poder.\n\nDeseja resgatar a recompensa alternativa?"
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,SOLICITAR AMIZADE
TID_PLAYER_INFO_REMOVE_FRIEND,REMOVER DA LISTA DE AMIGOS
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,PEDIDO DE AMIZADE ENVIADO
TID_PLAYER_INFO_IS_YOUR_FRIEND,VOCÊS\nSÃO AMIGOS
TID_POWER_POINTS,PONTOS DE PODER
TID_HERO_INFO_LEVEL,PODER
TID_HERO_INFO_LEVEL_LONG,NÍVEL DE PODER
TID_HERO_INFO_RANK,CLASSE
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,MELHORE PARA O NÍVEL DE PODER <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,TOQUE DE NOVO PARA CONFIRMAR
TID_HERO_INFO_MAX_LEVEL,PODER MÁXIMO
TID_HERO_INFO_MORE_POWER_NEEDED,Colete mais pontos de poder para melhorar!
TID_HERO_INFO_LEVEL_UP_ERROR_4,O Brawler não tem pontos de poder suficientes
TID_HERO_INFO_LEVEL_UP_ERROR_3,Você não tem moedas suficientes!
TID_HERO_INFO_LEVEL_UP_ERROR_5,O Brawler já atingiu o NÍVEL DE PODER máximo!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,BRAWLER INICIAL
TID_HERO_INFO_STAR_POWER_EQUIP,SELECIONAR
TID_HERO_INFO_STAR_POWER_EQUIPPED,SELECIONADO
TID_PLAYER_REPORTED_SUCCESSFULLY,Jogador denunciado!
TID_TOO_MANY_REPORTS_SENT,Você ultrapassou o limite de denúncias diárias!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Aguarde antes de enviar outra denúncia.
TID_CHOOSE_CHARACTER,ESCOLHA SEU BRAWLER
TID_ARMOR,SAÚDE
TID_ARMOR_DESC,Indica a quantidade de dano que o Brawler tolera antes de cair.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,A carabina de ampla propagação da Shelly detona a outra equipe com chumbo grosso. Seu Super destrói qualquer cobertura e mantém os adversários afastados!
TID_LONG_RANGE_SHOTGUN,CHUMBO GROSSO
TID_LONG_RANGE_SHOTGUN_DESC,"A arma da Shelly dispara chumbinhos em grande amplitude e alcance médio. Quanto mais chumbinhos acertarem o alvo, maior o dano."
TID_MEGA_BLASH_ULTI,SUPERBALA
TID_MEGA_BLASH_ULTI_DESC,A Superbala da Shelly oblitera coberturas e inimigos. Os sobreviventes são empurrados para longe.
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,"Não é o herói que você pediu, mas é o herói que você tem. Sempre no lugar errado na hora certa. Ele é repleto de confiança e adora se olhar no espelho!"
TID_RAPID_FIRE,ESVAZIANDO O TAMBOR
TID_RAPID_FIRE_DESC,Colt dispara seis tiros rápidos de longo alcance com seus revólveres.
TID_RAPID_FIRE_ULTI,TREM-BALA
TID_RAPID_FIRE_ULTI_DESC,Colt dispara uma rajada de balas de longo alcance que destrói cobertura.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bull causa dano devastador de perto com sua escopeta. No Super, ele se lança através de barreiras e empurra os inimigos!"
TID_SHOTGUN_BLAST,ENGATILHADO
TID_SHOTGUN_BLAST_DESC,"A espingarda de cano duplo do Bull faz um grande estrago, mas tem curto alcance, então ele precisa se \qengatilhar\q nos outros rapidinho."
TID_CHARGE,BULDÔZER
TID_CHARGE_DESC,"De cabeça baixa, Bull ara o solo, os obstáculos e os adversários! Ele sempre foi cabeça-dura mesmo!"
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Quando Brock não está esquentando a batalha com foguetes, ele está fervendo na pista de dança."
TID_FIREWORKS_WEAPON,RUMO AO ESTRELATO
TID_FIREWORKS_WEAPON_DESC,Brock aposta tudo rumo ao estrelato lançando um único míssil de longo alcance.
TID_FIREWORKS_ULTI,CHUVA DE FOGUETÓRIO
TID_FIREWORKS_ULTI_DESC,Brock dispara uma chuva de mísseis que detona inimigos e obstáculos. Nem mesmo o mais resistente dos guarda-chuvas pode com esse tipo de temporal!
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Tido como perdido numa mina, Dynamike voltou irado, explodindo de vontade de explodir tudo!"
TID_MORTAR,PAVIO CURTO
TID_MORTAR_DESC,Mike arremessa duas dinamites que passam por qualquer obstáculo. O pavio é curto como o temperamento dele!
TID_MORTAR_ULTI,BARRIL BOMBÁSTICO
TID_MORTAR_ULTI_DESC,"Um barril de dinamites detona os obstáculos, e os sobreviventes são empurrados no impacto!"
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"El Primo desfere uma onda de socos contra os inimigos. No Super, ele dá uma cotovelada aérea que causa dano em todos que estiverem embaixo!"
TID_LUCHADOR_WEAPON,PUNHOS FURIOSOS
TID_LUCHADOR_WEAPON_DESC,El Primo dispara um turbilhão de punhos furiosamente incendiados. Vai um sanduíche de jalapeño e punhos aí?
TID_LUCHADOR_ULTI,ATAQUE DE COTOVELO
TID_LUCHADOR_ULTI_DESC,"Das alturas, El Primo desfere uma cotovelada intergaláctica que repele os inimigos e destrói coberturas!"
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,"Rico dispara uma rajada de balas que quicam nas paredes. No Super, ele dispara uma longa rajada de balas quicantes que perfuram os alvos!"
TID_TRICKSHOT_DUDE_WEAPON,BALAS QUICANTES
TID_TRICKSHOT_DUDE_WEAPON_DESC,"As balas disparadas ricocheteiam nas paredes, ampliando o alcance, e também acertam inimigos atrás de abrigos."
TID_TRICKSHOT_DUDE_ULTI,TIRO PERENE
TID_TRICKSHOT_DUDE_ULTI_DESC,"Rico dispara uma rajada de balas que perfuram os inimigos e ricocheteiam nas paredes, ampliando o alcance."
TID_CACTUS,SPIKE
TID_CACTUS_DESC,"Spike arremessa granadas de cactos que soltam espinhos por todo canto, além de ter um Super de tirar o fôlego: um campo de mamonas que desacelera e causa dano aos inimigos!"
TID_CACTUS_WEAPON,CACTO EXPLOSIVO
TID_CACTUS_WEAPON_DESC,Spike atira um pequeno cacto que explode e lança espinhos em todas as direções.
TID_CACTUS_ULTI,ESTÁTUA!
TID_CACTUS_ULTI_DESC,Spike lança uma granada de espinhos que causa dano e retarda os inimigos.
TID_BARKEEP,BARLEY
TID_BARKEEP_DESC,Barley serve as melhores bebidas do Starr Park e deixa o local tinindo. Quem fizer sujeira pode se preparar para ver garrafas voando!
TID_BARKEEP_WEAPON,DOSE ÚNICA
TID_BARKEEP_WEAPON_DESC,"Uma garrafa é lançada ao solo causando dano aos inimigos próximos. Se eles permanecerem na poça, o dano é ainda maior."
TID_BARKEEP_ULTI,SAIDEIRA
TID_BARKEEP_ULTI_DESC,"Barley atira várias garrafas incendiárias, espalhando fogo por uma grande área. Essa é cortesia da casa!"
TID_MECHANIC,JESSIE
TID_MECHANIC_DESC,"A arma de choque da Jessie dispara esferas de energia que quicam entre os inimigos. No Super, ela invoca uma torreta fofa, mas com metralhadoras letais."
TID_MECHANIC_WEAPON,ARMA DE CHOQUE
TID_MECHANIC_WEAPON_DESC,"Jessie dispara um orbe de energia que pode acertar até três alvos consecutivos, contanto que estejam dentro do campo de alcance. Cada quicada causa <damageDecayChain> menos dano."
TID_MECHANIC_ULTI,LATA-VELHA
