"Name","TID","CollabId","EventPanelExportName","SpecialEventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsInReward","TicketsInSkinDraw","SpecialSkinsInReward","TicketsInSpecialSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw","ClubCollabSkin","HideSkinRewardsInClubTrack","MutantMenuVFX","MutantVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID"
,,,,,,,,,,,,,"BullDudeViking_remake_orange",1,,,,,"player_icon_classic_penny",1,"emoji_classic_box_last",1,,,,,,,,
,,,,,,,,,,,,,"FrankCaveman",1,,,,,"player_icon_classic_poco",1,"emoji_classic_box_big",1,,,,,,,,
,,,,,,,,,,,,,"FrankCavemanRed",1,,,,,"player_icon_classic_primo",1,,,,,,,,,,
,,,,,,,,,,,,,"BanditGirlStar_remake",1,,,,,"player_icon_classic_shelly",1,,,,,,,,,,
,,,,,,,,,,,,,"ShotgunGirlClassic_white",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TntDudeClassic_yellow",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TrickshotDudeClassic_red",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlClassic_white",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ShamanBearPanda",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"GunSlingerRockstar",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"BarkeepGold",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlBeach",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"LuchadorRudo",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"CactusPink",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"CrowWhite",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"LuchadorRey",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MechanicSummer",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MechanicKnight",1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"UndertakerGreaser",1,,,,,,,,,,,,,,,,
"Coral","TID_COLLAB_3",3,"collab_event_panel_1_screen_hud_left","collab_event_panel_2_screen_hud_left",,"collab_event_teaser",,,,,,,"WallyHawaii",2,"RopeDudeSB",25,"spray_event_sb_gary",33,"player_icon_event_sb_1",33,"emoji_event_mrkrabs_sb",20,"LuchadorSB","TRUE","ArchetypeItemMenuEffect","ArchetypeItemBrawler",,"TID_COLLAB_3_LEADERBOARD_TAB","TID_COLLAB_3_LEADERBOARD_TITLE","TID_COLLAB_3_LEADERBOARD_SCORE"
,,,,,,,,,,,,,"RocketGirlBeach",5,"BarrelBotSB",25,"spray_event_sb_patty",33,"player_icon_event_sb_2",33,"emoji_event_patrick_sb",20,,,,,,,,
,,,,,,,,,,,,,"UndertakerBeach",5,"MechanicSB",25,"spray_event_sb_sponge",34,"player_icon_event_sb_3",34,"emoji_event_plankton_sb",20,,,,,,,,
,,,,,,,,,,,,,"NinjaDino",5,"ClusterBombDudeSB",25,,,,,"emoji_event_sandy_sb",20,,,,,,,,
,,,,,,,,,,,,,"MinigunDudeSummer",5,,,,,,,"emoji_event_spongebob_sb",20,,,,,,,,
,,,,,,,,,,,,,"NinjaShark",5,,,,,,,"emoji_event_squidward_sb",20,,,,,,,,
,,,,,,,,,,,,,"MechanicSummer",5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RosaCoco",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"KickerDudeOcto",5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SnakeOilTropical",3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"HammerDudeVacation",3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ShamanSummer",5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"BaseballPirate",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PowerLevelerKraken",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"AssaultShotgunTreasure",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MechaDudePirate",10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"FishTankShark",2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ElectroSniperCoral",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaos","TID_COLLAB_4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
