"TID","EN"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BRAWL PASS BUNDLE"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Unlock Brawl Pass rewards and extra Quests"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> TIERS"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","Past Brawl Pass seasons cannot be purchased"
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","Current Brawl Pass season cannot be found, please try again later."
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","Current Brawl Pass season is already unlocked"
"TID_TAKEDOWNS_LABEL","TAKEDOWNS"
"TID_DEFEAT_LABEL","DEFEAT"
"TID_UNDERDOG","UNDERDOG"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","COIN SHOWER EVENT"
"TID_BATTLE_END_CC_SHOWER","CHROMA SHOWER EVENT"
"TID_LFG_POPUP_TITLE_MEMBER","LOOK FOR A MEMBER"
"TID_LFG_POPUP_TITLE_TEAM","LOOK FOR A TEAM"
"TID_LFG_POPUP_INFO_MEMBER","Look for players to team up with you"
"TID_LFG_POPUP_INFO_TEAM","Look for a player to join your current team"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Event criteria (tap to change)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","I want to play (tap to change)"
"TID_LFG_POPUP_START_SEARCH","GO!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","This game mode does not support any more players"
"TID_LFG_NOT_AVAILABLE_FOR_MODE","Not available for the current game mode"
"TID_LOOKING_FOR_A_TEAM","LOOKING FOR A TEAM"
"TID_LOOKING_FOR_A_MEMBER","LOOKING FOR A MEMBER"
"TID_CC_TEASER_TITLE","Coming Soon!"
"TID_CC_TEASER_INFO","Get ready for the <WIN>-win Championship Challenge!\n\nPlay with friends or use the \qLooking for Team\q feature to increase your chances.\n\nThe challenge will only be live for <DURATION> hours, so make it count!"
"TID_CC_POPUP_TITLE","CHAMPIONSHIP CHALLENGE"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","Earn awesome rewards with every win! It takes <WINS> wins to beat the Challenge, but <LOSSES> losses and you're out!"
"TID_CC_POPUP_1_DESC","Earn awesome rewards with every win! It takes <WINS> wins to beat the Cup, but <LOSSES> losses and you're out!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> WINS"
"TID_CC_POPUP_WINS_FOR_EVENT","STAGE <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","QUARTERFINALS"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEMIFINALS"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","FINALS"
"TID_CC_POPUP_QUALIFY_INFO","Beat the challenge to qualify for the next stage in the Brawl Stars Championship!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Beat the challenge to win the PSG Shelly Skin!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Challenge completed!"
"TID_CC_POPUP_CHALLENGE_OVER","CHALLENGE OVER"
"TID_CC_POPUP_OUT_OF_LIVES","NO MORE ATTEMPTS"
"TID_CC_POPUP_BUY_LIVES","BUY <NUM> MORE?"
"TID_CC_POPUP_COMPLETED","CHALLENGE COMPLETED"
"TID_CC_POPUP_LEVEL","STAGE <LEVEL>"
"TID_CC_POPUP_WIN","WIN"
"TID_CC_POPUP_LOSSES","LOSSES"
"TID_QUALIFIED_TITLE","Online qualifier UNLOCKED!"
"TID_QUALIFIED_INFO","Wow, you beat the Championship Challenge! AMAZING!\n\nTo continue your journey toward the BRAWL STARS CHAMPIONSHIP, go to <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_HUB","Wow, you beat the Championship Challenge! AMAZING!\n\nTo continue your journey in the BRAWL STARS CHAMPIONSHIP, go to the new ESPORTS section on the home screen!"
"TID_QUALIFIED_INFO_PSG","Congrats, you won the PSG CUP! You have unlocked the PSG Shelly Skin!"
"TID_QUALIFIED_GO","GO!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","CHAMPIONSHIP CHALLENGE"
"TID_BATTLE_END_CC_WIN_LABEL","REWARD FOR WIN #<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Challenge over\nBetter luck next time!"
"TID_BATTLE_END_CC_DEFEAT_1","One more loss and you're out. Keep fighting!"
"TID_BATTLE_END_CC_DEFEAT_2","You lost this one but you can still continue!"
"TID_BATTLE_END_CC_DRAW_DESC","Play again to win!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","QUALIFIED!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Congratulations! You are eligible for the next stage in the Brawl Stars Championship.\nCheck out your inbox for more info."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","POWER PLAY League rewards"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Reward based on\nyour final Points"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Ranking"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Points"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Additional reward for reaching\nthe top of the global leaderboard"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","POWER PLAY LEAGUE END REWARDS"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","LEAGUE TABLE"
"TID_PRO_LEAGUE_SEASON_END_TIME","LEAGUE ENDS IN"
"TID_PRO_LEAGUE_POPUP_TITLE","POWER PLAY"
"TID_EVENT_LABEL_PRO_LEAGUE","POWER PLAY"
"TID_PRO_LEAGUE_POPUP_INFO","Put your skills to the test in POWER PLAY! Compete in three daily matches to climb up the League Table. When the League ends, you will get Star Points based on your Points and Ranking on the global League Table."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","CURRENT LEAGUE"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","PREVIOUS LEAGUE"
"TID_PRO_LEAGUE_LABEL","POWER PLAY"
"TID_TEAM_ERROR_38","Pick a POWER LEVEL 10 Brawler!"
"TID_TEAM_ERROR_39","No more POWER PLAY games left today!"
"TID_PRO_LEAGUE_GAMES","<GAMESLEFT>/<MAXGAMES> BATTLES LEFT"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","POWER PLAY LEAGUE ENDED"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Your Points"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Your Ranking"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Star Point Reward"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","POWER PLAY REWARD: <AMOUNT> <cff00ff>Star Points</c> gained!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Epic Win (+3 Points):"
"TID_OVERWHELMING_VICTORY_GMV_0","Win before 15th gem has spawned"
"TID_OVERWHELMING_VICTORY_GMV_5","Win 2-0"
"TID_OVERWHELMING_VICTORY_GMV_2","Win with at least 60% health left on your safe"
"TID_OVERWHELMING_VICTORY_GMV_11","Win with at least 80% health left on your base"
"TID_OVERWHELMING_VICTORY_GMV_3","Win with at least 10 more stars than the enemy"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Earn Points based on your ranking in the match"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","Earn 30 Points from a victory, 15 from a draw and a consolation prize of 5 from a defeat"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","POINTS"
"TID_DOUBLE_TOKEN_WEEKEND","DOUBLE XP EVENT"
"TID_COIN_SHOWER_EVENT","COIN SHOWER"
"TID_CHROMA_CREDITS_SHOWER_EVENT","CHROMA SHOWER"
"TID_MASTERY_POINTS_BOOST_EVENT","MASTERY MADNESS"
"TID_SKINS_TITLE","SKINS"
"TID_SKINS_BUTTON_LABEL","SKINS"
"TID_SKIN_PREVIEW","SKIN PREVIEW"
"TID_DEFAULT_SKIN","DEFAULT SKIN OF <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Coins"
"TID_TOKENS","Tokens"
"TID_FIRST_WINS","Star Tokens"
"TID_CLUB_COINS","Club Coins"
"TID_BUTTON_INBOX","INBOX"
"TID_INBOX_TITLE","INBOX"
"TID_INBOX_SYSTEM_SENDER","System"
"TID_INBOX_SUPPORT_SENDER","Brawl Stars Support"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> ago"
"TID_INBOX_CLAIM","CLAIM"
"TID_INBOX_VIEW","VIEW"
"TID_INBOX_TAB_0","CLUB MAIL"
"TID_INBOX_TAB_1","PERSONAL"
"TID_INBOX_NO_ENTRIES","NO ENTRIES"
"TID_INBOX_CAPTION_101","DONATION: BRAWL PASS PLUS UPGRADE"
"TID_INBOX_CAPTION_100","DONATION: BRAWL PASS PLUS"
"TID_INBOX_CAPTION_99","Trophy League has ended"
"TID_INBOX_CAPTION_94","Skin donation: <NAME>"
"TID_INBOX_CAPTION_93","Brawler donation: <NAME>"
"TID_INBOX_CAPTION_93_WITH_LEVEL","Brawler donation: <NAME> (Power Level <LEVEL>)"
"TID_INBOX_CAPTION_92","Donation of <AMOUNT> Power Points for <NAME>"
"TID_INBOX_CAPTION_91","Donation of <AMOUNT> tickets"
"TID_INBOX_CAPTION_90","Donation of <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Donation of <AMOUNT> Gems"
"TID_INBOX_CAPTION_88","Donation of <AMOUNT> of XP Doublers"
"TID_INBOX_CAPTION_85","Revocation of <AMOUNT> Gems"
"TID_INBOX_CAPTION_84_4","Donation of Star Power <ABI> for <NAME>"
"TID_INBOX_CAPTION_84_5","Donation of Gadget <ABI> for <NAME>"
"TID_INBOX_CAPTION_84_6","Donation of Hypercharge <ABI> for <NAME>"
"TID_INBOX_CAPTION_78","Brawler Ranks 21-30 are here!"
"TID_INBOX_CAPTION_76","Online qualifier UNLOCKED!"
"TID_INBOX_CAPTION_75","<CHALLENGE> victory reward:\n<NAME>"
"TID_INBOX_CAPTION_74","Ticket compensation"
"TID_INBOX_CAPTION_73","DONATION: BRAWL PASS"
"TID_INBOX_CAPTION_72_52","DONATION: PIN"
"TID_INBOX_CAPTION_71","DONATION: <AMOUNT> TOKENS TO BRAWL PASS SEASON <SEASON>"
"TID_INBOX_CAPTION_70","<CHALLENGE> victory reward:"
"TID_INBOX_CAPTION_64","Donation: <AMOUNT>x <NAME>"
"TID_INBOX_CAPTION_DONATION","DONATION: <TEXT>"
"TID_INBOX_NEW","NEW!"
"TID_BAND_MAIL_POPUP_TITLE","CLUB MAIL"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","write your message here..."
"TID_BAND_MAIL_POPUP_POST","POST"
"TID_BAND_MAIL_POPUP_NO_MSG","Remember to input a message"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","This feature is not available for demo accounts"
"TID_REVOKE_TITLE","Message From Support"
"TID_REVOKE_OK","Got it"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Cannot send join request. You are already in a team"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Cannot send join request. You have a pending team invite"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Cannot send join request. You have a pending join request"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Join request canceled"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","I WANT TO JOIN YOUR TEAM"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTORY</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DEFEAT</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>DRAW</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANK <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> ago"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","BATTLE LOG"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_MVP","STAR PLAYER"
"TID_BATTLE_LOG_FRIENDLY","FRIENDLY"
"TID_BATTLE_LOG_TOURNAMENT","TOURNAMENT"
"TID_BATTLE_LOG_PVP","RANKED"
"TID_BATTLE_LOG_PRO_LEAGUE","POWER PLAY"
"TID_BATTLE_LOG_RANKED","RANKED"
"TID_BATTLE_LOG_NO_ENTRIES","NO ENTRIES"
"TID_BATTLE_LOG_THIS_IS_A_BOT","This is a bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays currently disabled"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","No replay available yet"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","No replay: too low Brawler Trophies"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Reach <NUM> Brawler Trophies to unlock replays"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","No replay: recording failed"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Replay no longer available"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Failed to add friend"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Friend link has expired!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Unable to add friend, their friend list is full!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Unable to add friend, your friend list is full!"
"TID_ADD_FRIEND_FAILED_BANNED","Unable to add friend, user is banned!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> left"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> tokens in <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Next Reward"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirm Alternative Reward"
"TID_RANK_UP_REWARD_REPLACED_POWER","None of your Brawlers can be selected to receive <AMOUNT> power points.\n\nClaim the alternative reward instead?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Since you already have <NAME> you will get the alternative reward."
"TID_RANK_UP_REWARD_REPLACED_PIN","Since you already have this Pin you will get the alternative reward."
"TID_RANK_UP_REWARD_REPLACED_SKIN","Since you already have <NAME> you will get the alternative reward."
"TID_RANK_UP_REWARD_REPLACED_GEN","Since you already have this reward you will get the alternative reward instead."
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","None of your Brawlers can receive <AMOUNT> power points, and you have reached the maximum amount of power points.\n\nClaim the alternative reward instead?"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","SEND FRIEND REQUEST"
"TID_PLAYER_INFO_REMOVE_FRIEND","REMOVE FROM FRIEND LIST"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","FRIEND REQUEST SENT"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","IN-GAME\nFRIEND"
"TID_POWER_POINTS","POWER POINTS"
"TID_HERO_INFO_LEVEL","POWER"
"TID_HERO_INFO_LEVEL_LONG","POWER LEVEL"
"TID_HERO_INFO_RANK","TIER"
"TID_HERO_TIER_MAX","MAX"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","UPGRADE TO POWER LEVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TAP AGAIN TO CONFIRM"
"TID_HERO_INFO_MAX_LEVEL","MAX POWER"
"TID_HERO_INFO_MORE_POWER_NEEDED","Collect more power to upgrade!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Brawler does not have enough Power Points"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","You don't have enough Coins!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler already at maximum POWER LEVEL!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","STARTING BRAWLER"
"TID_HERO_INFO_STAR_POWER_EQUIP","SELECT"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","SELECTED"
"TID_CHOOSE_CHARACTER","CHOOSE BRAWLER"
"TID_ARMOR","HEALTH"
"TID_ARMOR_DESC","Represents how much sustained damage the Brawler can absorb before going down."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly's the perfect ranger: reliable, tough, and terrific with her shotgun. She never understood why Colt got to steal the limelight..."
"TID_LONG_RANGE_SHOTGUN","BUCKSHOT"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's boomstick fires a wide spread of pellets at a long range. The more pellets hit, the greater the damage."
"TID_MEGA_BLASH_ULTI","SUPER SHELL"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's Super Shell obliterates both cover and enemies. Any survivors get knocked back."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt is the star attraction at Starr Park! His good looks, charisma and gun twirling tricks win over any audience, except maybe Shelly."
"TID_RAPID_FIRE","SIX-SHOOTERS"
"TID_RAPID_FIRE_DESC","Colt shoots six straight long-range shots out of his revolvers."
"TID_RAPID_FIRE_ULTI","BULLET STORM"
"TID_RAPID_FIRE_ULTI_DESC","Colt rattles off a massive burst of bullets that shoot extra far and destroy cover."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull isn't as carefree as he was in his youth, but just because his rowdy days are behind him doesn't mean he won't still crush someone who's asking for it."
"TID_SHOTGUN_BLAST","DOUBLE-BARREL"
"TID_SHOTGUN_BLAST_DESC","Bull's double-barreled shotgun deals heavy damage. It has very short range, so Bull likes to get up close and personal."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull puts his head down and bulldozes through opponents and obstacles. He's always been headstrong!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock is a smack-talking video game enthusiast. His big attitude hides a more introverted personality, but he'll still do whatever it takes to win!"
"TID_FIREWORKS_WEAPON","ROCKIN' ROCKET"
"TID_FIREWORKS_WEAPON_DESC","Brock lets fly with a single Rockin' Rocket that really goes the distance."
"TID_FIREWORKS_ULTI","ROCKET RAIN"
"TID_FIREWORKS_ULTI_DESC","Brock fires a rocket barrage that takes out enemies and obstacles. He only wants to see you bathing in the Rocket Rain!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike is an old miner and prospector who's become obsessed with explosions. Nothing makes him happier than a big boom!"
"TID_MORTAR","SHORT FUSE"
"TID_MORTAR_DESC","Mike tosses two sticks of dynamite, passing over any obstacles in the way. The fuses are cut as short as Mike's explosive temper!"
"TID_MORTAR_ULTI","BIG BARREL O' BOOM"
"TID_MORTAR_ULTI_DESC","A big-bada-barrel of dynamite blows up cover. Any surviving enemies get knocked back on impact!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo is always in the spotlight and that's right where he wants to be! There's no audience he can't win over, except maybe his fellow performers..."
"TID_LUCHADOR_WEAPON","FISTS OF FURY"
"TID_LUCHADOR_WEAPON_DESC","El Primo fires off a furious flurry of four fiery fists. That's a spicy jalapeno knuckle sandwich!"
"TID_LUCHADOR_ULTI","FLYING ELBOW DROP"
"TID_LUCHADOR_ULTI_DESC","Leaping high, El Primo drops an Intergalactic Elbow that knocks around enemies and destroys cover!"
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico is definitely a real space bounty hunter who tracks down the galaxy's most wanted criminals, not a gumball machine pretending to be cool."
"TID_TRICKSHOT_DUDE_WEAPON","BOUNCY BULLETS"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Rico's bullets bounce off walls, gaining range. They can hit enemies behind cover."
"TID_TRICKSHOT_DUDE_ULTI","TRICK SHOT"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico fires a long burst of bullets that pierce through enemies and bounce off walls, gaining range."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Most people think Spike is Colt and Shelly's cute sidekick at the Ranger Ranch. Nobody could begin to guess the depths of his trauma"
"TID_CACTUS_WEAPON","NEEDLE GRENADE"
"TID_CACTUS_WEAPON_DESC","Spike fires off a small cactus that explodes, shooting spikes in different directions."
"TID_CACTUS_ULTI","STICK AROUND!"
"TID_CACTUS_ULTI_DESC","Spike lobs a thorny grenade. Enemies caught in the blast area take damage and are slowed down."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","A bartending robot designed to mix drinks and banter with patrons, Barley also makes sure to keep his bar clean, to the detriment of anyone who makes a mess."
"TID_BARKEEP_WEAPON","UNDILUTED"
"TID_BARKEEP_WEAPON_DESC","Barley lobs a bottle, breaking it on the ground. Enemies take damage from the splash, and more damage over time if they stay in the puddle."
"TID_BARKEEP_ULTI","LAST CALL"
"TID_BARKEEP_ULTI_DESC","Barley hurls a flurry of fiery bottles, covering a huge area in flames. This one's on the house!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Jessie is a prodigy who builds guns and gadgets from parts she finds in the junkyard. Maybe one day her mother Pam will see she can fend for herself!"
"TID_MECHANIC_WEAPON","SHOCK RIFLE"
"TID_MECHANIC_WEAPON_DESC","Jessie fires off an energy orb. After hitting a target the orb bounces to the next target in range, hitting up to three enemies. Each bounce deals <damageDecayChain> less damage."
"TID_MECHANIC_ULTI","SCRAPPY!"
"TID_MECHANIC_ULTI_DESC","Jessie deploys a gun turret that automatically shoots at enemies. It's made of 100% recycled materials!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita is a ferocious child who never backs down from a fight! The teddy bear on her head serves as a warning to others: don't poke the bear."
"TID_SHAMAN_WEAPON","RUPTURE"
"TID_SHAMAN_WEAPON_DESC","Nita sends forth a shockwave, damaging enemies caught in the tremor."
"TID_SHAMAN_ULTI","OVERBEARING"
